cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-04-06 01:00:00,2022-04-06 01:15:00,0.4,0.72
1,2022-04-06 01:45:00,2022-04-06 02:00:00,0.29,0.9
2,2022-04-06 02:30:00,2022-04-06 02:30:00,0.12,0.7
3,2022-04-06 03:00:00,2022-04-06 03:15:00,0.45,0.89
4,2022-04-06 03:45:00,2022-04-06 04:00:00,0.33,0.74
5,2022-04-06 04:30:00,2022-04-06 04:30:00,0.12,0.85
6,2022-04-06 05:00:00,2022-04-06 05:15:00,0.35,0.79
7,2022-04-06 05:45:00,2022-04-06 06:00:00,0.47,1.0
8,2022-04-06 06:30:00,2022-04-06 06:45:00,0.42,0.78
9,2022-04-06 07:15:00,2022-04-06 07:30:00,0.32,0.98
10,2022-04-06 08:00:00,2022-04-06 08:00:00,0.12,0.67
11,2022-04-06 08:45:00,2022-04-06 09:00:00,0.46,0.9
12,2022-04-06 09:45:00,2022-04-06 10:00:00,0.38,0.69
13,2022-04-06 12:00:00,2022-04-06 12:00:00,0.12,0.78
14,2022-04-06 18:45:00,2022-04-06 18:45:00,0.12,0.68
15,2022-04-06 19:30:00,2022-04-06 19:45:00,0.39,0.71
16,2022-04-06 20:30:00,2022-04-06 20:30:00,0.12,0.69
17,2022-04-06 21:15:00,2022-04-06 21:30:00,0.33,0.76
18,2022-04-06 22:15:00,2022-04-06 22:30:00,0.33,0.85
19,2022-04-06 23:15:00,2022-04-06 23:15:00,0.12,0.81
20,2022-04-07 00:15:00,2022-04-07 00:30:00,0.35,0.83
21,2022-04-07 01:15:00,2022-04-07 01:30:00,0.39,0.82
22,2022-04-07 02:15:00,2022-04-07 02:30:00,0.33,0.89
23,2022-04-07 03:15:00,2022-04-07 03:30:00,0.3,0.91
24,2022-04-07 04:00:00,2022-04-07 04:00:00,0.12,0.68
25,2022-04-07 04:45:00,2022-04-07 05:00:00,0.46,0.88
26,2022-04-07 05:30:00,2022-04-07 05:45:00,0.34,0.75
27,2022-04-07 06:30:00,2022-04-07 06:45:00,0.37,0.87
28,2022-04-07 07:30:00,2022-04-07 07:45:00,0.36,0.88
29,2022-04-07 08:45:00,2022-04-07 08:45:00,0.12,0.78
30,2022-04-07 10:00:00,2022-04-07 10:15:00,0.39,0.74
31,2022-04-07 12:00:00,2022-04-07 12:00:00,0.12,0.77
32,2022-04-07 13:00:00,2022-04-07 13:00:00,0.12,0.73
33,2022-04-07 14:00:00,2022-04-07 14:00:00,0.12,0.8
34,2022-04-07 15:30:00,2022-04-07 15:30:00,0.12,0.74
35,2022-04-07 16:30:00,2022-04-07 16:30:00,0.12,0.73
36,2022-04-07 18:45:00,2022-04-07 19:00:00,0.29,1.12
37,2022-04-07 19:30:00,2022-04-07 19:30:00,0.12,0.71
38,2022-04-07 20:30:00,2022-04-07 20:30:00,0.12,0.79
