cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-07 23:00:00,2021-01-08 02:30:00,3.59,13.82
1,2021-01-08 03:00:00,2021-01-08 03:00:00,0.12,1.62
2,2021-01-08 03:30:00,2021-01-08 09:45:00,6.36,20.01
3,2021-01-08 11:00:00,2021-01-08 11:45:00,0.95,5.06
4,2021-01-08 12:15:00,2021-01-08 15:45:00,3.75,11.06
5,2021-01-08 17:15:00,2021-01-09 11:30:00,18.43,78.91
6,2021-01-09 12:00:00,2021-01-09 12:45:00,1.0,3.21
7,2021-01-09 13:15:00,2021-01-10 10:30:00,21.5,78.91
8,2021-01-10 11:00:00,2021-01-10 11:45:00,1.0,2.9
9,2021-01-10 12:15:00,2021-01-11 09:45:00,21.75,82.78
10,2021-01-11 11:00:00,2021-01-11 11:45:00,0.92,5.0
11,2021-01-11 12:15:00,2021-01-11 12:30:00,0.45,2.33
12,2021-01-11 13:00:00,2021-01-11 15:45:00,2.86,10.6
13,2021-01-11 17:15:00,2021-01-12 09:45:00,16.54,69.01
14,2021-01-12 11:00:00,2021-01-12 15:45:00,4.77,16.48
15,2021-01-12 17:15:00,2021-01-13 05:30:00,12.46,41.7
16,2021-01-13 06:00:00,2021-01-13 07:30:00,1.75,5.5
17,2021-01-13 08:00:00,2021-01-13 09:45:00,1.81,4.97
18,2021-01-13 11:00:00,2021-01-13 12:15:00,1.41,5.37
19,2021-01-13 12:45:00,2021-01-13 12:45:00,0.12,1.28
20,2021-01-13 13:15:00,2021-01-13 15:45:00,2.59,7.34
21,2021-01-13 17:15:00,2021-01-13 18:45:00,1.73,7.84
22,2021-01-13 19:15:00,2021-01-13 19:45:00,0.75,2.77
23,2021-01-13 20:15:00,2021-01-13 22:45:00,2.75,10.56
24,2021-01-17 23:00:00,2021-01-18 04:00:00,5.03,18.21
25,2021-01-18 04:30:00,2021-01-18 05:00:00,0.75,2.88
26,2021-01-18 05:30:00,2021-01-18 09:45:00,4.48,14.7
27,2021-01-18 11:00:00,2021-01-18 14:30:00,3.7,11.62
28,2021-01-18 15:00:00,2021-01-18 15:00:00,0.12,1.28
29,2021-01-18 15:30:00,2021-01-18 15:45:00,0.45,2.48
30,2021-01-18 17:15:00,2021-01-19 09:45:00,16.58,70.61
