cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-04-04 00:15:00,2022-04-13 23:30:00,239.47,1107.49
1,2022-04-14 02:00:00,2022-04-14 10:00:00,8.02,24.97
2,2022-04-15 02:45:00,2022-04-15 09:45:00,6.98,21.5
3,2022-04-15 23:15:00,2022-05-09 19:30:00,572.23,1428.99
4,2022-05-10 01:15:00,2022-05-10 09:15:00,7.99,19.27
5,2022-05-11 03:30:00,2022-05-11 08:00:00,4.54,13.65
6,2022-05-17 13:45:00,2022-05-17 14:00:00,0.44,0.84
7,2022-05-18 06:45:00,2022-05-18 07:15:00,0.7,0.52
8,2022-05-20 05:45:00,2022-05-20 06:00:00,0.35,0.38
9,2022-05-21 07:45:00,2022-05-21 07:45:00,0.12,0.21
10,2022-05-22 03:45:00,2022-05-22 04:00:00,0.4,0.88
11,2022-05-22 04:45:00,2022-05-22 05:15:00,0.7,0.6
12,2022-05-23 03:00:00,2022-05-23 03:00:00,0.12,0.14
13,2022-05-23 03:45:00,2022-05-23 04:00:00,0.47,0.35
14,2022-05-24 00:30:00,2022-05-24 00:30:00,0.12,0.2
15,2022-05-24 01:30:00,2022-05-24 01:45:00,0.4,0.33
16,2022-05-24 06:00:00,2022-05-24 06:15:00,0.42,0.34
17,2022-05-24 09:00:00,2022-05-24 09:15:00,0.5,0.43
18,2022-05-24 10:00:00,2022-05-24 10:15:00,0.39,0.32
19,2022-05-25 00:30:00,2022-05-25 01:15:00,0.92,0.76
20,2022-05-25 04:15:00,2022-05-25 04:30:00,0.47,0.46
21,2022-05-26 03:00:00,2022-05-26 04:15:00,1.4,1.1
22,2022-05-27 02:30:00,2022-05-27 03:00:00,0.48,0.62
23,2022-05-27 03:30:00,2022-05-27 04:15:00,0.78,0.68
24,2022-05-27 07:15:00,2022-05-27 07:15:00,0.12,0.23
25,2022-05-28 04:15:00,2022-05-28 04:45:00,0.75,0.59
26,2022-05-28 21:45:00,2022-05-28 23:00:00,1.37,1.1
27,2022-05-29 01:15:00,2022-05-29 02:00:00,0.94,0.83
28,2022-05-29 04:45:00,2022-05-29 05:30:00,0.98,0.9
29,2022-05-29 08:30:00,2022-05-29 08:30:00,0.12,0.17
30,2022-05-29 21:00:00,2022-05-29 22:15:00,1.34,1.1
31,2022-05-30 00:30:00,2022-05-30 01:15:00,0.8,0.74
32,2022-05-30 03:30:00,2022-05-30 03:30:00,0.12,0.11
33,2022-05-30 04:00:00,2022-05-30 05:15:00,1.42,1.4
34,2022-05-30 07:30:00,2022-05-30 07:45:00,0.48,0.45
35,2022-05-31 03:15:00,2022-05-31 04:00:00,1.0,0.84
36,2022-05-31 06:45:00,2022-05-31 07:00:00,0.48,0.46
37,2022-06-01 00:00:00,2022-06-01 00:45:00,0.9,0.69
38,2022-06-01 03:15:00,2022-06-01 03:45:00,0.6,0.55
39,2022-06-01 07:00:00,2022-06-01 07:00:00,0.12,0.24
40,2022-06-01 16:30:00,2022-06-01 16:45:00,0.49,0.39
41,2022-06-01 20:00:00,2022-06-01 20:15:00,0.47,0.31
42,2022-06-01 23:45:00,2022-06-01 23:45:00,0.12,0.23
43,2022-06-02 03:00:00,2022-06-02 03:30:00,0.64,0.52
44,2022-06-02 06:45:00,2022-06-02 07:00:00,0.46,0.45
45,2022-06-03 04:15:00,2022-06-03 04:45:00,0.75,0.57
46,2022-06-04 03:45:00,2022-06-04 03:45:00,0.12,0.21
47,2022-06-04 04:30:00,2022-06-04 04:45:00,0.48,0.27
48,2022-06-05 13:45:00,2022-06-05 13:45:00,0.12,0.17
49,2022-06-05 17:45:00,2022-06-05 17:45:00,0.12,0.1
50,2022-06-05 21:00:00,2022-06-05 21:00:00,0.12,0.1
51,2022-06-05 22:30:00,2022-06-05 22:30:00,0.12,0.16
52,2022-06-05 23:15:00,2022-06-05 23:30:00,0.49,0.37
53,2022-06-06 03:00:00,2022-06-06 03:15:00,0.49,0.4
54,2022-06-06 06:30:00,2022-06-06 06:45:00,0.44,0.37
55,2022-06-07 06:30:00,2022-06-07 07:00:00,0.75,0.59
56,2022-06-07 23:45:00,2022-06-08 00:00:00,0.47,0.39
57,2022-06-08 00:45:00,2022-06-08 01:15:00,0.75,0.6
58,2022-06-08 04:15:00,2022-06-08 04:30:00,0.48,0.45
59,2022-06-08 07:45:00,2022-06-08 08:00:00,0.39,0.31
60,2022-06-08 23:00:00,2022-06-08 23:00:00,0.12,0.22
61,2022-06-09 00:00:00,2022-06-09 00:15:00,0.41,0.36
62,2022-06-09 03:30:00,2022-06-09 04:00:00,0.63,0.51
63,2022-06-09 07:00:00,2022-06-09 07:15:00,0.39,0.34
64,2022-06-09 20:00:00,2022-06-09 20:45:00,1.0,0.82
65,2022-06-09 23:30:00,2022-06-10 00:00:00,0.75,0.69
66,2022-06-10 02:15:00,2022-06-10 02:15:00,0.12,0.1
67,2022-06-10 03:00:00,2022-06-10 03:45:00,0.8,0.75
68,2022-06-10 06:00:00,2022-06-10 06:00:00,0.12,0.24
69,2022-06-10 06:45:00,2022-06-10 07:00:00,0.49,0.49
70,2022-06-11 03:45:00,2022-06-11 04:30:00,0.79,0.84
71,2022-06-11 05:15:00,2022-06-11 05:45:00,0.67,0.6
72,2022-06-12 07:00:00,2022-06-12 07:30:00,0.7,0.53
73,2022-06-14 04:45:00,2022-06-14 05:00:00,0.43,1.05
74,2022-06-14 05:45:00,2022-06-14 06:15:00,0.74,0.63
75,2022-06-18 07:45:00,2022-06-18 07:45:00,0.12,0.17
76,2022-06-21 08:45:00,2022-06-21 08:45:00,0.12,0.18
77,2022-06-23 02:45:00,2022-06-23 02:45:00,0.12,0.23
78,2022-06-24 16:00:00,2022-06-24 16:00:00,0.12,0.11
79,2022-06-24 17:00:00,2022-06-24 17:00:00,0.12,0.11
80,2022-06-24 21:30:00,2022-06-24 21:30:00,0.12,0.12
81,2022-06-24 22:30:00,2022-06-24 23:00:00,0.67,0.51
82,2022-06-25 03:00:00,2022-06-25 03:45:00,0.86,0.56
83,2022-06-27 23:45:00,2022-06-28 00:00:00,0.36,0.41
84,2022-06-28 02:45:00,2022-06-28 03:15:00,0.58,0.44
85,2022-06-29 07:15:00,2022-06-29 07:15:00,0.12,0.13
86,2022-06-30 05:45:00,2022-06-30 06:00:00,0.37,0.39
87,2022-07-01 03:45:00,2022-07-01 04:00:00,0.42,0.56
88,2022-07-01 04:45:00,2022-07-01 05:15:00,0.63,0.55
89,2022-07-02 02:15:00,2022-07-02 02:45:00,0.75,0.62
90,2022-07-06 05:45:00,2022-07-06 06:00:00,0.44,0.73
91,2022-07-07 04:45:00,2022-07-07 05:00:00,0.38,0.31
92,2022-07-07 05:45:00,2022-07-07 05:45:00,0.12,0.2
93,2022-07-07 06:30:00,2022-07-07 06:45:00,0.4,0.35
94,2022-07-09 04:45:00,2022-07-09 05:00:00,0.46,0.63
95,2022-07-09 05:45:00,2022-07-09 06:15:00,0.63,0.53
96,2022-07-11 04:00:00,2022-07-11 05:15:00,1.34,1.07
97,2022-07-12 05:45:00,2022-07-12 06:45:00,0.96,4.47
98,2022-07-13 06:45:00,2022-07-13 06:45:00,0.12,0.22
99,2022-07-16 07:45:00,2022-07-16 07:45:00,0.12,0.18
100,2022-07-17 06:45:00,2022-07-17 07:15:00,0.65,0.81
101,2022-07-21 01:45:00,2022-07-21 02:15:00,0.7,0.47
102,2022-07-27 08:45:00,2022-07-27 09:30:00,0.97,0.9
103,2022-07-28 07:45:00,2022-07-28 07:45:00,0.12,0.19
104,2022-07-30 02:45:00,2022-07-30 03:15:00,0.75,0.57
105,2022-07-30 04:30:00,2022-07-30 04:45:00,0.45,0.49
106,2022-08-03 08:45:00,2022-08-03 09:15:00,0.75,0.59
107,2022-08-06 06:00:00,2022-08-06 06:30:00,0.67,0.48
108,2022-08-06 08:30:00,2022-08-06 09:00:00,0.74,0.74
109,2022-08-08 03:45:00,2022-08-08 04:30:00,1.0,0.96
110,2022-08-08 05:00:00,2022-08-08 05:30:00,0.63,0.77
111,2022-08-09 06:45:00,2022-08-09 06:45:00,0.12,0.26
112,2022-08-11 06:45:00,2022-08-11 07:30:00,0.71,2.52
113,2022-08-13 05:45:00,2022-08-13 07:15:00,1.65,3.0
114,2022-08-14 06:00:00,2022-08-14 07:45:00,1.69,2.38
115,2022-08-16 04:15:00,2022-08-16 05:15:00,1.09,1.39
116,2022-08-16 06:15:00,2022-08-16 07:00:00,0.83,1.2
117,2022-08-19 08:45:00,2022-08-19 09:15:00,0.66,0.55
118,2022-08-19 19:30:00,2022-08-19 19:45:00,0.38,0.44
119,2022-08-19 23:00:00,2022-08-19 23:45:00,0.76,0.88
120,2022-08-20 05:00:00,2022-08-20 05:15:00,0.42,0.49
121,2022-08-20 06:15:00,2022-08-20 06:30:00,0.37,0.54
122,2022-08-22 04:45:00,2022-08-22 05:45:00,1.0,2.06
123,2022-08-23 06:00:00,2022-08-23 07:00:00,1.04,1.79
124,2022-08-24 04:45:00,2022-08-24 05:45:00,1.19,1.74
125,2022-08-25 06:45:00,2022-08-25 07:30:00,0.9,1.16
126,2022-08-28 01:45:00,2022-08-28 02:45:00,1.22,1.37
127,2022-08-29 05:45:00,2022-08-29 06:45:00,1.11,1.21
128,2022-08-31 08:00:00,2022-08-31 08:45:00,0.93,0.88
129,2022-08-31 23:15:00,2022-08-31 23:45:00,0.68,0.68
130,2022-09-01 01:15:00,2022-09-01 01:45:00,0.52,0.86
131,2022-09-01 03:45:00,2022-09-01 03:45:00,0.12,0.14
132,2022-09-01 04:30:00,2022-09-01 05:00:00,0.68,0.86
133,2022-09-02 02:45:00,2022-09-02 03:45:00,1.06,1.87
134,2022-09-02 04:45:00,2022-09-02 05:30:00,0.83,1.42
135,2022-09-04 01:45:00,2022-09-04 02:45:00,1.13,1.84
136,2022-09-04 04:00:00,2022-09-04 04:30:00,0.6,0.85
137,2022-09-05 04:45:00,2022-09-05 05:30:00,0.91,1.72
138,2022-09-07 03:30:00,2022-09-07 04:15:00,0.98,0.95
139,2022-09-08 01:45:00,2022-09-08 02:15:00,0.68,0.73
140,2022-09-08 22:00:00,2022-09-08 23:00:00,1.0,1.78
141,2022-09-08 23:45:00,2022-09-09 00:30:00,0.81,1.07
142,2022-09-09 02:00:00,2022-09-09 02:15:00,0.43,0.56
143,2022-09-09 19:15:00,2022-09-09 20:00:00,0.86,1.26
144,2022-09-09 21:15:00,2022-09-09 21:30:00,0.32,0.46
145,2022-09-09 23:15:00,2022-09-09 23:15:00,0.12,0.34
146,2022-09-10 00:00:00,2022-09-10 00:00:00,0.12,0.33
147,2022-09-10 01:15:00,2022-09-10 01:15:00,0.12,0.16
148,2022-09-10 02:00:00,2022-09-10 02:00:00,0.12,0.24
149,2022-09-11 00:00:00,2022-09-11 01:00:00,1.12,1.72
150,2022-09-11 02:15:00,2022-09-11 02:45:00,0.42,0.61
151,2022-09-11 06:00:00,2022-09-11 06:15:00,0.39,0.59
152,2022-09-11 11:30:00,2022-09-11 12:30:00,1.21,2.57
153,2022-09-11 21:30:00,2022-09-11 23:15:00,1.75,3.09
154,2022-09-12 10:15:00,2022-09-12 11:15:00,1.23,2.36
155,2022-09-12 21:15:00,2022-09-12 22:00:00,1.0,1.9
156,2022-09-13 08:00:00,2022-09-13 09:15:00,1.34,2.4
157,2022-09-13 19:15:00,2022-09-13 20:00:00,0.83,1.6
158,2022-09-14 05:30:00,2022-09-14 06:30:00,1.08,2.0
159,2022-09-14 16:15:00,2022-09-14 16:45:00,0.72,1.42
160,2022-09-15 02:00:00,2022-09-15 03:30:00,1.49,2.68
161,2022-09-15 14:00:00,2022-09-15 15:15:00,1.25,2.2
162,2022-09-16 01:30:00,2022-09-16 02:30:00,1.25,2.26
163,2022-09-16 12:45:00,2022-09-16 13:45:00,1.24,2.2
164,2022-09-17 00:00:00,2022-09-17 01:30:00,1.67,2.94
165,2022-09-17 12:00:00,2022-09-17 13:45:00,1.88,3.34
166,2022-09-18 01:00:00,2022-09-18 02:30:00,1.52,3.08
167,2022-09-18 12:45:00,2022-09-18 14:00:00,1.35,2.54
168,2022-09-19 00:15:00,2022-09-19 01:45:00,1.57,3.03
169,2022-09-19 19:00:00,2022-09-19 21:15:00,2.35,3.96
170,2022-09-20 07:00:00,2022-09-20 08:30:00,1.63,3.42
171,2022-09-20 18:30:00,2022-09-20 19:45:00,1.19,2.39
