cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 02:45:00,2.99,7.85
1,2021-01-01 03:45:00,2021-01-01 08:15:00,4.59,13.68
2,2021-01-01 09:30:00,2021-01-01 13:45:00,4.15,10.88
3,2021-01-01 14:45:00,2021-01-01 21:30:00,6.83,15.38
4,2021-01-01 23:30:00,2021-01-02 01:30:00,2.03,4.22
5,2021-01-02 02:45:00,2021-01-02 12:15:00,9.5,21.93
6,2021-01-02 12:45:00,2021-01-02 17:00:00,4.3,9.83
7,2021-01-02 18:00:00,2021-01-02 22:15:00,4.43,13.01
8,2021-01-02 23:30:00,2021-01-03 01:30:00,2.04,4.66
9,2021-01-03 02:30:00,2021-01-03 09:00:00,6.64,18.34
10,2021-01-03 09:45:00,2021-01-03 14:00:00,4.38,10.64
11,2021-01-03 15:00:00,2021-01-03 18:30:00,3.52,9.37
12,2021-01-03 19:30:00,2021-01-03 23:45:00,4.31,13.39
13,2021-01-04 00:15:00,2021-01-04 02:15:00,2.09,5.56
14,2021-01-04 03:30:00,2021-01-04 08:45:00,5.42,21.4
15,2021-01-04 10:15:00,2021-01-04 13:30:00,3.41,10.43
16,2021-01-04 14:45:00,2021-01-04 18:00:00,3.25,12.07
17,2021-01-04 19:15:00,2021-01-04 21:30:00,2.33,7.03
18,2021-01-04 23:30:00,2021-01-05 02:15:00,2.92,6.96
19,2021-01-05 03:45:00,2021-01-05 08:30:00,4.78,16.33
20,2021-01-05 09:45:00,2021-01-05 13:15:00,3.65,13.4
21,2021-01-05 14:30:00,2021-01-05 21:00:00,6.47,18.72
22,2021-01-05 22:30:00,2021-01-06 04:30:00,6.14,15.62
23,2021-01-06 05:15:00,2021-01-06 09:30:00,4.27,16.84
24,2021-01-06 10:45:00,2021-01-06 14:15:00,3.72,12.49
25,2021-01-06 15:30:00,2021-01-06 19:45:00,4.31,15.48
26,2021-01-06 21:00:00,2021-01-06 22:00:00,1.13,2.42
27,2021-01-06 23:00:00,2021-01-07 13:30:00,14.69,37.54
28,2021-01-07 14:30:00,2021-01-07 21:30:00,7.12,20.54
29,2021-01-07 23:00:00,2021-01-08 02:30:00,3.58,12.85
30,2021-01-09 03:00:00,2021-01-09 03:00:00,0.12,0.59
31,2021-01-09 04:00:00,2021-01-09 11:45:00,7.89,32.29
32,2021-01-09 12:30:00,2021-01-09 16:00:00,3.47,12.17
33,2021-01-09 17:00:00,2021-01-09 20:15:00,3.39,12.86
34,2021-01-09 22:00:00,2021-01-10 01:45:00,3.83,10.7
35,2021-01-10 02:30:00,2021-01-10 09:15:00,6.79,24.0
36,2021-01-10 10:15:00,2021-01-10 16:15:00,6.17,23.37
37,2021-01-10 17:15:00,2021-01-10 20:30:00,3.48,13.7
38,2021-01-10 22:30:00,2021-01-11 09:00:00,10.69,40.47
39,2021-01-11 10:00:00,2021-01-11 13:45:00,3.73,15.08
40,2021-01-11 14:45:00,2021-01-11 20:45:00,6.02,23.86
41,2021-01-11 22:00:00,2021-01-12 02:00:00,3.87,13.33
42,2021-01-12 02:30:00,2021-01-12 09:00:00,6.49,21.47
43,2021-01-12 10:00:00,2021-01-12 20:00:00,10.03,32.97
44,2021-01-12 21:30:00,2021-01-12 23:00:00,1.62,3.26
45,2021-01-13 00:15:00,2021-01-13 04:00:00,3.91,8.84
46,2021-01-13 04:30:00,2021-01-13 09:45:00,5.42,18.1
47,2021-01-13 11:00:00,2021-01-13 15:00:00,4.22,11.55
48,2021-01-13 15:45:00,2021-01-13 21:15:00,5.66,13.6
49,2021-01-17 23:00:00,2021-01-18 02:15:00,3.37,8.93
50,2021-01-18 03:30:00,2021-01-18 09:30:00,6.06,22.89
51,2021-01-18 10:45:00,2021-01-18 13:00:00,2.46,6.43
52,2021-01-18 14:00:00,2021-01-18 18:45:00,4.71,12.98
53,2021-01-18 19:30:00,2021-01-18 22:15:00,2.7,7.67
54,2021-01-18 23:45:00,2021-01-19 03:15:00,3.68,10.65
55,2021-01-19 04:30:00,2021-01-19 11:30:00,7.03,28.25
56,2021-01-19 12:45:00,2021-01-19 16:00:00,3.2,8.37
57,2021-01-19 17:00:00,2021-01-19 21:45:00,4.83,13.73
58,2021-01-19 23:00:00,2021-01-20 02:45:00,3.75,9.96
59,2021-01-20 04:00:00,2021-01-20 09:30:00,5.67,20.58
60,2021-01-20 10:30:00,2021-01-20 14:00:00,3.74,9.24
61,2021-01-20 15:00:00,2021-01-20 21:00:00,6.09,17.69
62,2021-01-20 22:00:00,2021-01-21 00:45:00,2.76,6.23
63,2021-01-21 01:45:00,2021-01-21 04:00:00,2.3,5.19
64,2021-01-21 05:00:00,2021-01-21 09:30:00,4.52,15.15
65,2021-01-21 10:30:00,2021-01-21 13:45:00,3.28,6.49
66,2021-01-21 15:00:00,2021-01-21 18:15:00,3.37,8.17
67,2021-01-21 19:15:00,2021-01-21 22:15:00,2.95,6.76
68,2021-01-22 00:00:00,2021-01-22 02:30:00,2.74,4.5
69,2021-01-22 04:00:00,2021-01-22 07:45:00,3.77,10.14
