cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:30:00,2021-01-01 01:30:00,1.12,5.49
1,2021-01-01 02:30:00,2021-01-01 04:00:00,1.35,7.02
2,2021-01-01 05:15:00,2021-01-01 06:15:00,1.02,5.12
3,2021-01-01 07:00:00,2021-01-01 08:00:00,0.99,5.18
4,2021-01-01 09:00:00,2021-01-01 11:00:00,2.1,7.23
5,2021-01-01 11:45:00,2021-01-01 12:30:00,0.72,3.58
6,2021-01-01 13:15:00,2021-01-01 14:15:00,1.04,5.32
7,2021-01-01 15:30:00,2021-01-01 17:15:00,1.71,7.63
8,2021-01-01 17:45:00,2021-01-01 18:30:00,0.77,4.0
9,2021-01-01 19:15:00,2021-01-01 20:00:00,0.88,4.57
10,2021-01-01 21:00:00,2021-01-01 21:15:00,0.39,1.94
11,2021-01-01 22:15:00,2021-01-01 22:45:00,0.67,3.24
12,2021-01-01 23:45:00,2021-01-02 01:00:00,1.43,4.9
13,2021-01-02 01:45:00,2021-01-02 02:30:00,0.69,3.33
14,2021-01-02 03:15:00,2021-01-02 04:30:00,1.36,7.18
15,2021-01-02 05:15:00,2021-01-02 05:15:00,0.12,0.63
16,2021-01-02 05:45:00,2021-01-02 06:30:00,0.89,4.65
17,2021-01-02 07:15:00,2021-01-02 09:15:00,1.98,10.26
18,2021-01-02 10:30:00,2021-01-02 11:45:00,1.31,6.51
19,2021-01-02 12:45:00,2021-01-02 14:00:00,1.25,6.6
20,2021-01-02 15:00:00,2021-01-02 17:30:00,2.49,12.6
21,2021-01-02 18:30:00,2021-01-02 19:45:00,1.2,6.6
22,2021-01-02 20:30:00,2021-01-02 21:30:00,0.97,5.13
23,2021-01-02 23:15:00,2021-01-03 00:15:00,1.13,5.35
24,2021-01-03 01:30:00,2021-01-03 02:15:00,0.91,4.23
25,2021-01-03 03:00:00,2021-01-03 04:30:00,1.45,7.71
26,2021-01-03 05:30:00,2021-01-03 06:15:00,0.97,5.22
27,2021-01-03 07:15:00,2021-01-03 09:00:00,1.67,8.94
28,2021-01-03 10:15:00,2021-01-03 11:30:00,1.34,7.12
29,2021-01-03 12:30:00,2021-01-03 13:30:00,0.99,5.09
