cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 00:00:00,0.12,1.05
1,2021-01-01 00:30:00,2021-01-01 00:45:00,0.36,2.0
2,2021-01-01 01:30:00,2021-01-01 01:45:00,0.35,1.9
3,2021-01-01 02:15:00,2021-01-01 02:30:00,0.48,1.89
4,2021-01-01 03:00:00,2021-01-01 03:15:00,0.36,2.0
5,2021-01-01 04:00:00,2021-01-01 04:15:00,0.34,1.84
6,2021-01-01 04:45:00,2021-01-01 05:00:00,0.48,2.02
7,2021-01-01 05:30:00,2021-01-01 05:45:00,0.33,1.83
8,2021-01-01 06:15:00,2021-01-01 06:45:00,0.34,1.85
9,2021-01-01 07:15:00,2021-01-01 07:30:00,0.37,1.79
10,2021-01-01 08:00:00,2021-01-01 08:15:00,0.47,1.97
11,2021-01-01 08:45:00,2021-01-01 09:00:00,0.4,1.42
12,2021-01-01 09:30:00,2021-01-01 09:45:00,0.35,1.48
13,2021-01-01 11:00:00,2021-01-01 12:00:00,1.15,3.82
14,2021-01-01 12:30:00,2021-01-01 13:15:00,1.0,2.85
15,2021-01-01 13:45:00,2021-01-01 14:00:00,0.36,1.5
16,2021-01-01 14:30:00,2021-01-01 14:45:00,0.5,1.42
17,2021-01-01 15:15:00,2021-01-01 16:00:00,1.0,2.91
18,2021-01-01 17:45:00,2021-01-01 18:15:00,0.59,3.12
19,2021-01-01 18:45:00,2021-01-01 19:30:00,0.94,4.12
20,2021-01-01 20:00:00,2021-01-01 20:15:00,0.35,1.87
21,2021-01-01 20:45:00,2021-01-01 21:15:00,0.36,2.01
22,2021-01-01 21:45:00,2021-01-01 22:00:00,0.39,1.9
23,2021-01-01 22:30:00,2021-01-01 22:45:00,0.48,1.87
24,2021-01-01 23:15:00,2021-01-01 23:30:00,0.36,1.95
25,2021-01-02 00:00:00,2021-01-02 00:30:00,0.36,1.95
