cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-02-06 01:30:00,2022-02-06 01:45:00,0.32,1.24
1,2022-02-06 02:30:00,2022-02-06 03:45:00,1.28,5.24
2,2022-02-06 04:15:00,2022-02-06 04:45:00,0.54,2.26
3,2022-02-06 05:15:00,2022-02-06 05:45:00,0.73,2.94
4,2022-02-06 06:30:00,2022-02-06 07:00:00,0.48,1.98
5,2022-02-06 07:30:00,2022-02-06 08:15:00,0.68,2.84
6,2022-02-06 08:45:00,2022-02-06 09:15:00,0.41,1.74
7,2022-02-06 09:45:00,2022-02-06 10:30:00,0.89,3.92
8,2022-02-06 11:30:00,2022-02-06 11:45:00,0.45,1.47
9,2022-02-06 12:45:00,2022-02-06 13:00:00,0.37,1.48
10,2022-02-06 14:00:00,2022-02-06 14:15:00,0.33,1.34
11,2022-02-06 15:15:00,2022-02-06 15:30:00,0.37,1.55
12,2022-02-06 16:30:00,2022-02-06 16:45:00,0.33,1.47
13,2022-02-06 17:30:00,2022-02-06 17:45:00,0.42,1.5
14,2022-02-06 18:30:00,2022-02-06 19:00:00,0.34,1.52
15,2022-02-06 19:45:00,2022-02-06 20:00:00,0.42,1.5
16,2022-02-07 08:00:00,2022-02-07 09:15:00,1.29,4.9
17,2022-02-07 09:45:00,2022-02-07 10:45:00,1.08,4.59
18,2022-02-07 12:00:00,2022-02-07 12:30:00,0.55,2.33
19,2022-02-07 13:00:00,2022-02-07 13:15:00,0.42,1.6
20,2022-02-07 14:15:00,2022-02-07 14:45:00,0.34,1.47
21,2022-02-07 16:30:00,2022-02-07 16:45:00,0.5,1.86
22,2022-02-07 17:15:00,2022-02-07 17:45:00,0.44,1.86
23,2022-02-07 19:15:00,2022-02-07 21:00:00,1.96,6.57
24,2022-02-07 21:30:00,2022-02-07 22:00:00,0.51,2.12
25,2022-02-07 22:30:00,2022-02-07 23:15:00,0.68,2.79
26,2022-02-07 23:45:00,2022-02-08 00:00:00,0.48,1.96
27,2022-02-08 00:30:00,2022-02-08 01:15:00,0.82,3.33
28,2022-02-08 01:45:00,2022-02-08 02:15:00,0.54,2.23
29,2022-02-08 02:45:00,2022-02-08 03:30:00,0.91,3.75
30,2022-02-08 04:00:00,2022-02-08 04:30:00,0.51,2.13
31,2022-02-08 05:00:00,2022-02-08 05:45:00,0.85,3.5
32,2022-02-08 06:15:00,2022-02-08 06:45:00,0.48,2.0
33,2022-02-08 07:15:00,2022-02-08 07:45:00,0.56,2.33
34,2022-02-08 08:15:00,2022-02-08 08:45:00,0.44,1.87
35,2022-02-08 09:15:00,2022-02-08 10:00:00,0.68,2.92
36,2022-02-08 10:30:00,2022-02-08 10:45:00,0.36,1.53
37,2022-02-08 12:00:00,2022-02-08 12:15:00,0.43,1.8
38,2022-02-08 13:15:00,2022-02-08 13:30:00,0.45,1.34
39,2022-02-08 17:00:00,2022-02-08 17:15:00,0.38,1.47
40,2022-02-08 17:45:00,2022-02-08 17:45:00,0.12,0.72
41,2022-02-08 19:15:00,2022-02-08 19:45:00,0.7,3.0
42,2022-02-08 20:15:00,2022-02-08 20:45:00,0.41,1.75
43,2022-02-08 21:15:00,2022-02-08 21:30:00,0.47,1.86
44,2022-02-08 22:15:00,2022-02-08 22:45:00,0.58,2.42
45,2022-02-08 23:15:00,2022-02-08 23:45:00,0.48,1.97
46,2022-02-09 00:15:00,2022-02-09 00:45:00,0.51,2.1
47,2022-02-09 01:15:00,2022-02-09 02:00:00,0.72,2.91
48,2022-02-09 02:30:00,2022-02-09 03:00:00,0.61,2.49
49,2022-02-09 03:30:00,2022-02-09 04:15:00,0.86,3.48
50,2022-02-09 05:00:00,2022-02-09 05:30:00,0.6,2.4
51,2022-02-09 06:00:00,2022-02-09 06:45:00,0.85,3.38
52,2022-02-09 07:15:00,2022-02-09 08:00:00,0.8,3.17
53,2022-02-09 08:30:00,2022-02-09 09:00:00,0.55,2.2
54,2022-02-09 09:30:00,2022-02-09 10:45:00,1.28,4.17
55,2022-02-09 12:00:00,2022-02-09 12:30:00,0.55,2.53
56,2022-02-09 17:00:00,2022-02-09 17:30:00,0.34,1.52
57,2022-02-09 19:15:00,2022-02-09 19:45:00,0.7,3.01
58,2022-02-09 20:15:00,2022-02-09 20:45:00,0.34,1.51
59,2022-02-09 21:15:00,2022-02-09 21:45:00,0.34,1.5
60,2022-02-09 22:15:00,2022-02-09 22:45:00,0.54,2.34
61,2022-02-09 23:30:00,2022-02-09 23:45:00,0.44,1.61
62,2022-02-10 00:15:00,2022-02-10 00:45:00,0.44,1.9
63,2022-02-10 01:30:00,2022-02-10 01:45:00,0.39,1.68
64,2022-02-10 02:30:00,2022-02-10 03:00:00,0.69,2.85
65,2022-02-10 04:00:00,2022-02-10 04:15:00,0.49,1.5
66,2022-02-10 05:00:00,2022-02-10 05:30:00,0.34,1.51
67,2022-02-10 06:15:00,2022-02-10 06:30:00,0.39,1.65
68,2022-02-10 07:15:00,2022-02-10 07:30:00,0.36,1.56
69,2022-02-10 08:00:00,2022-02-10 08:30:00,0.34,1.51
70,2022-02-10 09:30:00,2022-02-10 09:45:00,0.29,1.3
71,2022-02-10 10:45:00,2022-02-10 10:45:00,0.12,0.48
72,2022-02-10 12:00:00,2022-02-10 12:15:00,0.38,1.24
73,2022-02-10 15:00:00,2022-02-10 15:30:00,0.57,2.81
74,2022-02-10 17:15:00,2022-02-10 17:30:00,0.5,1.94
75,2022-02-10 19:15:00,2022-02-10 19:45:00,0.46,2.06
76,2022-02-10 20:15:00,2022-02-10 20:30:00,0.4,1.37
77,2022-02-10 21:30:00,2022-02-10 21:45:00,0.34,1.27
78,2022-02-10 23:00:00,2022-02-10 23:15:00,0.41,1.35
79,2022-02-11 00:15:00,2022-02-11 00:30:00,0.37,1.58
80,2022-02-11 01:45:00,2022-02-11 02:00:00,0.27,1.23
