cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-20 23:00:00,2021-01-21 11:00:00,12.09,25.15
1,2021-01-21 19:45:00,2021-01-22 09:15:00,13.61,27.74
2,2021-01-22 21:00:00,2021-01-23 13:45:00,16.81,34.32
3,2021-01-23 18:00:00,2021-01-24 11:45:00,17.72,36.55
4,2021-01-24 17:30:00,2021-01-24 20:00:00,2.64,5.23
5,2021-01-24 20:30:00,2021-01-31 13:15:00,160.87,334.07
6,2021-01-31 21:00:00,2021-02-01 18:00:00,21.14,43.45
7,2021-02-02 01:45:00,2021-02-02 19:15:00,17.57,36.21
8,2021-02-03 03:15:00,2021-02-04 00:15:00,21.18,45.8
9,2021-02-04 04:15:00,2021-02-04 04:45:00,0.71,1.41
10,2021-02-04 05:15:00,2021-02-04 08:00:00,2.78,5.56
11,2021-02-04 10:45:00,2021-02-04 11:30:00,0.82,1.63
12,2021-02-04 15:00:00,2021-02-04 15:45:00,0.83,1.62
13,2021-02-04 19:15:00,2021-02-04 20:00:00,0.99,1.96
14,2021-02-04 23:00:00,2021-02-05 00:30:00,1.42,2.79
15,2021-02-05 04:15:00,2021-02-05 05:30:00,1.19,2.34
16,2021-02-05 07:00:00,2021-02-05 07:30:00,0.52,1.02
17,2021-02-05 10:15:00,2021-02-05 11:45:00,1.61,3.2
18,2021-02-05 13:00:00,2021-02-05 13:30:00,0.68,1.36
19,2021-02-05 15:30:00,2021-02-05 16:00:00,0.72,1.42
20,2021-02-05 17:45:00,2021-02-05 18:30:00,0.84,1.66
21,2021-02-05 19:45:00,2021-02-05 20:15:00,0.6,1.19
22,2021-02-05 21:45:00,2021-02-05 22:45:00,1.08,2.15
23,2021-02-05 23:45:00,2021-02-06 00:30:00,0.83,1.65
24,2021-02-06 02:15:00,2021-02-06 02:45:00,0.64,1.27
25,2021-02-06 04:15:00,2021-02-06 05:00:00,0.75,1.48
26,2021-02-06 06:45:00,2021-02-06 07:45:00,1.14,2.27
27,2021-02-06 08:45:00,2021-02-06 09:15:00,0.5,0.99
28,2021-02-06 10:45:00,2021-02-06 11:15:00,0.74,1.49
29,2021-02-06 12:45:00,2021-02-06 14:00:00,1.28,2.52
30,2021-02-06 15:15:00,2021-02-06 16:00:00,0.83,1.64
31,2021-02-06 17:30:00,2021-02-06 18:30:00,1.14,2.24
32,2021-02-06 20:00:00,2021-02-06 20:15:00,0.48,0.95
33,2021-02-06 21:15:00,2021-02-06 21:45:00,0.49,0.95
34,2021-02-06 22:45:00,2021-02-06 23:00:00,0.47,0.92
35,2021-02-07 00:00:00,2021-02-07 00:45:00,0.83,1.64
36,2021-02-07 02:15:00,2021-02-07 03:15:00,1.04,2.04
37,2021-02-07 04:30:00,2021-02-07 04:45:00,0.41,0.82
38,2021-02-07 06:15:00,2021-02-07 07:00:00,0.75,1.49
39,2021-02-07 08:45:00,2021-02-07 09:30:00,0.95,1.89
40,2021-02-07 11:00:00,2021-02-07 11:45:00,0.84,1.68
41,2021-02-07 13:00:00,2021-02-07 13:45:00,0.68,1.34
42,2021-02-07 15:15:00,2021-02-07 16:15:00,1.14,2.25
43,2021-02-07 17:30:00,2021-02-07 18:00:00,0.55,1.1
44,2021-02-07 19:00:00,2021-02-07 20:00:00,0.98,1.91
45,2021-02-07 21:00:00,2021-02-07 22:15:00,1.36,2.67
46,2021-02-07 23:15:00,2021-02-07 23:45:00,0.49,0.97
47,2021-02-08 00:15:00,2021-02-08 00:30:00,0.38,0.75
48,2021-02-08 02:00:00,2021-02-08 02:45:00,0.72,1.4
49,2021-02-08 04:30:00,2021-02-08 05:15:00,0.89,1.76
50,2021-02-08 06:45:00,2021-02-08 07:15:00,0.55,1.08
51,2021-02-08 08:00:00,2021-02-08 08:15:00,0.48,0.85
52,2021-02-08 09:00:00,2021-02-08 09:15:00,0.47,0.81
53,2021-02-08 11:00:00,2021-02-08 12:15:00,1.44,2.86
54,2021-02-08 13:00:00,2021-02-08 13:45:00,0.8,1.59
55,2021-02-08 15:30:00,2021-02-08 16:45:00,1.31,2.57
56,2021-02-08 17:30:00,2021-02-08 17:45:00,0.46,0.91
57,2021-02-08 19:30:00,2021-02-08 20:15:00,1.0,1.99
58,2021-02-08 21:45:00,2021-02-08 23:00:00,1.34,2.62
59,2021-02-09 00:00:00,2021-02-09 00:30:00,0.5,0.99
60,2021-02-09 02:00:00,2021-02-09 02:30:00,0.74,1.47
61,2021-02-09 04:30:00,2021-02-09 05:00:00,0.75,1.48
62,2021-02-09 06:30:00,2021-02-09 07:15:00,0.71,1.39
63,2021-02-09 08:00:00,2021-02-09 08:30:00,0.41,0.82
64,2021-02-09 09:00:00,2021-02-09 09:15:00,0.38,0.75
65,2021-02-09 10:45:00,2021-02-09 11:30:00,0.74,1.47
66,2021-02-09 13:15:00,2021-02-09 14:00:00,0.87,1.73
67,2021-02-09 15:30:00,2021-02-13 00:30:00,81.09,176.61
68,2021-02-13 02:15:00,2021-02-13 02:45:00,0.6,1.18
69,2021-02-13 04:15:00,2021-02-13 04:45:00,0.73,1.43
70,2021-02-13 06:45:00,2021-02-13 07:15:00,0.66,1.3
