cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-04-16 01:15:00,2022-04-16 01:30:00,0.41,0.51
1,2022-04-16 02:45:00,2022-04-16 03:00:00,0.3,0.5
2,2022-04-16 04:00:00,2022-04-16 04:00:00,0.12,0.47
3,2022-04-16 05:15:00,2022-04-16 05:30:00,0.29,0.5
4,2022-04-16 06:15:00,2022-04-16 06:30:00,0.46,0.6
5,2022-04-16 07:15:00,2022-04-16 07:30:00,0.44,0.69
6,2022-04-16 08:15:00,2022-04-16 08:30:00,0.37,0.64
7,2022-04-16 09:15:00,2022-04-16 09:30:00,0.29,0.56
8,2022-04-16 10:15:00,2022-04-16 10:30:00,0.3,0.57
9,2022-04-16 11:45:00,2022-04-16 12:00:00,0.46,0.51
10,2022-04-16 13:00:00,2022-04-16 13:15:00,0.34,0.47
11,2022-04-16 18:45:00,2022-04-16 18:45:00,0.12,0.45
12,2022-04-16 19:45:00,2022-04-16 20:00:00,0.45,0.52
13,2022-04-16 20:45:00,2022-04-16 21:00:00,0.41,0.58
14,2022-04-16 21:45:00,2022-04-16 22:00:00,0.38,0.64
15,2022-04-16 22:45:00,2022-04-16 23:00:00,0.32,0.61
16,2022-04-16 23:30:00,2022-04-17 00:00:00,0.4,0.77
17,2022-04-17 00:30:00,2022-04-17 00:45:00,0.4,0.72
18,2022-04-17 01:30:00,2022-04-17 01:45:00,0.42,0.73
19,2022-04-17 02:15:00,2022-04-17 02:30:00,0.41,0.74
20,2022-04-17 03:00:00,2022-04-17 03:30:00,0.42,0.81
21,2022-04-17 04:00:00,2022-04-17 04:30:00,0.49,0.98
22,2022-04-17 05:00:00,2022-04-17 05:30:00,0.46,0.92
23,2022-04-17 06:00:00,2022-04-17 06:15:00,0.46,0.86
24,2022-04-17 06:45:00,2022-04-17 07:15:00,0.42,0.83
25,2022-04-17 07:45:00,2022-04-17 08:00:00,0.42,0.81
26,2022-04-17 08:30:00,2022-04-17 09:00:00,0.41,0.8
27,2022-04-17 09:30:00,2022-04-17 09:45:00,0.42,0.63
28,2022-04-17 10:30:00,2022-04-17 10:45:00,0.49,0.62
29,2022-04-17 11:45:00,2022-04-17 12:00:00,0.39,0.51
30,2022-04-17 13:30:00,2022-04-17 13:30:00,0.12,0.32
31,2022-04-17 19:30:00,2022-04-17 19:45:00,0.33,0.48
32,2022-04-17 20:45:00,2022-04-17 21:00:00,0.32,0.56
33,2022-04-17 21:45:00,2022-04-17 22:15:00,0.32,0.61
34,2022-04-17 23:00:00,2022-04-17 23:15:00,0.47,0.68
35,2022-04-18 00:00:00,2022-04-18 00:15:00,0.38,0.72
36,2022-04-18 00:45:00,2022-04-18 01:15:00,0.4,0.78
37,2022-04-18 01:45:00,2022-04-18 02:15:00,0.44,0.87
38,2022-04-18 02:45:00,2022-04-18 03:00:00,0.44,0.79
39,2022-04-18 03:30:00,2022-04-18 04:00:00,0.4,0.79
40,2022-04-18 04:30:00,2022-04-18 04:45:00,0.33,0.66
41,2022-04-18 05:30:00,2022-04-18 05:45:00,0.45,0.88
42,2022-04-18 06:15:00,2022-04-18 06:45:00,0.46,0.92
43,2022-04-18 07:15:00,2022-04-18 07:45:00,0.46,0.92
44,2022-04-18 08:15:00,2022-04-18 08:30:00,0.45,0.84
45,2022-04-18 09:15:00,2022-04-18 09:30:00,0.47,0.71
46,2022-04-18 10:00:00,2022-04-18 10:30:00,0.33,0.66
47,2022-04-18 12:15:00,2022-04-18 12:30:00,0.29,0.44
48,2022-04-18 20:45:00,2022-04-18 21:00:00,0.29,0.49
49,2022-04-18 22:00:00,2022-04-18 22:15:00,0.35,0.47
50,2022-04-18 23:00:00,2022-04-18 23:15:00,0.35,0.58
51,2022-04-19 00:00:00,2022-04-19 00:15:00,0.34,0.56
52,2022-04-19 01:15:00,2022-04-19 01:30:00,0.39,0.62
53,2022-04-19 02:15:00,2022-04-19 02:30:00,0.33,0.57
54,2022-04-19 03:00:00,2022-04-19 03:15:00,0.48,0.69
55,2022-04-19 03:45:00,2022-04-19 04:15:00,0.42,0.81
56,2022-04-19 04:45:00,2022-04-19 05:00:00,0.37,0.75
57,2022-04-19 05:30:00,2022-04-19 06:00:00,0.46,0.92
58,2022-04-19 06:30:00,2022-04-19 07:00:00,0.44,0.88
59,2022-04-19 07:30:00,2022-04-19 07:45:00,0.45,0.88
60,2022-04-19 08:15:00,2022-04-19 08:45:00,0.46,0.9
61,2022-04-19 09:15:00,2022-04-19 09:30:00,0.29,0.51
62,2022-04-19 10:30:00,2022-04-19 10:45:00,0.39,0.5
63,2022-04-19 22:00:00,2022-04-19 22:00:00,0.12,0.45
64,2022-04-19 23:00:00,2022-04-19 23:15:00,0.32,0.54
65,2022-04-20 00:15:00,2022-04-20 00:30:00,0.39,0.55
66,2022-04-20 01:30:00,2022-04-20 01:45:00,0.35,0.61
67,2022-04-20 02:30:00,2022-04-20 02:45:00,0.34,0.62
68,2022-04-20 03:30:00,2022-04-20 03:45:00,0.42,0.58
69,2022-04-20 04:30:00,2022-04-20 04:45:00,0.47,0.65
70,2022-04-20 05:15:00,2022-04-20 05:45:00,0.43,0.83
71,2022-04-20 06:15:00,2022-04-20 06:45:00,0.45,0.89
72,2022-04-20 07:15:00,2022-04-20 07:30:00,0.46,0.82
73,2022-04-20 08:00:00,2022-04-20 08:30:00,0.41,0.81
74,2022-04-20 09:00:00,2022-04-20 09:30:00,0.44,0.87
75,2022-04-20 10:30:00,2022-04-20 10:45:00,0.3,0.49
76,2022-04-20 12:30:00,2022-04-20 12:45:00,0.34,0.55
77,2022-04-20 20:45:00,2022-04-20 21:00:00,0.35,0.51
78,2022-04-20 21:45:00,2022-04-20 22:00:00,0.38,0.57
79,2022-04-20 22:45:00,2022-04-20 23:00:00,0.32,0.6
80,2022-04-20 23:45:00,2022-04-21 00:00:00,0.32,0.61
81,2022-04-21 00:45:00,2022-04-21 01:00:00,0.43,0.68
82,2022-04-21 01:45:00,2022-04-21 02:00:00,0.38,0.71
83,2022-04-21 02:30:00,2022-04-21 03:00:00,0.4,0.76
84,2022-04-21 03:30:00,2022-04-21 03:45:00,0.4,0.69
85,2022-04-21 04:30:00,2022-04-21 04:45:00,0.43,0.69
86,2022-04-21 05:15:00,2022-04-21 05:45:00,0.43,0.84
87,2022-04-21 06:15:00,2022-04-21 06:30:00,0.45,0.79
88,2022-04-21 07:15:00,2022-04-21 07:30:00,0.36,0.7
89,2022-04-21 08:00:00,2022-04-21 08:30:00,0.41,0.81
90,2022-04-21 09:00:00,2022-04-21 09:15:00,0.42,0.79
91,2022-04-21 10:00:00,2022-04-21 10:15:00,0.38,0.66
92,2022-04-21 12:15:00,2022-04-21 12:30:00,0.33,0.49
93,2022-04-21 21:30:00,2022-04-21 21:45:00,0.31,0.49
94,2022-04-21 22:45:00,2022-04-21 23:00:00,0.35,0.52
95,2022-04-22 00:00:00,2022-04-22 00:15:00,0.37,0.58
96,2022-04-22 01:00:00,2022-04-22 01:15:00,0.41,0.56
97,2022-04-22 02:00:00,2022-04-22 02:15:00,0.44,0.6
98,2022-04-22 03:00:00,2022-04-22 03:15:00,0.35,0.65
99,2022-04-22 03:45:00,2022-04-22 04:15:00,0.38,0.74
100,2022-04-22 04:45:00,2022-04-22 05:15:00,0.37,0.71
101,2022-04-22 05:45:00,2022-04-22 06:00:00,0.33,0.65
102,2022-04-22 06:45:00,2022-04-22 07:00:00,0.45,0.74
103,2022-04-22 07:30:00,2022-04-22 07:45:00,0.33,0.67
104,2022-04-22 08:30:00,2022-04-22 08:45:00,0.41,0.74
105,2022-04-22 09:15:00,2022-04-22 09:45:00,0.33,0.66
106,2022-04-22 10:30:00,2022-04-22 10:45:00,0.3,0.57
107,2022-04-22 12:30:00,2022-04-22 12:45:00,0.34,0.49
108,2022-04-22 21:15:00,2022-04-22 21:30:00,0.35,0.46
109,2022-04-22 22:30:00,2022-04-22 22:45:00,0.4,0.49
110,2022-04-22 23:45:00,2022-04-23 00:00:00,0.45,0.5
111,2022-04-23 01:00:00,2022-04-23 01:15:00,0.33,0.53
112,2022-04-23 02:15:00,2022-04-23 02:30:00,0.32,0.53
113,2022-04-23 03:15:00,2022-04-23 03:30:00,0.41,0.51
114,2022-04-23 04:30:00,2022-04-23 04:45:00,0.39,0.54
115,2022-04-23 05:30:00,2022-04-23 05:45:00,0.42,0.63
116,2022-04-23 06:45:00,2022-04-23 07:00:00,0.34,0.57
117,2022-04-23 07:45:00,2022-04-23 08:00:00,0.4,0.6
118,2022-04-23 09:00:00,2022-04-23 09:15:00,0.31,0.59
119,2022-04-23 10:00:00,2022-04-23 10:15:00,0.3,0.57
120,2022-04-23 11:00:00,2022-04-23 11:15:00,0.42,0.6
121,2022-04-23 12:15:00,2022-04-23 12:30:00,0.35,0.48
122,2022-04-23 13:45:00,2022-04-23 14:00:00,0.48,0.44
123,2022-04-23 19:00:00,2022-04-23 19:15:00,0.33,0.46
124,2022-04-23 20:30:00,2022-04-23 20:45:00,0.35,0.49
125,2022-04-23 21:30:00,2022-04-23 21:45:00,0.4,0.52
126,2022-04-23 22:45:00,2022-04-23 23:00:00,0.41,0.49
127,2022-04-24 00:15:00,2022-04-24 00:30:00,0.32,0.5
128,2022-04-24 01:15:00,2022-04-24 01:30:00,0.39,0.51
129,2022-04-24 02:15:00,2022-04-24 02:30:00,0.39,0.54
130,2022-04-24 03:15:00,2022-04-24 03:30:00,0.44,0.64
131,2022-04-24 04:00:00,2022-04-24 04:15:00,0.39,0.68
132,2022-04-24 05:00:00,2022-04-24 05:15:00,0.38,0.73
133,2022-04-24 06:00:00,2022-04-24 06:15:00,0.35,0.65
134,2022-04-24 06:45:00,2022-04-24 07:00:00,0.32,0.65
135,2022-04-24 07:45:00,2022-04-24 08:00:00,0.36,0.66
136,2022-04-24 08:45:00,2022-04-24 09:00:00,0.38,0.71
137,2022-04-24 09:45:00,2022-04-24 10:00:00,0.36,0.65
138,2022-04-24 10:45:00,2022-04-24 11:00:00,0.34,0.59
139,2022-04-24 11:45:00,2022-04-24 12:00:00,0.35,0.61
140,2022-04-24 13:00:00,2022-04-24 13:15:00,0.39,0.59
141,2022-04-24 14:00:00,2022-04-24 14:15:00,0.5,0.56
142,2022-04-24 15:15:00,2022-04-24 15:30:00,0.34,0.55
143,2022-04-24 16:15:00,2022-04-24 16:30:00,0.32,0.57
144,2022-04-24 17:30:00,2022-04-24 17:45:00,0.42,0.57
145,2022-04-24 18:30:00,2022-04-24 18:45:00,0.48,0.58
146,2022-04-24 19:30:00,2022-04-24 19:45:00,0.35,0.61
147,2022-04-24 20:30:00,2022-04-24 21:00:00,0.34,0.66
148,2022-04-24 21:45:00,2022-04-24 22:00:00,0.47,0.64
149,2022-04-24 23:00:00,2022-04-24 23:00:00,0.12,0.5
150,2022-04-25 00:00:00,2022-04-25 00:15:00,0.34,0.53
151,2022-04-25 01:00:00,2022-04-25 01:15:00,0.38,0.59
152,2022-04-25 02:00:00,2022-04-25 02:15:00,0.44,0.62
