cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 22:15:00,2021-01-22 22:45:00,0.54,1.56
1,2021-01-23 00:45:00,2021-01-23 02:15:00,1.39,5.25
2,2021-01-23 03:15:00,2021-01-23 04:30:00,1.42,5.06
3,2021-01-23 05:30:00,2021-01-23 06:30:00,1.02,3.81
4,2021-01-23 07:45:00,2021-01-23 08:45:00,0.98,3.92
5,2021-01-23 10:15:00,2021-01-23 11:30:00,1.19,3.92
6,2021-01-23 13:15:00,2021-01-23 14:00:00,0.82,3.14
7,2021-01-23 15:15:00,2021-01-23 16:30:00,1.21,4.2
8,2021-01-23 17:45:00,2021-01-23 18:30:00,0.78,3.23
9,2021-01-23 19:45:00,2021-01-23 20:45:00,0.99,3.83
10,2021-01-23 22:00:00,2021-01-23 23:00:00,1.03,3.58
11,2021-01-24 00:15:00,2021-01-24 01:15:00,0.89,3.14
12,2021-01-24 02:30:00,2021-01-24 03:30:00,1.08,3.79
13,2021-01-24 04:45:00,2021-01-24 05:30:00,0.85,3.34
14,2021-01-24 06:45:00,2021-01-24 07:30:00,0.73,1.74
15,2021-01-24 09:00:00,2021-01-24 10:15:00,1.37,4.84
16,2021-01-24 11:30:00,2021-01-24 12:15:00,0.85,3.32
17,2021-01-24 13:30:00,2021-01-24 14:15:00,0.88,3.42
18,2021-01-24 15:30:00,2021-01-24 17:45:00,2.38,9.36
19,2021-01-24 19:00:00,2021-01-24 20:00:00,1.13,4.52
20,2021-01-24 21:15:00,2021-01-24 22:30:00,1.17,4.62
21,2021-01-24 23:45:00,2021-01-25 00:45:00,1.07,4.24
22,2021-01-25 02:00:00,2021-01-25 03:15:00,1.16,4.0
23,2021-01-25 04:30:00,2021-01-25 05:30:00,0.9,3.47
24,2021-01-25 06:45:00,2021-01-25 07:45:00,0.99,3.84
25,2021-01-25 09:15:00,2021-01-25 10:30:00,1.25,4.33
26,2021-01-25 12:15:00,2021-01-25 13:15:00,0.89,3.1
27,2021-01-25 14:45:00,2021-01-25 15:15:00,0.63,1.78
28,2021-01-25 17:00:00,2021-01-25 18:30:00,1.57,6.44
29,2021-01-25 19:30:00,2021-01-25 20:45:00,1.33,4.73
30,2021-01-25 22:00:00,2021-01-25 23:00:00,1.06,4.22
31,2021-01-26 00:15:00,2021-01-26 01:15:00,1.1,4.54
32,2021-01-26 02:30:00,2021-01-26 03:30:00,1.02,3.98
33,2021-01-26 04:45:00,2021-01-26 05:45:00,1.03,4.16
34,2021-01-26 06:45:00,2021-01-26 08:45:00,1.93,6.87
35,2021-01-26 10:15:00,2021-01-26 11:00:00,0.78,3.1
36,2021-01-26 12:45:00,2021-01-26 13:30:00,0.86,3.4
37,2021-01-26 15:00:00,2021-01-26 16:15:00,1.26,5.27
38,2021-01-26 17:15:00,2021-01-26 18:45:00,1.51,5.98
39,2021-01-26 19:45:00,2021-01-26 21:15:00,1.54,5.6
40,2021-01-26 22:15:00,2021-01-26 23:15:00,1.04,2.71
41,2021-01-27 00:30:00,2021-01-27 04:15:00,3.88,15.49
42,2021-01-27 05:30:00,2021-01-27 06:45:00,1.18,4.61
43,2021-01-27 08:00:00,2021-01-27 08:45:00,0.89,3.55
44,2021-01-27 10:15:00,2021-01-27 11:15:00,1.03,3.9
45,2021-01-27 12:45:00,2021-01-27 14:30:00,1.74,6.41
46,2021-01-27 16:00:00,2021-01-27 16:45:00,0.79,3.06
47,2021-01-27 18:15:00,2021-01-27 19:30:00,1.35,4.77
48,2021-01-27 21:15:00,2021-01-27 22:00:00,0.74,3.01
49,2021-01-27 23:30:00,2021-01-28 00:30:00,0.92,3.39
50,2021-01-28 01:45:00,2021-01-28 02:30:00,0.84,3.06
51,2021-01-28 04:00:00,2021-01-28 05:00:00,1.02,3.37
52,2021-01-28 06:30:00,2021-01-28 07:00:00,0.57,1.62
53,2021-01-28 09:00:00,2021-01-28 10:00:00,1.09,3.6
