cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 03:30:00,3.72,11.71
1,2021-01-01 04:00:00,2021-01-01 04:45:00,0.95,3.96
2,2021-01-01 05:15:00,2021-01-01 08:45:00,3.6,12.56
3,2021-01-01 09:15:00,2021-01-01 09:45:00,0.75,3.18
4,2021-01-01 11:00:00,2021-01-01 13:30:00,2.62,9.78
5,2021-01-01 14:00:00,2021-01-01 14:45:00,0.99,4.17
6,2021-01-01 15:15:00,2021-01-01 15:45:00,0.65,2.88
7,2021-01-01 17:15:00,2021-01-01 20:00:00,2.94,11.14
8,2021-01-01 20:30:00,2021-01-01 21:30:00,1.14,4.73
9,2021-01-01 22:00:00,2021-01-01 22:45:00,0.96,4.09
10,2021-01-01 23:15:00,2021-01-02 00:00:00,0.98,4.07
11,2021-01-02 00:30:00,2021-01-02 02:45:00,2.35,8.79
12,2021-01-02 03:15:00,2021-01-02 13:30:00,10.47,35.82
13,2021-01-02 14:00:00,2021-01-02 14:30:00,0.63,2.88
14,2021-01-02 15:00:00,2021-01-02 17:15:00,2.37,8.98
15,2021-01-02 17:45:00,2021-01-02 18:15:00,0.66,3.0
16,2021-01-02 18:45:00,2021-01-02 22:15:00,3.67,13.47
17,2021-01-02 22:45:00,2021-01-03 02:00:00,3.42,12.09
18,2021-01-03 02:30:00,2021-01-03 07:15:00,4.86,16.95
19,2021-01-03 07:45:00,2021-01-03 08:45:00,1.16,5.07
20,2021-01-03 09:15:00,2021-01-03 13:30:00,4.41,15.33
21,2021-01-03 14:00:00,2021-01-03 14:45:00,1.0,4.2
22,2021-01-03 15:15:00,2021-01-03 15:45:00,0.65,2.96
23,2021-01-03 16:15:00,2021-01-03 18:00:00,1.9,6.76
24,2021-01-03 18:30:00,2021-01-03 20:15:00,1.96,7.12
25,2021-01-03 20:45:00,2021-01-04 00:30:00,3.95,13.98
26,2021-01-04 01:00:00,2021-01-04 03:15:00,2.42,9.06
27,2021-01-04 03:45:00,2021-01-04 05:00:00,1.4,6.1
28,2021-01-04 05:30:00,2021-01-04 06:00:00,0.63,2.91
29,2021-01-04 06:30:00,2021-01-04 09:45:00,3.5,12.31
30,2021-01-04 11:00:00,2021-01-04 13:45:00,2.95,11.61
31,2021-01-04 14:15:00,2021-01-04 15:45:00,1.54,6.87
32,2021-01-04 17:15:00,2021-01-04 19:15:00,2.17,9.48
33,2021-01-04 19:45:00,2021-01-04 22:30:00,2.93,11.86
34,2021-01-04 23:00:00,2021-01-05 00:15:00,1.35,5.91
35,2021-01-05 00:45:00,2021-01-05 03:15:00,2.73,10.93
36,2021-01-05 03:45:00,2021-01-05 05:00:00,1.4,5.89
37,2021-01-05 05:30:00,2021-01-05 07:00:00,1.64,7.31
38,2021-01-05 07:30:00,2021-01-05 08:15:00,0.89,4.15
39,2021-01-05 08:45:00,2021-01-05 09:45:00,1.18,5.33
40,2021-01-05 11:00:00,2021-01-05 14:30:00,3.6,14.31
41,2021-01-05 15:00:00,2021-01-05 15:45:00,0.8,3.73
42,2021-01-05 17:15:00,2021-01-05 19:45:00,2.67,11.63
43,2021-01-05 20:15:00,2021-01-05 23:45:00,3.6,13.21
44,2021-01-06 00:15:00,2021-01-06 01:15:00,1.24,5.34
45,2021-01-06 01:45:00,2021-01-06 04:00:00,2.4,9.12
46,2021-01-06 04:30:00,2021-01-06 06:45:00,2.43,9.28
47,2021-01-06 07:15:00,2021-01-06 08:45:00,1.68,7.38
48,2021-01-06 09:15:00,2021-01-06 09:45:00,0.66,3.05
49,2021-01-06 11:00:00,2021-01-06 16:00:00,4.98,18.73
50,2021-01-06 17:15:00,2021-01-06 19:00:00,1.9,8.09
51,2021-01-06 19:30:00,2021-01-06 22:15:00,2.92,11.54
52,2021-01-06 22:45:00,2021-01-07 01:30:00,2.93,11.48
53,2021-01-07 02:00:00,2021-01-07 05:45:00,3.83,14.05
54,2021-01-07 06:15:00,2021-01-07 06:45:00,0.7,3.23
55,2021-01-07 07:15:00,2021-01-07 08:15:00,1.14,4.96
56,2021-01-07 08:45:00,2021-01-07 09:45:00,1.24,5.19
57,2021-01-07 11:00:00,2021-01-07 12:15:00,1.42,5.86
58,2021-01-07 12:45:00,2021-01-07 15:45:00,3.22,11.08
59,2021-01-07 17:15:00,2021-01-07 22:15:00,5.16,18.97
60,2021-01-07 22:45:00,2021-01-08 00:45:00,2.2,8.15
61,2021-01-08 01:15:00,2021-01-08 03:15:00,2.19,8.2
62,2021-01-08 03:45:00,2021-01-08 04:30:00,0.81,3.71
63,2021-01-08 05:00:00,2021-01-08 06:00:00,1.16,5.18
64,2021-01-08 06:30:00,2021-01-08 08:15:00,1.9,8.41
65,2021-01-08 08:45:00,2021-01-08 09:45:00,1.21,5.28
66,2021-01-08 11:00:00,2021-01-08 12:00:00,1.13,5.05
67,2021-01-08 12:30:00,2021-01-08 15:45:00,3.43,12.23
68,2021-01-08 17:15:00,2021-01-08 22:45:00,5.72,23.08
69,2021-01-08 23:15:00,2021-01-09 15:45:00,16.65,66.72
70,2021-01-09 16:15:00,2021-01-10 01:00:00,8.99,36.3
71,2021-01-10 01:30:00,2021-01-10 04:45:00,3.41,15.2
72,2021-01-10 05:15:00,2021-01-10 10:15:00,5.19,23.63
73,2021-01-10 10:45:00,2021-01-10 15:15:00,4.59,19.58
74,2021-01-10 15:45:00,2021-01-10 22:45:00,7.21,31.32
75,2021-01-10 23:15:00,2021-01-11 02:30:00,3.39,15.26
76,2021-01-11 03:00:00,2021-01-11 05:00:00,2.11,9.51
77,2021-01-11 05:30:00,2021-01-11 09:00:00,3.73,16.63
78,2021-01-11 09:30:00,2021-01-11 09:45:00,0.46,1.74
79,2021-01-11 11:00:00,2021-01-11 13:15:00,2.42,10.63
80,2021-01-11 13:45:00,2021-01-11 15:30:00,1.94,8.79
81,2021-01-11 17:15:00,2021-01-12 01:15:00,8.21,34.77
82,2021-01-12 01:45:00,2021-01-12 08:30:00,6.97,29.49
83,2021-01-12 09:00:00,2021-01-12 10:00:00,0.97,4.49
84,2021-01-12 11:00:00,2021-01-12 15:45:00,4.84,20.34
85,2021-01-12 17:15:00,2021-01-12 19:45:00,2.75,11.91
86,2021-01-12 20:15:00,2021-01-12 22:15:00,2.15,9.34
87,2021-01-12 22:45:00,2021-01-13 01:30:00,2.92,11.71
88,2021-01-13 02:00:00,2021-01-13 03:00:00,1.19,5.32
89,2021-01-13 03:30:00,2021-01-13 08:00:00,4.62,17.63
90,2021-01-13 08:30:00,2021-01-13 09:30:00,1.22,5.26
91,2021-01-13 11:00:00,2021-01-13 12:15:00,1.42,6.25
92,2021-01-13 12:45:00,2021-01-13 14:30:00,1.91,7.1
93,2021-01-13 15:00:00,2021-01-13 15:45:00,0.92,4.1
94,2021-01-13 17:15:00,2021-01-13 22:00:00,4.88,18.7
95,2021-01-13 22:30:00,2021-01-13 22:45:00,0.47,2.11
96,2021-01-17 23:00:00,2021-01-18 00:00:00,1.22,5.39
97,2021-01-18 00:30:00,2021-01-18 03:15:00,2.93,11.53
98,2021-01-18 03:45:00,2021-01-18 06:30:00,2.88,11.24
99,2021-01-18 07:00:00,2021-01-18 09:45:00,2.87,11.28
100,2021-01-18 11:00:00,2021-01-18 12:15:00,1.36,5.88
101,2021-01-18 12:45:00,2021-01-18 13:00:00,0.49,2.31
102,2021-01-18 13:30:00,2021-01-18 14:15:00,0.85,3.58
103,2021-01-18 14:45:00,2021-01-18 15:45:00,1.23,3.92
104,2021-01-18 17:15:00,2021-01-18 19:00:00,1.96,8.43
105,2021-01-18 19:30:00,2021-01-18 20:00:00,0.64,2.9
106,2021-01-18 20:30:00,2021-01-18 21:30:00,1.1,4.94
107,2021-01-18 22:00:00,2021-01-19 00:15:00,2.4,9.21
108,2021-01-19 00:45:00,2021-01-19 04:00:00,3.49,13.63
109,2021-01-19 04:30:00,2021-01-19 06:15:00,1.84,8.07
110,2021-01-19 06:45:00,2021-01-19 08:30:00,2.0,8.85
111,2021-01-19 09:00:00,2021-01-19 09:45:00,0.86,3.91
112,2021-01-19 11:00:00,2021-01-19 12:15:00,1.39,6.17
113,2021-01-19 12:45:00,2021-01-19 15:45:00,3.05,10.64
114,2021-01-19 17:15:00,2021-01-19 18:30:00,1.42,6.18
115,2021-01-19 19:00:00,2021-01-19 21:45:00,2.91,10.12
116,2021-01-19 22:15:00,2021-01-19 23:00:00,0.87,3.82
117,2021-01-19 23:30:00,2021-01-19 23:45:00,0.49,2.23
118,2021-01-20 00:15:00,2021-01-20 03:45:00,3.67,12.09
119,2021-01-20 04:15:00,2021-01-20 06:45:00,2.66,9.01
120,2021-01-20 07:15:00,2021-01-20 08:45:00,1.6,5.78
121,2021-01-20 09:15:00,2021-01-20 09:30:00,0.5,2.04
122,2021-01-20 11:00:00,2021-01-20 11:45:00,0.95,4.15
123,2021-01-20 12:15:00,2021-01-20 12:30:00,0.44,1.72
124,2021-01-20 13:00:00,2021-01-20 14:30:00,1.75,4.84
125,2021-01-20 15:00:00,2021-01-20 15:15:00,0.44,1.68
126,2021-01-20 15:45:00,2021-01-20 15:45:00,0.12,0.94
127,2021-01-20 17:15:00,2021-01-20 18:00:00,0.93,3.95
128,2021-01-20 18:30:00,2021-01-20 18:45:00,0.46,1.86
129,2021-01-20 19:15:00,2021-01-20 19:30:00,0.44,1.81
130,2021-01-20 20:00:00,2021-01-20 21:15:00,1.42,4.84
131,2021-01-20 21:45:00,2021-01-21 01:00:00,3.45,9.55
132,2021-01-21 01:30:00,2021-01-21 03:00:00,1.75,4.87
133,2021-01-21 03:30:00,2021-01-21 03:45:00,0.47,1.64
134,2021-01-21 04:15:00,2021-01-21 06:00:00,2.0,5.94
135,2021-01-21 06:30:00,2021-01-21 06:45:00,0.44,1.72
136,2021-01-21 07:15:00,2021-01-21 07:30:00,0.49,1.7
137,2021-01-21 08:00:00,2021-01-21 08:30:00,0.72,2.97
138,2021-01-21 09:00:00,2021-01-21 09:45:00,1.0,2.68
139,2021-01-21 11:00:00,2021-01-21 12:00:00,1.2,3.54
140,2021-01-21 12:30:00,2021-01-21 13:15:00,1.0,2.62
141,2021-01-21 13:45:00,2021-01-21 13:45:00,0.12,1.06
142,2021-01-21 14:15:00,2021-01-21 15:00:00,1.0,2.35
143,2021-01-21 15:30:00,2021-01-21 15:45:00,0.33,1.32
144,2021-01-21 17:15:00,2021-01-21 17:45:00,0.64,2.76
145,2021-01-21 18:15:00,2021-01-21 19:00:00,1.0,2.68
146,2021-01-21 19:30:00,2021-01-21 19:45:00,0.48,1.94
147,2021-01-21 20:15:00,2021-01-21 21:00:00,1.0,2.84
148,2021-01-21 21:30:00,2021-01-21 22:15:00,1.0,2.5
149,2021-01-21 22:45:00,2021-01-22 00:45:00,2.25,5.39
150,2021-01-22 01:15:00,2021-01-22 01:30:00,0.48,1.68
151,2021-01-22 02:00:00,2021-01-22 03:00:00,1.19,4.0
152,2021-01-22 03:30:00,2021-01-22 06:00:00,2.65,7.5
153,2021-01-22 06:30:00,2021-01-22 08:45:00,2.5,6.25
154,2021-01-22 09:15:00,2021-01-22 09:45:00,0.75,1.73
155,2021-01-22 11:00:00,2021-01-22 12:00:00,1.2,3.81
156,2021-01-22 12:30:00,2021-01-22 13:15:00,1.0,2.34
157,2021-01-22 13:45:00,2021-01-22 14:30:00,1.0,2.59
158,2021-01-22 15:00:00,2021-01-22 15:45:00,1.0,2.91
159,2021-01-22 17:15:00,2021-01-22 18:00:00,1.0,3.92
160,2021-01-22 18:30:00,2021-01-22 20:00:00,1.75,4.3
161,2021-01-22 20:30:00,2021-01-22 21:45:00,1.49,4.85
162,2021-01-22 22:15:00,2021-01-22 22:30:00,0.47,1.54
163,2021-01-22 23:00:00,2021-01-22 23:45:00,0.99,4.21
164,2021-01-23 00:15:00,2021-01-23 03:15:00,3.13,10.85
165,2021-01-23 03:45:00,2021-01-23 06:15:00,2.62,8.7
166,2021-01-23 06:45:00,2021-01-23 07:30:00,0.94,4.17
167,2021-01-23 08:00:00,2021-01-23 11:30:00,3.59,11.31
168,2021-01-23 12:00:00,2021-01-23 12:15:00,0.4,1.78
169,2021-01-23 12:45:00,2021-01-23 13:15:00,0.68,2.76
170,2021-01-23 13:45:00,2021-01-23 14:00:00,0.43,1.91
171,2021-01-23 14:30:00,2021-01-23 15:15:00,0.99,4.22
172,2021-01-23 15:45:00,2021-01-23 19:30:00,3.86,12.57
173,2021-01-23 20:00:00,2021-01-23 20:15:00,0.48,2.13
174,2021-01-23 20:45:00,2021-01-23 21:30:00,0.87,3.82
175,2021-01-23 22:00:00,2021-01-23 23:30:00,1.69,6.11
176,2021-01-24 00:00:00,2021-01-24 06:00:00,6.1,21.5
177,2021-01-24 06:30:00,2021-01-24 09:15:00,2.96,11.83
178,2021-01-24 09:45:00,2021-01-24 12:30:00,2.92,10.3
179,2021-01-24 13:00:00,2021-01-24 17:00:00,4.15,14.02
180,2021-01-24 17:30:00,2021-01-24 18:00:00,0.63,2.89
181,2021-01-24 18:30:00,2021-01-24 21:30:00,3.19,11.5
182,2021-01-24 22:00:00,2021-01-24 22:45:00,0.9,3.88
183,2021-01-24 23:15:00,2021-01-25 02:00:00,2.96,10.41
184,2021-01-25 02:30:00,2021-01-25 08:15:00,5.9,21.76
