cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-07-12 03:00:00,2022-07-12 03:30:00,0.75,1.06
1,2022-07-12 04:15:00,2022-07-12 04:30:00,0.34,0.76
2,2022-07-12 05:00:00,2022-07-12 05:30:00,0.36,0.8
3,2022-07-12 06:00:00,2022-07-12 06:15:00,0.35,0.73
4,2022-07-12 08:00:00,2022-07-12 08:30:00,0.54,3.16
5,2022-07-12 21:00:00,2022-07-12 22:00:00,0.91,4.27
6,2022-07-13 06:30:00,2022-07-13 07:00:00,0.6,1.34
7,2022-07-13 12:15:00,2022-07-13 12:45:00,0.67,4.11
8,2022-07-14 08:00:00,2022-07-14 08:30:00,0.54,3.31
9,2022-07-15 01:00:00,2022-07-15 02:00:00,0.96,4.52
10,2022-07-15 21:00:00,2022-07-15 22:00:00,0.86,4.44
11,2022-07-16 05:30:00,2022-07-16 05:45:00,0.4,0.88
12,2022-07-16 06:15:00,2022-07-16 06:30:00,0.45,0.78
13,2022-07-16 21:00:00,2022-07-16 22:00:00,1.05,4.56
14,2022-07-17 09:15:00,2022-07-17 09:45:00,0.39,2.99
15,2022-07-18 01:00:00,2022-07-18 01:45:00,0.81,3.61
16,2022-07-18 21:00:00,2022-07-18 21:30:00,0.36,2.66
17,2022-07-19 21:00:00,2022-07-19 21:30:00,0.42,2.89
18,2022-07-20 21:00:00,2022-07-20 21:30:00,0.4,2.91
19,2022-07-21 21:00:00,2022-07-21 21:30:00,0.41,2.9
20,2022-07-22 21:00:00,2022-07-22 21:30:00,0.4,2.98
21,2022-07-23 21:00:00,2022-07-23 21:45:00,0.71,4.5
22,2022-07-24 21:00:00,2022-07-24 21:45:00,0.81,4.38
23,2022-07-25 21:00:00,2022-07-25 21:30:00,0.38,2.88
24,2022-07-26 21:00:00,2022-07-26 21:30:00,0.41,2.83
25,2022-07-27 21:00:00,2022-07-27 21:30:00,0.41,2.82
26,2022-07-28 21:00:00,2022-07-28 21:30:00,0.4,2.85
27,2022-07-29 21:00:00,2022-07-29 21:30:00,0.42,2.83
28,2022-07-30 21:00:00,2022-07-30 21:30:00,0.41,2.83
29,2022-07-31 21:00:00,2022-07-31 21:30:00,0.4,2.87
30,2022-08-01 21:00:00,2022-08-01 21:30:00,0.39,2.84
31,2022-08-02 21:00:00,2022-08-02 21:30:00,0.39,2.86
32,2022-08-03 21:00:00,2022-08-03 21:30:00,0.39,2.84
33,2022-08-04 21:00:00,2022-08-04 21:30:00,0.38,2.92
34,2022-08-05 21:00:00,2022-08-05 21:30:00,0.37,2.81
35,2022-08-06 21:00:00,2022-08-06 22:00:00,0.9,4.81
36,2022-08-07 12:00:00,2022-08-07 13:00:00,0.96,5.33
37,2022-08-08 08:00:00,2022-08-08 08:30:00,0.54,3.02
38,2022-08-09 01:00:00,2022-08-09 01:45:00,0.69,3.51
39,2022-08-09 21:00:00,2022-08-09 21:30:00,0.36,2.51
40,2022-08-10 21:00:00,2022-08-10 22:00:00,0.93,4.56
41,2022-08-11 19:30:00,2022-08-11 20:30:00,0.87,3.43
42,2022-08-12 02:30:00,2022-08-12 02:45:00,0.39,2.7
43,2022-08-12 19:45:00,2022-08-12 20:30:00,0.96,3.18
