cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-04-12 01:00:00,2022-04-12 01:30:00,0.59,4.18
1,2022-04-12 02:45:00,2022-04-12 03:15:00,0.49,3.49
2,2022-04-12 04:30:00,2022-04-12 05:15:00,0.72,5.04
3,2022-04-12 06:30:00,2022-04-12 07:15:00,0.74,5.27
4,2022-04-12 08:15:00,2022-04-12 08:30:00,0.43,2.38
5,2022-04-12 23:30:00,2022-04-13 00:00:00,0.47,3.12
6,2022-04-13 02:00:00,2022-04-13 02:30:00,0.38,2.6
7,2022-04-13 03:00:00,2022-04-13 03:00:00,0.12,1.42
8,2022-04-13 05:00:00,2022-04-13 05:30:00,0.52,3.52
9,2022-04-13 07:00:00,2022-04-13 07:30:00,0.47,3.18
10,2022-04-13 08:15:00,2022-04-13 08:15:00,0.12,1.31
11,2022-04-14 01:30:00,2022-04-14 02:00:00,0.48,3.27
12,2022-04-14 02:45:00,2022-04-14 03:00:00,0.29,1.67
13,2022-04-14 04:45:00,2022-04-14 05:15:00,0.46,3.22
14,2022-04-14 06:45:00,2022-04-14 07:15:00,0.49,3.44
15,2022-04-14 08:15:00,2022-04-14 08:30:00,0.3,1.66
16,2022-04-15 02:45:00,2022-04-15 03:00:00,0.3,1.17
17,2022-04-15 07:30:00,2022-04-15 08:00:00,0.36,2.42
18,2022-04-15 08:30:00,2022-04-15 08:30:00,0.12,1.2
19,2022-04-16 00:45:00,2022-04-16 01:00:00,0.4,2.68
20,2022-04-16 02:45:00,2022-04-16 03:00:00,0.43,2.35
21,2022-04-16 05:30:00,2022-04-16 05:45:00,0.48,2.98
22,2022-04-16 07:30:00,2022-04-16 08:00:00,0.44,3.05
23,2022-04-16 08:30:00,2022-04-16 08:45:00,0.3,1.41
24,2022-04-16 11:30:00,2022-04-16 11:45:00,0.47,2.62
25,2022-04-16 18:30:00,2022-04-16 19:00:00,0.41,2.8
26,2022-04-16 20:30:00,2022-04-16 20:45:00,0.43,2.37
27,2022-04-16 23:00:00,2022-04-16 23:15:00,0.49,3.2
28,2022-04-17 01:00:00,2022-04-17 01:30:00,0.56,3.95
29,2022-04-17 02:45:00,2022-04-17 03:00:00,0.46,2.95
30,2022-04-17 04:15:00,2022-04-17 05:00:00,0.69,4.86
31,2022-04-17 06:15:00,2022-04-17 07:00:00,0.69,4.94
32,2022-04-17 08:15:00,2022-04-17 08:30:00,0.47,2.61
33,2022-04-17 12:00:00,2022-04-17 12:30:00,0.34,2.34
34,2022-04-17 20:30:00,2022-04-17 20:45:00,0.46,2.48
35,2022-04-17 22:45:00,2022-04-17 23:15:00,0.47,3.27
36,2022-04-18 01:00:00,2022-04-18 01:30:00,0.55,3.89
37,2022-04-18 02:45:00,2022-04-18 03:15:00,0.56,3.98
38,2022-04-18 04:45:00,2022-04-18 05:15:00,0.63,4.39
39,2022-04-18 06:45:00,2022-04-18 07:15:00,0.69,4.93
40,2022-04-18 08:15:00,2022-04-18 08:30:00,0.34,1.89
41,2022-04-18 20:30:00,2022-04-18 20:45:00,0.43,2.33
42,2022-04-18 23:00:00,2022-04-18 23:15:00,0.42,2.82
43,2022-04-19 01:00:00,2022-04-19 01:45:00,0.56,3.91
44,2022-04-19 02:45:00,2022-04-19 03:00:00,0.44,2.38
45,2022-04-19 04:15:00,2022-04-19 05:00:00,0.73,5.09
46,2022-04-19 06:15:00,2022-04-19 07:00:00,0.75,5.32
47,2022-04-19 08:15:00,2022-04-19 08:30:00,0.43,2.4
48,2022-04-19 23:45:00,2022-04-20 00:15:00,0.42,2.84
49,2022-04-20 02:30:00,2022-04-20 02:45:00,0.47,2.86
50,2022-04-20 04:30:00,2022-04-20 05:00:00,0.49,3.42
51,2022-04-20 06:30:00,2022-04-20 07:00:00,0.55,3.77
52,2022-04-20 08:15:00,2022-04-20 08:30:00,0.44,2.37
53,2022-04-20 19:45:00,2022-04-20 20:00:00,0.44,2.5
54,2022-04-20 20:30:00,2022-04-20 20:45:00,0.33,1.24
55,2022-04-20 23:45:00,2022-04-21 00:15:00,0.41,2.84
56,2022-04-21 02:00:00,2022-04-21 02:30:00,0.53,3.76
57,2022-04-21 03:00:00,2022-04-21 03:15:00,0.27,1.59
