cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-07-01 00:00:00,2021-07-01 00:30:00,0.41,1.47
1,2021-07-01 02:30:00,2021-07-01 02:45:00,0.33,1.18
2,2021-07-02 04:15:00,2021-07-02 04:15:00,0.12,0.26
3,2021-07-03 03:30:00,2021-07-03 03:45:00,0.44,1.2
4,2021-07-05 00:00:00,2021-07-05 00:30:00,0.38,1.33
5,2021-07-07 07:30:00,2021-07-07 07:45:00,0.35,0.96
6,2021-07-08 20:15:00,2021-07-08 21:00:00,0.72,2.51
7,2021-07-08 22:45:00,2021-07-08 23:15:00,0.48,1.7
8,2021-07-09 01:15:00,2021-07-09 01:30:00,0.43,1.33
9,2021-07-09 04:15:00,2021-07-09 04:15:00,0.12,0.35
10,2021-07-10 02:00:00,2021-07-10 02:15:00,0.34,0.96
11,2021-07-10 04:15:00,2021-07-10 04:15:00,0.12,0.32
12,2021-07-11 00:15:00,2021-07-11 00:30:00,0.44,0.85
13,2021-07-11 03:45:00,2021-07-11 04:00:00,0.36,1.27
14,2021-07-13 07:30:00,2021-07-13 07:45:00,0.49,1.76
15,2021-07-13 09:15:00,2021-07-13 09:15:00,0.12,0.5
16,2021-07-13 20:30:00,2021-07-13 21:15:00,0.86,3.09
17,2021-07-13 22:00:00,2021-07-13 22:30:00,0.45,1.6
18,2021-07-13 23:30:00,2021-07-14 00:00:00,0.41,1.49
19,2021-07-14 00:45:00,2021-07-14 01:00:00,0.43,1.12
20,2021-07-14 02:15:00,2021-07-14 02:30:00,0.35,1.23
21,2021-07-14 04:00:00,2021-07-14 04:15:00,0.37,1.23
22,2021-07-14 07:30:00,2021-07-14 07:45:00,0.32,1.14
23,2021-07-14 20:30:00,2021-07-14 21:00:00,0.48,1.69
24,2021-07-14 23:45:00,2021-07-15 00:15:00,0.48,1.71
25,2021-07-15 02:00:00,2021-07-15 02:15:00,0.43,1.34
26,2021-07-15 04:15:00,2021-07-15 04:30:00,0.5,0.4
27,2021-07-15 08:00:00,2021-07-15 08:15:00,0.34,0.98
28,2021-07-16 00:15:00,2021-07-16 00:45:00,0.45,1.56
29,2021-08-01 03:45:00,2021-08-01 04:00:00,0.44,1.54
30,2021-08-01 08:30:00,2021-08-01 08:45:00,0.5,0.98
31,2021-08-01 20:30:00,2021-08-01 20:45:00,0.42,1.49
32,2021-08-01 22:30:00,2021-08-01 22:45:00,0.46,1.46
33,2021-08-02 00:15:00,2021-08-02 00:30:00,0.35,1.11
34,2021-08-02 03:00:00,2021-08-02 03:15:00,0.34,1.22
35,2021-08-03 02:45:00,2021-08-03 03:15:00,0.45,1.58
36,2021-08-03 21:30:00,2021-08-03 21:45:00,0.42,1.49
37,2021-08-03 23:15:00,2021-08-03 23:30:00,0.45,1.34
38,2021-08-04 02:15:00,2021-08-04 02:30:00,0.44,1.35
39,2021-08-04 21:00:00,2021-08-04 21:30:00,0.48,1.7
40,2021-08-05 01:00:00,2021-08-05 01:15:00,0.48,1.33
41,2021-08-05 22:45:00,2021-08-05 23:00:00,0.42,1.32
42,2021-08-07 20:30:00,2021-08-07 20:45:00,0.43,1.5
43,2021-08-08 00:45:00,2021-08-08 01:15:00,0.48,1.69
44,2021-08-08 04:00:00,2021-08-08 04:15:00,0.45,0.87
45,2021-08-08 23:00:00,2021-08-08 23:30:00,0.45,1.57
46,2021-08-09 01:00:00,2021-08-09 01:30:00,0.45,1.58
47,2021-08-09 02:45:00,2021-08-09 03:15:00,0.48,1.72
48,2021-08-09 07:30:00,2021-08-09 07:45:00,0.35,1.21
49,2021-08-10 01:00:00,2021-08-10 01:30:00,0.45,1.56
50,2021-08-10 03:15:00,2021-08-10 03:45:00,0.45,1.58
51,2021-08-25 00:45:00,2021-08-25 01:00:00,0.35,1.21
52,2021-08-25 21:45:00,2021-08-25 22:00:00,0.36,1.21
53,2021-08-26 00:45:00,2021-08-26 01:00:00,0.37,1.31
54,2021-08-26 02:45:00,2021-08-26 03:15:00,0.41,1.48
55,2021-08-27 01:15:00,2021-08-27 01:30:00,0.37,1.29
56,2021-08-27 03:45:00,2021-08-27 04:00:00,0.45,1.45
57,2021-08-27 20:45:00,2021-08-27 21:00:00,0.42,1.32
58,2021-08-27 23:00:00,2021-08-27 23:15:00,0.5,1.79
59,2021-08-28 00:30:00,2021-08-28 01:00:00,0.48,1.72
60,2021-08-28 02:00:00,2021-08-28 02:15:00,0.38,1.36
61,2021-08-28 03:30:00,2021-08-28 04:00:00,0.48,1.73
62,2021-08-28 07:30:00,2021-08-28 07:45:00,0.38,1.34
63,2021-08-28 20:30:00,2021-08-28 21:30:00,1.09,3.94
64,2021-08-28 22:45:00,2021-08-28 23:15:00,0.55,1.98
65,2021-08-29 00:15:00,2021-08-29 00:45:00,0.41,1.49
66,2021-08-29 01:45:00,2021-08-29 02:15:00,0.41,1.5
67,2021-08-29 03:30:00,2021-08-29 03:45:00,0.5,1.36
68,2021-08-29 07:30:00,2021-08-29 07:45:00,0.44,1.57
69,2021-08-29 20:30:00,2021-08-29 21:00:00,0.61,2.17
70,2021-08-29 22:45:00,2021-08-29 23:00:00,0.41,1.46
71,2021-08-30 00:30:00,2021-08-30 00:45:00,0.34,1.22
72,2021-08-30 02:00:00,2021-08-30 02:15:00,0.29,1.05
73,2021-08-30 03:30:00,2021-08-30 03:45:00,0.47,1.68
74,2021-08-30 07:30:00,2021-08-30 07:45:00,0.33,1.19
75,2021-08-30 20:30:00,2021-08-30 21:00:00,0.64,2.27
76,2021-08-30 22:30:00,2021-08-30 22:45:00,0.39,1.39
77,2021-08-31 00:15:00,2021-08-31 00:30:00,0.42,1.23
78,2021-08-31 02:00:00,2021-08-31 02:30:00,0.41,1.49
79,2021-08-31 03:45:00,2021-08-31 04:00:00,0.37,1.23
80,2021-08-31 07:30:00,2021-08-31 07:45:00,0.33,1.18
81,2021-08-31 20:30:00,2021-08-31 20:45:00,0.44,1.54
82,2021-08-31 22:30:00,2021-08-31 22:45:00,0.43,1.46
83,2021-08-31 23:45:00,2021-09-01 00:15:00,0.41,1.48
84,2021-09-01 01:00:00,2021-09-01 01:15:00,0.46,1.47
85,2021-09-01 02:30:00,2021-09-01 02:45:00,0.36,1.31
86,2021-09-01 04:15:00,2021-09-01 04:15:00,0.12,0.5
87,2021-09-01 07:30:00,2021-09-01 07:45:00,0.39,1.4
88,2021-09-01 22:00:00,2021-09-01 22:30:00,0.41,1.47
89,2021-09-02 00:15:00,2021-09-02 00:30:00,0.44,1.34
90,2021-09-02 01:15:00,2021-09-02 01:45:00,0.38,1.37
91,2021-09-02 03:00:00,2021-09-02 03:15:00,0.46,1.6
92,2021-09-02 07:30:00,2021-09-02 08:00:00,0.55,2.02
93,2021-09-03 00:30:00,2021-09-03 01:00:00,0.38,1.34
94,2021-09-03 02:45:00,2021-09-03 03:00:00,0.38,1.34
95,2021-09-03 04:00:00,2021-09-03 04:15:00,0.44,0.88
96,2021-09-03 07:30:00,2021-09-03 07:45:00,0.39,1.34
97,2021-09-04 02:45:00,2021-09-04 03:00:00,0.49,1.45
98,2021-09-05 02:45:00,2021-09-05 03:15:00,0.38,1.35
99,2021-09-06 03:15:00,2021-09-06 03:30:00,0.4,1.33
100,2021-09-07 03:45:00,2021-09-07 04:00:00,0.4,1.33
101,2021-09-08 03:45:00,2021-09-08 04:00:00,0.42,1.45
102,2021-09-13 02:30:00,2021-09-13 03:00:00,0.45,1.59
103,2021-09-13 07:30:00,2021-09-13 07:45:00,0.44,1.34
104,2021-09-17 00:45:00,2021-09-17 01:15:00,0.48,1.69
105,2021-09-17 07:30:00,2021-09-17 07:45:00,0.43,1.51
106,2021-09-17 20:30:00,2021-09-17 20:45:00,0.44,1.53
107,2021-09-17 22:45:00,2021-09-17 23:15:00,0.41,1.48
108,2021-09-18 00:30:00,2021-09-18 00:45:00,0.44,1.55
109,2021-09-18 02:00:00,2021-09-18 02:15:00,0.45,1.6
