cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:00:00,2021-01-19 23:30:00,0.57,2.99
1,2021-01-20 00:00:00,2021-01-20 00:15:00,0.43,1.1
2,2021-01-20 00:45:00,2021-01-20 01:15:00,0.56,1.61
3,2021-01-20 02:00:00,2021-01-20 02:15:00,0.37,1.08
4,2021-01-20 02:45:00,2021-01-20 03:00:00,0.43,1.11
5,2021-01-20 03:30:00,2021-01-20 04:30:00,1.05,3.41
6,2021-01-20 05:15:00,2021-01-20 05:45:00,0.69,2.3
7,2021-01-20 06:15:00,2021-01-20 07:30:00,1.13,4.27
8,2021-01-20 08:00:00,2021-01-20 08:15:00,0.42,1.16
9,2021-01-20 09:00:00,2021-01-20 09:15:00,0.33,0.97
10,2021-01-20 09:45:00,2021-01-20 09:45:00,0.12,0.24
11,2021-01-20 11:00:00,2021-01-20 11:15:00,0.35,0.97
12,2021-01-20 11:45:00,2021-01-20 12:00:00,0.36,0.76
13,2021-01-20 13:00:00,2021-01-20 13:00:00,0.12,0.71
14,2021-01-20 13:45:00,2021-01-20 14:15:00,0.61,1.66
15,2021-01-20 15:00:00,2021-01-20 15:15:00,0.39,0.95
16,2021-01-20 15:45:00,2021-01-20 16:15:00,0.35,1.16
17,2021-01-20 16:45:00,2021-01-20 16:45:00,0.12,0.69
18,2021-01-20 18:15:00,2021-01-20 18:45:00,0.67,2.13
19,2021-01-20 19:15:00,2021-01-20 19:45:00,0.54,1.75
20,2021-01-20 20:30:00,2021-01-20 20:45:00,0.48,1.34
21,2021-01-20 21:30:00,2021-01-20 21:30:00,0.12,0.79
22,2021-01-20 22:15:00,2021-01-20 23:30:00,1.28,5.28
23,2021-01-21 00:00:00,2021-01-21 00:15:00,0.3,0.82
24,2021-01-21 03:45:00,2021-01-21 03:45:00,0.12,0.66
25,2021-01-21 04:30:00,2021-01-21 04:30:00,0.12,0.73
26,2021-01-21 05:15:00,2021-01-21 05:30:00,0.34,0.69
27,2021-01-21 06:15:00,2021-01-21 06:30:00,0.38,0.8
28,2021-01-21 07:00:00,2021-01-21 07:15:00,0.49,0.91
29,2021-01-21 08:00:00,2021-01-21 08:15:00,0.38,0.82
30,2021-01-21 09:45:00,2021-01-21 09:45:00,0.12,0.27
31,2021-01-21 11:15:00,2021-01-21 11:15:00,0.12,0.64
32,2021-01-21 13:15:00,2021-01-21 13:30:00,0.39,0.68
33,2021-01-21 14:15:00,2021-01-21 14:30:00,0.3,0.76
34,2021-01-21 15:15:00,2021-01-21 15:30:00,0.41,0.89
35,2021-01-21 16:00:00,2021-01-21 16:15:00,0.35,0.81
36,2021-01-21 18:15:00,2021-01-21 18:30:00,0.36,0.94
37,2021-01-21 19:30:00,2021-01-21 19:30:00,0.12,0.69
38,2021-01-21 21:45:00,2021-01-21 22:00:00,0.4,0.72
39,2021-01-21 22:45:00,2021-01-21 23:15:00,0.49,4.17
40,2021-01-22 00:00:00,2021-01-22 00:00:00,0.12,0.7
41,2021-01-22 01:15:00,2021-01-22 01:30:00,0.32,0.79
42,2021-01-22 02:15:00,2021-01-22 02:30:00,0.3,0.87
43,2021-01-22 03:15:00,2021-01-22 03:30:00,0.33,0.77
44,2021-01-22 04:00:00,2021-01-22 04:30:00,0.35,1.07
45,2021-01-22 05:00:00,2021-01-22 05:15:00,0.38,0.82
46,2021-01-22 06:00:00,2021-01-22 06:15:00,0.34,0.93
47,2021-01-22 06:45:00,2021-01-22 07:00:00,0.49,1.02
48,2021-01-22 07:30:00,2021-01-22 07:45:00,0.36,0.91
49,2021-01-22 08:30:00,2021-01-22 09:00:00,0.6,1.49
50,2021-01-22 09:45:00,2021-01-22 09:45:00,0.12,0.3
51,2021-01-22 11:00:00,2021-01-22 11:15:00,0.36,0.96
52,2021-01-22 12:00:00,2021-01-22 12:15:00,0.31,0.73
53,2021-01-22 13:15:00,2021-01-22 13:15:00,0.12,0.7
54,2021-01-22 14:30:00,2021-01-22 14:45:00,0.32,0.86
55,2021-01-22 15:15:00,2021-01-22 15:30:00,0.32,0.9
56,2021-01-22 16:15:00,2021-01-22 16:15:00,0.12,0.79
57,2021-01-22 18:15:00,2021-01-22 18:30:00,0.46,1.5
58,2021-01-22 19:15:00,2021-01-22 19:30:00,0.34,1.05
59,2021-01-22 20:30:00,2021-01-22 20:45:00,0.39,0.9
60,2021-01-22 21:30:00,2021-01-22 21:45:00,0.39,0.83
61,2021-01-22 22:30:00,2021-01-23 00:00:00,1.52,5.69
62,2021-01-23 00:45:00,2021-01-23 01:00:00,0.43,0.87
63,2021-01-23 01:45:00,2021-01-23 02:00:00,0.29,0.91
64,2021-01-23 02:30:00,2021-01-23 02:45:00,0.3,0.92
