cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 00:30:00,0.75,1.36
1,2021-01-01 01:00:00,2021-01-01 01:00:00,0.12,0.86
2,2021-01-01 01:30:00,2021-01-01 01:45:00,0.33,1.01
3,2021-01-01 02:30:00,2021-01-01 03:45:00,1.43,5.38
4,2021-01-01 04:45:00,2021-01-01 06:00:00,1.35,3.99
5,2021-01-01 07:15:00,2021-01-01 07:45:00,0.34,1.37
6,2021-01-01 08:45:00,2021-01-01 09:00:00,0.33,1.22
7,2021-01-01 10:15:00,2021-01-01 10:30:00,0.46,1.17
8,2021-01-01 11:00:00,2021-01-01 12:00:00,0.91,4.22
9,2021-01-01 13:45:00,2021-01-01 17:30:00,3.81,11.13
10,2021-01-01 18:00:00,2021-01-01 20:45:00,2.8,8.46
11,2021-01-01 22:15:00,2021-01-02 00:45:00,2.7,3.13
12,2021-01-02 01:15:00,2021-01-02 01:15:00,0.12,0.74
13,2021-01-02 01:45:00,2021-01-02 04:45:00,3.18,8.67
14,2021-01-02 05:45:00,2021-01-02 08:45:00,3.05,8.9
15,2021-01-02 09:30:00,2021-01-02 09:45:00,0.47,1.91
16,2021-01-02 10:30:00,2021-01-02 11:00:00,0.63,2.55
17,2021-01-02 11:30:00,2021-01-02 13:00:00,1.61,5.92
18,2021-01-02 13:30:00,2021-01-02 14:15:00,0.72,3.0
19,2021-01-02 15:00:00,2021-01-02 18:00:00,3.08,11.08
20,2021-01-02 18:30:00,2021-01-02 21:00:00,2.61,8.84
21,2021-01-02 22:15:00,2021-01-02 22:30:00,0.35,1.44
22,2021-01-02 23:30:00,2021-01-02 23:45:00,0.39,1.34
23,2021-01-03 00:30:00,2021-01-03 00:45:00,0.44,1.49
24,2021-01-03 01:15:00,2021-01-03 01:30:00,0.31,1.07
25,2021-01-03 02:00:00,2021-01-03 02:15:00,0.3,1.03
26,2021-01-03 02:45:00,2021-01-03 03:00:00,0.39,0.96
27,2021-01-03 03:30:00,2021-01-03 04:45:00,1.5,5.76
28,2021-01-03 05:45:00,2021-01-03 11:15:00,5.53,16.01
29,2021-01-03 11:45:00,2021-01-03 16:45:00,5.03,16.65
30,2021-01-03 17:30:00,2021-01-03 18:30:00,1.16,4.85
31,2021-01-03 19:00:00,2021-01-03 20:00:00,0.97,3.45
32,2021-01-03 21:00:00,2021-01-03 21:15:00,0.5,1.43
33,2021-01-03 22:00:00,2021-01-03 22:15:00,0.37,1.3
34,2021-01-03 23:00:00,2021-01-03 23:15:00,0.37,1.13
35,2021-01-03 23:45:00,2021-01-04 00:00:00,0.44,1.05
36,2021-01-04 00:30:00,2021-01-04 03:45:00,3.44,9.35
37,2021-01-04 04:45:00,2021-01-04 05:45:00,0.96,3.39
38,2021-01-04 06:45:00,2021-01-04 06:45:00,0.12,0.23
39,2021-01-04 07:15:00,2021-01-04 10:30:00,3.43,8.74
40,2021-01-04 12:30:00,2021-01-04 14:45:00,2.5,6.49
41,2021-01-04 15:15:00,2021-01-04 17:45:00,2.52,7.76
42,2021-01-04 18:15:00,2021-01-04 18:45:00,0.73,3.03
43,2021-01-04 19:15:00,2021-01-04 19:45:00,0.6,2.46
44,2021-01-04 20:45:00,2021-01-04 21:45:00,1.23,3.22
45,2021-01-04 22:45:00,2021-01-04 23:15:00,0.34,1.3
46,2021-01-04 23:45:00,2021-01-05 00:45:00,1.04,2.34
47,2021-01-05 01:15:00,2021-01-05 02:30:00,1.35,4.18
48,2021-01-05 03:00:00,2021-01-05 04:15:00,1.47,5.86
49,2021-01-05 05:15:00,2021-01-05 05:45:00,0.68,1.38
50,2021-01-05 06:15:00,2021-01-05 07:30:00,1.2,3.79
51,2021-01-05 08:15:00,2021-01-05 08:45:00,0.52,2.19
52,2021-01-05 09:30:00,2021-01-05 09:45:00,0.38,1.52
53,2021-01-05 10:30:00,2021-01-05 11:30:00,1.04,4.7
