cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-23 23:00:00,2021-02-01 06:45:00,199.89,881.48
1,2021-02-01 13:45:00,2021-02-03 13:15:00,47.55,267.46
2,2021-02-03 15:45:00,2021-02-04 07:15:00,15.7,31.16
3,2021-02-04 08:30:00,2021-02-05 12:45:00,28.34,56.22
4,2021-02-05 14:15:00,2021-02-09 08:30:00,90.29,261.78
5,2021-02-09 10:45:00,2021-02-10 06:45:00,20.07,76.56
6,2021-02-10 07:30:00,2021-02-10 07:30:00,0.12,0.86
7,2021-02-10 08:00:00,2021-02-10 08:30:00,0.63,3.28
8,2021-02-10 16:30:00,2021-02-10 16:30:00,0.12,0.1
9,2021-02-10 17:45:00,2021-02-10 20:45:00,3.15,8.72
10,2021-02-10 21:15:00,2021-02-10 21:45:00,0.53,1.56
11,2021-02-10 22:15:00,2021-02-10 22:45:00,0.57,1.7
12,2021-02-10 23:15:00,2021-02-11 00:00:00,0.9,2.68
13,2021-02-11 00:30:00,2021-02-11 01:00:00,0.55,1.64
14,2021-02-11 01:30:00,2021-02-11 02:00:00,0.56,1.69
15,2021-02-11 02:30:00,2021-02-11 07:45:00,5.42,12.28
16,2021-02-11 08:15:00,2021-02-11 08:45:00,0.55,1.6
17,2021-02-11 09:15:00,2021-02-11 09:45:00,0.54,1.57
18,2021-02-11 11:00:00,2021-02-11 11:30:00,0.51,1.78
19,2021-02-11 12:00:00,2021-02-11 12:30:00,0.57,1.65
20,2021-02-11 13:15:00,2021-02-11 13:45:00,0.75,2.06
21,2021-02-11 14:30:00,2021-02-11 14:45:00,0.44,1.18
22,2021-02-11 15:15:00,2021-02-11 15:45:00,0.47,1.32
23,2021-02-11 16:15:00,2021-02-11 16:15:00,0.12,0.39
24,2021-02-11 17:45:00,2021-02-11 18:15:00,0.53,2.14
25,2021-02-11 18:45:00,2021-02-11 21:00:00,2.33,7.57
26,2021-02-11 21:30:00,2021-02-11 22:00:00,0.64,2.16
27,2021-02-11 22:30:00,2021-02-11 23:30:00,1.08,3.49
28,2021-02-12 00:00:00,2021-02-12 00:30:00,0.56,1.82
29,2021-02-12 01:00:00,2021-02-12 01:30:00,0.58,1.86
30,2021-02-12 02:00:00,2021-02-12 02:45:00,0.71,2.38
31,2021-02-12 03:15:00,2021-02-12 05:15:00,2.07,6.22
32,2021-02-12 05:45:00,2021-02-12 06:15:00,0.61,2.07
33,2021-02-12 06:45:00,2021-02-12 08:30:00,1.87,4.59
34,2021-02-12 09:00:00,2021-02-12 09:30:00,0.51,1.53
35,2021-02-12 11:00:00,2021-02-12 12:15:00,1.38,3.15
36,2021-02-12 12:45:00,2021-02-12 13:15:00,0.5,1.4
37,2021-02-12 14:00:00,2021-02-12 14:15:00,0.43,1.16
38,2021-02-12 14:45:00,2021-02-12 15:30:00,0.83,2.13
39,2021-02-12 16:15:00,2021-02-12 16:15:00,0.12,0.63
40,2021-02-12 17:45:00,2021-02-12 18:15:00,0.47,1.65
41,2021-02-12 18:45:00,2021-02-12 21:15:00,2.52,8.23
42,2021-02-12 21:45:00,2021-02-12 22:15:00,0.51,1.54
43,2021-02-12 22:45:00,2021-02-12 23:15:00,0.5,1.5
44,2021-02-12 23:45:00,2021-02-13 00:00:00,0.48,1.45
45,2021-02-13 00:45:00,2021-02-13 01:00:00,0.48,1.47
46,2021-02-13 01:45:00,2021-02-13 02:15:00,0.52,1.64
47,2021-02-13 02:45:00,2021-02-13 04:15:00,1.69,4.01
48,2021-02-13 04:45:00,2021-02-13 05:15:00,0.55,1.65
49,2021-02-13 05:45:00,2021-02-13 06:15:00,0.56,1.74
50,2021-02-13 06:45:00,2021-02-13 07:15:00,0.6,1.92
51,2021-02-13 07:45:00,2021-02-13 08:45:00,0.82,2.7
52,2021-02-13 09:15:00,2021-02-13 09:30:00,0.5,1.42
53,2021-02-13 10:00:00,2021-02-13 10:30:00,0.5,1.49
54,2021-02-13 11:00:00,2021-02-13 11:30:00,0.46,1.34
55,2021-02-13 12:00:00,2021-02-13 12:30:00,0.45,1.28
56,2021-02-13 13:00:00,2021-02-13 13:30:00,0.44,1.21
57,2021-02-13 14:00:00,2021-02-13 14:30:00,0.42,1.12
58,2021-02-13 15:00:00,2021-02-13 15:45:00,0.59,1.58
59,2021-02-13 16:15:00,2021-02-13 16:45:00,0.4,1.08
60,2021-02-13 17:15:00,2021-02-13 17:30:00,0.45,1.12
61,2021-02-13 18:15:00,2021-02-13 18:30:00,0.5,1.19
62,2021-02-13 19:00:00,2021-02-13 20:30:00,1.48,5.05
63,2021-02-13 21:00:00,2021-02-13 21:15:00,0.47,1.35
64,2021-02-13 21:45:00,2021-02-13 22:15:00,0.5,1.43
65,2021-02-13 22:45:00,2021-02-14 00:15:00,1.43,8.62
66,2021-02-14 00:45:00,2021-02-14 01:15:00,0.57,1.86
67,2021-02-14 01:45:00,2021-02-14 02:30:00,0.8,2.6
68,2021-02-14 03:00:00,2021-02-14 03:30:00,0.56,1.98
69,2021-02-14 04:00:00,2021-02-14 04:30:00,0.62,2.24
70,2021-02-14 05:00:00,2021-02-14 06:30:00,1.63,4.47
71,2021-02-14 07:00:00,2021-02-14 08:45:00,1.62,4.23
72,2021-02-14 09:15:00,2021-02-14 09:45:00,0.5,1.94
73,2021-02-14 10:15:00,2021-02-14 10:30:00,0.41,1.21
74,2021-02-14 11:15:00,2021-02-14 11:30:00,0.45,1.15
75,2021-02-14 12:15:00,2021-02-14 12:30:00,0.37,0.97
76,2021-02-14 13:00:00,2021-02-14 13:15:00,0.4,0.96
77,2021-02-14 14:00:00,2021-02-14 14:15:00,0.45,0.91
78,2021-02-14 15:00:00,2021-02-14 15:15:00,0.45,0.85
79,2021-02-14 16:00:00,2021-02-14 16:15:00,0.4,0.89
80,2021-02-14 16:45:00,2021-02-14 17:30:00,0.59,1.51
81,2021-02-14 18:00:00,2021-02-14 18:15:00,0.42,0.94
82,2021-02-14 19:00:00,2021-02-14 19:15:00,0.45,1.07
83,2021-02-14 20:00:00,2021-02-14 22:30:00,2.63,6.96
84,2021-02-14 23:00:00,2021-02-14 23:15:00,0.43,1.13
85,2021-02-14 23:45:00,2021-02-15 00:00:00,0.44,1.23
