cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:15:00,2021-01-01 01:30:00,1.5,3.29
1,2021-01-01 02:00:00,2021-01-01 02:00:00,0.12,0.76
2,2021-01-01 02:30:00,2021-01-01 03:45:00,1.5,3.28
3,2021-01-01 04:15:00,2021-01-01 07:15:00,3.25,9.89
4,2021-01-01 07:45:00,2021-01-01 07:45:00,0.12,1.18
5,2021-01-01 08:15:00,2021-01-01 09:00:00,1.0,2.92
6,2021-01-01 09:30:00,2021-01-01 09:45:00,0.32,1.53
7,2021-01-01 11:00:00,2021-01-01 11:45:00,1.0,4.41
8,2021-01-01 12:15:00,2021-01-01 12:15:00,0.12,1.0
9,2021-01-01 12:45:00,2021-01-01 13:00:00,0.42,1.5
10,2021-01-01 13:30:00,2021-01-01 13:30:00,0.12,0.98
11,2021-01-01 14:00:00,2021-01-01 14:15:00,0.48,1.7
12,2021-01-01 14:45:00,2021-01-01 14:45:00,0.12,1.0
13,2021-01-01 15:15:00,2021-01-01 16:00:00,1.0,2.6
14,2021-01-01 17:30:00,2021-01-01 18:30:00,1.12,5.65
15,2021-01-01 19:00:00,2021-01-01 21:00:00,2.25,8.6
16,2021-01-01 21:30:00,2021-01-01 21:30:00,0.12,0.35
17,2021-01-01 22:00:00,2021-01-01 22:45:00,0.96,2.36
18,2021-01-01 23:15:00,2021-01-02 06:30:00,7.44,30.56
19,2021-01-02 07:00:00,2021-01-02 07:00:00,0.12,1.15
20,2021-01-02 07:30:00,2021-01-02 07:30:00,0.12,1.04
21,2021-01-02 08:00:00,2021-01-02 09:30:00,1.75,4.21
22,2021-01-02 10:00:00,2021-01-02 10:00:00,0.12,1.31
23,2021-01-02 10:30:00,2021-01-02 11:15:00,1.0,2.81
24,2021-01-02 11:45:00,2021-01-02 12:30:00,1.0,2.57
25,2021-01-02 13:00:00,2021-01-02 13:00:00,0.12,1.05
26,2021-01-02 13:30:00,2021-01-02 13:45:00,0.4,1.52
27,2021-01-02 14:15:00,2021-01-02 14:15:00,0.12,1.05
28,2021-01-02 14:45:00,2021-01-02 15:30:00,1.0,2.62
29,2021-01-02 16:00:00,2021-01-02 16:45:00,1.0,2.59
30,2021-01-02 17:15:00,2021-01-02 18:00:00,1.0,2.92
31,2021-01-02 18:30:00,2021-01-02 19:15:00,1.0,2.66
32,2021-01-02 19:45:00,2021-01-02 20:30:00,1.0,2.65
33,2021-01-02 21:00:00,2021-01-02 21:15:00,0.29,1.7
34,2021-01-02 21:45:00,2021-01-02 21:45:00,0.12,0.27
35,2021-01-02 22:15:00,2021-01-02 22:15:00,0.12,0.7
36,2021-01-02 22:45:00,2021-01-02 23:00:00,0.29,0.87
37,2021-01-02 23:30:00,2021-01-02 23:30:00,0.12,0.82
38,2021-01-03 00:00:00,2021-01-03 00:00:00,0.12,0.8
39,2021-01-03 00:30:00,2021-01-03 01:15:00,0.88,3.55
40,2021-01-03 01:45:00,2021-01-04 09:45:00,32.09,145.99
41,2021-01-04 11:00:00,2021-01-04 16:15:00,5.22,26.61
42,2021-01-04 17:30:00,2021-01-04 21:00:00,3.55,16.55
43,2021-01-04 21:30:00,2021-01-04 21:30:00,0.12,0.74
44,2021-01-04 22:00:00,2021-01-05 09:45:00,11.86,70.66
45,2021-01-05 11:00:00,2021-01-05 16:15:00,5.45,30.58
46,2021-01-05 17:30:00,2021-01-05 21:30:00,4.02,17.45
47,2021-01-05 22:00:00,2021-01-05 22:00:00,0.12,1.04
48,2021-01-05 22:30:00,2021-01-06 09:45:00,11.41,56.42
49,2021-01-06 11:00:00,2021-01-06 16:15:00,5.27,23.26
50,2021-01-06 17:30:00,2021-01-06 21:15:00,3.87,16.61
51,2021-01-06 21:45:00,2021-01-06 22:30:00,1.0,2.49
52,2021-01-06 23:00:00,2021-01-07 09:45:00,11.0,63.38
53,2021-01-07 11:00:00,2021-01-07 16:15:00,5.41,24.16
54,2021-01-07 17:30:00,2021-01-07 22:00:00,4.53,18.7
55,2021-01-07 22:30:00,2021-01-08 02:30:00,4.24,41.52
56,2021-01-09 02:45:00,2021-01-09 10:00:00,7.28,29.28
57,2021-01-09 10:30:00,2021-01-09 11:15:00,1.0,4.01
58,2021-01-09 11:45:00,2021-01-09 14:15:00,2.75,7.49
59,2021-01-09 14:45:00,2021-01-09 14:45:00,0.12,1.2
60,2021-01-09 15:15:00,2021-01-09 16:00:00,1.0,2.97
61,2021-01-09 16:30:00,2021-01-09 17:15:00,1.0,3.17
62,2021-01-09 17:45:00,2021-01-10 12:00:00,18.5,68.99
63,2021-01-10 12:30:00,2021-01-10 12:45:00,0.46,1.89
64,2021-01-10 13:15:00,2021-01-10 13:15:00,0.12,1.12
65,2021-01-10 13:45:00,2021-01-10 14:30:00,1.0,2.71
66,2021-01-10 15:00:00,2021-01-10 15:45:00,1.0,3.2
67,2021-01-10 16:15:00,2021-01-10 18:45:00,2.75,7.87
68,2021-01-10 19:15:00,2021-01-10 21:30:00,2.5,9.54
69,2021-01-10 22:00:00,2021-01-11 04:00:00,6.25,43.33
70,2021-01-11 04:30:00,2021-01-11 09:45:00,5.4,24.94
71,2021-01-11 11:00:00,2021-01-11 12:30:00,1.67,8.96
72,2021-01-11 13:00:00,2021-01-11 13:45:00,1.0,3.61
73,2021-01-11 14:15:00,2021-01-11 14:15:00,0.12,1.21
74,2021-01-11 14:45:00,2021-01-11 15:00:00,0.43,1.85
75,2021-01-11 15:30:00,2021-01-11 15:30:00,0.12,1.14
76,2021-01-11 16:00:00,2021-01-11 16:15:00,0.46,1.8
77,2021-01-11 17:30:00,2021-01-11 18:00:00,0.44,4.26
78,2021-01-11 18:30:00,2021-01-12 09:45:00,15.35,69.22
79,2021-01-12 11:00:00,2021-01-12 16:15:00,5.23,22.76
80,2021-01-12 17:15:00,2021-01-12 20:30:00,3.31,12.76
81,2021-01-12 21:00:00,2021-01-12 21:15:00,0.32,1.59
82,2021-01-12 22:00:00,2021-01-12 22:15:00,0.32,0.95
83,2021-01-12 22:45:00,2021-01-12 22:45:00,0.12,0.73
84,2021-01-12 23:15:00,2021-01-13 09:45:00,10.75,61.06
85,2021-01-13 11:00:00,2021-01-13 12:30:00,1.7,7.49
86,2021-01-13 13:00:00,2021-01-13 13:00:00,0.12,0.96
87,2021-01-13 13:30:00,2021-01-13 13:30:00,0.12,1.36
88,2021-01-13 14:00:00,2021-01-13 14:00:00,0.12,0.96
89,2021-01-13 14:30:00,2021-01-13 15:45:00,1.5,3.78
90,2021-01-13 16:15:00,2021-01-13 16:15:00,0.12,1.01
91,2021-01-13 17:45:00,2021-01-13 19:30:00,2.0,9.53
92,2021-01-13 20:00:00,2021-01-13 21:30:00,1.75,5.04
93,2021-01-13 22:00:00,2021-01-13 22:45:00,1.0,2.16
94,2021-01-17 23:00:00,2021-01-18 09:45:00,10.61,76.04
95,2021-01-18 11:00:00,2021-01-18 13:30:00,2.7,11.58
96,2021-01-18 14:00:00,2021-01-18 14:00:00,0.12,1.06
97,2021-01-18 14:30:00,2021-01-18 16:15:00,2.0,5.74
98,2021-01-18 17:30:00,2021-01-18 18:00:00,0.52,4.88
99,2021-01-18 18:30:00,2021-01-18 18:30:00,0.12,1.04
100,2021-01-18 19:00:00,2021-01-19 08:15:00,13.49,69.76
101,2021-01-19 08:45:00,2021-01-19 08:45:00,0.12,1.02
102,2021-01-19 09:15:00,2021-01-19 09:45:00,0.75,2.19
103,2021-01-19 11:00:00,2021-01-19 11:15:00,0.46,2.77
104,2021-01-19 11:45:00,2021-01-19 13:00:00,1.5,4.07
105,2021-01-19 13:30:00,2021-01-19 13:30:00,0.12,1.03
106,2021-01-19 14:00:00,2021-01-19 15:15:00,1.5,3.98
107,2021-01-19 15:45:00,2021-01-19 15:45:00,0.12,1.03
108,2021-01-19 16:15:00,2021-01-19 16:15:00,0.12,1.01
109,2021-01-19 17:45:00,2021-01-19 20:15:00,2.74,11.58
110,2021-01-19 20:45:00,2021-01-19 21:00:00,0.27,1.59
