cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-02-20 23:15:00,2021-02-21 01:45:00,2.55,7.78
1,2021-02-21 04:30:00,2021-02-21 04:30:00,0.12,0.67
2,2021-02-21 05:15:00,2021-02-21 07:15:00,2.08,6.6
3,2021-02-21 19:15:00,2021-02-21 20:30:00,1.47,4.43
4,2021-02-21 23:00:00,2021-02-22 00:45:00,1.72,5.34
5,2021-02-22 03:00:00,2021-02-22 05:45:00,2.62,8.08
6,2021-02-22 11:00:00,2021-02-22 11:15:00,0.31,0.49
7,2021-02-22 17:45:00,2021-02-22 18:15:00,0.49,1.51
8,2021-02-22 22:00:00,2021-02-22 23:30:00,1.48,4.56
9,2021-02-23 02:15:00,2021-02-23 04:00:00,1.85,5.78
10,2021-02-23 11:00:00,2021-02-23 11:15:00,0.3,0.58
11,2021-02-23 17:45:00,2021-02-23 18:15:00,0.45,1.38
12,2021-02-23 22:45:00,2021-02-24 00:15:00,1.49,4.57
13,2021-02-24 03:30:00,2021-02-24 05:00:00,1.52,4.69
14,2021-02-24 11:00:00,2021-02-24 11:15:00,0.31,0.48
15,2021-02-24 17:45:00,2021-02-24 18:15:00,0.36,1.12
16,2021-02-24 22:15:00,2021-02-24 23:45:00,1.42,4.3
17,2021-02-25 02:30:00,2021-02-25 03:45:00,1.27,3.83
18,2021-02-25 11:00:00,2021-02-25 11:15:00,0.48,0.2
19,2021-02-25 17:45:00,2021-02-25 18:00:00,0.36,0.46
20,2021-02-26 03:15:00,2021-02-26 04:30:00,1.46,4.28
21,2021-02-26 11:00:00,2021-02-26 11:15:00,0.39,0.26
22,2021-02-26 17:45:00,2021-02-26 18:00:00,0.35,0.47
23,2021-02-27 07:00:00,2021-02-27 07:30:00,0.64,2.01
24,2021-02-27 17:00:00,2021-02-27 17:45:00,0.71,2.19
25,2021-02-27 20:30:00,2021-02-27 21:15:00,0.9,2.82
26,2021-02-27 23:15:00,2021-02-28 00:15:00,1.18,3.72
27,2021-02-28 03:30:00,2021-02-28 04:30:00,1.05,3.31
28,2021-02-28 07:15:00,2021-02-28 08:00:00,0.84,2.67
29,2021-02-28 11:30:00,2021-02-28 14:00:00,2.62,8.41
30,2021-02-28 16:00:00,2021-02-28 20:45:00,4.89,15.88
31,2021-02-28 22:15:00,2021-03-01 05:00:00,6.73,21.73
32,2021-03-01 06:45:00,2021-03-01 08:15:00,1.45,4.68
33,2021-03-01 11:00:00,2021-03-01 11:30:00,0.33,1.12
34,2021-03-01 17:45:00,2021-03-01 21:30:00,3.65,11.82
35,2021-03-01 23:15:00,2021-03-02 03:00:00,3.92,12.61
36,2021-03-02 11:00:00,2021-03-02 11:15:00,0.34,0.38
37,2021-03-02 17:45:00,2021-03-02 18:15:00,0.35,1.08
38,2021-03-02 23:00:00,2021-03-03 00:30:00,1.55,4.75
39,2021-03-03 04:15:00,2021-03-03 04:30:00,0.39,1.05
40,2021-03-03 06:00:00,2021-03-03 07:30:00,1.61,4.91
41,2021-03-03 11:00:00,2021-03-03 11:15:00,0.3,0.64
42,2021-03-03 17:45:00,2021-03-03 18:30:00,0.6,1.91
