cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-09-01 23:00:00,2021-09-01 23:00:00,0.12,0.31
1,2021-09-02 00:00:00,2021-09-02 00:00:00,0.12,0.31
2,2021-09-02 01:15:00,2021-09-02 01:15:00,0.12,0.27
3,2021-09-02 02:15:00,2021-09-02 02:15:00,0.12,0.46
4,2021-09-02 03:15:00,2021-09-02 03:30:00,0.32,0.74
5,2021-09-02 04:30:00,2021-09-02 04:45:00,0.33,1.12
6,2021-09-02 06:00:00,2021-09-02 06:15:00,0.29,0.95
7,2021-09-02 07:15:00,2021-09-02 07:15:00,0.12,0.57
8,2021-09-02 08:15:00,2021-09-02 08:30:00,0.39,0.44
9,2021-09-02 10:00:00,2021-09-02 10:00:00,0.12,0.32
10,2021-09-02 21:45:00,2021-09-02 21:45:00,0.12,0.31
11,2021-09-03 00:15:00,2021-09-03 00:15:00,0.12,0.32
12,2021-09-03 01:30:00,2021-09-03 01:30:00,0.12,0.3
13,2021-09-03 02:30:00,2021-09-03 02:30:00,0.12,0.41
14,2021-09-03 03:45:00,2021-09-03 03:45:00,0.12,0.6
15,2021-09-03 04:45:00,2021-09-03 05:00:00,0.36,0.77
16,2021-09-03 06:00:00,2021-09-03 06:15:00,0.48,0.69
17,2021-09-03 07:15:00,2021-09-03 07:15:00,0.12,0.48
18,2021-09-03 08:30:00,2021-09-03 08:30:00,0.12,0.31
19,2021-09-03 21:30:00,2021-09-03 21:30:00,0.12,0.32
20,2021-09-04 01:45:00,2021-09-04 02:00:00,0.36,0.44
21,2021-09-04 03:00:00,2021-09-04 03:00:00,0.12,0.35
22,2021-09-04 04:15:00,2021-09-04 04:15:00,0.12,0.49
23,2021-09-04 05:15:00,2021-09-04 05:30:00,0.37,0.58
24,2021-09-04 06:30:00,2021-09-04 06:30:00,0.12,0.45
25,2021-09-04 07:30:00,2021-09-04 07:30:00,0.12,0.25
26,2021-09-04 22:15:00,2021-09-04 22:15:00,0.12,0.25
27,2021-09-05 01:45:00,2021-09-05 02:00:00,0.35,0.43
28,2021-09-05 03:00:00,2021-09-05 03:00:00,0.12,0.33
29,2021-09-05 04:15:00,2021-09-05 04:15:00,0.12,0.42
30,2021-09-05 05:15:00,2021-09-05 05:15:00,0.12,0.43
31,2021-09-05 06:30:00,2021-09-05 06:30:00,0.12,0.37
32,2021-09-05 07:30:00,2021-09-05 07:30:00,0.12,0.29
33,2021-09-05 22:45:00,2021-09-05 22:45:00,0.12,0.31
34,2021-09-06 02:00:00,2021-09-06 02:15:00,0.42,0.41
35,2021-09-06 03:15:00,2021-09-06 03:15:00,0.12,0.33
36,2021-09-06 04:15:00,2021-09-06 04:30:00,0.38,0.49
37,2021-09-06 05:30:00,2021-09-06 05:30:00,0.12,0.47
38,2021-09-06 06:30:00,2021-09-06 06:45:00,0.38,0.4
39,2021-09-06 20:45:00,2021-09-06 20:45:00,0.12,0.31
40,2021-09-07 01:45:00,2021-09-07 01:45:00,0.12,0.31
41,2021-09-07 03:00:00,2021-09-07 03:00:00,0.12,0.4
42,2021-09-07 04:00:00,2021-09-07 04:15:00,0.47,0.61
43,2021-09-07 05:15:00,2021-09-07 05:15:00,0.12,0.58
44,2021-09-07 06:30:00,2021-09-07 06:30:00,0.12,0.48
45,2021-09-07 17:45:00,2021-09-07 17:45:00,0.12,0.22
46,2021-09-08 00:15:00,2021-09-08 00:30:00,0.41,0.37
47,2021-09-08 01:45:00,2021-09-08 02:00:00,0.35,0.44
48,2021-09-08 03:00:00,2021-09-08 03:00:00,0.12,0.38
49,2021-09-08 04:00:00,2021-09-08 04:15:00,0.46,0.67
50,2021-09-08 05:15:00,2021-09-08 05:15:00,0.12,0.57
51,2021-09-08 06:30:00,2021-09-08 06:30:00,0.12,0.56
52,2021-09-08 07:30:00,2021-09-08 07:45:00,0.43,0.37
53,2021-09-08 23:30:00,2021-09-08 23:45:00,0.38,0.33
54,2021-09-09 03:45:00,2021-09-09 03:45:00,0.12,0.35
55,2021-09-09 06:30:00,2021-09-09 06:30:00,0.12,0.31
56,2021-09-10 01:30:00,2021-09-10 01:30:00,0.12,0.33
57,2021-09-10 03:45:00,2021-09-10 03:45:00,0.12,0.37
58,2021-09-10 05:00:00,2021-09-10 05:00:00,0.12,0.31
59,2021-09-10 06:00:00,2021-09-10 06:00:00,0.12,0.29
60,2021-09-10 16:45:00,2021-09-10 16:45:00,0.12,0.3
61,2021-09-11 01:45:00,2021-09-11 02:00:00,0.36,0.42
62,2021-09-11 03:30:00,2021-09-11 03:45:00,0.47,0.36
63,2021-09-11 04:45:00,2021-09-11 04:45:00,0.12,0.31
64,2021-09-11 06:00:00,2021-09-11 06:00:00,0.12,0.28
65,2021-09-11 15:45:00,2021-09-11 15:45:00,0.12,0.29
66,2021-09-12 01:30:00,2021-09-12 01:30:00,0.12,0.32
67,2021-09-12 03:00:00,2021-09-12 03:00:00,0.12,0.39
68,2021-09-12 04:15:00,2021-09-12 04:15:00,0.12,0.47
69,2021-09-12 05:15:00,2021-09-12 05:15:00,0.12,0.41
70,2021-09-12 06:30:00,2021-09-12 06:30:00,0.12,0.34
71,2021-09-12 20:45:00,2021-09-12 20:45:00,0.12,0.3
72,2021-09-13 01:45:00,2021-09-13 02:00:00,0.37,0.44
73,2021-09-13 03:00:00,2021-09-13 03:00:00,0.12,0.34
74,2021-09-13 04:15:00,2021-09-13 04:15:00,0.12,0.47
75,2021-09-13 05:15:00,2021-09-13 05:30:00,0.33,0.52
76,2021-09-13 06:30:00,2021-09-13 06:30:00,0.12,0.44
77,2021-09-13 07:30:00,2021-09-13 07:30:00,0.12,0.32
78,2021-09-13 21:45:00,2021-09-13 21:45:00,0.12,0.31
79,2021-09-14 01:45:00,2021-09-14 02:00:00,0.35,0.42
80,2021-09-14 03:00:00,2021-09-14 03:15:00,0.44,0.37
81,2021-09-14 04:15:00,2021-09-14 04:15:00,0.12,0.48
82,2021-09-14 05:15:00,2021-09-14 05:30:00,0.4,0.52
83,2021-09-14 06:30:00,2021-09-14 06:30:00,0.12,0.41
84,2021-09-15 01:45:00,2021-09-15 02:00:00,0.41,0.44
85,2021-09-15 17:00:00,2021-09-15 17:00:00,0.12,0.35
86,2021-09-16 01:45:00,2021-09-16 02:00:00,0.34,0.38
87,2021-09-16 16:45:00,2021-09-16 16:45:00,0.12,0.36
88,2021-09-17 01:45:00,2021-09-17 02:00:00,0.37,0.42
89,2021-09-17 03:15:00,2021-09-17 03:30:00,0.46,0.37
90,2021-09-17 04:30:00,2021-09-17 04:30:00,0.12,0.36
91,2021-09-17 05:30:00,2021-09-17 05:30:00,0.12,0.38
92,2021-09-17 06:45:00,2021-09-17 06:45:00,0.12,0.34
93,2021-09-17 08:00:00,2021-09-17 08:00:00,0.12,0.3
94,2021-09-17 10:00:00,2021-09-17 10:00:00,0.12,0.3
95,2021-09-17 16:45:00,2021-09-17 16:45:00,0.12,0.33
96,2021-09-17 18:30:00,2021-09-17 18:30:00,0.12,0.29
97,2021-09-17 19:30:00,2021-09-17 19:30:00,0.12,0.3
98,2021-09-17 23:00:00,2021-09-17 23:00:00,0.12,0.32
99,2021-09-18 00:00:00,2021-09-18 00:00:00,0.12,0.25
100,2021-09-18 01:15:00,2021-09-18 01:15:00,0.12,0.3
101,2021-09-18 02:15:00,2021-09-18 02:15:00,0.12,0.43
102,2021-09-18 03:15:00,2021-09-18 03:30:00,0.29,0.73
103,2021-09-18 04:30:00,2021-09-18 04:45:00,0.32,1.01
104,2021-09-18 06:00:00,2021-09-18 06:00:00,0.12,0.86
105,2021-09-18 07:15:00,2021-09-18 07:15:00,0.12,0.64
106,2021-09-18 08:15:00,2021-09-18 08:30:00,0.35,0.49
107,2021-09-18 09:30:00,2021-09-18 09:30:00,0.12,0.33
108,2021-09-18 17:00:00,2021-09-18 17:00:00,0.12,0.31
109,2021-09-18 19:00:00,2021-09-18 19:00:00,0.12,0.29
110,2021-09-18 23:15:00,2021-09-18 23:15:00,0.12,0.31
111,2021-09-19 01:15:00,2021-09-19 01:15:00,0.12,0.31
112,2021-09-19 02:15:00,2021-09-19 02:30:00,0.42,0.41
113,2021-09-19 03:30:00,2021-09-19 03:30:00,0.12,0.53
114,2021-09-19 04:30:00,2021-09-19 04:45:00,0.35,0.68
115,2021-09-19 05:45:00,2021-09-19 06:00:00,0.48,0.72
116,2021-09-19 07:00:00,2021-09-19 07:00:00,0.12,0.53
117,2021-09-19 08:15:00,2021-09-19 08:15:00,0.12,0.41
118,2021-09-19 09:15:00,2021-09-19 09:15:00,0.12,0.31
119,2021-09-19 10:30:00,2021-09-19 10:30:00,0.12,0.3
120,2021-09-19 11:45:00,2021-09-19 11:45:00,0.12,0.25
121,2021-09-19 13:00:00,2021-09-19 13:00:00,0.12,0.33
122,2021-09-19 14:00:00,2021-09-19 14:00:00,0.12,0.36
123,2021-09-19 15:00:00,2021-09-19 15:15:00,0.35,0.43
124,2021-09-19 16:15:00,2021-09-19 16:15:00,0.12,0.42
125,2021-09-19 17:15:00,2021-09-19 17:30:00,0.41,0.47
126,2021-09-19 18:30:00,2021-09-19 18:30:00,0.12,0.33
127,2021-09-19 19:30:00,2021-09-19 19:30:00,0.12,0.29
128,2021-09-19 20:45:00,2021-09-19 20:45:00,0.12,0.44
129,2021-09-19 21:45:00,2021-09-19 22:00:00,0.37,0.49
130,2021-09-19 23:00:00,2021-09-19 23:00:00,0.12,0.45
131,2021-09-20 00:00:00,2021-09-20 00:15:00,0.46,0.45
132,2021-09-20 01:15:00,2021-09-20 01:15:00,0.12,0.4
133,2021-09-20 03:00:00,2021-09-20 03:00:00,0.12,0.41
134,2021-09-20 04:00:00,2021-09-20 04:15:00,0.36,0.67
135,2021-09-20 05:15:00,2021-09-20 05:15:00,0.12,0.63
136,2021-09-20 06:30:00,2021-09-20 06:30:00,0.12,0.59
137,2021-09-20 07:30:00,2021-09-20 07:45:00,0.46,0.57
138,2021-09-20 08:45:00,2021-09-20 08:45:00,0.12,0.48
139,2021-09-20 10:00:00,2021-09-20 10:00:00,0.12,0.39
140,2021-09-20 11:15:00,2021-09-20 11:15:00,0.12,0.31
141,2021-09-20 13:00:00,2021-09-20 13:00:00,0.12,0.29
142,2021-09-20 15:00:00,2021-09-20 15:00:00,0.12,0.29
143,2021-09-20 16:45:00,2021-09-20 16:45:00,0.12,0.31
144,2021-09-20 17:45:00,2021-09-20 17:45:00,0.12,0.23
145,2021-09-20 19:00:00,2021-09-20 19:00:00,0.12,0.26
146,2021-09-20 20:00:00,2021-09-20 20:00:00,0.12,0.29
147,2021-09-20 21:15:00,2021-09-20 21:15:00,0.12,0.34
148,2021-09-20 22:15:00,2021-09-20 22:15:00,0.12,0.36
149,2021-09-20 23:15:00,2021-09-20 23:30:00,0.39,0.41
150,2021-09-21 00:30:00,2021-09-21 00:30:00,0.12,0.41
