cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-21 04:00:00,2021-01-21 09:45:00,5.98,10.22
1,2021-01-21 11:00:00,2021-01-21 16:15:00,5.46,9.4
2,2021-01-21 17:45:00,2021-01-21 21:45:00,4.22,7.38
3,2021-01-22 04:00:00,2021-01-22 09:45:00,5.98,10.49
4,2021-01-22 11:00:00,2021-01-22 16:15:00,5.46,9.73
5,2021-01-22 17:45:00,2021-01-22 21:45:00,4.15,7.44
6,2021-01-23 04:00:00,2021-01-23 21:45:00,17.98,32.76
7,2021-01-24 04:00:00,2021-01-24 12:45:00,8.85,16.55
8,2021-01-24 15:00:00,2021-01-24 21:45:00,6.79,12.25
9,2021-01-25 04:00:00,2021-01-25 09:45:00,5.98,10.62
10,2021-01-25 11:00:00,2021-01-25 16:15:00,5.46,9.74
11,2021-01-25 17:45:00,2021-01-25 21:45:00,4.22,7.65
12,2021-01-26 04:00:00,2021-01-26 09:45:00,5.98,10.48
13,2021-01-26 11:00:00,2021-01-26 16:30:00,5.5,9.77
14,2021-01-26 17:45:00,2021-01-26 21:45:00,4.22,7.6
15,2021-01-27 04:00:00,2021-01-27 09:45:00,5.98,10.46
16,2021-01-27 11:00:00,2021-01-27 16:15:00,5.46,9.67
17,2021-01-27 17:45:00,2021-01-27 21:45:00,4.22,7.55
18,2021-01-28 04:00:00,2021-01-28 09:45:00,5.98,10.46
19,2021-01-28 11:00:00,2021-01-28 16:15:00,5.46,9.69
20,2021-01-28 17:45:00,2021-01-28 21:45:00,4.13,7.44
21,2021-01-29 04:00:00,2021-01-29 09:45:00,5.98,10.58
22,2021-01-29 11:15:00,2021-01-29 16:15:00,5.05,9.07
23,2021-01-29 18:30:00,2021-01-29 21:45:00,3.4,6.18
24,2021-01-30 04:00:00,2021-01-30 21:45:00,17.98,33.31
25,2021-01-31 04:00:00,2021-01-31 14:30:00,10.53,19.8
26,2021-01-31 18:15:00,2021-01-31 21:45:00,3.68,6.76
27,2021-02-01 04:00:00,2021-02-01 09:45:00,5.98,11.06
28,2021-02-01 12:00:00,2021-02-01 16:15:00,4.5,8.22
29,2021-02-01 19:15:00,2021-02-01 21:45:00,2.68,4.85
30,2021-02-02 04:00:00,2021-02-02 09:45:00,5.98,10.68
31,2021-02-02 11:30:00,2021-02-02 16:30:00,4.95,8.86
32,2021-02-02 18:30:00,2021-02-02 21:45:00,3.41,6.12
33,2021-02-03 04:00:00,2021-02-03 09:45:00,5.98,10.77
34,2021-02-03 12:30:00,2021-02-03 16:15:00,3.94,7.12
35,2021-02-03 19:00:00,2021-02-03 21:45:00,2.83,5.14
36,2021-02-04 04:00:00,2021-02-04 09:45:00,5.98,10.57
37,2021-02-04 11:15:00,2021-02-04 16:15:00,5.25,9.41
38,2021-02-04 18:45:00,2021-02-04 21:45:00,3.24,5.84
39,2021-02-05 04:00:00,2021-02-05 09:45:00,5.98,10.6
40,2021-02-05 11:45:00,2021-02-05 16:15:00,4.69,8.4
41,2021-02-05 18:45:00,2021-02-05 21:45:00,3.11,5.58
42,2021-02-06 04:00:00,2021-02-06 21:45:00,17.98,33.21
43,2021-02-07 04:00:00,2021-02-07 21:45:00,17.98,33.28
44,2021-02-08 04:00:00,2021-02-08 09:45:00,5.98,10.81
45,2021-02-08 11:30:00,2021-02-08 16:30:00,5.03,9.2
46,2021-02-08 18:30:00,2021-02-08 21:45:00,3.49,6.48
47,2021-02-09 04:00:00,2021-02-09 09:45:00,5.98,10.42
48,2021-02-09 11:00:00,2021-02-09 16:15:00,5.46,9.58
49,2021-02-09 17:45:00,2021-02-09 21:45:00,4.22,7.44
50,2021-02-10 04:00:00,2021-02-10 09:45:00,5.98,10.43
51,2021-02-10 11:00:00,2021-02-10 16:15:00,5.46,9.81
52,2021-02-10 17:45:00,2021-02-10 21:45:00,4.22,7.69
53,2021-02-11 04:00:00,2021-02-11 09:45:00,5.98,10.28
54,2021-02-11 11:00:00,2021-02-11 16:15:00,5.46,9.52
55,2021-02-11 17:45:00,2021-02-11 21:45:00,4.22,7.47
56,2021-02-12 03:15:00,2021-02-12 09:45:00,6.6,11.26
57,2021-02-12 11:00:00,2021-02-12 16:15:00,5.46,9.26
58,2021-02-12 17:45:00,2021-02-12 23:00:00,5.31,9.11
59,2021-02-13 02:45:00,2021-02-13 21:45:00,19.18,33.55
60,2021-02-14 02:45:00,2021-02-14 21:45:00,19.21,34.29
61,2021-02-15 04:00:00,2021-02-15 09:45:00,5.98,10.17
62,2021-02-15 11:00:00,2021-02-15 16:15:00,5.45,9.29
63,2021-02-15 17:45:00,2021-02-15 21:45:00,4.22,7.29
64,2021-02-16 04:00:00,2021-02-16 09:45:00,5.98,10.22
65,2021-02-16 11:00:00,2021-02-16 16:15:00,5.46,9.45
66,2021-02-16 17:45:00,2021-02-16 21:45:00,4.22,7.34
67,2021-02-17 04:00:00,2021-02-17 09:45:00,5.98,10.23
68,2021-02-17 11:00:00,2021-02-17 16:15:00,5.46,9.53
69,2021-02-17 17:45:00,2021-02-17 21:45:00,4.22,7.5
70,2021-02-18 04:00:00,2021-02-18 09:45:00,5.98,10.64
71,2021-02-18 11:00:00,2021-02-18 16:15:00,5.46,9.99
72,2021-02-18 18:30:00,2021-02-18 21:45:00,3.48,6.42
73,2021-02-19 04:00:00,2021-02-19 09:45:00,5.98,10.64
74,2021-02-19 11:15:00,2021-02-19 16:15:00,5.17,9.28
75,2021-02-19 18:15:00,2021-02-19 21:45:00,3.54,6.36
76,2021-02-20 04:00:00,2021-02-20 11:00:00,7.23,13.46
77,2021-02-20 14:00:00,2021-02-20 21:15:00,7.39,13.74
78,2021-02-21 04:00:00,2021-02-21 12:15:00,8.48,15.75
79,2021-02-21 16:15:00,2021-02-21 21:00:00,4.94,9.28
80,2021-02-22 04:00:00,2021-02-22 09:45:00,5.98,11.09
81,2021-02-22 13:30:00,2021-02-22 15:15:00,1.69,3.1
82,2021-02-22 18:00:00,2021-02-22 20:00:00,2.2,4.1
83,2021-02-23 04:00:00,2021-02-23 09:45:00,5.99,10.98
84,2021-02-23 13:15:00,2021-02-23 16:15:00,3.12,5.72
85,2021-02-23 19:00:00,2021-02-23 21:45:00,2.8,5.19
86,2021-02-24 04:00:00,2021-02-24 09:45:00,5.99,11.11
87,2021-02-24 13:45:00,2021-02-24 16:15:00,2.6,4.77
88,2021-02-24 19:00:00,2021-02-24 21:45:00,2.97,5.53
89,2021-02-25 04:00:00,2021-02-25 09:45:00,5.99,11.07
90,2021-02-25 14:30:00,2021-02-25 16:00:00,1.51,2.75
91,2021-02-25 18:30:00,2021-02-25 21:45:00,3.48,6.54
92,2021-02-26 04:00:00,2021-02-26 09:45:00,5.99,11.2
93,2021-02-26 14:00:00,2021-02-26 16:15:00,2.41,4.49
94,2021-02-26 19:30:00,2021-02-26 21:45:00,2.29,4.24
95,2021-02-27 04:00:00,2021-02-27 08:45:00,4.78,8.95
96,2021-02-27 11:45:00,2021-02-27 15:15:00,3.56,6.72
97,2021-02-27 18:30:00,2021-02-27 21:45:00,3.42,6.48
98,2021-02-28 04:00:00,2021-02-28 12:30:00,8.6,16.14
99,2021-02-28 15:45:00,2021-02-28 20:15:00,4.6,8.76
100,2021-03-01 04:00:00,2021-03-01 09:45:00,5.99,11.06
101,2021-03-01 12:30:00,2021-03-01 15:45:00,3.23,6.05
102,2021-03-01 18:30:00,2021-03-01 21:45:00,3.38,6.41
103,2021-03-02 04:00:00,2021-03-02 09:45:00,5.99,10.68
104,2021-03-02 11:00:00,2021-03-02 16:15:00,5.46,9.88
105,2021-03-02 18:15:00,2021-03-02 21:45:00,3.58,6.56
106,2021-03-03 04:00:00,2021-03-03 09:45:00,5.99,11.23
107,2021-03-03 13:00:00,2021-03-03 15:45:00,2.84,5.34
108,2021-03-03 18:30:00,2021-03-03 21:15:00,2.84,5.39
109,2021-03-04 04:00:00,2021-03-04 09:45:00,5.99,11.08
110,2021-03-04 12:45:00,2021-03-04 16:15:00,3.72,6.93
111,2021-03-04 18:45:00,2021-03-04 21:45:00,3.19,5.9
