cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-07-13 02:30:00,2022-07-13 03:15:00,0.98,5.9
1,2022-07-14 02:30:00,2022-07-14 03:30:00,1.15,6.91
2,2022-07-14 06:00:00,2022-07-14 06:00:00,0.12,1.0
3,2022-07-15 02:30:00,2022-07-15 03:00:00,0.58,3.46
4,2022-07-15 05:45:00,2022-07-15 05:45:00,0.12,0.75
5,2022-07-16 02:30:00,2022-07-16 02:45:00,0.5,2.88
6,2022-07-17 02:30:00,2022-07-17 03:00:00,0.72,4.23
7,2022-07-18 02:30:00,2022-07-18 03:00:00,0.66,3.94
8,2022-07-19 02:30:00,2022-07-19 03:00:00,0.72,4.28
9,2022-07-20 02:30:00,2022-07-20 03:30:00,1.07,6.34
10,2022-07-21 02:30:00,2022-07-21 03:15:00,0.92,5.42
11,2022-07-22 02:30:00,2022-07-22 03:00:00,0.61,3.59
12,2022-07-22 06:15:00,2022-07-22 06:15:00,0.12,0.66
13,2022-07-23 02:30:00,2022-07-23 03:00:00,0.63,3.74
14,2022-07-23 05:30:00,2022-07-23 05:45:00,0.35,1.03
15,2022-07-24 02:30:00,2022-07-24 03:00:00,0.62,3.7
16,2022-07-25 02:30:00,2022-07-25 03:00:00,0.59,3.49
17,2022-07-26 02:30:00,2022-07-26 03:15:00,0.8,4.7
18,2022-07-27 02:30:00,2022-07-27 03:15:00,0.99,5.85
19,2022-07-27 06:00:00,2022-07-27 06:15:00,0.3,0.86
20,2022-07-28 02:30:00,2022-07-28 02:45:00,0.44,2.56
21,2022-07-29 02:30:00,2022-07-29 03:00:00,0.69,4.11
22,2022-07-30 02:30:00,2022-07-30 03:00:00,0.64,3.77
23,2022-07-31 02:30:00,2022-07-31 03:00:00,0.72,4.26
24,2022-08-01 02:30:00,2022-08-01 03:15:00,0.79,4.69
25,2022-08-02 02:30:00,2022-08-02 03:00:00,0.73,4.33
26,2022-08-03 02:30:00,2022-08-03 03:00:00,0.7,4.2
27,2022-08-04 02:30:00,2022-08-04 03:15:00,0.78,4.67
28,2022-08-04 06:30:00,2022-08-04 06:30:00,0.12,0.66
29,2022-08-05 02:30:00,2022-08-05 03:00:00,0.53,3.13
30,2022-08-06 02:30:00,2022-08-06 03:15:00,0.93,5.56
31,2022-08-07 02:30:00,2022-08-07 03:00:00,0.67,3.94
32,2022-08-08 02:30:00,2022-08-08 03:00:00,0.74,4.39
33,2022-08-09 02:30:00,2022-08-09 03:15:00,0.9,5.4
34,2022-08-09 05:30:00,2022-08-09 05:45:00,0.4,1.13
35,2022-08-10 02:30:00,2022-08-10 03:00:00,0.72,4.29
36,2022-08-10 05:45:00,2022-08-10 05:45:00,0.12,0.6
37,2022-08-11 02:30:00,2022-08-11 03:15:00,0.88,5.24
38,2022-08-12 02:30:00,2022-08-12 03:45:00,1.35,8.13
39,2022-08-13 02:30:00,2022-08-13 03:15:00,0.94,5.63
40,2022-08-13 06:00:00,2022-08-13 06:15:00,0.32,0.67
41,2022-08-14 02:30:00,2022-08-14 03:00:00,0.58,3.46
42,2022-08-15 02:30:00,2022-08-15 03:00:00,0.58,3.46
43,2022-08-16 02:30:00,2022-08-16 03:00:00,0.64,3.82
44,2022-08-17 02:30:00,2022-08-17 03:15:00,0.85,5.01
45,2022-08-18 02:30:00,2022-08-18 03:00:00,0.75,4.46
46,2022-08-19 02:30:00,2022-08-19 03:15:00,0.95,5.68
47,2022-08-19 05:45:00,2022-08-19 06:00:00,0.36,1.04
48,2022-08-20 02:30:00,2022-08-20 03:15:00,0.78,4.69
49,2022-08-21 02:30:00,2022-08-21 03:00:00,0.75,4.42
50,2022-08-21 06:30:00,2022-08-21 06:45:00,0.36,0.77
51,2022-08-22 02:30:00,2022-08-22 02:45:00,0.5,2.96
52,2022-08-23 02:30:00,2022-08-23 03:15:00,0.92,5.44
53,2022-08-23 05:45:00,2022-08-23 06:00:00,0.31,0.6
54,2022-08-24 02:30:00,2022-08-24 03:00:00,0.55,3.25
55,2022-08-24 06:00:00,2022-08-24 06:00:00,0.12,0.57
56,2022-08-25 02:30:00,2022-08-25 03:15:00,0.78,4.65
57,2022-08-26 02:30:00,2022-08-26 03:00:00,0.75,4.43
58,2022-08-27 02:30:00,2022-08-27 03:00:00,0.7,4.18
59,2022-08-27 06:45:00,2022-08-27 06:45:00,0.12,0.36
60,2022-08-28 02:30:00,2022-08-28 03:15:00,0.79,4.72
61,2022-08-29 02:30:00,2022-08-29 03:15:00,0.87,5.14
62,2022-08-30 02:30:00,2022-08-30 03:30:00,1.14,6.83
63,2022-08-31 02:30:00,2022-08-31 03:00:00,0.66,3.93
64,2022-09-01 02:30:00,2022-09-01 03:30:00,1.1,6.58
65,2022-09-01 06:00:00,2022-09-01 06:00:00,0.12,0.68
66,2022-09-02 02:30:00,2022-09-02 03:15:00,0.8,4.8
67,2022-09-02 05:45:00,2022-09-02 06:00:00,0.49,0.65
68,2022-09-03 02:30:00,2022-09-03 03:00:00,0.62,3.69
69,2022-09-04 02:30:00,2022-09-04 03:00:00,0.75,4.46
70,2022-09-05 02:30:00,2022-09-05 03:00:00,0.6,3.55
71,2022-09-05 05:30:00,2022-09-05 05:45:00,0.48,0.99
