cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-05-19 23:00:00,2021-05-19 23:00:00,0.12,0.33
1,2021-05-19 23:30:00,2021-05-19 23:30:00,0.12,0.55
2,2021-05-20 00:30:00,2021-05-20 00:30:00,0.12,0.62
3,2021-05-20 01:00:00,2021-05-20 01:15:00,0.4,0.58
4,2021-05-20 01:45:00,2021-05-20 02:00:00,0.4,1.06
5,2021-05-20 02:30:00,2021-05-20 02:45:00,0.4,1.03
6,2021-05-20 03:15:00,2021-05-20 03:15:00,0.12,0.41
7,2021-05-20 03:45:00,2021-05-20 04:00:00,0.32,1.09
8,2021-05-20 04:30:00,2021-05-20 04:45:00,0.44,0.48
9,2021-05-20 05:15:00,2021-05-20 05:15:00,0.12,0.49
10,2021-05-20 07:30:00,2021-05-20 07:30:00,0.12,0.72
11,2021-05-20 08:00:00,2021-05-20 08:15:00,0.42,0.54
12,2021-05-20 18:00:00,2021-05-20 18:00:00,0.12,0.67
13,2021-05-20 19:30:00,2021-05-20 19:30:00,0.12,0.64
14,2021-05-20 20:15:00,2021-05-20 20:30:00,0.31,0.67
15,2021-05-20 21:15:00,2021-05-20 21:30:00,0.49,0.73
16,2021-05-20 22:15:00,2021-05-20 22:30:00,0.42,0.68
17,2021-05-20 23:00:00,2021-05-20 23:15:00,0.48,0.67
18,2021-05-20 23:45:00,2021-05-21 00:00:00,0.4,0.68
19,2021-05-21 00:45:00,2021-05-21 00:45:00,0.12,0.64
20,2021-05-21 01:30:00,2021-05-21 01:30:00,0.12,0.74
21,2021-05-21 02:00:00,2021-05-21 02:15:00,0.44,0.5
22,2021-05-21 02:45:00,2021-05-21 02:45:00,0.12,0.47
23,2021-05-21 03:15:00,2021-05-21 03:30:00,0.46,0.51
24,2021-05-21 04:00:00,2021-05-21 04:00:00,0.12,0.48
25,2021-05-21 04:30:00,2021-05-21 04:45:00,0.39,0.5
26,2021-05-21 08:45:00,2021-05-21 08:45:00,0.12,0.64
27,2021-05-21 10:00:00,2021-05-21 10:15:00,0.43,0.67
28,2021-05-21 14:15:00,2021-05-21 14:30:00,0.3,0.67
29,2021-05-21 15:15:00,2021-05-21 15:15:00,0.12,0.65
30,2021-05-21 17:15:00,2021-05-21 17:15:00,0.12,0.73
31,2021-05-21 17:45:00,2021-05-21 18:00:00,0.4,0.49
32,2021-05-21 18:30:00,2021-05-21 18:30:00,0.12,0.37
33,2021-05-21 19:45:00,2021-05-21 19:45:00,0.12,0.61
34,2021-05-21 20:30:00,2021-05-21 20:30:00,0.12,0.6
