cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:00:00,2021-01-20 06:45:00,7.82,65.3
1,2021-01-20 07:15:00,2021-01-20 09:00:00,1.75,21.22
2,2021-01-20 09:30:00,2021-01-20 09:45:00,0.29,3.61
3,2021-01-20 11:00:00,2021-01-20 12:30:00,1.69,21.15
4,2021-01-20 13:30:00,2021-01-20 14:15:00,0.78,10.12
5,2021-01-20 15:15:00,2021-01-20 15:45:00,0.75,9.72
6,2021-01-20 16:45:00,2021-01-20 16:45:00,0.12,2.19
7,2021-01-20 18:15:00,2021-01-20 20:45:00,2.62,31.39
8,2021-01-20 21:15:00,2021-01-21 01:45:00,4.48,27.3
9,2021-01-21 03:30:00,2021-01-21 03:45:00,0.39,3.46
10,2021-01-21 05:00:00,2021-01-21 05:15:00,0.29,2.52
11,2021-01-21 07:00:00,2021-01-21 09:30:00,2.34,29.67
12,2021-01-21 14:30:00,2021-01-21 16:45:00,2.48,31.31
13,2021-01-21 18:15:00,2021-01-21 19:15:00,1.02,13.23
14,2021-01-21 22:30:00,2021-01-21 22:45:00,0.46,5.51
15,2021-01-22 01:15:00,2021-01-22 01:30:00,0.45,3.64
16,2021-01-22 03:00:00,2021-01-22 03:00:00,0.12,1.32
17,2021-01-22 04:15:00,2021-01-22 04:30:00,0.43,3.26
18,2021-01-22 05:15:00,2021-01-22 06:45:00,1.52,19.54
19,2021-01-22 09:00:00,2021-01-22 09:45:00,0.83,9.9
20,2021-01-22 11:00:00,2021-01-22 13:45:00,2.85,35.02
21,2021-01-22 18:15:00,2021-01-22 21:00:00,2.97,36.06
22,2021-01-22 23:00:00,2021-01-22 23:00:00,0.12,1.29
23,2021-01-23 00:00:00,2021-01-23 00:15:00,0.29,2.76
24,2021-01-23 01:00:00,2021-01-23 01:00:00,0.12,1.48
25,2021-01-23 01:45:00,2021-01-23 02:00:00,0.45,3.07
26,2021-01-23 02:30:00,2021-01-23 02:30:00,0.12,0.57
27,2021-01-23 03:00:00,2021-01-23 03:00:00,0.12,1.4
28,2021-01-23 03:30:00,2021-01-23 04:15:00,1.0,3.55
29,2021-01-23 04:45:00,2021-01-23 09:45:00,5.24,51.97
30,2021-01-23 10:15:00,2021-01-23 11:30:00,1.35,12.75
31,2021-01-23 14:15:00,2021-01-23 17:00:00,2.75,33.82
32,2021-01-23 17:45:00,2021-01-23 18:30:00,0.8,10.22
33,2021-01-23 19:00:00,2021-01-23 19:45:00,0.79,9.97
34,2021-01-23 20:30:00,2021-01-23 21:15:00,0.64,8.2
35,2021-01-23 22:15:00,2021-01-23 22:15:00,0.12,0.57
36,2021-01-23 22:45:00,2021-01-23 23:15:00,0.61,0.87
37,2021-01-24 00:00:00,2021-01-24 00:00:00,0.12,0.81
38,2021-01-24 00:30:00,2021-01-24 00:30:00,0.12,1.13
39,2021-01-24 01:00:00,2021-01-24 01:45:00,1.0,2.31
40,2021-01-24 02:15:00,2021-01-24 02:30:00,0.33,3.59
41,2021-01-24 03:00:00,2021-01-24 04:00:00,1.25,3.86
42,2021-01-24 04:30:00,2021-01-24 04:30:00,0.12,0.95
43,2021-01-24 05:00:00,2021-01-24 07:15:00,2.09,25.86
44,2021-01-24 07:45:00,2021-01-24 09:15:00,1.44,17.8
45,2021-01-24 09:45:00,2021-01-24 11:00:00,1.23,15.14
46,2021-01-24 11:45:00,2021-01-24 12:30:00,0.83,10.62
47,2021-01-24 13:00:00,2021-01-24 18:00:00,5.12,40.28
48,2021-01-24 18:30:00,2021-01-24 19:00:00,0.54,6.57
49,2021-01-24 19:30:00,2021-01-24 20:15:00,0.65,7.84
50,2021-01-24 20:45:00,2021-01-25 07:15:00,10.31,75.38
51,2021-01-25 09:00:00,2021-01-25 09:45:00,0.83,2.57
52,2021-01-25 11:00:00,2021-01-25 12:45:00,1.8,12.79
53,2021-01-25 13:30:00,2021-01-25 14:15:00,0.75,9.53
54,2021-01-25 15:00:00,2021-01-25 15:45:00,0.81,10.24
55,2021-01-25 18:30:00,2021-01-25 21:15:00,2.98,9.25
56,2021-01-25 21:45:00,2021-01-26 06:15:00,8.52,58.91
57,2021-01-26 06:45:00,2021-01-26 08:30:00,1.71,20.92
58,2021-01-26 09:15:00,2021-01-26 09:45:00,0.51,6.32
59,2021-01-26 11:00:00,2021-01-26 12:30:00,1.53,18.9
60,2021-01-26 13:15:00,2021-01-26 14:00:00,0.88,11.03
61,2021-01-26 15:00:00,2021-01-26 15:45:00,0.86,10.72
62,2021-01-26 16:30:00,2021-01-26 16:45:00,0.28,3.4
63,2021-01-26 18:15:00,2021-01-27 06:00:00,11.98,114.08
64,2021-01-27 06:45:00,2021-01-27 07:45:00,1.01,12.27
65,2021-01-27 09:30:00,2021-01-27 09:45:00,0.36,1.17
66,2021-01-27 11:00:00,2021-01-27 12:15:00,1.5,5.93
67,2021-01-27 13:15:00,2021-01-27 14:30:00,1.13,13.98
68,2021-01-27 15:15:00,2021-01-27 16:00:00,0.79,10.17
69,2021-01-27 16:45:00,2021-01-27 16:45:00,0.12,1.35
70,2021-01-27 18:15:00,2021-01-27 20:15:00,1.99,24.73
71,2021-01-27 21:00:00,2021-01-28 06:00:00,9.1,60.83
72,2021-01-28 08:15:00,2021-01-28 09:45:00,1.63,20.16
73,2021-01-28 11:00:00,2021-01-28 12:45:00,1.96,25.91
74,2021-01-28 18:15:00,2021-01-28 20:30:00,2.27,29.17
75,2021-01-28 23:15:00,2021-01-28 23:30:00,0.47,4.7
76,2021-01-29 01:30:00,2021-01-29 01:30:00,0.12,1.92
77,2021-01-29 03:00:00,2021-01-29 03:15:00,0.3,3.24
78,2021-01-29 04:30:00,2021-01-29 04:30:00,0.12,1.52
79,2021-01-29 05:15:00,2021-01-29 06:00:00,0.73,9.52
80,2021-01-29 09:30:00,2021-01-29 09:45:00,0.38,4.52
81,2021-01-29 11:00:00,2021-01-29 14:00:00,3.04,37.88
82,2021-01-29 18:15:00,2021-01-29 18:45:00,0.59,7.31
83,2021-01-29 21:30:00,2021-01-29 22:00:00,0.64,7.95
84,2021-01-29 23:15:00,2021-01-29 23:15:00,0.12,3.1
85,2021-01-30 00:15:00,2021-01-30 00:30:00,0.36,2.66
86,2021-01-30 01:15:00,2021-01-30 01:30:00,0.28,2.32
87,2021-01-30 02:30:00,2021-01-30 02:30:00,0.12,2.4
88,2021-01-30 03:30:00,2021-01-30 03:45:00,0.31,2.15
89,2021-01-30 04:30:00,2021-01-30 04:45:00,0.34,2.76
90,2021-01-30 05:15:00,2021-01-30 07:00:00,1.71,21.64
91,2021-01-30 10:30:00,2021-01-30 13:30:00,2.81,35.26
92,2021-01-30 17:00:00,2021-01-30 19:45:00,2.59,32.72
93,2021-01-30 21:45:00,2021-01-30 22:15:00,0.4,5.0
94,2021-01-30 23:15:00,2021-01-30 23:30:00,0.31,2.68
95,2021-01-31 00:30:00,2021-01-31 00:30:00,0.12,2.19
96,2021-01-31 01:30:00,2021-01-31 01:45:00,0.39,2.83
97,2021-01-31 02:30:00,2021-01-31 02:45:00,0.32,1.57
