cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-05-09 01:00:00,2022-05-09 01:00:00,0.12,0.37
1,2022-05-09 02:15:00,2022-05-09 03:15:00,1.03,3.74
2,2022-05-09 19:45:00,2022-05-09 20:45:00,1.1,3.97
3,2022-05-10 04:30:00,2022-05-10 04:30:00,0.12,0.35
4,2022-05-10 06:00:00,2022-05-10 06:00:00,0.12,0.39
5,2022-05-10 15:15:00,2022-05-10 16:00:00,0.88,3.22
6,2022-05-11 12:00:00,2022-05-11 12:45:00,0.86,3.22
7,2022-05-12 07:45:00,2022-05-12 08:00:00,0.45,0.33
8,2022-05-12 08:30:00,2022-05-12 09:15:00,0.86,3.27
9,2022-05-13 07:00:00,2022-05-13 07:45:00,0.92,3.46
10,2022-05-14 07:45:00,2022-05-14 08:00:00,0.37,0.37
11,2022-05-14 08:45:00,2022-05-14 09:45:00,0.92,3.38
12,2022-05-15 09:00:00,2022-05-15 09:45:00,0.89,3.24
13,2022-05-16 02:30:00,2022-05-16 03:15:00,0.8,2.98
14,2022-05-17 05:30:00,2022-05-17 06:30:00,1.1,4.09
15,2022-05-18 06:15:00,2022-05-18 07:00:00,0.92,3.41
16,2022-05-19 10:45:00,2022-05-19 10:45:00,0.12,0.6
17,2022-05-19 12:00:00,2022-05-19 12:15:00,0.48,1.72
18,2022-05-20 05:15:00,2022-05-20 05:45:00,0.61,2.38
19,2022-05-21 05:45:00,2022-05-21 06:15:00,0.52,1.97
20,2022-05-21 21:30:00,2022-05-21 22:00:00,0.56,2.22
21,2022-05-22 19:30:00,2022-05-22 20:15:00,0.65,2.49
22,2022-05-23 22:30:00,2022-05-23 23:30:00,0.97,3.49
23,2022-05-24 14:00:00,2022-05-24 14:00:00,0.12,0.33
24,2022-05-24 15:30:00,2022-05-24 15:45:00,0.36,0.38
25,2022-05-24 19:15:00,2022-05-24 20:15:00,1.2,4.28
26,2022-05-25 03:30:00,2022-05-25 03:45:00,0.49,0.36
27,2022-05-25 05:00:00,2022-05-25 05:00:00,0.12,0.35
28,2022-05-25 12:00:00,2022-05-25 12:45:00,0.94,3.49
29,2022-05-26 00:45:00,2022-05-26 00:45:00,0.12,0.37
30,2022-05-26 02:00:00,2022-05-26 02:00:00,0.12,0.4
31,2022-05-26 03:15:00,2022-05-26 03:15:00,0.12,0.37
32,2022-05-26 04:45:00,2022-05-26 04:45:00,0.12,0.39
33,2022-05-26 08:00:00,2022-05-26 09:00:00,1.01,3.78
34,2022-05-27 01:00:00,2022-05-27 01:00:00,0.12,0.39
35,2022-05-27 02:00:00,2022-05-27 03:00:00,1.12,4.05
36,2022-05-27 21:45:00,2022-05-27 22:30:00,0.9,3.38
37,2022-05-28 12:15:00,2022-05-28 13:15:00,1.14,4.14
38,2022-05-28 22:30:00,2022-05-28 22:30:00,0.12,0.37
39,2022-05-28 23:45:00,2022-05-28 23:45:00,0.12,0.35
40,2022-05-29 00:30:00,2022-05-29 00:45:00,0.4,0.42
41,2022-05-29 02:00:00,2022-05-29 02:15:00,0.41,0.43
42,2022-05-29 03:30:00,2022-05-29 03:30:00,0.12,0.33
43,2022-05-29 04:30:00,2022-05-29 06:00:00,1.65,4.94
44,2022-05-29 18:30:00,2022-05-29 18:30:00,0.12,0.38
45,2022-05-29 19:15:00,2022-05-29 19:30:00,0.45,0.41
46,2022-05-29 20:15:00,2022-05-29 20:30:00,0.4,0.43
47,2022-05-29 21:30:00,2022-05-29 21:30:00,0.12,0.38
48,2022-05-29 22:15:00,2022-05-30 00:00:00,1.92,5.32
49,2022-05-30 04:15:00,2022-05-30 04:15:00,0.12,0.4
50,2022-05-30 05:00:00,2022-05-30 05:15:00,0.35,0.43
51,2022-05-30 06:00:00,2022-05-30 06:15:00,0.39,0.4
52,2022-05-30 13:00:00,2022-05-30 13:45:00,0.87,3.26
53,2022-05-31 00:45:00,2022-05-31 00:45:00,0.12,0.3
54,2022-05-31 01:45:00,2022-05-31 01:45:00,0.12,0.33
55,2022-05-31 03:00:00,2022-05-31 03:00:00,0.12,0.39
56,2022-05-31 04:30:00,2022-05-31 04:45:00,0.37,0.39
57,2022-05-31 07:00:00,2022-05-31 08:00:00,1.08,3.87
58,2022-05-31 22:15:00,2022-05-31 22:30:00,0.36,0.38
59,2022-05-31 23:30:00,2022-05-31 23:30:00,0.12,0.28
60,2022-06-01 01:00:00,2022-06-01 01:15:00,0.35,0.38
61,2022-06-01 02:30:00,2022-06-01 02:30:00,0.12,0.36
62,2022-06-01 04:15:00,2022-06-01 04:15:00,0.12,0.4
63,2022-06-01 05:00:00,2022-06-01 06:00:00,1.06,3.92
64,2022-06-01 19:45:00,2022-06-01 20:45:00,1.04,3.88
65,2022-06-02 14:45:00,2022-06-02 15:30:00,0.76,2.89
66,2022-06-03 09:30:00,2022-06-03 10:15:00,0.89,3.32
67,2022-06-04 02:45:00,2022-06-04 02:45:00,0.12,0.33
68,2022-06-04 04:15:00,2022-06-04 05:15:00,1.05,3.78
69,2022-06-05 03:00:00,2022-06-05 03:30:00,0.55,2.26
70,2022-06-05 20:15:00,2022-06-05 21:15:00,0.99,3.69
71,2022-06-06 06:00:00,2022-06-06 06:00:00,0.12,0.27
72,2022-06-06 12:30:00,2022-06-06 13:30:00,0.92,3.52
