cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-23 23:00:00,2021-01-23 23:30:00,0.59,4.67
1,2021-01-24 00:30:00,2021-01-24 01:15:00,0.73,5.54
2,2021-01-24 02:00:00,2021-01-24 04:15:00,2.15,16.97
3,2021-01-24 05:00:00,2021-01-24 09:00:00,4.0,25.36
4,2021-01-24 10:30:00,2021-01-24 11:00:00,0.67,4.26
5,2021-01-24 12:00:00,2021-01-24 12:30:00,0.49,2.75
6,2021-01-24 13:15:00,2021-01-24 15:00:00,1.71,12.52
7,2021-01-24 15:45:00,2021-01-24 17:45:00,1.84,14.86
8,2021-01-24 18:15:00,2021-01-24 19:15:00,0.95,7.59
9,2021-01-24 20:00:00,2021-01-24 21:00:00,0.87,7.19
10,2021-01-24 21:45:00,2021-01-24 22:45:00,1.02,6.92
11,2021-01-24 23:30:00,2021-01-25 00:15:00,0.75,6.08
12,2021-01-25 01:15:00,2021-01-25 02:00:00,0.77,5.7
13,2021-01-25 02:45:00,2021-01-25 04:15:00,1.44,11.78
14,2021-01-25 04:45:00,2021-01-25 06:00:00,1.21,9.34
15,2021-01-25 06:30:00,2021-01-25 08:15:00,1.69,12.91
16,2021-01-25 09:00:00,2021-01-25 10:15:00,1.25,11.31
17,2021-01-25 11:15:00,2021-01-25 11:45:00,0.52,3.92
18,2021-01-25 13:00:00,2021-01-25 16:30:00,3.57,25.09
19,2021-01-25 17:15:00,2021-01-25 18:15:00,0.97,6.85
20,2021-01-25 19:00:00,2021-01-25 20:00:00,1.03,7.84
21,2021-01-25 20:45:00,2021-01-25 21:30:00,0.83,7.36
22,2021-01-25 22:15:00,2021-01-25 23:00:00,0.69,5.52
23,2021-01-26 00:00:00,2021-01-26 01:00:00,1.08,8.26
24,2021-01-26 01:45:00,2021-01-26 02:30:00,0.8,6.54
25,2021-01-26 03:00:00,2021-01-26 07:30:00,4.48,32.33
26,2021-01-26 08:15:00,2021-01-26 10:45:00,2.41,15.9
27,2021-01-26 11:30:00,2021-01-26 12:45:00,1.17,7.19
28,2021-01-26 13:45:00,2021-01-26 16:15:00,2.56,19.42
29,2021-01-26 17:00:00,2021-01-26 18:45:00,1.75,13.66
30,2021-01-26 19:15:00,2021-01-26 20:15:00,1.05,8.12
31,2021-01-26 21:00:00,2021-01-26 22:00:00,1.09,8.37
32,2021-01-26 22:45:00,2021-01-26 23:45:00,1.08,8.4
33,2021-01-27 00:15:00,2021-01-27 01:00:00,0.66,5.84
34,2021-01-27 01:30:00,2021-01-27 02:45:00,1.37,10.12
35,2021-01-27 03:15:00,2021-01-27 05:15:00,2.0,16.43
36,2021-01-27 05:45:00,2021-01-27 07:00:00,1.27,11.45
37,2021-01-27 07:30:00,2021-01-27 09:15:00,1.75,12.63
38,2021-01-27 10:00:00,2021-01-27 11:00:00,0.94,6.82
39,2021-01-27 11:45:00,2021-01-27 13:00:00,1.19,8.04
40,2021-01-27 13:30:00,2021-01-27 17:45:00,4.13,26.85
41,2021-01-27 18:30:00,2021-01-27 19:15:00,0.75,6.24
42,2021-01-27 20:00:00,2021-01-27 21:00:00,0.95,6.59
43,2021-01-27 21:45:00,2021-01-27 22:30:00,0.69,4.84
44,2021-01-27 23:15:00,2021-01-27 23:30:00,0.44,2.18
45,2021-01-28 00:15:00,2021-01-28 01:00:00,0.75,5.51
46,2021-01-28 01:45:00,2021-01-28 02:30:00,0.67,4.39
47,2021-01-28 03:00:00,2021-01-28 05:00:00,1.79,11.73
48,2021-01-28 05:30:00,2021-01-28 06:45:00,1.21,9.07
49,2021-01-28 07:30:00,2021-01-28 09:15:00,1.77,12.45
50,2021-01-28 10:15:00,2021-01-28 11:00:00,0.7,5.67
51,2021-01-28 12:00:00,2021-01-28 12:30:00,0.46,2.5
52,2021-01-28 13:15:00,2021-01-28 14:00:00,0.73,4.61
53,2021-01-28 14:45:00,2021-01-28 16:00:00,1.2,8.33
54,2021-01-28 16:45:00,2021-01-28 17:45:00,0.93,6.67
55,2021-01-28 18:45:00,2021-01-28 19:30:00,0.76,5.85
56,2021-01-28 20:30:00,2021-01-28 21:15:00,0.75,5.41
57,2021-01-28 22:30:00,2021-01-28 22:45:00,0.47,2.04
58,2021-01-28 23:30:00,2021-01-29 00:00:00,0.41,2.24
59,2021-01-29 00:30:00,2021-01-29 01:00:00,0.41,2.26
60,2021-01-29 01:30:00,2021-01-29 02:15:00,0.64,4.07
61,2021-01-29 03:00:00,2021-01-29 04:15:00,1.2,8.56
62,2021-01-29 05:15:00,2021-01-29 05:45:00,0.57,3.1
63,2021-01-29 06:30:00,2021-01-29 07:30:00,1.1,9.23
64,2021-01-29 08:15:00,2021-01-29 09:15:00,0.9,6.86
65,2021-01-29 10:15:00,2021-01-29 11:00:00,0.72,5.48
66,2021-01-29 11:45:00,2021-01-29 12:30:00,0.67,4.22
67,2021-01-29 13:30:00,2021-01-29 14:30:00,1.06,6.86
68,2021-01-29 15:30:00,2021-01-29 16:45:00,1.23,8.54
69,2021-01-29 17:30:00,2021-01-29 18:30:00,0.95,6.35
70,2021-01-29 19:15:00,2021-01-29 20:00:00,0.75,5.82
71,2021-01-29 20:45:00,2021-01-29 21:15:00,0.46,2.54
72,2021-01-29 22:00:00,2021-01-29 22:30:00,0.36,2.01
73,2021-01-29 23:00:00,2021-01-29 23:15:00,0.49,2.41
74,2021-01-30 00:00:00,2021-01-30 00:45:00,0.72,4.82
75,2021-01-30 01:30:00,2021-01-30 02:30:00,0.98,6.16
76,2021-01-30 03:15:00,2021-01-30 04:15:00,0.97,7.72
77,2021-01-30 04:45:00,2021-01-30 06:00:00,1.06,7.63
78,2021-01-30 06:30:00,2021-01-30 07:30:00,1.07,9.06
79,2021-01-30 08:30:00,2021-01-30 09:30:00,1.03,8.08
80,2021-01-30 10:30:00,2021-01-30 10:45:00,0.44,2.13
81,2021-01-30 11:30:00,2021-01-30 12:00:00,0.57,4.59
82,2021-01-30 13:00:00,2021-01-30 15:15:00,2.13,14.87
83,2021-01-30 16:15:00,2021-01-30 17:15:00,0.92,7.48
84,2021-01-30 18:00:00,2021-01-30 18:45:00,0.81,6.7
85,2021-01-30 19:30:00,2021-01-30 20:15:00,0.68,4.67
86,2021-01-30 21:15:00,2021-01-30 21:45:00,0.41,2.28
87,2021-01-30 22:30:00,2021-01-30 23:00:00,0.56,3.06
88,2021-01-30 23:45:00,2021-01-31 00:15:00,0.69,4.03
89,2021-01-31 01:15:00,2021-01-31 02:00:00,0.74,5.05
90,2021-01-31 02:30:00,2021-01-31 03:45:00,1.19,8.64
91,2021-01-31 04:30:00,2021-01-31 05:30:00,0.94,7.33
92,2021-01-31 06:00:00,2021-01-31 07:15:00,1.1,8.04
93,2021-01-31 07:45:00,2021-01-31 08:45:00,0.95,7.12
94,2021-01-31 10:15:00,2021-01-31 10:45:00,0.52,2.86
95,2021-01-31 11:30:00,2021-01-31 12:00:00,0.41,2.23
96,2021-01-31 13:00:00,2021-01-31 13:45:00,0.76,4.73
97,2021-01-31 14:30:00,2021-01-31 15:30:00,0.98,7.83
98,2021-01-31 16:15:00,2021-01-31 17:15:00,1.08,7.53
99,2021-01-31 18:15:00,2021-01-31 19:00:00,0.81,5.92
100,2021-01-31 19:45:00,2021-01-31 20:45:00,0.92,6.53
101,2021-01-31 21:45:00,2021-01-31 22:00:00,0.39,1.92
102,2021-01-31 22:30:00,2021-01-31 23:00:00,0.43,2.38
103,2021-01-31 23:45:00,2021-02-01 00:30:00,0.79,5.12
104,2021-02-01 01:15:00,2021-02-01 01:45:00,0.47,2.66
105,2021-02-01 02:15:00,2021-02-01 03:45:00,1.58,11.4
106,2021-02-01 04:45:00,2021-02-01 05:45:00,0.92,7.05
107,2021-02-01 06:15:00,2021-02-01 07:30:00,1.12,8.56
108,2021-02-01 08:15:00,2021-02-01 09:15:00,0.95,6.75
109,2021-02-01 10:15:00,2021-02-01 10:45:00,0.59,4.96
110,2021-02-01 12:15:00,2021-02-01 13:30:00,1.39,6.22
111,2021-02-01 14:30:00,2021-02-01 16:00:00,1.6,10.21
112,2021-02-01 16:45:00,2021-02-01 17:45:00,0.93,6.9
113,2021-02-01 18:30:00,2021-02-01 19:30:00,0.92,5.9
114,2021-02-01 20:30:00,2021-02-01 21:15:00,0.77,5.83
115,2021-02-01 22:15:00,2021-02-01 22:45:00,0.38,2.09
116,2021-02-01 23:30:00,2021-02-01 23:45:00,0.4,1.9
117,2021-02-02 00:30:00,2021-02-02 00:45:00,0.4,1.98
118,2021-02-02 01:30:00,2021-02-02 02:00:00,0.45,2.44
119,2021-02-02 02:30:00,2021-02-02 04:15:00,1.78,10.9
120,2021-02-02 05:00:00,2021-02-02 06:45:00,1.84,11.98
121,2021-02-02 07:30:00,2021-02-02 08:30:00,1.0,6.94
122,2021-02-02 09:15:00,2021-02-02 10:00:00,0.73,5.58
123,2021-02-02 10:45:00,2021-02-02 11:15:00,0.38,2.06
124,2021-02-02 12:00:00,2021-02-02 12:30:00,0.35,1.88
125,2021-02-02 13:30:00,2021-02-02 14:15:00,0.85,5.42
126,2021-02-02 15:00:00,2021-02-02 16:15:00,1.17,8.69
127,2021-02-02 17:00:00,2021-02-02 18:00:00,0.9,6.57
128,2021-02-02 18:45:00,2021-02-02 19:30:00,0.67,4.82
129,2021-02-02 20:30:00,2021-02-02 21:15:00,0.71,5.53
130,2021-02-02 22:30:00,2021-02-02 22:45:00,0.44,2.16
131,2021-02-02 23:45:00,2021-02-03 00:00:00,0.45,1.55
132,2021-02-03 00:45:00,2021-02-03 01:00:00,0.38,1.81
133,2021-02-03 01:30:00,2021-02-03 02:15:00,0.69,4.77
134,2021-02-03 03:00:00,2021-02-03 04:15:00,1.1,8.57
135,2021-02-03 05:00:00,2021-02-03 05:45:00,0.82,6.37
136,2021-02-03 06:30:00,2021-02-03 07:45:00,1.13,8.41
137,2021-02-03 08:30:00,2021-02-03 09:15:00,0.66,5.04
138,2021-02-03 10:30:00,2021-02-03 10:45:00,0.39,1.86
139,2021-02-03 11:30:00,2021-02-03 12:00:00,0.56,3.0
140,2021-02-03 12:45:00,2021-02-03 13:15:00,0.41,2.24
141,2021-02-03 14:00:00,2021-02-03 15:15:00,1.29,10.68
142,2021-02-03 16:15:00,2021-02-03 17:00:00,0.78,6.46
143,2021-02-03 18:00:00,2021-02-03 18:45:00,0.75,5.72
144,2021-02-03 19:45:00,2021-02-03 20:30:00,0.77,5.96
145,2021-02-03 21:15:00,2021-02-03 22:00:00,0.6,4.49
146,2021-02-04 00:00:00,2021-02-04 00:15:00,0.42,1.72
147,2021-02-04 01:00:00,2021-02-04 01:30:00,0.4,2.19
148,2021-02-04 02:15:00,2021-02-04 04:15:00,2.06,11.23
149,2021-02-04 04:45:00,2021-02-04 06:00:00,1.27,9.9
150,2021-02-04 06:30:00,2021-02-04 07:30:00,0.98,9.02
151,2021-02-04 08:15:00,2021-02-04 09:15:00,0.86,6.37
152,2021-02-04 10:30:00,2021-02-04 10:45:00,0.39,2.09
153,2021-02-04 11:30:00,2021-02-04 11:45:00,0.31,1.09
154,2021-02-04 12:45:00,2021-02-04 13:00:00,0.43,2.27
155,2021-02-04 13:45:00,2021-02-04 14:45:00,0.98,6.16
156,2021-02-04 15:30:00,2021-02-04 16:30:00,1.01,8.09
157,2021-02-04 17:15:00,2021-02-04 18:15:00,0.93,7.18
158,2021-02-04 19:00:00,2021-02-04 19:45:00,0.78,6.67
159,2021-02-04 20:45:00,2021-02-04 21:30:00,0.72,5.8
160,2021-02-04 22:45:00,2021-02-04 23:00:00,0.45,2.45
161,2021-02-04 23:45:00,2021-02-05 00:45:00,0.9,5.42
162,2021-02-05 01:15:00,2021-02-05 02:00:00,0.65,4.9
163,2021-02-05 02:45:00,2021-02-05 04:15:00,1.36,10.53
164,2021-02-05 04:45:00,2021-02-05 05:45:00,1.01,8.3
165,2021-02-05 06:30:00,2021-02-05 07:45:00,1.19,9.84
166,2021-02-05 08:30:00,2021-02-05 09:15:00,0.72,4.59
167,2021-02-05 10:15:00,2021-02-05 10:45:00,0.43,2.34
168,2021-02-05 11:30:00,2021-02-05 12:00:00,0.35,1.89
169,2021-02-05 12:45:00,2021-02-05 13:00:00,0.32,1.34
170,2021-02-05 14:00:00,2021-02-05 14:30:00,0.46,2.46
171,2021-02-05 15:00:00,2021-02-05 15:45:00,0.77,5.55
172,2021-02-05 16:30:00,2021-02-05 17:30:00,0.95,7.17
173,2021-02-05 18:30:00,2021-02-05 19:15:00,0.79,6.64
174,2021-02-05 20:15:00,2021-02-05 21:00:00,0.71,5.8
