cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 01:15:00,1.49,1.29
1,2021-01-01 01:45:00,2021-01-01 04:00:00,2.42,2.07
2,2021-01-01 04:45:00,2021-01-01 09:45:00,5.06,11.41
3,2021-01-01 11:15:00,2021-01-01 13:30:00,2.45,4.43
4,2021-01-01 14:00:00,2021-01-01 19:15:00,5.38,10.88
5,2021-01-01 23:00:00,2021-01-02 01:15:00,2.49,2.34
6,2021-01-02 01:45:00,2021-01-02 04:00:00,2.42,2.09
7,2021-01-02 04:45:00,2021-01-02 10:30:00,5.95,12.4
8,2021-01-02 12:00:00,2021-01-02 14:00:00,2.07,4.72
9,2021-01-02 15:45:00,2021-01-02 18:00:00,2.27,3.62
10,2021-01-02 18:30:00,2021-01-02 19:30:00,0.88,2.21
11,2021-01-02 23:00:00,2021-01-03 01:15:00,2.45,3.47
12,2021-01-03 01:45:00,2021-01-03 04:15:00,2.63,2.18
13,2021-01-03 04:45:00,2021-01-03 10:30:00,5.9,13.5
14,2021-01-03 12:15:00,2021-01-03 19:30:00,7.33,13.99
15,2021-01-03 23:00:00,2021-01-04 01:15:00,2.49,2.63
16,2021-01-04 01:45:00,2021-01-04 04:00:00,2.41,2.06
17,2021-01-04 04:45:00,2021-01-04 09:45:00,5.25,12.64
18,2021-01-04 10:30:00,2021-01-04 12:15:00,1.95,4.43
19,2021-01-04 13:00:00,2021-01-04 16:15:00,3.34,6.33
20,2021-01-04 17:45:00,2021-01-04 19:30:00,1.68,4.18
21,2021-01-04 23:00:00,2021-01-05 01:15:00,2.49,2.4
22,2021-01-05 01:45:00,2021-01-05 04:00:00,2.41,2.03
23,2021-01-05 04:45:00,2021-01-05 09:45:00,5.25,12.31
24,2021-01-05 10:30:00,2021-01-05 12:00:00,1.7,3.72
25,2021-01-05 13:00:00,2021-01-05 16:30:00,3.63,6.63
26,2021-01-05 17:30:00,2021-01-05 19:15:00,1.88,4.23
27,2021-01-05 23:00:00,2021-01-06 01:15:00,2.44,3.39
28,2021-01-06 01:45:00,2021-01-06 04:00:00,2.42,1.99
29,2021-01-06 04:45:00,2021-01-06 09:45:00,5.25,12.06
30,2021-01-06 10:30:00,2021-01-06 11:30:00,1.15,2.15
31,2021-01-06 12:45:00,2021-01-06 19:30:00,6.66,11.71
