cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-23 03:00:00,2021-01-23 10:00:00,7.1,15.98
1,2021-01-23 10:30:00,2021-01-23 12:15:00,1.79,4.92
2,2021-01-23 14:00:00,2021-01-23 21:15:00,7.19,16.8
3,2021-01-24 03:00:00,2021-01-24 21:15:00,18.22,44.32
4,2021-01-25 03:00:00,2021-01-25 09:45:00,6.86,16.48
5,2021-01-25 11:00:00,2021-01-25 21:15:00,10.22,24.33
6,2021-01-26 03:00:00,2021-01-26 09:45:00,6.86,16.4
7,2021-01-26 11:00:00,2021-01-26 21:15:00,10.15,25.48
8,2021-01-27 00:45:00,2021-01-27 09:45:00,9.22,21.58
9,2021-01-27 11:00:00,2021-01-27 21:15:00,10.24,24.34
10,2021-01-28 03:00:00,2021-01-28 08:00:00,5.08,11.37
11,2021-01-28 09:00:00,2021-01-28 09:45:00,0.82,2.24
12,2021-01-28 11:00:00,2021-01-28 12:15:00,1.25,3.81
13,2021-01-28 14:15:00,2021-01-28 14:45:00,0.55,1.23
14,2021-01-28 16:15:00,2021-01-28 16:45:00,0.54,1.22
15,2021-01-28 18:00:00,2021-01-28 18:30:00,0.42,0.94
16,2021-01-28 20:30:00,2021-01-28 21:00:00,0.51,1.15
17,2021-01-28 22:45:00,2021-01-28 23:30:00,0.76,4.33
18,2021-01-29 03:00:00,2021-01-29 04:15:00,1.33,2.96
19,2021-01-29 04:45:00,2021-01-29 05:45:00,1.23,3.25
20,2021-01-29 06:45:00,2021-01-29 07:15:00,0.57,1.27
21,2021-01-29 08:30:00,2021-01-29 09:00:00,0.6,1.35
22,2021-01-29 11:00:00,2021-01-29 13:15:00,2.24,5.23
23,2021-01-29 14:30:00,2021-01-29 20:30:00,6.09,15.69
24,2021-01-29 21:45:00,2021-01-29 22:30:00,0.9,5.06
25,2021-01-30 03:00:00,2021-01-30 09:15:00,6.34,14.95
26,2021-01-30 10:00:00,2021-01-30 12:30:00,2.52,6.89
27,2021-01-30 13:30:00,2021-01-30 14:45:00,1.29,3.15
28,2021-01-30 15:30:00,2021-01-30 17:00:00,1.41,3.45
29,2021-01-30 18:00:00,2021-01-30 20:00:00,2.08,4.91
30,2021-01-30 21:00:00,2021-01-30 22:00:00,0.99,3.28
31,2021-01-31 03:00:00,2021-01-31 08:30:00,5.61,13.33
32,2021-01-31 09:45:00,2021-01-31 10:45:00,0.97,2.34
33,2021-01-31 11:30:00,2021-01-31 12:30:00,1.12,3.68
34,2021-01-31 14:30:00,2021-01-31 15:00:00,0.58,1.36
35,2021-01-31 16:15:00,2021-01-31 21:15:00,5.07,13.72
36,2021-02-01 03:00:00,2021-02-01 08:00:00,5.11,11.84
37,2021-02-01 09:30:00,2021-02-01 09:45:00,0.49,1.17
38,2021-02-01 11:00:00,2021-02-01 12:30:00,1.54,4.5
39,2021-02-01 13:30:00,2021-02-01 14:15:00,0.73,1.73
40,2021-02-01 15:15:00,2021-02-01 16:00:00,0.73,1.72
41,2021-02-01 17:15:00,2021-02-01 17:45:00,0.69,1.63
42,2021-02-01 19:00:00,2021-02-01 19:45:00,0.76,1.81
43,2021-02-01 20:45:00,2021-02-01 21:15:00,0.49,1.13
44,2021-02-01 22:15:00,2021-02-01 23:15:00,0.96,3.22
45,2021-02-02 03:00:00,2021-02-02 04:45:00,1.81,4.21
46,2021-02-02 05:45:00,2021-02-02 06:30:00,0.81,1.9
47,2021-02-02 07:30:00,2021-02-02 08:15:00,0.75,1.76
48,2021-02-02 09:45:00,2021-02-02 09:45:00,0.12,0.31
49,2021-02-02 11:15:00,2021-02-02 12:00:00,0.69,1.59
50,2021-02-02 14:30:00,2021-02-02 15:45:00,1.35,4.12
51,2021-02-02 17:00:00,2021-02-02 17:30:00,0.54,1.21
52,2021-02-02 18:45:00,2021-02-02 19:15:00,0.53,1.2
53,2021-02-02 20:30:00,2021-02-02 21:00:00,0.51,1.16
54,2021-02-03 03:00:00,2021-02-03 04:30:00,1.51,3.49
55,2021-02-03 05:15:00,2021-02-03 07:00:00,1.67,4.74
56,2021-02-03 07:45:00,2021-02-03 08:30:00,0.66,1.53
57,2021-02-03 09:30:00,2021-02-03 09:45:00,0.49,1.14
58,2021-02-03 12:15:00,2021-02-03 12:30:00,0.49,1.04
59,2021-02-03 13:30:00,2021-02-03 14:30:00,0.97,2.27
60,2021-02-03 15:30:00,2021-02-03 16:00:00,0.73,1.7
61,2021-02-03 17:00:00,2021-02-03 18:30:00,1.48,4.4
62,2021-02-03 19:45:00,2021-02-03 20:15:00,0.62,1.44
63,2021-02-04 02:15:00,2021-02-04 09:30:00,7.34,17.72
64,2021-02-04 14:00:00,2021-02-04 14:30:00,0.54,1.26
65,2021-02-04 15:45:00,2021-02-04 16:15:00,0.61,1.43
66,2021-02-04 17:15:00,2021-02-04 20:00:00,2.91,7.82
67,2021-02-04 21:00:00,2021-02-04 21:15:00,0.34,0.71
68,2021-02-04 22:45:00,2021-02-04 23:15:00,0.56,3.12
69,2021-02-05 01:45:00,2021-02-05 02:15:00,0.64,1.44
70,2021-02-05 03:00:00,2021-02-05 09:00:00,5.94,16.97
71,2021-02-05 15:45:00,2021-02-05 19:00:00,3.14,7.51
72,2021-02-05 19:45:00,2021-02-05 21:00:00,1.31,3.14
73,2021-02-05 21:45:00,2021-02-05 22:30:00,0.82,4.63
74,2021-02-06 02:15:00,2021-02-06 09:30:00,7.26,17.82
75,2021-02-06 12:45:00,2021-02-06 13:15:00,0.54,1.25
76,2021-02-06 15:00:00,2021-02-06 15:30:00,0.58,1.3
77,2021-02-06 16:45:00,2021-02-06 17:30:00,0.69,1.57
78,2021-02-06 18:45:00,2021-02-06 20:30:00,1.89,5.28
79,2021-02-07 03:00:00,2021-02-07 08:00:00,4.99,11.13
80,2021-02-07 10:00:00,2021-02-07 11:30:00,1.48,4.47
81,2021-02-07 13:15:00,2021-02-07 13:45:00,0.6,1.36
82,2021-02-07 15:00:00,2021-02-07 15:45:00,0.91,2.08
83,2021-02-07 16:45:00,2021-02-07 18:45:00,2.15,4.95
84,2021-02-07 20:00:00,2021-02-07 21:45:00,1.88,5.22
85,2021-02-08 03:00:00,2021-02-08 09:45:00,6.9,15.27
86,2021-02-08 11:00:00,2021-02-08 12:15:00,1.25,3.76
87,2021-02-08 13:00:00,2021-02-08 15:45:00,2.82,6.46
88,2021-02-08 16:45:00,2021-02-08 21:15:00,4.58,11.44
89,2021-02-09 03:00:00,2021-02-09 09:45:00,6.89,15.34
90,2021-02-09 11:00:00,2021-02-09 21:15:00,10.26,25.73
91,2021-02-10 03:00:00,2021-02-10 09:45:00,6.89,15.42
92,2021-02-10 11:00:00,2021-02-10 21:15:00,10.43,26.37
93,2021-02-10 23:30:00,2021-02-11 12:00:00,12.66,55.02
94,2021-02-11 12:45:00,2021-02-11 22:00:00,9.18,37.61
95,2021-02-11 22:45:00,2021-02-12 09:00:00,10.39,52.14
96,2021-02-12 09:45:00,2021-02-12 09:45:00,0.12,0.56
97,2021-02-12 11:00:00,2021-02-12 23:15:00,12.31,34.2
98,2021-02-13 00:45:00,2021-02-13 08:30:00,7.88,41.77
99,2021-02-13 14:45:00,2021-02-14 11:45:00,21.16,46.61
100,2021-02-14 15:30:00,2021-02-15 09:00:00,17.74,38.6
101,2021-02-15 16:15:00,2021-02-15 17:45:00,1.43,3.04
102,2021-02-15 20:00:00,2021-02-15 21:30:00,1.69,3.64
103,2021-02-16 00:00:00,2021-02-16 01:15:00,1.46,3.07
104,2021-02-16 03:30:00,2021-02-16 04:45:00,1.49,3.17
105,2021-02-16 06:30:00,2021-02-16 07:45:00,1.44,3.01
106,2021-02-16 16:15:00,2021-02-16 17:45:00,1.55,3.29
107,2021-02-16 19:00:00,2021-02-16 20:45:00,1.65,3.52
108,2021-02-16 23:30:00,2021-02-17 00:00:00,0.6,1.27
109,2021-02-17 03:00:00,2021-02-17 04:15:00,1.16,2.43
110,2021-02-17 06:00:00,2021-02-17 06:45:00,0.76,1.62
111,2021-02-17 08:30:00,2021-02-17 09:00:00,0.52,1.1
112,2021-02-17 16:00:00,2021-02-17 16:45:00,0.79,1.67
