cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-06-27 02:00:00,2021-06-27 02:15:00,0.37,1.38
1,2021-06-27 04:00:00,2021-06-27 04:15:00,0.45,1.26
2,2021-06-27 15:00:00,2021-06-27 15:15:00,0.33,0.9
3,2021-06-28 17:15:00,2021-06-28 17:30:00,0.5,1.59
4,2021-06-30 02:00:00,2021-06-30 02:15:00,0.4,1.48
5,2021-06-30 14:30:00,2021-06-30 14:45:00,0.29,1.1
6,2021-07-01 04:45:00,2021-07-01 05:00:00,0.44,1.57
7,2021-07-02 14:30:00,2021-07-02 15:00:00,0.53,2.39
8,2021-07-03 02:00:00,2021-07-03 02:15:00,0.29,1.12
9,2021-07-03 14:30:00,2021-07-03 14:45:00,0.32,1.2
10,2021-07-04 14:30:00,2021-07-04 14:45:00,0.46,1.59
11,2021-07-05 14:30:00,2021-07-05 15:00:00,0.49,2.12
12,2021-07-06 17:15:00,2021-07-06 17:45:00,0.49,2.09
13,2021-07-07 14:30:00,2021-07-07 14:45:00,0.42,1.53
14,2021-07-08 15:00:00,2021-07-08 15:15:00,0.31,1.27
15,2021-07-09 02:00:00,2021-07-09 02:15:00,0.32,1.21
16,2021-07-09 14:30:00,2021-07-09 14:30:00,0.12,1.0
17,2021-07-09 18:00:00,2021-07-09 18:15:00,0.34,1.05
18,2021-07-10 06:00:00,2021-07-10 06:30:00,0.41,1.67
19,2021-07-11 14:30:00,2021-07-11 14:45:00,0.31,1.18
20,2021-07-12 17:30:00,2021-07-12 18:00:00,0.48,2.04
21,2021-07-13 19:15:00,2021-07-13 19:45:00,0.35,1.5
22,2021-07-14 14:30:00,2021-07-14 14:45:00,0.46,1.61
23,2021-07-15 04:45:00,2021-07-15 05:00:00,0.31,1.24
24,2021-07-16 14:30:00,2021-07-16 14:45:00,0.33,1.28
25,2021-07-16 15:30:00,2021-07-16 15:45:00,0.33,1.39
26,2021-07-17 07:00:00,2021-07-17 07:15:00,0.42,1.64
27,2021-07-18 14:30:00,2021-07-18 14:45:00,0.3,1.16
28,2021-07-19 19:00:00,2021-07-19 19:15:00,0.34,1.23
