cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-05-05 01:00:00,2022-05-05 01:15:00,0.35,0.97
1,2022-05-05 02:45:00,2022-05-05 03:15:00,0.65,1.82
2,2022-05-05 05:15:00,2022-05-05 05:45:00,0.61,1.66
3,2022-05-05 07:45:00,2022-05-05 08:30:00,0.7,1.96
4,2022-05-05 10:45:00,2022-05-05 10:45:00,0.12,0.6
5,2022-05-05 13:30:00,2022-05-05 14:00:00,0.55,1.48
6,2022-05-05 19:15:00,2022-05-05 19:45:00,0.57,1.58
7,2022-05-05 21:30:00,2022-05-05 22:00:00,0.58,1.62
8,2022-05-05 23:30:00,2022-05-06 00:00:00,0.59,1.66
9,2022-05-06 02:00:00,2022-05-06 02:30:00,0.6,1.68
10,2022-05-06 04:15:00,2022-05-06 04:45:00,0.59,1.64
11,2022-05-06 06:15:00,2022-05-06 07:00:00,0.7,1.99
12,2022-05-06 08:15:00,2022-05-06 09:00:00,0.63,1.79
13,2022-05-06 10:30:00,2022-05-06 10:45:00,0.3,0.83
14,2022-05-06 12:15:00,2022-05-06 12:45:00,0.58,1.65
15,2022-05-06 21:15:00,2022-05-06 21:45:00,0.52,1.37
16,2022-05-07 00:15:00,2022-05-07 00:45:00,0.52,1.44
17,2022-05-07 02:45:00,2022-05-07 03:15:00,0.55,1.55
18,2022-05-07 05:00:00,2022-05-07 05:30:00,0.56,1.51
19,2022-05-07 07:15:00,2022-05-07 08:00:00,0.73,2.05
20,2022-05-07 10:00:00,2022-05-07 10:45:00,0.64,1.77
21,2022-05-07 21:30:00,2022-05-07 22:00:00,0.53,1.4
22,2022-05-08 00:15:00,2022-05-08 00:45:00,0.55,1.44
23,2022-05-08 02:45:00,2022-05-08 03:15:00,0.56,1.54
24,2022-05-08 05:00:00,2022-05-08 05:30:00,0.61,1.67
25,2022-05-08 07:30:00,2022-05-08 08:00:00,0.57,1.58
26,2022-05-08 21:45:00,2022-05-08 22:15:00,0.48,1.27
27,2022-05-09 00:00:00,2022-05-09 00:30:00,0.5,1.3
28,2022-05-09 02:15:00,2022-05-09 02:45:00,0.55,1.48
29,2022-05-09 04:30:00,2022-05-09 05:15:00,0.6,1.61
30,2022-05-09 06:45:00,2022-05-09 07:15:00,0.54,1.51
31,2022-05-09 08:45:00,2022-05-09 09:15:00,0.54,1.43
32,2022-05-10 03:00:00,2022-05-10 03:30:00,0.64,1.74
33,2022-05-10 05:00:00,2022-05-10 05:30:00,0.61,1.65
34,2022-05-10 06:45:00,2022-05-10 07:30:00,0.76,2.11
35,2022-05-11 06:15:00,2022-05-11 06:45:00,0.59,1.56
36,2022-05-14 05:45:00,2022-05-14 06:15:00,0.58,1.55
37,2022-05-15 04:45:00,2022-05-15 05:15:00,0.59,1.55
38,2022-05-15 07:15:00,2022-05-15 07:45:00,0.52,1.43
