cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 23:15:00,2021-01-22 23:45:00,0.56,1.16
1,2021-01-23 00:30:00,2021-01-23 00:45:00,0.41,0.88
2,2021-01-23 01:30:00,2021-01-23 02:15:00,0.79,1.65
3,2021-01-23 03:15:00,2021-01-23 04:30:00,1.32,2.84
4,2021-01-23 05:15:00,2021-01-23 06:00:00,0.76,1.61
5,2021-01-23 06:45:00,2021-01-23 07:30:00,0.75,1.58
6,2021-01-23 08:30:00,2021-01-23 09:00:00,0.63,1.3
7,2021-01-23 10:00:00,2021-01-23 10:30:00,0.64,1.35
8,2021-01-23 11:30:00,2021-01-23 12:00:00,0.57,1.44
9,2021-01-23 12:45:00,2021-01-23 13:00:00,0.41,0.73
10,2021-01-23 14:30:00,2021-01-23 15:00:00,0.57,1.2
11,2021-01-23 16:15:00,2021-01-23 16:45:00,0.61,1.27
12,2021-01-23 17:15:00,2021-01-23 17:15:00,0.12,0.6
13,2021-01-23 18:15:00,2021-01-23 18:45:00,0.57,1.18
14,2021-01-23 19:45:00,2021-01-23 20:15:00,0.56,1.17
15,2021-01-23 21:00:00,2021-01-23 21:45:00,0.78,1.8
16,2021-01-23 22:15:00,2021-01-23 23:15:00,0.88,1.86
17,2021-01-24 00:00:00,2021-01-24 00:45:00,0.86,1.79
18,2021-01-24 01:30:00,2021-01-24 02:15:00,0.81,1.72
19,2021-01-24 03:00:00,2021-01-24 03:30:00,0.44,0.91
20,2021-01-24 04:00:00,2021-01-24 05:15:00,1.23,2.7
21,2021-01-24 06:00:00,2021-01-24 07:15:00,1.26,2.71
22,2021-01-24 08:15:00,2021-01-24 08:45:00,0.57,1.2
23,2021-01-24 10:00:00,2021-01-24 10:30:00,0.57,1.22
24,2021-01-24 13:00:00,2021-01-24 13:30:00,0.41,0.9
25,2021-01-24 15:45:00,2021-01-24 16:00:00,0.48,0.82
26,2021-01-24 16:45:00,2021-01-24 17:15:00,0.58,1.22
27,2021-01-24 18:15:00,2021-01-24 18:45:00,0.53,1.18
28,2021-01-24 19:30:00,2021-01-24 20:00:00,0.48,1.02
29,2021-01-24 20:30:00,2021-01-24 21:00:00,0.66,1.47
30,2021-01-24 22:00:00,2021-01-25 01:00:00,3.14,6.2
31,2021-01-25 02:00:00,2021-01-25 03:00:00,1.06,2.29
32,2021-01-25 04:00:00,2021-01-25 05:00:00,1.24,2.67
33,2021-01-25 06:00:00,2021-01-25 07:15:00,1.29,2.79
34,2021-01-25 08:30:00,2021-01-25 09:15:00,0.76,1.66
35,2021-01-25 11:00:00,2021-01-25 11:45:00,0.76,1.64
36,2021-01-25 12:45:00,2021-01-25 13:45:00,0.98,2.13
37,2021-01-25 14:30:00,2021-01-25 15:30:00,1.02,2.23
38,2021-01-25 16:30:00,2021-01-25 16:45:00,0.31,0.41
39,2021-01-25 18:15:00,2021-01-25 19:30:00,1.42,3.01
40,2021-01-25 20:30:00,2021-01-25 21:45:00,1.49,3.27
41,2021-01-25 22:30:00,2021-01-25 22:45:00,0.31,0.57
42,2021-01-25 23:15:00,2021-01-26 00:15:00,0.89,1.92
43,2021-01-26 01:15:00,2021-01-26 02:30:00,1.36,3.0
44,2021-01-26 03:30:00,2021-01-26 04:15:00,0.72,1.54
45,2021-01-26 05:00:00,2021-01-26 06:30:00,1.43,3.15
46,2021-01-26 07:15:00,2021-01-26 07:45:00,0.58,1.23
47,2021-01-26 08:30:00,2021-01-26 09:45:00,1.17,2.52
48,2021-01-26 11:00:00,2021-01-26 12:00:00,1.09,2.39
49,2021-01-26 13:45:00,2021-01-26 14:30:00,0.83,1.82
50,2021-01-26 15:45:00,2021-01-26 16:15:00,0.71,1.5
51,2021-01-26 18:15:00,2021-01-26 19:15:00,1.2,2.61
52,2021-01-26 20:15:00,2021-01-26 22:15:00,2.08,4.25
53,2021-01-26 23:00:00,2021-01-27 00:30:00,1.57,3.43
54,2021-01-27 01:30:00,2021-01-27 02:30:00,1.24,2.71
55,2021-01-27 03:45:00,2021-01-27 05:00:00,1.31,2.85
56,2021-01-27 06:00:00,2021-01-27 07:15:00,1.41,3.07
57,2021-01-27 08:30:00,2021-01-27 09:30:00,1.2,2.64
58,2021-01-27 11:00:00,2021-01-27 11:45:00,0.96,2.07
59,2021-01-27 13:00:00,2021-01-27 14:00:00,0.94,2.02
60,2021-01-27 15:30:00,2021-01-27 16:15:00,0.74,1.79
61,2021-01-27 18:15:00,2021-01-27 20:00:00,1.88,4.02
62,2021-01-27 21:00:00,2021-01-27 22:00:00,1.01,2.15
63,2021-01-27 22:30:00,2021-01-27 22:30:00,0.12,0.54
64,2021-01-27 23:15:00,2021-01-27 23:45:00,0.54,1.17
65,2021-01-28 00:30:00,2021-01-28 01:45:00,1.18,2.53
66,2021-01-28 02:45:00,2021-01-28 03:30:00,0.7,1.48
67,2021-01-28 04:15:00,2021-01-28 05:30:00,1.21,2.6
68,2021-01-28 06:30:00,2021-01-28 07:15:00,0.72,1.56
69,2021-01-28 08:15:00,2021-01-28 09:00:00,0.7,1.51
70,2021-01-28 11:00:00,2021-01-28 11:30:00,0.55,1.15
71,2021-01-28 12:30:00,2021-01-28 13:15:00,0.66,1.44
72,2021-01-28 15:15:00,2021-01-28 15:45:00,0.62,1.37
73,2021-01-28 18:15:00,2021-01-28 19:00:00,0.91,1.94
74,2021-01-28 20:15:00,2021-01-28 20:15:00,0.12,0.5
75,2021-01-28 20:45:00,2021-01-28 21:45:00,1.01,2.64
76,2021-01-28 23:00:00,2021-01-28 23:45:00,0.83,1.75
77,2021-01-29 01:00:00,2021-01-29 01:30:00,0.66,1.4
78,2021-01-29 02:45:00,2021-01-29 03:30:00,0.61,1.24
79,2021-01-29 04:45:00,2021-01-29 05:15:00,0.74,1.52
80,2021-01-29 06:45:00,2021-01-29 07:30:00,0.73,1.5
81,2021-01-29 08:45:00,2021-01-29 09:15:00,0.39,0.77
82,2021-01-29 11:00:00,2021-01-29 11:30:00,0.55,1.16
83,2021-01-29 13:00:00,2021-01-29 13:45:00,0.7,1.46
84,2021-01-29 15:15:00,2021-01-29 16:00:00,0.74,1.54
85,2021-01-29 18:15:00,2021-01-29 18:45:00,0.53,1.1
86,2021-01-29 20:00:00,2021-01-29 20:30:00,0.59,1.28
87,2021-01-29 21:45:00,2021-01-29 22:15:00,0.61,1.26
88,2021-01-29 23:15:00,2021-01-29 23:15:00,0.12,0.4
89,2021-01-29 23:45:00,2021-01-30 00:15:00,0.52,1.09
90,2021-01-30 01:15:00,2021-01-30 02:00:00,0.75,1.59
91,2021-01-30 02:45:00,2021-01-30 03:15:00,0.57,1.17
92,2021-01-30 04:15:00,2021-01-30 05:30:00,1.19,2.53
93,2021-01-30 06:30:00,2021-01-30 07:30:00,1.07,2.29
94,2021-01-30 08:45:00,2021-01-30 09:15:00,0.52,1.12
