cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 02:00:00,2.19,8.89
1,2021-01-01 06:15:00,2021-01-01 08:00:00,1.77,6.99
2,2021-01-01 11:00:00,2021-01-01 14:15:00,3.43,13.35
3,2021-01-01 15:15:00,2021-01-01 15:45:00,0.67,2.78
4,2021-01-01 18:45:00,2021-01-01 20:15:00,1.6,6.29
5,2021-01-01 22:45:00,2021-01-02 02:00:00,3.27,12.88
6,2021-01-02 05:30:00,2021-01-02 07:45:00,2.27,9.04
7,2021-01-02 10:15:00,2021-01-02 12:45:00,2.37,9.23
8,2021-01-02 14:30:00,2021-01-02 15:15:00,0.67,2.85
9,2021-01-02 16:45:00,2021-01-02 19:30:00,2.64,10.43
10,2021-01-02 22:00:00,2021-01-03 00:30:00,2.51,13.69
11,2021-01-03 01:15:00,2021-01-03 05:30:00,4.42,17.33
12,2021-01-03 10:00:00,2021-01-03 12:45:00,2.9,11.36
13,2021-01-03 16:15:00,2021-01-03 16:45:00,0.61,2.48
14,2021-01-03 17:15:00,2021-01-03 21:15:00,4.08,16.25
15,2021-01-03 23:45:00,2021-01-04 02:45:00,2.84,11.31
16,2021-01-04 05:45:00,2021-01-04 08:15:00,2.58,10.1
17,2021-01-04 11:00:00,2021-01-04 15:00:00,4.18,16.48
18,2021-01-04 15:30:00,2021-01-04 16:00:00,0.61,2.54
19,2021-01-04 19:00:00,2021-01-04 23:00:00,4.05,16.29
20,2021-01-05 01:45:00,2021-01-05 02:00:00,0.49,1.54
21,2021-01-05 03:00:00,2021-01-05 07:45:00,4.6,18.34
22,2021-01-05 11:30:00,2021-01-05 14:45:00,3.41,13.4
23,2021-01-05 15:15:00,2021-01-05 16:00:00,0.7,3.01
24,2021-01-05 18:45:00,2021-01-06 02:15:00,7.53,29.73
25,2021-01-06 05:15:00,2021-01-06 08:15:00,2.97,12.18
26,2021-01-06 11:30:00,2021-01-06 15:45:00,4.4,16.85
27,2021-01-06 19:00:00,2021-01-06 20:15:00,1.43,5.62
