cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-10-25 00:00:00,2021-10-25 00:15:00,0.37,0.52
1,2021-10-25 01:45:00,2021-10-25 01:45:00,0.12,0.44
2,2021-10-25 02:45:00,2021-10-25 03:00:00,0.37,0.64
3,2021-10-25 04:00:00,2021-10-25 04:15:00,0.34,0.56
4,2021-10-25 05:15:00,2021-10-25 05:30:00,0.34,0.57
5,2021-10-25 06:30:00,2021-10-25 06:45:00,0.35,0.56
6,2021-10-25 07:45:00,2021-10-25 07:45:00,0.12,0.57
7,2021-10-25 08:45:00,2021-10-25 09:00:00,0.36,0.57
8,2021-10-25 10:00:00,2021-10-25 10:15:00,0.36,0.49
9,2021-10-25 16:15:00,2021-10-25 16:15:00,0.12,0.52
10,2021-10-25 17:30:00,2021-10-25 17:45:00,0.42,0.57
11,2021-10-25 18:45:00,2021-10-25 19:00:00,0.29,0.59
12,2021-10-25 20:15:00,2021-10-25 20:15:00,0.12,0.56
13,2021-10-25 22:45:00,2021-10-25 22:45:00,0.12,0.38
14,2021-10-26 01:30:00,2021-10-26 01:30:00,0.12,0.46
15,2021-10-26 02:15:00,2021-10-26 02:30:00,0.29,0.65
16,2021-10-26 03:30:00,2021-10-26 03:45:00,0.34,0.5
17,2021-10-26 04:45:00,2021-10-26 05:00:00,0.39,0.5
18,2021-10-26 06:00:00,2021-10-26 06:15:00,0.37,0.51
19,2021-10-26 07:15:00,2021-10-26 07:30:00,0.37,0.51
20,2021-10-26 14:45:00,2021-10-26 15:00:00,0.32,0.54
21,2021-10-26 16:15:00,2021-10-26 16:15:00,0.12,0.45
22,2021-10-26 17:30:00,2021-10-26 17:30:00,0.12,0.54
23,2021-10-26 18:30:00,2021-10-26 18:45:00,0.49,0.54
24,2021-10-26 19:45:00,2021-10-26 20:00:00,0.42,0.52
25,2021-10-26 22:45:00,2021-10-26 23:00:00,0.41,0.47
26,2021-10-27 01:00:00,2021-10-27 01:15:00,0.34,0.47
27,2021-10-27 02:00:00,2021-10-27 02:15:00,0.31,0.71
28,2021-10-27 03:15:00,2021-10-27 03:30:00,0.38,0.61
29,2021-10-27 04:30:00,2021-10-27 04:45:00,0.49,0.57
30,2021-10-27 05:45:00,2021-10-27 06:00:00,0.36,0.59
31,2021-10-27 07:00:00,2021-10-27 07:00:00,0.12,0.47
32,2021-10-27 08:15:00,2021-10-27 08:30:00,0.31,0.51
33,2021-10-27 09:30:00,2021-10-27 09:45:00,0.34,0.5
34,2021-10-27 12:30:00,2021-10-27 12:45:00,0.41,0.47
35,2021-10-27 15:30:00,2021-10-27 15:30:00,0.12,0.44
36,2021-10-27 16:45:00,2021-10-27 17:00:00,0.42,0.54
37,2021-10-27 18:00:00,2021-10-27 18:15:00,0.45,0.51
38,2021-10-27 19:15:00,2021-10-27 19:30:00,0.32,0.58
39,2021-10-27 20:30:00,2021-10-27 20:45:00,0.4,0.53
40,2021-10-28 00:30:00,2021-10-28 00:45:00,0.4,0.47
