cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 04:00:00,4.22,16.32
1,2021-01-01 04:30:00,2021-01-01 06:15:00,1.98,6.49
2,2021-01-01 06:45:00,2021-01-01 07:15:00,0.65,2.53
3,2021-01-01 07:45:00,2021-01-01 08:15:00,0.59,2.32
4,2021-01-01 08:45:00,2021-01-01 10:45:00,2.23,9.02
5,2021-01-01 11:15:00,2021-01-01 11:45:00,0.52,2.02
6,2021-01-01 12:15:00,2021-01-01 12:30:00,0.44,1.81
7,2021-01-01 13:00:00,2021-01-01 13:30:00,0.45,1.79
8,2021-01-01 14:00:00,2021-01-01 14:15:00,0.5,1.92
9,2021-01-01 14:45:00,2021-01-01 15:15:00,0.5,1.99
10,2021-01-01 15:45:00,2021-01-01 17:15:00,1.73,6.57
11,2021-01-01 17:45:00,2021-01-01 18:15:00,0.4,1.6
12,2021-01-01 18:45:00,2021-01-01 19:00:00,0.47,1.58
13,2021-01-01 19:30:00,2021-01-01 20:00:00,0.39,1.57
14,2021-01-01 20:30:00,2021-01-01 20:45:00,0.46,1.56
15,2021-01-01 21:15:00,2021-01-01 21:45:00,0.47,1.87
16,2021-01-01 22:15:00,2021-01-01 23:45:00,1.65,10.35
17,2021-01-02 00:15:00,2021-01-02 03:15:00,3.04,11.16
18,2021-01-02 03:45:00,2021-01-02 05:30:00,1.98,6.42
19,2021-01-02 06:00:00,2021-01-02 08:30:00,2.71,7.95
20,2021-01-02 09:00:00,2021-01-02 09:30:00,0.49,1.95
21,2021-01-02 10:00:00,2021-01-02 11:15:00,1.48,4.44
22,2021-01-02 11:45:00,2021-01-02 14:00:00,2.24,8.53
23,2021-01-02 14:30:00,2021-01-02 18:00:00,3.56,12.7
24,2021-01-02 18:30:00,2021-01-02 18:45:00,0.45,1.73
25,2021-01-02 19:15:00,2021-01-02 19:45:00,0.42,1.7
26,2021-01-02 20:15:00,2021-01-02 20:30:00,0.42,1.59
27,2021-01-02 21:00:00,2021-01-02 22:15:00,1.36,3.67
28,2021-01-02 22:45:00,2021-01-03 00:15:00,1.54,10.82
29,2021-01-03 00:45:00,2021-01-03 02:30:00,1.93,7.49
30,2021-01-03 03:00:00,2021-01-03 03:30:00,0.74,2.92
31,2021-01-03 04:00:00,2021-01-03 09:45:00,5.88,16.45
32,2021-01-03 10:15:00,2021-01-03 11:30:00,1.42,4.3
33,2021-01-03 12:00:00,2021-01-03 12:30:00,0.54,2.13
34,2021-01-03 13:00:00,2021-01-03 14:15:00,1.4,4.07
35,2021-01-03 14:45:00,2021-01-03 15:15:00,0.51,2.04
36,2021-01-03 15:45:00,2021-01-03 16:00:00,0.5,1.93
37,2021-01-03 16:30:00,2021-01-03 17:00:00,0.48,1.91
38,2021-01-03 17:30:00,2021-01-03 18:45:00,1.35,5.74
39,2021-01-03 19:15:00,2021-01-03 19:30:00,0.39,1.6
40,2021-01-03 20:15:00,2021-01-03 20:30:00,0.39,1.54
41,2021-01-03 21:00:00,2021-01-03 21:15:00,0.37,1.54
42,2021-01-03 21:45:00,2021-01-04 06:15:00,8.62,34.84
