cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:00:00,2021-01-19 23:15:00,0.33,1.37
1,2021-01-19 23:45:00,2021-01-20 00:15:00,0.35,1.54
2,2021-01-20 00:45:00,2021-01-20 02:45:00,2.1,12.46
3,2021-01-20 03:15:00,2021-01-20 09:45:00,6.68,26.7
4,2021-01-20 11:00:00,2021-01-20 11:15:00,0.36,1.47
5,2021-01-20 12:00:00,2021-01-20 12:15:00,0.27,1.28
6,2021-01-20 13:15:00,2021-01-20 13:30:00,0.48,1.46
7,2021-01-20 14:00:00,2021-01-20 14:15:00,0.4,1.49
8,2021-01-20 14:45:00,2021-01-20 15:45:00,1.06,4.75
9,2021-01-20 16:15:00,2021-01-20 16:45:00,0.55,2.66
10,2021-01-20 18:15:00,2021-01-20 18:45:00,0.61,2.85
11,2021-01-20 19:15:00,2021-01-20 19:15:00,0.12,0.43
12,2021-01-21 00:15:00,2021-01-21 00:15:00,0.12,0.93
13,2021-01-21 01:00:00,2021-01-21 05:15:00,4.46,19.88
14,2021-01-21 05:45:00,2021-01-21 06:00:00,0.45,1.6
15,2021-01-21 06:30:00,2021-01-21 08:00:00,1.75,4.72
16,2021-01-21 09:00:00,2021-01-21 09:15:00,0.32,1.44
17,2021-01-21 11:00:00,2021-01-21 11:15:00,0.32,1.24
18,2021-01-21 12:00:00,2021-01-21 12:15:00,0.37,1.27
19,2021-01-21 13:00:00,2021-01-21 13:15:00,0.4,1.11
20,2021-01-21 14:00:00,2021-01-21 14:15:00,0.47,1.21
21,2021-01-21 14:45:00,2021-01-21 15:00:00,0.37,1.31
22,2021-01-21 15:30:00,2021-01-21 16:15:00,0.9,3.67
23,2021-01-21 16:45:00,2021-01-21 16:45:00,0.12,0.25
24,2021-01-21 18:15:00,2021-01-21 19:00:00,1.0,2.98
25,2021-01-22 01:00:00,2021-01-22 02:00:00,1.24,6.7
26,2021-01-22 03:15:00,2021-01-22 06:30:00,3.39,12.42
27,2021-01-22 07:00:00,2021-01-22 07:15:00,0.41,1.92
28,2021-01-22 07:45:00,2021-01-22 08:00:00,0.48,1.66
29,2021-01-22 08:30:00,2021-01-22 08:45:00,0.4,1.38
30,2021-01-22 09:15:00,2021-01-22 09:30:00,0.47,1.43
31,2021-01-22 11:00:00,2021-01-22 11:15:00,0.33,1.35
32,2021-01-22 12:15:00,2021-01-22 12:30:00,0.44,1.4
33,2021-01-22 13:30:00,2021-01-22 13:45:00,0.43,1.11
34,2021-01-22 14:15:00,2021-01-22 16:45:00,2.56,6.36
35,2021-01-22 18:15:00,2021-01-22 19:15:00,1.22,3.33
36,2021-01-23 01:00:00,2021-01-23 02:30:00,1.61,9.48
37,2021-01-23 03:15:00,2021-01-23 03:30:00,0.3,1.07
38,2021-01-23 04:00:00,2021-01-23 08:30:00,4.57,20.66
39,2021-01-23 09:00:00,2021-01-23 10:15:00,1.27,4.32
40,2021-01-23 10:45:00,2021-01-23 11:00:00,0.35,1.62
41,2021-01-23 11:30:00,2021-01-23 12:00:00,0.67,2.73
42,2021-01-23 12:30:00,2021-01-23 12:45:00,0.32,1.52
43,2021-01-23 13:30:00,2021-01-23 13:45:00,0.39,1.65
44,2021-01-23 14:15:00,2021-01-23 14:30:00,0.42,1.65
45,2021-01-23 15:00:00,2021-01-23 15:15:00,0.42,1.65
46,2021-01-23 15:45:00,2021-01-23 16:15:00,0.64,3.05
