cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 01:45:00,1.86,6.73
1,2021-01-01 02:15:00,2021-01-01 09:15:00,7.06,31.61
2,2021-01-01 09:45:00,2021-01-01 12:00:00,2.37,10.5
3,2021-01-01 12:30:00,2021-01-01 14:15:00,1.68,7.55
4,2021-01-01 14:45:00,2021-01-01 15:15:00,0.59,2.51
5,2021-01-01 15:45:00,2021-01-01 18:15:00,2.7,11.86
6,2021-01-01 18:45:00,2021-01-01 20:30:00,1.78,7.89
7,2021-01-01 21:15:00,2021-01-01 21:45:00,0.48,2.03
8,2021-01-01 22:15:00,2021-01-02 00:00:00,1.88,8.58
9,2021-01-02 00:30:00,2021-01-02 01:00:00,0.62,2.6
10,2021-01-02 01:30:00,2021-01-02 02:00:00,0.59,2.47
11,2021-01-02 02:30:00,2021-01-02 05:45:00,3.16,13.99
12,2021-01-02 06:15:00,2021-01-02 07:00:00,0.91,3.82
13,2021-01-02 07:30:00,2021-01-02 08:00:00,0.68,2.84
14,2021-01-02 08:30:00,2021-01-02 10:30:00,1.92,8.54
15,2021-01-02 11:00:00,2021-01-02 12:00:00,1.19,5.21
16,2021-01-02 12:30:00,2021-01-02 14:30:00,1.95,8.65
17,2021-01-02 15:00:00,2021-01-02 16:30:00,1.54,6.83
18,2021-01-02 17:00:00,2021-01-02 17:30:00,0.7,2.9
19,2021-01-02 18:00:00,2021-01-02 20:30:00,2.42,10.7
20,2021-01-02 21:00:00,2021-01-02 21:30:00,0.52,2.15
21,2021-01-02 22:00:00,2021-01-02 22:30:00,0.6,2.47
22,2021-01-02 23:00:00,2021-01-02 23:30:00,0.67,2.77
23,2021-01-03 00:00:00,2021-01-03 12:15:00,12.22,55.74
24,2021-01-03 12:45:00,2021-01-03 13:30:00,0.73,3.01
25,2021-01-03 14:00:00,2021-01-03 14:30:00,0.66,2.75
26,2021-01-03 15:00:00,2021-01-03 17:30:00,2.58,11.76
27,2021-01-03 18:00:00,2021-01-03 20:45:00,2.81,12.26
28,2021-01-03 21:15:00,2021-01-04 08:30:00,11.18,54.74
29,2021-01-04 09:15:00,2021-01-04 14:00:00,4.74,19.46
30,2021-01-04 14:30:00,2021-01-05 05:15:00,14.87,67.2
31,2021-01-05 05:45:00,2021-01-05 21:15:00,15.49,67.94
32,2021-01-05 21:45:00,2021-01-05 22:30:00,0.73,3.0
33,2021-01-05 23:00:00,2021-01-06 07:00:00,8.09,39.84
34,2021-01-06 07:30:00,2021-01-06 21:45:00,14.23,63.84
35,2021-01-06 22:15:00,2021-01-06 22:45:00,0.65,2.72
36,2021-01-06 23:15:00,2021-01-07 05:30:00,6.16,30.45
37,2021-01-07 06:00:00,2021-01-07 10:45:00,4.74,21.14
38,2021-01-07 11:15:00,2021-01-07 11:45:00,0.68,2.84
39,2021-01-07 12:15:00,2021-01-07 22:00:00,9.86,44.47
40,2021-01-07 22:30:00,2021-01-07 23:00:00,0.68,2.82
41,2021-01-07 23:30:00,2021-01-08 04:30:00,4.91,24.92
42,2021-01-08 05:00:00,2021-01-08 08:45:00,3.74,18.12
43,2021-01-08 09:15:00,2021-01-08 10:00:00,0.85,3.66
44,2021-01-08 10:30:00,2021-01-08 11:15:00,0.84,3.45
45,2021-01-08 11:45:00,2021-01-08 20:45:00,9.13,46.15
46,2021-01-08 21:15:00,2021-01-09 21:00:00,23.71,128.08
47,2021-01-09 21:30:00,2021-01-12 08:45:00,59.12,296.06
48,2021-01-12 09:15:00,2021-01-13 11:45:00,26.53,119.96
49,2021-01-13 12:15:00,2021-01-13 16:15:00,4.11,18.86
50,2021-01-13 16:45:00,2021-01-13 22:45:00,5.93,26.54
51,2021-01-17 23:00:00,2021-01-18 12:00:00,13.16,59.48
52,2021-01-18 12:30:00,2021-01-18 20:45:00,8.3,38.56
53,2021-01-18 21:30:00,2021-01-19 04:45:00,7.3,37.96
54,2021-01-19 05:15:00,2021-01-19 09:00:00,3.84,20.38
55,2021-01-19 09:30:00,2021-01-19 13:15:00,3.65,16.28
56,2021-01-19 13:45:00,2021-01-19 14:15:00,0.62,2.56
57,2021-01-19 14:45:00,2021-01-19 15:45:00,1.11,5.17
58,2021-01-19 16:15:00,2021-01-19 23:00:00,6.77,28.34
59,2021-01-19 23:30:00,2021-01-20 08:30:00,9.11,49.41
60,2021-01-20 09:00:00,2021-01-20 11:45:00,2.81,12.6
61,2021-01-20 12:30:00,2021-01-20 13:00:00,0.75,3.3
62,2021-01-20 13:30:00,2021-01-20 14:15:00,0.74,3.08
63,2021-01-20 14:45:00,2021-01-20 21:30:00,6.73,34.52
64,2021-01-20 22:00:00,2021-01-21 07:15:00,9.18,43.64
65,2021-01-21 07:45:00,2021-01-21 10:00:00,2.31,10.16
66,2021-01-21 10:30:00,2021-01-21 10:45:00,0.47,1.64
67,2021-01-21 11:30:00,2021-01-21 12:00:00,0.47,2.22
68,2021-01-21 12:30:00,2021-01-21 13:00:00,0.56,2.36
69,2021-01-21 13:30:00,2021-01-21 15:15:00,1.72,5.92
70,2021-01-21 15:45:00,2021-01-21 16:15:00,0.55,2.32
71,2021-01-21 16:45:00,2021-01-21 20:30:00,3.88,18.04
72,2021-01-21 21:15:00,2021-01-21 21:45:00,0.43,1.8
73,2021-01-21 22:15:00,2021-01-22 00:00:00,1.87,8.55
