cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-02-04 00:45:00,2021-02-04 01:00:00,0.4,0.78
1,2021-02-04 01:45:00,2021-02-04 02:15:00,0.38,1.16
2,2021-02-04 03:00:00,2021-02-04 03:15:00,0.41,0.82
3,2021-02-04 04:00:00,2021-02-04 04:15:00,0.33,0.78
4,2021-02-04 05:00:00,2021-02-04 07:15:00,2.29,7.22
5,2021-02-04 07:45:00,2021-02-04 08:00:00,0.44,1.26
6,2021-02-04 08:45:00,2021-02-04 09:00:00,0.43,0.83
7,2021-02-04 09:45:00,2021-02-04 09:45:00,0.12,0.67
8,2021-02-04 11:00:00,2021-02-04 11:15:00,0.39,0.76
9,2021-02-04 12:30:00,2021-02-04 12:45:00,0.37,0.65
10,2021-02-04 14:00:00,2021-02-04 14:00:00,0.12,0.72
11,2021-02-04 15:00:00,2021-02-04 15:00:00,0.12,0.58
12,2021-02-04 15:45:00,2021-02-04 15:45:00,0.12,0.58
13,2021-02-04 16:15:00,2021-02-04 16:15:00,0.12,0.23
14,2021-02-04 17:45:00,2021-02-04 18:15:00,0.68,2.16
15,2021-02-04 18:45:00,2021-02-04 19:00:00,0.36,1.18
16,2021-02-04 19:45:00,2021-02-04 20:00:00,0.37,0.91
17,2021-02-04 20:45:00,2021-02-04 21:00:00,0.46,1.03
18,2021-02-04 23:30:00,2021-02-04 23:45:00,0.41,0.85
19,2021-02-05 00:30:00,2021-02-05 00:45:00,0.39,0.77
20,2021-02-05 01:30:00,2021-02-05 01:45:00,0.31,0.7
21,2021-02-05 02:30:00,2021-02-05 03:15:00,1.0,1.63
22,2021-02-05 04:15:00,2021-02-05 04:30:00,0.29,0.88
23,2021-02-05 05:00:00,2021-02-05 08:15:00,3.17,9.08
24,2021-02-05 08:45:00,2021-02-05 09:00:00,0.44,0.8
25,2021-02-05 09:30:00,2021-02-05 09:45:00,0.43,0.71
26,2021-02-05 11:15:00,2021-02-05 11:15:00,0.12,0.58
27,2021-02-05 13:30:00,2021-02-05 13:30:00,0.12,0.63
28,2021-02-05 14:30:00,2021-02-05 14:45:00,0.33,1.06
29,2021-02-05 16:00:00,2021-02-05 16:15:00,0.39,1.04
30,2021-02-05 17:45:00,2021-02-05 18:00:00,0.44,1.33
31,2021-02-05 18:30:00,2021-02-05 18:45:00,0.5,0.85
32,2021-02-05 19:15:00,2021-02-05 19:30:00,0.37,0.68
33,2021-02-05 20:15:00,2021-02-05 20:30:00,0.3,0.97
34,2021-02-05 21:00:00,2021-02-05 21:15:00,0.32,1.0
35,2021-02-06 00:45:00,2021-02-06 01:00:00,0.32,0.81
36,2021-02-06 02:15:00,2021-02-06 02:30:00,0.31,0.98
37,2021-02-06 04:00:00,2021-02-06 04:15:00,0.37,1.06
38,2021-02-06 05:00:00,2021-02-06 06:30:00,1.72,4.39
39,2021-02-06 07:00:00,2021-02-06 07:15:00,0.49,1.1
40,2021-02-06 08:00:00,2021-02-06 08:15:00,0.38,1.24
41,2021-02-06 10:00:00,2021-02-06 10:15:00,0.34,0.9
42,2021-02-06 11:30:00,2021-02-06 11:45:00,0.35,0.73
43,2021-02-06 12:30:00,2021-02-06 12:45:00,0.29,0.82
44,2021-02-06 13:45:00,2021-02-06 14:00:00,0.28,0.87
45,2021-02-06 14:45:00,2021-02-06 15:00:00,0.31,0.85
46,2021-02-06 16:00:00,2021-02-06 16:30:00,0.58,1.25
47,2021-02-06 17:00:00,2021-02-06 17:45:00,1.0,2.0
48,2021-02-06 18:45:00,2021-02-06 19:00:00,0.37,0.91
49,2021-02-06 19:45:00,2021-02-06 20:00:00,0.35,0.69
50,2021-02-06 20:30:00,2021-02-06 20:45:00,0.31,0.84
51,2021-02-06 21:15:00,2021-02-06 21:15:00,0.12,0.31
52,2021-02-07 01:30:00,2021-02-07 02:00:00,0.47,1.46
53,2021-02-07 03:00:00,2021-02-07 03:15:00,0.42,1.06
54,2021-02-07 03:45:00,2021-02-07 04:00:00,0.46,1.09
55,2021-02-07 05:15:00,2021-02-07 08:00:00,2.68,6.51
56,2021-02-07 09:15:00,2021-02-07 09:30:00,0.42,1.36
57,2021-02-07 10:15:00,2021-02-07 10:15:00,0.12,0.7
58,2021-02-07 11:30:00,2021-02-07 11:45:00,0.4,0.8
59,2021-02-07 12:30:00,2021-02-07 13:30:00,0.98,3.14
60,2021-02-07 14:00:00,2021-02-07 14:45:00,1.0,1.71
61,2021-02-07 15:15:00,2021-02-07 15:30:00,0.4,1.15
62,2021-02-07 16:15:00,2021-02-07 17:00:00,1.0,1.88
63,2021-02-07 17:45:00,2021-02-07 17:45:00,0.12,0.82
64,2021-02-07 18:45:00,2021-02-07 19:15:00,0.57,1.5
65,2021-02-07 19:45:00,2021-02-07 19:45:00,0.12,0.82
66,2021-02-07 20:30:00,2021-02-07 20:45:00,0.41,0.93
67,2021-02-08 01:30:00,2021-02-08 01:45:00,0.29,0.82
68,2021-02-08 03:15:00,2021-02-08 03:30:00,0.29,0.94
69,2021-02-08 04:15:00,2021-02-08 04:30:00,0.47,0.93
70,2021-02-08 05:15:00,2021-02-08 08:00:00,2.71,7.84
71,2021-02-08 08:30:00,2021-02-08 09:00:00,0.57,1.76
72,2021-02-08 09:30:00,2021-02-08 09:45:00,0.34,0.99
73,2021-02-08 11:00:00,2021-02-08 11:30:00,0.66,2.05
