cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:15:00,2021-01-20 00:00:00,0.86,3.45
1,2021-01-20 00:30:00,2021-01-20 00:30:00,0.12,0.45
2,2021-01-20 01:00:00,2021-01-20 04:15:00,3.44,9.43
3,2021-01-20 04:45:00,2021-01-20 05:30:00,0.85,3.2
4,2021-01-20 06:00:00,2021-01-20 07:45:00,1.95,6.85
5,2021-01-20 08:15:00,2021-01-20 08:15:00,0.12,0.39
6,2021-01-20 08:45:00,2021-01-20 09:45:00,1.25,1.98
7,2021-01-20 11:00:00,2021-01-20 12:00:00,1.15,3.14
8,2021-01-20 12:45:00,2021-01-20 13:00:00,0.49,0.4
9,2021-01-20 13:30:00,2021-01-20 13:30:00,0.12,0.14
10,2021-01-20 14:00:00,2021-01-20 14:00:00,0.12,0.39
11,2021-01-20 14:45:00,2021-01-20 15:30:00,0.76,3.1
12,2021-01-20 16:00:00,2021-01-20 16:00:00,0.12,0.62
13,2021-01-20 16:30:00,2021-01-20 16:45:00,0.4,1.09
14,2021-01-20 18:15:00,2021-01-20 19:45:00,1.63,6.48
15,2021-01-20 20:15:00,2021-01-20 20:15:00,0.12,0.52
16,2021-01-20 20:45:00,2021-01-20 20:45:00,0.12,0.62
17,2021-01-20 21:15:00,2021-01-20 22:15:00,1.12,2.73
18,2021-01-20 22:45:00,2021-01-21 00:00:00,1.32,4.93
19,2021-01-21 00:30:00,2021-01-21 01:30:00,1.25,1.78
20,2021-01-21 02:00:00,2021-01-21 02:00:00,0.12,0.42
21,2021-01-21 02:30:00,2021-01-21 02:30:00,0.12,0.49
22,2021-01-21 03:00:00,2021-01-21 03:00:00,0.12,0.56
23,2021-01-21 03:30:00,2021-01-21 03:30:00,0.12,0.84
24,2021-01-21 04:00:00,2021-01-21 04:00:00,0.12,0.63
25,2021-01-21 04:30:00,2021-01-21 04:30:00,0.12,0.93
26,2021-01-21 05:00:00,2021-01-21 06:15:00,1.44,2.6
27,2021-01-21 06:45:00,2021-01-21 08:15:00,1.75,2.73
28,2021-01-21 08:45:00,2021-01-21 08:45:00,0.12,0.35
29,2021-01-21 11:15:00,2021-01-21 11:30:00,0.44,0.42
30,2021-01-21 13:00:00,2021-01-21 13:00:00,0.12,0.21
31,2021-01-21 13:45:00,2021-01-21 14:00:00,0.47,0.64
32,2021-01-21 14:30:00,2021-01-21 14:45:00,0.41,0.91
33,2021-01-21 15:15:00,2021-01-21 16:00:00,1.0,2.12
34,2021-01-21 16:30:00,2021-01-21 16:30:00,0.12,0.78
35,2021-01-21 18:15:00,2021-01-21 19:00:00,0.86,3.7
36,2021-01-21 19:30:00,2021-01-21 19:30:00,0.12,0.36
37,2021-01-21 20:00:00,2021-01-22 01:45:00,6.0,8.02
38,2021-01-22 02:15:00,2021-01-22 05:15:00,3.25,4.97
39,2021-01-22 05:45:00,2021-01-22 05:45:00,0.12,0.65
40,2021-01-22 06:15:00,2021-01-22 08:00:00,2.0,2.76
41,2021-01-22 08:30:00,2021-01-22 08:30:00,0.12,0.36
42,2021-01-22 11:15:00,2021-01-22 11:15:00,0.12,0.68
43,2021-01-22 11:45:00,2021-01-22 11:45:00,0.12,0.41
44,2021-01-22 12:15:00,2021-01-22 13:00:00,0.91,1.31
45,2021-01-22 13:30:00,2021-01-22 13:30:00,0.12,0.28
46,2021-01-22 14:15:00,2021-01-22 14:30:00,0.32,0.69
47,2021-01-22 15:00:00,2021-01-22 15:00:00,0.12,0.82
48,2021-01-22 15:30:00,2021-01-22 16:15:00,1.0,2.1
49,2021-01-22 16:45:00,2021-01-22 16:45:00,0.12,0.66
50,2021-01-22 18:15:00,2021-01-22 19:30:00,1.37,3.89
51,2021-01-22 20:00:00,2021-01-22 20:00:00,0.12,0.56
52,2021-01-22 20:30:00,2021-01-22 22:00:00,1.54,5.46
53,2021-01-22 22:30:00,2021-01-23 01:45:00,3.5,5.78
54,2021-01-23 02:15:00,2021-01-23 06:00:00,4.0,10.23
55,2021-01-23 06:30:00,2021-01-23 07:00:00,0.75,0.91
56,2021-01-23 07:30:00,2021-01-23 07:30:00,0.12,0.68
57,2021-01-23 08:00:00,2021-01-23 09:45:00,2.0,2.82
58,2021-01-23 10:15:00,2021-01-23 10:15:00,0.12,0.46
59,2021-01-23 10:45:00,2021-01-23 10:45:00,0.12,0.74
60,2021-01-23 11:15:00,2021-01-23 11:15:00,0.12,0.48
61,2021-01-23 12:00:00,2021-01-23 12:30:00,0.75,0.82
62,2021-01-23 13:00:00,2021-01-23 13:00:00,0.12,0.14
63,2021-01-23 14:00:00,2021-01-23 14:30:00,0.6,2.44
64,2021-01-23 15:00:00,2021-01-23 15:00:00,0.12,0.46
65,2021-01-23 15:30:00,2021-01-23 15:30:00,0.12,0.7
66,2021-01-23 16:00:00,2021-01-23 18:45:00,2.95,6.8
67,2021-01-23 19:15:00,2021-01-23 20:00:00,1.0,1.73
