cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-05-31 23:45:00,2021-05-31 23:45:00,0.12,0.9
1,2021-06-01 00:45:00,2021-06-01 00:45:00,0.12,0.84
2,2021-06-01 01:45:00,2021-06-01 02:00:00,0.5,0.92
3,2021-06-01 02:45:00,2021-06-01 03:00:00,0.43,0.94
4,2021-06-01 03:45:00,2021-06-01 04:00:00,0.38,0.94
5,2021-06-01 05:00:00,2021-06-01 05:00:00,0.12,0.87
6,2021-06-01 06:00:00,2021-06-01 06:15:00,0.35,0.89
7,2021-06-01 07:30:00,2021-06-01 07:45:00,0.43,0.83
8,2021-06-01 11:00:00,2021-06-01 11:00:00,0.12,0.75
9,2021-06-01 19:45:00,2021-06-01 20:00:00,0.31,1.28
10,2021-06-01 21:15:00,2021-06-01 21:30:00,0.39,0.86
11,2021-06-01 22:45:00,2021-06-01 23:00:00,0.34,0.81
12,2021-06-02 00:00:00,2021-06-02 00:00:00,0.12,0.85
13,2021-06-02 01:15:00,2021-06-02 01:15:00,0.12,0.87
14,2021-06-02 02:30:00,2021-06-02 02:30:00,0.12,0.8
15,2021-06-02 03:30:00,2021-06-02 03:45:00,0.38,0.86
16,2021-06-02 04:45:00,2021-06-02 04:45:00,0.12,0.85
17,2021-06-02 06:15:00,2021-06-02 06:30:00,0.46,0.82
18,2021-06-06 01:45:00,2021-06-06 02:15:00,0.55,2.36
19,2021-06-06 03:15:00,2021-06-06 03:30:00,0.29,0.88
20,2021-06-06 04:45:00,2021-06-06 04:45:00,0.12,0.85
21,2021-06-06 06:00:00,2021-06-06 06:15:00,0.33,0.85
22,2021-06-06 07:30:00,2021-06-06 07:45:00,0.35,0.81
23,2021-06-06 09:45:00,2021-06-06 10:00:00,0.47,0.82
24,2021-06-06 11:45:00,2021-06-06 11:45:00,0.12,0.83
25,2021-06-06 14:15:00,2021-06-06 14:30:00,0.31,0.82
26,2021-06-06 15:45:00,2021-06-06 16:00:00,0.41,0.86
27,2021-06-06 17:30:00,2021-06-06 17:30:00,0.12,0.78
28,2021-06-06 18:45:00,2021-06-06 19:00:00,0.47,0.89
29,2021-06-06 20:15:00,2021-06-06 20:15:00,0.12,0.85
30,2021-06-06 21:30:00,2021-06-06 21:45:00,0.34,0.82
31,2021-06-06 23:00:00,2021-06-06 23:15:00,0.33,0.8
32,2021-06-07 00:30:00,2021-06-07 00:45:00,0.42,0.78
33,2021-06-07 02:00:00,2021-06-07 02:00:00,0.12,0.77
34,2021-06-07 03:15:00,2021-06-07 03:30:00,0.38,0.84
35,2021-06-07 04:45:00,2021-06-07 05:00:00,0.39,0.84
36,2021-06-07 06:15:00,2021-06-07 06:30:00,0.45,0.8
37,2021-06-07 08:00:00,2021-06-07 08:00:00,0.12,0.79
38,2021-06-07 11:00:00,2021-06-07 11:00:00,0.12,0.73
39,2021-06-07 13:45:00,2021-06-07 13:45:00,0.12,0.79
40,2021-06-07 15:00:00,2021-06-07 15:15:00,0.44,0.75
41,2021-06-07 16:30:00,2021-06-07 16:45:00,0.44,0.73
42,2021-06-07 18:15:00,2021-06-07 18:15:00,0.12,0.75
43,2021-06-07 19:30:00,2021-06-07 19:45:00,0.35,0.73
44,2021-06-07 21:15:00,2021-06-07 21:15:00,0.12,0.66
45,2021-06-07 22:30:00,2021-06-07 22:30:00,0.12,0.66
46,2021-06-08 00:00:00,2021-06-08 00:00:00,0.12,0.79
47,2021-06-08 01:30:00,2021-06-08 01:30:00,0.12,0.78
48,2021-06-08 03:00:00,2021-06-08 03:00:00,0.12,0.72
49,2021-06-08 04:15:00,2021-06-08 04:30:00,0.4,0.79
50,2021-06-08 05:45:00,2021-06-08 06:00:00,0.37,0.75
51,2021-06-08 08:30:00,2021-06-08 08:30:00,0.12,0.71
52,2021-06-08 13:30:00,2021-06-08 13:30:00,0.12,0.71
53,2021-06-08 15:45:00,2021-06-08 15:45:00,0.12,0.74
54,2021-06-08 17:30:00,2021-06-08 17:45:00,0.34,0.75
