cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-08-18 01:45:00,2021-08-18 01:45:00,0.12,0.26
1,2021-08-18 03:45:00,2021-08-18 04:15:00,0.4,1.02
2,2021-08-18 05:30:00,2021-08-18 05:45:00,0.44,0.35
3,2021-08-18 10:00:00,2021-08-18 10:15:00,0.48,1.01
4,2021-08-18 20:30:00,2021-08-18 20:45:00,0.31,0.72
5,2021-08-19 06:00:00,2021-08-19 06:00:00,0.12,0.63
6,2021-08-19 15:30:00,2021-08-19 15:45:00,0.41,0.87
7,2021-08-20 02:15:00,2021-08-20 02:30:00,0.4,0.75
8,2021-08-20 04:15:00,2021-08-20 04:30:00,0.43,0.35
9,2021-08-20 10:15:00,2021-08-20 10:30:00,0.36,0.7
10,2021-08-20 21:45:00,2021-08-20 22:00:00,0.38,0.75
11,2021-08-21 03:30:00,2021-08-21 03:45:00,0.41,0.36
12,2021-08-21 05:45:00,2021-08-21 06:00:00,0.41,1.0
13,2021-08-21 16:00:00,2021-08-21 16:15:00,0.46,0.72
14,2021-08-22 02:30:00,2021-08-22 02:45:00,0.31,0.73
15,2021-08-22 13:15:00,2021-08-22 13:30:00,0.44,0.79
16,2021-08-22 18:00:00,2021-08-22 18:15:00,0.3,0.7
17,2021-08-23 02:30:00,2021-08-23 02:45:00,0.48,0.36
18,2021-08-23 03:30:00,2021-08-23 03:45:00,0.43,0.37
19,2021-08-23 04:30:00,2021-08-23 04:45:00,0.44,0.86
20,2021-08-23 05:30:00,2021-08-23 05:30:00,0.12,0.26
21,2021-08-23 17:15:00,2021-08-23 17:30:00,0.41,0.72
22,2021-08-24 03:00:00,2021-08-24 03:15:00,0.43,0.36
23,2021-08-24 04:00:00,2021-08-24 04:15:00,0.34,0.79
24,2021-08-24 05:00:00,2021-08-24 05:00:00,0.12,0.17
25,2021-08-24 05:45:00,2021-08-24 05:45:00,0.12,0.28
26,2021-08-24 06:30:00,2021-08-24 06:45:00,0.37,0.32
27,2021-08-24 07:30:00,2021-08-24 07:30:00,0.12,0.31
28,2021-08-24 08:15:00,2021-08-24 08:30:00,0.46,0.73
29,2021-08-24 14:15:00,2021-08-24 14:30:00,0.42,0.75
30,2021-08-24 18:30:00,2021-08-24 18:30:00,0.12,0.61
31,2021-08-24 21:15:00,2021-08-24 21:15:00,0.12,0.26
32,2021-08-24 23:00:00,2021-08-24 23:00:00,0.12,0.26
33,2021-08-25 00:30:00,2021-08-25 00:30:00,0.12,0.32
34,2021-08-25 02:00:00,2021-08-25 02:00:00,0.12,0.29
35,2021-08-25 03:15:00,2021-08-25 03:15:00,0.12,0.3
36,2021-08-25 04:00:00,2021-08-25 04:30:00,0.35,0.89
37,2021-08-25 05:15:00,2021-08-25 05:30:00,0.38,0.93
38,2021-08-25 06:45:00,2021-08-25 06:45:00,0.12,0.3
39,2021-08-25 10:00:00,2021-08-25 10:15:00,0.39,0.84
40,2021-08-25 20:45:00,2021-08-25 21:15:00,0.48,1.19
41,2021-08-25 22:15:00,2021-08-25 22:15:00,0.12,0.35
42,2021-08-25 23:00:00,2021-08-25 23:15:00,0.37,0.38
43,2021-08-26 00:00:00,2021-08-26 00:00:00,0.12,0.29
44,2021-08-26 01:00:00,2021-08-26 01:00:00,0.12,0.26
45,2021-08-26 01:45:00,2021-08-26 01:45:00,0.12,0.29
46,2021-08-26 02:30:00,2021-08-26 02:45:00,0.42,0.29
47,2021-08-26 03:30:00,2021-08-26 03:30:00,0.12,0.27
48,2021-08-26 04:15:00,2021-08-26 04:15:00,0.12,0.23
49,2021-08-26 05:00:00,2021-08-26 05:45:00,0.62,1.36
50,2021-08-26 06:30:00,2021-08-26 06:45:00,0.4,0.36
51,2021-08-26 16:30:00,2021-08-26 16:45:00,0.39,0.74
52,2021-08-26 23:45:00,2021-08-26 23:45:00,0.12,0.34
53,2021-08-27 01:00:00,2021-08-27 01:00:00,0.12,0.29
54,2021-08-27 01:45:00,2021-08-27 02:00:00,0.36,0.39
55,2021-08-27 02:45:00,2021-08-27 03:00:00,0.36,0.39
56,2021-08-27 03:45:00,2021-08-27 04:30:00,0.72,1.68
57,2021-08-27 05:15:00,2021-08-27 05:15:00,0.12,0.3
58,2021-08-27 13:45:00,2021-08-27 13:45:00,0.12,0.63
59,2021-08-27 20:30:00,2021-08-27 20:30:00,0.12,0.28
60,2021-08-27 21:30:00,2021-08-27 21:30:00,0.12,0.36
61,2021-08-27 22:15:00,2021-08-27 22:30:00,0.48,0.34
62,2021-08-27 23:15:00,2021-08-27 23:15:00,0.12,0.28
63,2021-08-28 00:00:00,2021-08-28 00:00:00,0.12,0.24
64,2021-08-28 01:00:00,2021-08-28 01:00:00,0.12,0.36
65,2021-08-28 01:45:00,2021-08-28 02:00:00,0.4,0.5
66,2021-08-28 02:45:00,2021-08-28 02:45:00,0.12,0.24
67,2021-08-28 03:30:00,2021-08-28 04:15:00,0.61,1.31
68,2021-08-28 05:00:00,2021-08-28 05:00:00,0.12,0.41
69,2021-08-28 05:45:00,2021-08-28 06:00:00,0.39,0.32
70,2021-08-28 06:45:00,2021-08-28 06:45:00,0.12,0.27
71,2021-08-28 07:30:00,2021-08-28 07:30:00,0.12,0.21
72,2021-08-28 09:30:00,2021-08-28 09:45:00,0.48,1.08
73,2021-08-28 16:45:00,2021-08-28 16:45:00,0.12,0.31
74,2021-08-28 17:45:00,2021-08-28 18:00:00,0.41,0.38
75,2021-08-28 18:45:00,2021-08-28 19:15:00,0.56,1.32
76,2021-08-28 20:15:00,2021-08-28 20:15:00,0.12,0.37
77,2021-08-28 21:00:00,2021-08-28 21:15:00,0.34,0.39
