cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-02-02 00:45:00,2022-02-02 01:15:00,0.59,1.13
1,2022-02-02 02:15:00,2022-02-02 02:15:00,0.12,0.43
2,2022-02-02 03:00:00,2022-02-02 03:15:00,0.43,0.51
3,2022-02-02 04:00:00,2022-02-02 04:00:00,0.12,0.45
4,2022-02-02 04:45:00,2022-02-02 05:00:00,0.3,0.49
5,2022-02-02 05:30:00,2022-02-02 06:15:00,0.78,1.49
6,2022-02-02 07:00:00,2022-02-02 07:30:00,0.62,1.18
7,2022-02-02 08:30:00,2022-02-02 09:00:00,0.64,1.21
8,2022-02-02 10:00:00,2022-02-02 10:45:00,0.98,1.84
9,2022-02-02 12:30:00,2022-02-02 13:00:00,0.34,0.63
10,2022-02-02 14:00:00,2022-02-02 14:15:00,0.43,0.43
11,2022-02-02 14:45:00,2022-02-02 16:15:00,1.5,3.1
12,2022-02-02 17:00:00,2022-02-02 17:15:00,0.39,0.73
13,2022-02-02 18:45:00,2022-02-02 20:45:00,2.15,4.0
14,2022-02-02 21:45:00,2022-02-02 22:45:00,1.18,2.85
15,2022-02-02 23:15:00,2022-02-02 23:45:00,0.66,1.24
16,2022-02-03 00:45:00,2022-02-03 01:00:00,0.42,0.73
17,2022-02-03 02:00:00,2022-02-03 02:00:00,0.12,0.44
18,2022-02-03 02:45:00,2022-02-03 03:00:00,0.47,0.47
19,2022-02-03 03:45:00,2022-02-03 03:45:00,0.12,0.43
20,2022-02-03 04:30:00,2022-02-03 04:45:00,0.34,0.48
21,2022-02-03 05:15:00,2022-02-03 05:30:00,0.4,0.46
22,2022-02-03 06:00:00,2022-02-03 06:15:00,0.44,0.46
23,2022-02-03 06:45:00,2022-02-03 08:30:00,1.93,3.1
24,2022-02-03 10:00:00,2022-02-03 10:00:00,0.12,0.36
25,2022-02-03 10:45:00,2022-02-03 10:45:00,0.12,0.46
26,2022-02-03 12:00:00,2022-02-03 12:30:00,0.51,0.96
27,2022-02-03 13:45:00,2022-02-03 14:00:00,0.43,0.77
28,2022-02-03 15:00:00,2022-02-03 16:30:00,1.52,2.83
29,2022-02-03 17:15:00,2022-02-03 17:15:00,0.12,0.12
30,2022-02-03 18:45:00,2022-02-03 20:30:00,1.9,3.92
31,2022-02-03 21:15:00,2022-02-03 21:30:00,0.32,0.49
32,2022-02-03 22:00:00,2022-02-03 22:00:00,0.12,0.24
33,2022-02-03 22:30:00,2022-02-04 01:45:00,3.48,2.51
34,2022-02-04 02:15:00,2022-02-04 03:15:00,1.21,1.92
35,2022-02-04 03:45:00,2022-02-04 06:45:00,3.08,5.77
36,2022-02-04 08:00:00,2022-02-04 08:15:00,0.33,0.47
37,2022-02-04 09:00:00,2022-02-04 09:15:00,0.38,0.52
38,2022-02-04 10:00:00,2022-02-04 10:15:00,0.39,0.43
39,2022-02-04 12:00:00,2022-02-04 12:15:00,0.4,1.02
40,2022-02-04 14:15:00,2022-02-04 14:30:00,0.34,0.64
41,2022-02-04 15:15:00,2022-02-04 15:45:00,0.61,1.15
42,2022-02-04 16:45:00,2022-02-04 17:15:00,0.74,1.4
43,2022-02-04 18:45:00,2022-02-04 19:45:00,1.12,2.1
44,2022-02-04 20:45:00,2022-02-04 21:15:00,0.59,1.1
45,2022-02-07 14:15:00,2022-02-07 14:30:00,0.3,0.55
46,2022-02-07 15:30:00,2022-02-07 16:45:00,1.26,2.37
47,2022-02-07 17:15:00,2022-02-07 17:15:00,0.12,0.18
48,2022-02-07 18:45:00,2022-02-07 21:15:00,2.69,5.15
49,2022-02-08 15:15:00,2022-02-08 15:15:00,0.12,0.37
50,2022-02-08 16:00:00,2022-02-08 16:15:00,0.45,0.43
51,2022-02-08 16:45:00,2022-02-08 17:15:00,0.68,1.28
52,2022-02-08 18:45:00,2022-02-08 22:45:00,4.18,8.31
53,2022-02-09 14:15:00,2022-02-09 14:30:00,0.4,1.07
54,2022-02-09 15:00:00,2022-02-09 15:30:00,0.41,0.74
55,2022-02-09 16:00:00,2022-02-09 16:15:00,0.41,0.76
56,2022-02-09 17:00:00,2022-02-09 17:15:00,0.36,0.64
57,2022-02-09 18:45:00,2022-02-09 21:15:00,2.71,5.59
58,2022-02-11 14:15:00,2022-02-11 14:30:00,0.48,0.9
59,2022-02-11 15:30:00,2022-02-11 17:00:00,1.36,2.55
60,2022-02-11 18:45:00,2022-02-11 20:00:00,1.33,2.04
61,2022-02-11 20:30:00,2022-02-11 21:15:00,1.0,1.44
62,2022-02-12 15:15:00,2022-02-12 19:00:00,3.94,7.14
63,2022-02-12 19:45:00,2022-02-12 19:45:00,0.12,0.11
64,2022-02-12 20:15:00,2022-02-12 20:30:00,0.37,0.22
65,2022-02-12 21:00:00,2022-02-12 21:15:00,0.5,0.39
66,2022-02-13 14:45:00,2022-02-13 15:15:00,0.73,0.29
67,2022-02-13 15:45:00,2022-02-13 16:00:00,0.48,0.22
68,2022-02-13 16:30:00,2022-02-13 19:30:00,2.9,5.45
69,2022-02-13 20:00:00,2022-02-13 21:15:00,1.3,2.45
70,2022-02-14 15:30:00,2022-02-14 16:15:00,0.8,2.04
71,2022-02-14 17:00:00,2022-02-14 17:15:00,0.49,0.91
72,2022-02-14 18:45:00,2022-02-14 20:00:00,1.35,2.54
73,2022-02-14 20:45:00,2022-02-14 21:15:00,0.69,1.31
74,2022-02-15 14:45:00,2022-02-15 15:00:00,0.38,0.69
75,2022-02-15 15:45:00,2022-02-15 16:00:00,0.5,0.92
76,2022-02-15 16:45:00,2022-02-15 17:15:00,0.59,1.1
77,2022-02-15 18:45:00,2022-02-15 21:00:00,2.34,4.4
78,2022-02-15 21:30:00,2022-02-15 21:45:00,0.46,0.58
79,2022-02-15 22:15:00,2022-02-15 23:15:00,1.06,2.66
80,2022-02-16 00:00:00,2022-02-16 00:15:00,0.5,0.48
81,2022-02-16 00:45:00,2022-02-16 01:15:00,0.75,0.83
82,2022-02-16 01:45:00,2022-02-16 02:00:00,0.47,0.61
83,2022-02-16 02:30:00,2022-02-16 02:30:00,0.12,0.09
