cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-01 00:15:00,0.49,1.33
1,2021-01-01 01:15:00,2021-01-01 01:30:00,0.45,1.27
2,2021-01-01 02:15:00,2021-01-01 04:15:00,2.02,6.12
3,2021-01-01 05:00:00,2021-01-01 05:15:00,0.45,1.21
4,2021-01-01 06:00:00,2021-01-01 07:00:00,1.2,3.61
5,2021-01-01 08:15:00,2021-01-01 08:30:00,0.31,0.63
6,2021-01-01 09:30:00,2021-01-01 09:45:00,0.43,0.45
7,2021-01-01 11:15:00,2021-01-01 12:00:00,0.78,2.63
8,2021-01-01 12:45:00,2021-01-01 13:00:00,0.33,0.73
9,2021-01-01 13:30:00,2021-01-01 15:15:00,1.92,5.73
10,2021-01-01 16:00:00,2021-01-01 16:45:00,0.84,2.49
11,2021-01-01 18:30:00,2021-01-01 19:45:00,1.22,3.93
12,2021-01-01 20:15:00,2021-01-01 20:30:00,0.3,0.86
13,2021-01-01 21:15:00,2021-01-01 21:30:00,0.37,0.83
14,2021-01-01 22:15:00,2021-01-01 22:30:00,0.45,0.82
15,2021-01-01 23:15:00,2021-01-01 23:45:00,0.6,1.74
16,2021-01-02 00:30:00,2021-01-02 01:00:00,0.51,1.5
17,2021-01-02 01:45:00,2021-01-02 02:15:00,0.49,1.44
18,2021-01-02 02:45:00,2021-01-02 04:45:00,2.01,6.14
19,2021-01-02 05:30:00,2021-01-02 05:45:00,0.49,1.5
20,2021-01-02 06:30:00,2021-01-02 07:00:00,0.65,1.96
21,2021-01-02 08:15:00,2021-01-02 08:30:00,0.36,1.02
22,2021-01-02 09:15:00,2021-01-02 10:15:00,0.93,2.65
23,2021-01-02 11:00:00,2021-01-02 12:30:00,1.6,4.61
24,2021-01-02 13:30:00,2021-01-02 15:15:00,1.93,5.84
25,2021-01-02 16:00:00,2021-01-02 17:00:00,1.1,3.33
26,2021-01-02 18:15:00,2021-01-02 19:00:00,0.71,2.52
27,2021-01-02 20:00:00,2021-01-02 20:00:00,0.12,0.67
28,2021-01-02 21:00:00,2021-01-02 21:00:00,0.12,0.64
29,2021-01-02 21:45:00,2021-01-02 22:00:00,0.33,0.72
30,2021-01-02 22:45:00,2021-01-02 23:15:00,0.55,1.6
31,2021-01-03 00:00:00,2021-01-03 00:30:00,0.48,1.39
32,2021-01-03 01:15:00,2021-01-03 01:45:00,0.47,1.36
33,2021-01-03 02:30:00,2021-01-03 04:15:00,1.91,5.8
34,2021-01-03 05:00:00,2021-01-03 05:30:00,0.41,1.25
35,2021-01-03 06:00:00,2021-01-03 06:30:00,0.42,1.29
36,2021-01-03 07:00:00,2021-01-03 07:00:00,0.12,0.42
37,2021-01-03 08:00:00,2021-01-03 08:45:00,0.67,1.94
38,2021-01-03 09:30:00,2021-01-03 10:45:00,1.41,4.41
39,2021-01-03 11:30:00,2021-01-03 12:15:00,0.62,1.76
40,2021-01-03 13:00:00,2021-01-03 16:30:00,3.62,10.55
41,2021-01-03 17:15:00,2021-01-03 17:15:00,0.12,0.31
42,2021-01-03 17:45:00,2021-01-03 18:30:00,0.81,2.84
43,2021-01-03 19:15:00,2021-01-03 19:30:00,0.41,0.46
44,2021-01-03 20:00:00,2021-01-03 21:15:00,1.24,3.84
45,2021-01-03 22:00:00,2021-01-04 00:45:00,2.93,8.46
46,2021-01-04 01:45:00,2021-01-04 03:15:00,1.5,4.54
47,2021-01-04 03:45:00,2021-01-04 04:15:00,0.54,1.64
48,2021-01-04 04:45:00,2021-01-04 05:15:00,0.54,1.61
