cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-07-13 07:15:00,2022-07-13 07:45:00,0.62,2.21
1,2022-07-14 07:45:00,2022-07-14 08:30:00,0.8,2.58
2,2022-07-15 13:45:00,2022-07-15 14:45:00,0.86,2.48
3,2022-07-15 23:45:00,2022-07-16 01:15:00,1.38,4.41
4,2022-07-18 02:45:00,2022-07-18 03:15:00,0.63,2.15
5,2022-07-19 12:00:00,2022-07-19 12:45:00,0.72,2.22
6,2022-07-24 21:45:00,2022-07-24 23:15:00,1.44,4.76
7,2022-07-25 23:00:00,2022-07-26 00:30:00,1.56,5.35
8,2022-07-27 17:15:00,2022-07-27 18:00:00,0.69,2.16
9,2022-07-29 00:45:00,2022-07-29 01:15:00,0.74,2.44
10,2022-07-30 01:00:00,2022-07-30 02:00:00,1.02,3.18
11,2022-07-31 10:00:00,2022-07-31 10:30:00,0.65,2.17
12,2022-08-01 13:30:00,2022-08-01 14:30:00,0.88,2.67
13,2022-08-01 23:00:00,2022-08-02 01:00:00,2.0,6.25
14,2022-08-04 06:15:00,2022-08-04 07:30:00,1.46,4.5
15,2022-08-05 21:45:00,2022-08-05 23:15:00,1.45,4.4
16,2022-08-07 15:30:00,2022-08-07 16:30:00,0.92,3.3
17,2022-08-08 23:00:00,2022-08-09 01:00:00,1.99,6.43
18,2022-08-10 14:45:00,2022-08-10 15:45:00,1.02,3.4
19,2022-08-11 22:45:00,2022-08-11 23:45:00,1.09,4.04
20,2022-08-13 10:15:00,2022-08-13 11:15:00,1.05,3.76
21,2022-08-14 18:00:00,2022-08-14 18:45:00,0.9,3.19
22,2022-08-15 23:00:00,2022-08-16 00:45:00,1.75,6.21
23,2022-08-18 03:00:00,2022-08-18 04:15:00,1.2,4.21
24,2022-08-19 16:15:00,2022-08-19 17:45:00,1.34,4.1
25,2022-08-20 20:00:00,2022-08-20 21:45:00,1.77,5.51
26,2022-08-21 21:45:00,2022-08-21 22:30:00,0.92,3.47
27,2022-08-22 23:00:00,2022-08-23 00:15:00,1.44,5.09
28,2022-08-25 04:15:00,2022-08-25 05:30:00,1.36,4.48
29,2022-08-26 18:30:00,2022-08-26 19:30:00,0.96,3.35
30,2022-08-27 23:15:00,2022-08-28 01:00:00,1.77,5.4
31,2022-08-29 01:15:00,2022-08-29 02:30:00,1.25,4.39
32,2022-08-29 23:00:00,2022-08-30 00:15:00,1.36,4.6
33,2022-09-01 02:30:00,2022-09-01 03:30:00,1.01,3.94
34,2022-09-02 15:00:00,2022-09-02 16:00:00,1.14,3.75
35,2022-09-04 03:30:00,2022-09-04 04:30:00,1.01,4.37
36,2022-09-05 17:45:00,2022-09-05 18:45:00,0.96,3.3
37,2022-09-05 23:00:00,2022-09-05 23:45:00,0.8,3.26
38,2022-09-07 20:45:00,2022-09-07 22:00:00,1.38,4.23
39,2022-09-09 05:45:00,2022-09-09 06:45:00,1.02,4.32
40,2022-09-10 14:00:00,2022-09-10 15:15:00,1.38,4.93
41,2022-09-11 21:15:00,2022-09-11 22:30:00,1.19,4.37
42,2022-09-12 23:00:00,2022-09-13 00:15:00,1.39,5.37
43,2022-09-14 12:45:00,2022-09-14 14:00:00,1.09,3.66
44,2022-09-15 19:45:00,2022-09-15 21:00:00,1.13,4.0
45,2022-09-17 07:15:00,2022-09-17 08:15:00,0.97,4.38
46,2022-09-18 11:45:00,2022-09-18 13:00:00,1.16,4.63
47,2022-09-19 12:15:00,2022-09-19 13:30:00,1.32,4.89
48,2022-09-19 23:00:00,2022-09-20 00:30:00,1.65,6.03
49,2022-09-21 18:30:00,2022-09-21 20:00:00,1.57,5.13
