cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-07-01 05:15:00,2021-07-01 05:30:00,0.33,0.94
1,2021-07-08 19:00:00,2021-07-08 19:30:00,0.35,1.0
2,2021-07-09 05:15:00,2021-07-09 05:30:00,0.33,0.94
3,2021-07-13 13:00:00,2021-07-13 13:15:00,0.33,0.92
4,2021-07-13 19:45:00,2021-07-13 20:15:00,0.35,1.0
5,2021-07-14 05:15:00,2021-07-14 05:30:00,0.33,0.93
6,2021-07-15 05:15:00,2021-07-15 05:45:00,0.58,1.65
7,2021-07-16 05:15:00,2021-07-16 05:30:00,0.33,0.93
8,2021-08-01 07:00:00,2021-08-01 07:15:00,0.33,0.92
9,2021-08-01 21:00:00,2021-08-01 21:15:00,0.34,0.67
10,2021-08-02 05:15:00,2021-08-02 05:30:00,0.33,0.93
11,2021-08-03 05:15:00,2021-08-03 05:30:00,0.38,0.66
12,2021-08-04 05:15:00,2021-08-04 05:30:00,0.33,0.92
13,2021-08-05 05:15:00,2021-08-05 05:30:00,0.33,0.92
14,2021-08-07 19:45:00,2021-08-07 20:00:00,0.41,1.0
15,2021-08-08 05:15:00,2021-08-08 05:30:00,0.33,0.94
16,2021-08-25 05:30:00,2021-08-25 05:45:00,0.46,0.98
17,2021-08-25 20:00:00,2021-08-25 20:30:00,0.35,1.0
18,2021-08-26 05:30:00,2021-08-26 06:00:00,0.5,1.38
19,2021-08-27 05:30:00,2021-08-27 05:45:00,0.46,0.97
20,2021-08-27 20:45:00,2021-08-27 21:00:00,0.4,0.98
21,2021-08-28 05:30:00,2021-08-28 06:00:00,0.61,1.67
22,2021-08-28 17:45:00,2021-08-28 18:00:00,0.47,0.98
23,2021-08-28 19:45:00,2021-08-28 20:00:00,0.34,0.97
24,2021-08-29 05:30:00,2021-08-29 06:00:00,0.57,1.61
25,2021-08-29 20:00:00,2021-08-29 20:15:00,0.38,0.99
26,2021-08-30 05:30:00,2021-08-30 06:00:00,0.54,1.53
27,2021-08-30 18:15:00,2021-08-30 18:30:00,0.46,0.99
28,2021-08-31 05:30:00,2021-08-31 05:45:00,0.42,0.73
29,2021-09-01 05:30:00,2021-09-01 06:00:00,0.57,1.59
30,2021-09-02 05:30:00,2021-09-02 05:45:00,0.48,0.84
31,2021-09-03 05:30:00,2021-09-03 05:45:00,0.48,0.91
32,2021-09-07 05:30:00,2021-09-07 05:45:00,0.39,0.69
33,2021-09-13 05:30:00,2021-09-13 05:45:00,0.46,0.95
34,2021-09-17 20:00:00,2021-09-17 20:15:00,0.36,0.99
35,2021-09-18 05:30:00,2021-09-18 06:15:00,0.7,1.97
36,2021-09-19 05:30:00,2021-09-19 06:00:00,0.5,1.41
37,2021-09-19 11:00:00,2021-09-19 11:15:00,0.38,0.98
38,2021-09-19 13:00:00,2021-09-19 13:15:00,0.37,0.99
39,2021-09-19 14:45:00,2021-09-19 15:00:00,0.45,0.99
40,2021-09-19 16:15:00,2021-09-19 16:30:00,0.4,0.99
41,2021-09-19 18:15:00,2021-09-19 18:30:00,0.4,1.0
42,2021-09-19 20:15:00,2021-09-19 20:30:00,0.4,1.0
43,2021-09-20 05:30:00,2021-09-20 06:15:00,0.73,2.06
44,2021-09-20 17:15:00,2021-09-20 17:30:00,0.38,0.98
45,2021-09-20 19:00:00,2021-09-20 19:15:00,0.36,0.99
46,2021-09-21 05:30:00,2021-09-21 06:30:00,1.09,3.02
47,2021-09-21 18:30:00,2021-09-21 18:45:00,0.4,0.99
48,2021-09-21 20:15:00,2021-09-21 20:30:00,0.35,0.99
49,2021-09-22 05:30:00,2021-09-22 06:15:00,0.81,2.23
50,2021-09-22 07:00:00,2021-09-22 07:15:00,0.45,0.98
51,2021-09-22 17:45:00,2021-09-22 18:15:00,0.35,1.0
52,2021-09-22 20:00:00,2021-09-22 20:15:00,0.36,0.99
53,2021-09-23 05:30:00,2021-09-23 06:30:00,1.15,3.2
54,2021-09-23 19:00:00,2021-09-23 19:15:00,0.35,0.99
55,2021-09-23 21:00:00,2021-09-23 21:15:00,0.37,1.0
56,2021-09-24 05:30:00,2021-09-24 06:15:00,0.72,2.03
57,2021-09-24 20:15:00,2021-09-24 20:30:00,0.45,0.99
58,2021-09-25 05:30:00,2021-09-25 06:15:00,0.76,2.12
59,2021-09-27 05:30:00,2021-09-27 06:00:00,0.53,1.47
60,2021-09-28 05:30:00,2021-09-28 06:00:00,0.6,1.68
61,2021-09-29 05:30:00,2021-09-29 06:00:00,0.55,1.55
62,2021-09-29 15:15:00,2021-09-29 15:30:00,0.35,0.99
63,2021-09-29 17:30:00,2021-09-29 17:45:00,0.36,0.99
64,2021-09-29 20:00:00,2021-09-29 20:15:00,0.34,0.96
65,2021-09-30 05:30:00,2021-09-30 06:15:00,0.9,2.49
66,2021-09-30 07:15:00,2021-09-30 07:30:00,0.35,0.99
67,2021-09-30 17:15:00,2021-09-30 17:30:00,0.4,0.98
68,2021-09-30 18:15:00,2021-09-30 19:00:00,0.62,1.77
69,2021-09-30 19:45:00,2021-09-30 20:30:00,0.63,1.79
70,2021-09-30 21:30:00,2021-09-30 21:30:00,0.12,0.27
71,2021-10-01 04:00:00,2021-10-01 04:15:00,0.34,0.9
72,2021-10-01 05:30:00,2021-10-01 06:45:00,1.35,3.73
73,2021-10-01 08:00:00,2021-10-01 08:15:00,0.34,0.96
74,2021-10-01 21:15:00,2021-10-01 21:30:00,0.48,0.51
75,2021-10-02 05:30:00,2021-10-02 06:00:00,0.6,1.69
76,2021-10-02 21:30:00,2021-10-02 21:30:00,0.12,0.25
77,2021-10-03 05:30:00,2021-10-03 06:00:00,0.51,1.42
78,2021-10-03 20:15:00,2021-10-03 20:30:00,0.33,0.94
79,2021-10-04 05:30:00,2021-10-04 06:15:00,0.87,2.4
80,2021-10-04 07:15:00,2021-10-04 07:30:00,0.45,0.99
81,2021-10-04 08:45:00,2021-10-04 08:45:00,0.12,0.64
82,2021-10-04 17:15:00,2021-10-04 17:30:00,0.39,0.98
83,2021-10-04 19:45:00,2021-10-04 20:00:00,0.38,0.99
84,2021-10-05 05:30:00,2021-10-05 06:15:00,0.82,2.28
85,2021-10-05 07:30:00,2021-10-05 07:45:00,0.36,0.98
86,2021-10-05 10:00:00,2021-10-05 10:30:00,0.35,1.0
87,2021-10-05 17:45:00,2021-10-05 18:00:00,0.36,0.99
88,2021-10-05 19:00:00,2021-10-05 19:30:00,0.35,1.0
89,2021-10-05 20:00:00,2021-10-05 20:30:00,0.61,1.75
90,2021-10-06 05:30:00,2021-10-06 06:45:00,1.31,3.63
91,2021-10-06 07:45:00,2021-10-06 08:00:00,0.42,0.98
92,2021-10-06 10:45:00,2021-10-06 11:15:00,0.35,0.99
93,2021-10-06 12:30:00,2021-10-06 12:45:00,0.36,0.98
94,2021-10-06 15:45:00,2021-10-06 15:45:00,0.12,0.7
95,2021-10-06 17:15:00,2021-10-06 17:45:00,0.62,1.77
96,2021-10-06 19:00:00,2021-10-06 19:15:00,0.44,0.99
97,2021-10-06 20:15:00,2021-10-06 20:30:00,0.48,1.0
98,2021-10-07 05:30:00,2021-10-07 06:30:00,1.08,3.0
99,2021-10-07 07:15:00,2021-10-07 07:30:00,0.36,0.99
100,2021-10-07 15:30:00,2021-10-07 15:45:00,0.28,0.77
101,2021-10-07 17:15:00,2021-10-07 17:30:00,0.38,0.98
102,2021-10-07 18:30:00,2021-10-07 18:45:00,0.35,0.98
103,2021-10-07 20:00:00,2021-10-07 20:15:00,0.34,0.94
104,2021-10-07 21:00:00,2021-10-07 21:15:00,0.35,0.99
105,2021-10-08 05:30:00,2021-10-08 06:15:00,0.73,2.01
106,2021-10-08 06:45:00,2021-10-08 07:15:00,0.61,1.73
107,2021-10-08 17:15:00,2021-10-08 17:45:00,0.59,1.69
108,2021-10-08 18:45:00,2021-10-08 19:00:00,0.47,0.99
109,2021-10-08 20:00:00,2021-10-08 20:15:00,0.38,0.99
110,2021-10-08 21:15:00,2021-10-08 21:30:00,0.4,1.14
111,2021-10-09 05:30:00,2021-10-09 06:15:00,0.9,2.47
112,2021-10-09 07:00:00,2021-10-09 07:30:00,0.62,1.76
113,2021-10-09 10:15:00,2021-10-09 10:30:00,0.45,0.98
114,2021-10-09 16:00:00,2021-10-09 16:30:00,0.35,0.98
115,2021-10-09 17:00:00,2021-10-09 17:45:00,0.64,1.83
116,2021-10-09 18:30:00,2021-10-09 19:00:00,0.65,1.85
117,2021-10-09 20:15:00,2021-10-09 20:30:00,0.38,1.0
118,2021-10-09 21:15:00,2021-10-09 21:30:00,0.42,1.18
119,2021-10-10 05:30:00,2021-10-10 06:30:00,1.15,3.19
120,2021-10-10 07:15:00,2021-10-10 07:45:00,0.64,1.82
121,2021-10-10 11:00:00,2021-10-10 11:30:00,0.35,0.98
122,2021-10-10 15:00:00,2021-10-10 15:15:00,0.4,0.97
123,2021-10-10 16:00:00,2021-10-10 16:45:00,0.7,1.98
124,2021-10-10 17:15:00,2021-10-10 18:00:00,0.7,1.98
125,2021-10-10 18:30:00,2021-10-10 19:15:00,0.7,1.99
126,2021-10-10 19:45:00,2021-10-10 20:15:00,0.68,1.93
127,2021-10-10 21:00:00,2021-10-10 21:30:00,0.52,1.46
128,2021-10-11 01:30:00,2021-10-11 01:45:00,0.5,0.92
129,2021-10-11 04:15:00,2021-10-11 04:30:00,0.42,0.92
130,2021-10-11 05:30:00,2021-10-11 07:00:00,1.45,3.97
131,2021-10-11 07:30:00,2021-10-11 08:15:00,0.96,2.37
132,2021-10-11 10:00:00,2021-10-11 10:15:00,0.39,0.96
133,2021-10-11 15:30:00,2021-10-11 15:45:00,0.4,0.96
134,2021-10-11 17:15:00,2021-10-11 18:00:00,0.82,2.34
135,2021-10-11 18:45:00,2021-10-11 19:15:00,0.66,1.89
136,2021-10-11 20:15:00,2021-10-11 20:45:00,0.66,1.88
137,2021-10-12 05:30:00,2021-10-12 07:00:00,1.44,3.99
138,2021-10-12 07:45:00,2021-10-12 08:15:00,0.59,1.66
139,2021-10-12 15:00:00,2021-10-12 15:15:00,0.44,0.97
140,2021-10-12 17:15:00,2021-10-12 17:45:00,0.53,1.49
141,2021-10-12 18:30:00,2021-10-12 18:45:00,0.37,0.99
142,2021-10-12 19:30:00,2021-10-12 20:15:00,0.62,1.79
143,2021-10-12 21:15:00,2021-10-12 21:30:00,0.42,0.47
144,2021-10-13 05:15:00,2021-10-13 06:45:00,1.63,4.5
145,2021-10-13 07:15:00,2021-10-13 08:00:00,0.65,1.83
146,2021-10-13 10:00:00,2021-10-13 10:15:00,0.39,0.97
147,2021-10-13 12:15:00,2021-10-13 12:30:00,0.37,0.67
148,2021-10-13 15:30:00,2021-10-13 15:45:00,0.35,0.96
149,2021-10-13 17:15:00,2021-10-13 18:00:00,0.84,2.35
150,2021-10-13 18:30:00,2021-10-13 19:00:00,0.62,1.74
151,2021-10-13 19:45:00,2021-10-13 20:15:00,0.68,1.94
152,2021-10-13 20:45:00,2021-10-13 21:30:00,0.67,1.89
153,2021-10-14 01:30:00,2021-10-14 01:45:00,0.37,0.92
154,2021-10-14 03:00:00,2021-10-14 03:15:00,0.5,0.92
155,2021-10-14 04:00:00,2021-10-14 04:45:00,0.65,1.71
156,2021-10-14 05:30:00,2021-10-14 07:15:00,1.89,5.05
157,2021-10-14 08:00:00,2021-10-14 08:30:00,0.64,1.8
158,2021-10-14 10:00:00,2021-10-14 10:15:00,0.34,0.95
159,2021-10-14 15:30:00,2021-10-14 15:45:00,0.44,1.23
160,2021-10-14 17:15:00,2021-10-14 18:15:00,1.03,2.92
161,2021-10-14 18:45:00,2021-10-14 19:15:00,0.69,1.95
162,2021-10-14 20:00:00,2021-10-14 20:30:00,0.64,1.8
163,2021-10-14 21:00:00,2021-10-14 21:30:00,0.45,1.25
164,2021-10-15 01:15:00,2021-10-15 01:30:00,0.42,0.92
165,2021-10-15 02:30:00,2021-10-15 03:15:00,0.65,1.7
166,2021-10-15 04:15:00,2021-10-15 05:15:00,0.96,2.35
167,2021-10-15 05:45:00,2021-10-15 07:00:00,1.38,3.79
168,2021-10-15 07:45:00,2021-10-15 08:15:00,0.58,1.66
169,2021-10-15 17:15:00,2021-10-15 18:00:00,0.84,2.36
170,2021-10-15 18:30:00,2021-10-15 19:15:00,0.68,1.95
171,2021-10-15 19:45:00,2021-10-15 20:30:00,0.67,1.91
172,2021-10-15 21:00:00,2021-10-15 21:30:00,0.48,1.36
173,2021-10-16 02:15:00,2021-10-16 02:30:00,0.33,0.88
174,2021-10-16 03:45:00,2021-10-16 04:00:00,0.48,0.92
175,2021-10-16 05:00:00,2021-10-16 05:15:00,0.35,0.92
176,2021-10-16 06:00:00,2021-10-16 07:15:00,1.32,3.62
177,2021-10-16 07:45:00,2021-10-16 08:15:00,0.64,1.79
178,2021-10-16 15:45:00,2021-10-16 16:30:00,0.67,1.87
179,2021-10-16 17:15:00,2021-10-16 17:45:00,0.67,1.91
180,2021-10-16 18:45:00,2021-10-16 19:15:00,0.65,1.87
181,2021-10-16 20:00:00,2021-10-16 20:30:00,0.6,1.7
182,2021-10-16 21:15:00,2021-10-16 21:30:00,0.46,0.51
183,2021-10-17 05:30:00,2021-10-17 06:45:00,1.19,3.33
184,2021-10-17 07:15:00,2021-10-17 07:45:00,0.64,1.82
185,2021-10-17 09:45:00,2021-10-17 10:00:00,0.48,0.97
186,2021-10-17 15:30:00,2021-10-17 16:00:00,0.62,1.76
187,2021-10-17 16:45:00,2021-10-17 17:15:00,0.64,1.83
188,2021-10-17 18:00:00,2021-10-17 18:45:00,0.67,1.92
189,2021-10-17 19:30:00,2021-10-17 20:00:00,0.63,1.81
190,2021-10-17 20:45:00,2021-10-17 21:30:00,0.63,1.81
191,2021-10-18 05:30:00,2021-10-18 06:45:00,1.4,3.86
192,2021-10-18 07:30:00,2021-10-18 08:00:00,0.67,1.88
193,2021-10-18 10:15:00,2021-10-18 10:30:00,0.34,0.94
194,2021-10-18 17:15:00,2021-10-18 17:45:00,0.7,1.95
195,2021-10-18 18:30:00,2021-10-18 19:00:00,0.68,1.95
196,2021-10-18 19:45:00,2021-10-18 20:15:00,0.63,1.82
197,2021-10-18 21:15:00,2021-10-18 21:30:00,0.37,0.89
198,2021-10-19 05:30:00,2021-10-19 06:30:00,1.15,3.2
199,2021-10-19 07:15:00,2021-10-19 07:30:00,0.34,0.96
200,2021-10-19 17:15:00,2021-10-19 17:45:00,0.55,1.55
201,2021-10-19 18:15:00,2021-10-19 18:45:00,0.63,1.79
202,2021-10-19 19:45:00,2021-10-19 20:15:00,0.65,1.86
203,2021-10-19 21:00:00,2021-10-19 21:30:00,0.42,1.21
204,2021-10-20 05:30:00,2021-10-20 06:15:00,0.88,2.49
205,2021-10-21 05:30:00,2021-10-21 06:15:00,0.75,2.13
206,2021-10-21 10:00:00,2021-10-21 10:15:00,0.39,0.97
207,2021-10-21 17:15:00,2021-10-21 17:45:00,0.62,1.76
208,2021-10-21 19:15:00,2021-10-21 19:30:00,0.34,0.96
209,2021-10-22 05:30:00,2021-10-22 06:30:00,1.15,3.22
210,2021-10-22 07:15:00,2021-10-22 08:00:00,0.61,1.72
211,2021-10-22 10:00:00,2021-10-22 10:30:00,0.6,1.71
