cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-09-20 01:30:00,2021-09-20 01:30:00,0.12,1.06
1,2021-09-22 03:15:00,2021-09-22 03:45:00,0.34,2.05
2,2021-09-23 02:30:00,2021-09-23 02:45:00,0.48,2.16
3,2021-09-23 05:15:00,2021-09-23 05:30:00,0.42,2.28
4,2021-09-25 02:30:00,2021-09-25 02:45:00,0.35,1.47
5,2021-09-30 06:30:00,2021-09-30 06:45:00,0.4,1.72
6,2021-10-01 02:30:00,2021-10-01 03:00:00,0.54,3.15
7,2021-10-01 04:45:00,2021-10-01 05:15:00,0.46,2.71
8,2021-10-01 07:00:00,2021-10-01 07:30:00,0.35,2.11
9,2021-10-05 02:45:00,2021-10-05 03:00:00,0.47,1.82
10,2021-10-06 02:30:00,2021-10-06 03:00:00,0.58,3.52
11,2021-10-06 05:15:00,2021-10-06 05:45:00,0.4,2.42
12,2021-10-06 10:00:00,2021-10-06 10:15:00,0.47,2.42
13,2021-10-06 15:15:00,2021-10-06 15:30:00,0.31,1.9
14,2021-10-06 19:00:00,2021-10-06 19:15:00,0.45,2.39
15,2021-10-07 02:30:00,2021-10-07 03:00:00,0.47,2.89
16,2021-10-07 04:45:00,2021-10-07 05:15:00,0.42,2.59
17,2021-10-07 08:15:00,2021-10-07 08:30:00,0.42,1.98
18,2021-10-07 15:00:00,2021-10-07 15:15:00,0.44,1.96
19,2021-10-07 19:15:00,2021-10-07 19:30:00,0.35,1.41
20,2021-10-08 02:30:00,2021-10-08 03:00:00,0.59,3.61
21,2021-10-08 05:30:00,2021-10-08 05:45:00,0.45,2.13
22,2021-10-08 08:30:00,2021-10-08 08:45:00,0.42,1.98
23,2021-10-08 19:30:00,2021-10-08 19:30:00,0.12,0.91
24,2021-10-09 02:30:00,2021-10-09 03:00:00,0.51,3.1
25,2021-10-09 05:00:00,2021-10-09 05:30:00,0.37,2.26
26,2021-10-09 08:15:00,2021-10-09 08:45:00,0.36,2.19
27,2021-10-09 17:45:00,2021-10-09 18:00:00,0.39,2.12
28,2021-10-10 01:45:00,2021-10-10 02:15:00,0.45,2.65
29,2021-10-10 02:45:00,2021-10-10 03:15:00,0.53,3.08
30,2021-10-10 04:15:00,2021-10-10 04:45:00,0.43,2.54
31,2021-10-10 06:45:00,2021-10-10 07:15:00,0.46,2.75
32,2021-10-10 11:15:00,2021-10-10 11:30:00,0.34,2.08
33,2021-10-10 15:30:00,2021-10-10 15:45:00,0.41,2.12
34,2021-10-10 17:45:00,2021-10-10 18:00:00,0.38,2.31
35,2021-10-10 22:15:00,2021-10-10 22:45:00,0.44,2.53
36,2021-10-11 00:15:00,2021-10-11 00:45:00,0.46,2.64
37,2021-10-11 01:30:00,2021-10-11 02:30:00,1.01,5.41
38,2021-10-11 04:00:00,2021-10-11 04:30:00,0.52,3.04
39,2021-10-11 06:00:00,2021-10-11 06:15:00,0.46,2.73
40,2021-10-11 08:00:00,2021-10-11 08:15:00,0.45,2.59
41,2021-10-11 10:30:00,2021-10-11 10:45:00,0.34,2.06
42,2021-10-11 14:30:00,2021-10-11 14:45:00,0.41,1.94
43,2021-10-11 17:15:00,2021-10-11 17:45:00,0.33,2.04
44,2021-10-12 00:30:00,2021-10-12 01:00:00,0.4,2.42
45,2021-10-12 02:30:00,2021-10-12 03:00:00,0.51,3.1
46,2021-10-12 04:15:00,2021-10-12 04:30:00,0.5,2.3
47,2021-10-12 06:15:00,2021-10-12 06:30:00,0.35,2.11
48,2021-10-12 10:00:00,2021-10-12 10:15:00,0.39,2.03
49,2021-10-12 15:30:00,2021-10-12 15:45:00,0.47,2.07
50,2021-10-12 19:15:00,2021-10-12 19:30:00,0.33,1.61
51,2021-10-13 02:30:00,2021-10-13 03:00:00,0.63,3.88
52,2021-10-13 04:30:00,2021-10-13 05:00:00,0.41,2.49
53,2021-10-13 06:15:00,2021-10-13 06:45:00,0.48,2.89
54,2021-10-13 08:30:00,2021-10-13 08:45:00,0.28,1.71
55,2021-10-13 10:45:00,2021-10-13 11:15:00,0.34,2.12
56,2021-10-13 13:45:00,2021-10-13 14:00:00,0.36,2.14
57,2021-10-13 17:15:00,2021-10-13 17:30:00,0.48,2.47
58,2021-10-13 19:15:00,2021-10-13 19:30:00,0.33,1.23
59,2021-10-13 22:45:00,2021-10-13 23:00:00,0.44,2.36
60,2021-10-14 01:15:00,2021-10-14 01:45:00,0.52,2.99
61,2021-10-14 02:30:00,2021-10-14 03:30:00,1.11,6.11
62,2021-10-14 05:00:00,2021-10-14 06:00:00,0.96,5.27
63,2021-10-14 07:45:00,2021-10-14 08:15:00,0.47,2.79
64,2021-10-14 10:30:00,2021-10-14 11:00:00,0.41,2.56
65,2021-10-14 13:30:00,2021-10-14 13:45:00,0.43,2.34
66,2021-10-14 17:15:00,2021-10-14 17:30:00,0.47,2.79
67,2021-10-14 19:30:00,2021-10-14 19:30:00,0.12,1.3
68,2021-10-14 22:45:00,2021-10-14 23:00:00,0.47,2.68
69,2021-10-15 00:45:00,2021-10-15 01:15:00,0.53,2.99
70,2021-10-15 02:30:00,2021-10-15 03:30:00,1.18,6.39
71,2021-10-15 04:45:00,2021-10-15 05:45:00,1.06,5.71
72,2021-10-15 07:15:00,2021-10-15 07:45:00,0.45,2.67
73,2021-10-15 12:45:00,2021-10-15 13:00:00,0.46,1.83
74,2021-10-15 17:15:00,2021-10-15 17:45:00,0.35,2.18
75,2021-10-15 22:30:00,2021-10-15 23:00:00,0.38,2.28
76,2021-10-16 01:30:00,2021-10-16 02:00:00,0.5,2.9
77,2021-10-16 02:30:00,2021-10-16 03:00:00,0.53,3.08
78,2021-10-16 04:15:00,2021-10-16 05:15:00,1.05,5.7
79,2021-10-16 06:30:00,2021-10-16 07:00:00,0.51,3.0
80,2021-10-16 09:15:00,2021-10-16 09:45:00,0.37,2.36
81,2021-10-16 16:30:00,2021-10-16 16:45:00,0.43,2.26
82,2021-10-16 18:45:00,2021-10-16 19:00:00,0.45,2.06
83,2021-10-16 23:30:00,2021-10-16 23:45:00,0.46,2.27
84,2021-10-17 02:30:00,2021-10-17 03:15:00,0.87,5.06
85,2021-10-17 05:15:00,2021-10-17 05:45:00,0.47,2.88
86,2021-10-17 08:00:00,2021-10-17 08:15:00,0.48,2.36
87,2021-10-17 11:00:00,2021-10-17 11:15:00,0.47,1.93
88,2021-10-17 15:45:00,2021-10-17 16:00:00,0.37,2.24
89,2021-10-17 18:00:00,2021-10-17 18:30:00,0.34,2.08
90,2021-10-17 23:00:00,2021-10-17 23:30:00,0.37,2.21
91,2021-10-18 01:30:00,2021-10-18 02:00:00,0.54,3.34
92,2021-10-18 03:30:00,2021-10-18 04:00:00,0.42,2.58
93,2021-10-18 05:45:00,2021-10-18 06:15:00,0.42,2.57
94,2021-10-18 08:00:00,2021-10-18 08:30:00,0.41,2.54
95,2021-10-18 11:45:00,2021-10-18 12:00:00,0.4,1.92
96,2021-10-18 17:15:00,2021-10-18 17:30:00,0.48,1.9
97,2021-10-19 00:15:00,2021-10-19 00:30:00,0.37,2.19
98,2021-10-19 02:30:00,2021-10-19 03:00:00,0.58,3.56
