cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-02-23 00:45:00,2021-02-23 01:00:00,0.33,0.98
1,2021-02-23 02:15:00,2021-02-23 02:45:00,0.49,1.62
2,2021-02-23 03:30:00,2021-02-23 03:45:00,0.38,1.09
3,2021-02-23 04:30:00,2021-02-23 04:45:00,0.36,0.98
4,2021-02-23 05:30:00,2021-02-23 05:45:00,0.46,0.97
5,2021-02-23 06:30:00,2021-02-23 06:45:00,0.49,1.01
6,2021-02-23 07:45:00,2021-02-23 08:00:00,0.32,0.88
7,2021-02-23 09:15:00,2021-02-23 09:30:00,0.33,0.89
8,2021-02-23 12:15:00,2021-02-23 12:15:00,0.12,0.75
9,2021-02-23 15:00:00,2021-02-23 15:15:00,0.32,0.91
10,2021-02-23 16:30:00,2021-02-23 16:45:00,0.46,1.12
11,2021-02-23 18:00:00,2021-02-23 18:15:00,0.4,1.19
12,2021-02-23 19:15:00,2021-02-23 19:30:00,0.35,0.95
13,2021-02-23 20:30:00,2021-02-23 20:45:00,0.4,1.0
14,2021-02-23 21:45:00,2021-02-23 22:00:00,0.47,0.94
15,2021-02-24 00:45:00,2021-02-24 01:15:00,0.37,1.12
16,2021-02-24 02:15:00,2021-02-24 02:45:00,0.48,1.62
17,2021-02-24 03:30:00,2021-02-24 03:45:00,0.45,0.82
18,2021-02-24 04:30:00,2021-02-24 04:45:00,0.49,1.08
19,2021-02-24 05:30:00,2021-02-24 05:45:00,0.38,1.02
20,2021-02-24 06:30:00,2021-02-24 06:45:00,0.29,1.0
21,2021-02-24 07:30:00,2021-02-24 07:45:00,0.5,0.76
22,2021-02-24 10:30:00,2021-02-24 10:30:00,0.12,0.77
23,2021-02-24 15:30:00,2021-02-24 15:45:00,0.32,0.95
24,2021-02-24 16:45:00,2021-02-24 17:15:00,0.39,1.21
25,2021-02-24 18:00:00,2021-02-24 18:15:00,0.49,1.0
26,2021-02-24 19:15:00,2021-02-24 19:30:00,0.48,0.97
27,2021-02-24 20:30:00,2021-02-24 20:45:00,0.42,0.96
28,2021-02-24 21:45:00,2021-02-24 22:00:00,0.31,0.93
29,2021-02-25 00:45:00,2021-02-25 01:00:00,0.4,0.95
30,2021-02-25 02:15:00,2021-02-25 02:45:00,0.52,1.71
31,2021-02-25 03:30:00,2021-02-25 03:45:00,0.33,1.19
32,2021-02-25 04:30:00,2021-02-25 04:45:00,0.36,1.16
33,2021-02-25 05:45:00,2021-02-25 06:00:00,0.37,0.99
34,2021-02-25 06:30:00,2021-02-25 06:45:00,0.29,1.03
35,2021-02-25 07:45:00,2021-02-25 08:00:00,0.36,0.73
36,2021-02-25 09:30:00,2021-02-25 09:45:00,0.41,0.81
37,2021-02-25 13:00:00,2021-02-25 13:15:00,0.34,0.79
38,2021-02-25 16:30:00,2021-02-25 17:00:00,0.42,1.26
39,2021-02-25 18:00:00,2021-02-25 18:15:00,0.36,1.08
40,2021-02-25 19:30:00,2021-02-25 19:45:00,0.33,1.04
41,2021-02-25 20:45:00,2021-02-25 21:15:00,0.33,1.06
42,2021-02-25 22:15:00,2021-02-25 22:30:00,0.33,1.1
43,2021-02-26 02:15:00,2021-02-26 02:45:00,0.58,1.84
44,2021-02-26 03:45:00,2021-02-26 03:45:00,0.12,0.84
45,2021-02-26 04:45:00,2021-02-26 05:00:00,0.38,1.0
46,2021-02-26 05:45:00,2021-02-26 06:00:00,0.33,1.08
47,2021-02-26 07:00:00,2021-02-26 07:15:00,0.4,0.94
48,2021-02-26 08:30:00,2021-02-26 08:45:00,0.4,0.9
49,2021-02-26 11:30:00,2021-02-26 11:45:00,0.44,0.9
50,2021-02-26 13:30:00,2021-02-26 13:45:00,0.33,1.01
51,2021-02-26 15:00:00,2021-02-26 15:15:00,0.45,1.26
52,2021-02-26 16:15:00,2021-02-26 16:45:00,0.38,1.21
53,2021-02-26 17:45:00,2021-02-26 18:15:00,0.39,1.27
54,2021-02-26 19:15:00,2021-02-26 19:30:00,0.45,0.98
55,2021-02-26 20:15:00,2021-02-26 20:30:00,0.29,0.96
56,2021-02-26 21:15:00,2021-02-26 21:30:00,0.3,1.0
57,2021-02-26 22:15:00,2021-02-26 22:30:00,0.41,1.06
58,2021-02-27 00:00:00,2021-02-27 00:15:00,0.41,1.22
59,2021-02-27 01:15:00,2021-02-27 01:30:00,0.41,1.25
60,2021-02-27 02:15:00,2021-02-27 02:45:00,0.59,2.06
61,2021-02-27 03:15:00,2021-02-27 03:45:00,0.4,1.5
62,2021-02-27 04:15:00,2021-02-27 04:30:00,0.41,1.59
63,2021-02-27 05:15:00,2021-02-27 05:30:00,0.44,1.44
64,2021-02-27 06:00:00,2021-02-27 06:15:00,0.44,1.58
65,2021-02-27 06:45:00,2021-02-27 07:15:00,0.44,1.68
66,2021-02-27 07:45:00,2021-02-27 08:15:00,0.43,1.69
67,2021-02-27 08:45:00,2021-02-27 09:00:00,0.47,1.7
68,2021-02-27 09:30:00,2021-02-27 10:00:00,0.46,1.77
69,2021-02-27 10:30:00,2021-02-27 10:45:00,0.43,1.69
70,2021-02-27 11:15:00,2021-02-27 11:45:00,0.41,1.52
71,2021-02-27 12:15:00,2021-02-27 12:30:00,0.39,1.52
72,2021-02-27 13:15:00,2021-02-27 13:30:00,0.49,1.77
73,2021-02-27 14:00:00,2021-02-27 14:30:00,0.46,1.7
74,2021-02-27 15:00:00,2021-02-27 15:30:00,0.43,1.63
75,2021-02-27 16:00:00,2021-02-27 16:15:00,0.45,1.6
76,2021-02-27 16:45:00,2021-02-27 17:15:00,0.45,1.67
77,2021-02-27 17:45:00,2021-02-27 18:15:00,0.43,1.63
78,2021-02-27 18:45:00,2021-02-27 19:15:00,0.54,2.1
79,2021-02-27 19:45:00,2021-02-27 20:15:00,0.49,1.94
80,2021-02-27 20:45:00,2021-02-27 21:00:00,0.49,1.9
81,2021-02-27 21:30:00,2021-02-27 22:00:00,0.44,1.68
82,2021-02-27 22:30:00,2021-02-27 22:45:00,0.35,1.25
83,2021-02-27 23:15:00,2021-02-27 23:45:00,0.45,1.59
84,2021-02-28 00:15:00,2021-02-28 00:45:00,0.39,1.4
85,2021-02-28 01:15:00,2021-02-28 01:45:00,0.47,1.72
86,2021-02-28 02:15:00,2021-02-28 03:45:00,1.66,4.99
87,2021-02-28 04:15:00,2021-02-28 04:45:00,0.5,2.05
88,2021-02-28 05:15:00,2021-02-28 05:30:00,0.49,1.95
89,2021-02-28 06:00:00,2021-02-28 07:15:00,1.3,3.52
90,2021-02-28 07:45:00,2021-02-28 08:15:00,0.44,1.78
91,2021-02-28 08:45:00,2021-02-28 09:00:00,0.42,1.6
92,2021-02-28 09:30:00,2021-02-28 09:45:00,0.42,1.62
93,2021-02-28 10:15:00,2021-02-28 10:45:00,0.38,1.5
94,2021-02-28 11:15:00,2021-02-28 11:30:00,0.37,1.39
95,2021-02-28 12:00:00,2021-02-28 12:15:00,0.45,1.48
96,2021-02-28 13:00:00,2021-02-28 13:15:00,0.4,1.48
97,2021-02-28 13:45:00,2021-02-28 14:15:00,0.4,1.47
98,2021-02-28 14:45:00,2021-02-28 15:15:00,0.39,1.4
99,2021-02-28 15:45:00,2021-02-28 16:00:00,0.33,1.2
100,2021-02-28 16:45:00,2021-02-28 17:00:00,0.5,1.43
101,2021-02-28 17:30:00,2021-02-28 18:15:00,0.71,2.69
102,2021-02-28 18:45:00,2021-02-28 19:00:00,0.38,1.44
103,2021-02-28 19:45:00,2021-02-28 20:00:00,0.48,1.43
104,2021-02-28 20:30:00,2021-02-28 21:00:00,0.39,1.5
