cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-19 23:00:00,2021-01-19 23:15:00,0.45,1.81
1,2021-01-19 23:45:00,2021-01-20 00:00:00,0.41,1.83
2,2021-01-20 00:30:00,2021-01-20 03:00:00,2.63,23.12
3,2021-01-20 03:30:00,2021-01-20 06:15:00,2.91,10.65
4,2021-01-20 06:45:00,2021-01-20 09:15:00,2.62,9.17
5,2021-01-20 09:45:00,2021-01-20 12:45:00,3.16,12.68
6,2021-01-20 13:15:00,2021-01-20 13:30:00,0.39,1.76
7,2021-01-20 14:00:00,2021-01-20 14:15:00,0.41,1.93
8,2021-01-20 14:45:00,2021-01-20 20:00:00,5.36,21.54
9,2021-01-20 20:30:00,2021-01-20 21:45:00,1.32,4.58
10,2021-01-20 22:15:00,2021-01-20 22:30:00,0.42,1.93
11,2021-01-20 23:00:00,2021-01-20 23:15:00,0.43,1.88
12,2021-01-20 23:45:00,2021-01-21 02:30:00,3.0,21.16
13,2021-01-21 03:00:00,2021-01-21 03:00:00,0.12,0.79
14,2021-01-21 03:30:00,2021-01-21 05:00:00,1.72,4.32
15,2021-01-21 05:30:00,2021-01-21 06:45:00,1.32,4.48
16,2021-01-21 07:15:00,2021-01-21 07:30:00,0.43,1.93
17,2021-01-21 08:00:00,2021-01-21 08:15:00,0.47,1.95
18,2021-01-21 08:45:00,2021-01-21 09:45:00,1.04,2.96
19,2021-01-21 10:15:00,2021-01-21 11:15:00,1.0,5.1
20,2021-01-21 11:45:00,2021-01-21 11:45:00,0.12,0.97
21,2021-01-21 12:15:00,2021-01-21 13:30:00,1.5,3.01
22,2021-01-21 14:00:00,2021-01-21 14:00:00,0.12,1.04
23,2021-01-21 14:30:00,2021-01-21 15:15:00,1.0,2.41
24,2021-01-21 15:45:00,2021-01-21 16:00:00,0.47,1.55
25,2021-01-21 16:30:00,2021-01-21 18:30:00,2.25,10.36
26,2021-01-21 19:00:00,2021-01-21 19:15:00,0.39,1.73
27,2021-01-21 19:45:00,2021-01-21 20:00:00,0.5,1.46
28,2021-01-21 20:30:00,2021-01-21 20:30:00,0.12,0.94
29,2021-01-21 21:15:00,2021-01-21 21:15:00,0.12,0.8
30,2021-01-21 21:45:00,2021-01-21 22:30:00,0.95,1.55
31,2021-01-21 23:00:00,2021-01-21 23:00:00,0.12,0.69
32,2021-01-21 23:30:00,2021-01-21 23:30:00,0.12,0.72
33,2021-01-22 00:00:00,2021-01-22 02:15:00,2.5,16.97
34,2021-01-22 02:45:00,2021-01-22 03:30:00,1.0,2.76
35,2021-01-22 04:00:00,2021-01-22 04:15:00,0.47,1.65
36,2021-01-22 04:45:00,2021-01-22 05:45:00,1.22,5.34
37,2021-01-22 06:15:00,2021-01-22 07:30:00,1.27,4.27
38,2021-01-22 08:00:00,2021-01-22 08:15:00,0.49,2.22
39,2021-01-22 08:45:00,2021-01-22 09:00:00,0.43,1.85
40,2021-01-22 09:30:00,2021-01-22 09:45:00,0.47,1.69
41,2021-01-22 10:30:00,2021-01-22 11:15:00,0.94,4.75
42,2021-01-22 11:45:00,2021-01-22 12:30:00,1.0,2.49
43,2021-01-22 13:00:00,2021-01-22 13:00:00,0.12,1.01
44,2021-01-22 13:30:00,2021-01-22 14:15:00,1.0,2.35
45,2021-01-22 14:45:00,2021-01-22 15:00:00,0.43,1.54
46,2021-01-22 15:30:00,2021-01-22 16:30:00,1.22,4.02
47,2021-01-22 17:00:00,2021-01-22 19:30:00,2.72,12.26
48,2021-01-22 20:00:00,2021-01-22 21:45:00,1.93,5.68
49,2021-01-22 22:15:00,2021-01-22 22:30:00,0.48,1.42
50,2021-01-22 23:00:00,2021-01-23 00:00:00,1.2,3.96
51,2021-01-23 00:30:00,2021-01-23 02:45:00,2.29,21.89
52,2021-01-23 03:15:00,2021-01-23 03:30:00,0.49,2.23
53,2021-01-23 04:00:00,2021-01-23 04:30:00,0.61,2.88
54,2021-01-23 05:00:00,2021-01-23 05:30:00,0.6,2.8
55,2021-01-23 06:00:00,2021-01-23 07:15:00,1.41,5.0
56,2021-01-23 07:45:00,2021-01-23 09:00:00,1.39,4.91
57,2021-01-23 09:30:00,2021-01-23 09:45:00,0.49,2.21
58,2021-01-23 10:15:00,2021-01-23 10:30:00,0.41,1.96
59,2021-01-23 11:00:00,2021-01-23 11:15:00,0.41,1.76
60,2021-01-23 11:45:00,2021-01-23 12:00:00,0.46,1.75
61,2021-01-23 12:30:00,2021-01-23 12:45:00,0.46,2.0
62,2021-01-23 13:15:00,2021-01-23 13:30:00,0.45,1.79
63,2021-01-23 14:00:00,2021-01-23 14:15:00,0.46,1.95
64,2021-01-23 14:45:00,2021-01-23 15:00:00,0.44,1.91
65,2021-01-23 15:30:00,2021-01-23 16:45:00,1.32,4.63
66,2021-01-23 17:15:00,2021-01-23 19:15:00,2.13,6.89
67,2021-01-23 19:45:00,2021-01-23 20:00:00,0.43,2.02
68,2021-01-23 20:30:00,2021-01-23 22:00:00,1.75,4.83
69,2021-01-23 22:30:00,2021-01-23 22:45:00,0.47,1.66
70,2021-01-23 23:15:00,2021-01-24 04:45:00,5.63,42.15
71,2021-01-24 05:15:00,2021-01-24 05:45:00,0.64,3.02
72,2021-01-24 06:15:00,2021-01-24 07:45:00,1.68,6.33
73,2021-01-24 08:15:00,2021-01-24 08:45:00,0.58,2.76
74,2021-01-24 09:15:00,2021-01-24 09:30:00,0.47,2.15
75,2021-01-24 10:00:00,2021-01-24 11:15:00,1.42,5.11
76,2021-01-24 11:45:00,2021-01-24 12:15:00,0.61,2.92
77,2021-01-24 12:45:00,2021-01-24 14:00:00,1.36,4.9
78,2021-01-24 14:30:00,2021-01-24 15:00:00,0.62,3.04
79,2021-01-24 15:30:00,2021-01-24 17:00:00,1.72,6.69
80,2021-01-24 17:30:00,2021-01-24 18:15:00,0.91,4.47
81,2021-01-24 18:45:00,2021-01-24 19:15:00,0.59,2.87
82,2021-01-24 19:45:00,2021-01-24 20:15:00,0.65,3.14
83,2021-01-24 20:45:00,2021-01-24 21:15:00,0.65,3.11
