cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-07-20 02:30:00,2022-07-20 04:15:00,1.85,10.89
1,2022-07-21 02:30:00,2022-07-21 03:45:00,1.28,7.45
2,2022-07-22 02:30:00,2022-07-22 03:30:00,1.07,6.35
3,2022-07-23 02:30:00,2022-07-23 03:30:00,1.04,6.1
4,2022-07-24 02:30:00,2022-07-24 04:00:00,1.68,9.82
5,2022-07-24 05:00:00,2022-07-24 05:15:00,0.46,1.27
6,2022-07-25 02:30:00,2022-07-25 03:30:00,1.08,6.28
7,2022-07-26 02:30:00,2022-07-26 03:30:00,1.07,6.25
8,2022-07-27 02:30:00,2022-07-27 03:30:00,1.03,6.07
9,2022-07-28 02:30:00,2022-07-28 04:00:00,1.54,9.14
10,2022-07-29 02:30:00,2022-07-29 03:30:00,1.09,6.48
11,2022-07-30 02:30:00,2022-07-30 03:45:00,1.29,7.6
12,2022-07-30 06:00:00,2022-07-30 06:15:00,0.3,1.6
13,2022-07-31 02:30:00,2022-07-31 04:15:00,1.78,10.45
14,2022-08-01 02:30:00,2022-08-01 04:15:00,1.94,11.42
15,2022-08-02 02:30:00,2022-08-02 04:15:00,1.92,11.28
16,2022-08-03 02:30:00,2022-08-03 04:00:00,1.7,9.93
17,2022-08-04 02:30:00,2022-08-04 04:00:00,1.69,9.92
18,2022-08-05 02:30:00,2022-08-05 03:45:00,1.29,7.68
19,2022-08-05 06:15:00,2022-08-05 06:30:00,0.4,1.65
20,2022-08-06 02:30:00,2022-08-06 03:30:00,1.25,7.31
21,2022-08-06 06:15:00,2022-08-06 06:30:00,0.28,1.64
22,2022-08-07 02:30:00,2022-08-07 04:00:00,1.75,10.31
23,2022-08-08 02:30:00,2022-08-08 04:00:00,1.66,9.77
24,2022-08-09 02:30:00,2022-08-09 04:30:00,2.05,12.09
25,2022-08-10 02:30:00,2022-08-10 04:15:00,1.8,10.68
26,2022-08-11 02:30:00,2022-08-11 04:15:00,1.91,11.33
27,2022-08-12 02:30:00,2022-08-12 04:15:00,1.83,10.79
28,2022-08-13 02:30:00,2022-08-13 04:15:00,1.84,10.82
29,2022-08-14 02:30:00,2022-08-14 04:30:00,2.15,12.72
30,2022-08-15 02:30:00,2022-08-15 04:15:00,1.95,11.51
31,2022-08-16 02:30:00,2022-08-16 04:00:00,1.6,9.4
32,2022-08-16 06:15:00,2022-08-16 06:30:00,0.44,1.67
33,2022-08-17 02:30:00,2022-08-17 04:00:00,1.62,9.56
34,2022-08-18 02:30:00,2022-08-18 04:00:00,1.74,10.21
35,2022-08-19 02:30:00,2022-08-19 04:30:00,2.09,12.27
36,2022-08-20 02:30:00,2022-08-20 04:15:00,1.9,11.17
37,2022-08-21 02:30:00,2022-08-21 04:15:00,1.88,11.07
38,2022-08-22 02:30:00,2022-08-22 04:00:00,1.71,10.11
39,2022-08-23 02:30:00,2022-08-23 04:15:00,1.8,10.63
40,2022-08-23 06:15:00,2022-08-23 06:30:00,0.29,1.57
41,2022-08-24 02:30:00,2022-08-24 04:15:00,1.88,11.09
42,2022-08-25 02:30:00,2022-08-25 04:15:00,1.79,10.54
43,2022-08-26 02:30:00,2022-08-26 04:15:00,1.77,10.4
44,2022-08-26 06:30:00,2022-08-26 06:45:00,0.49,1.75
45,2022-08-27 02:30:00,2022-08-27 04:00:00,1.7,10.02
