cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 23:00:00,2021-01-22 23:00:00,0.12,0.25
1,2021-01-22 23:45:00,2021-01-23 00:30:00,0.84,2.81
2,2021-01-23 01:15:00,2021-01-23 02:00:00,0.78,2.58
3,2021-01-23 03:00:00,2021-01-23 04:00:00,1.19,3.97
4,2021-01-23 05:00:00,2021-01-23 06:00:00,0.86,2.88
5,2021-01-23 07:00:00,2021-01-23 07:45:00,0.84,2.8
6,2021-01-23 08:45:00,2021-01-23 10:00:00,1.29,4.24
7,2021-01-23 11:15:00,2021-01-23 12:00:00,0.78,2.58
8,2021-01-23 12:45:00,2021-01-23 14:00:00,1.35,4.41
9,2021-01-23 15:15:00,2021-01-23 16:00:00,0.8,2.66
10,2021-01-23 17:15:00,2021-01-23 18:00:00,0.9,2.97
11,2021-01-23 18:30:00,2021-01-23 19:00:00,0.71,2.36
12,2021-01-23 20:15:00,2021-01-23 21:00:00,0.91,3.02
13,2021-01-23 21:45:00,2021-01-23 22:15:00,0.71,2.39
14,2021-01-23 23:30:00,2021-01-24 00:15:00,0.88,2.95
15,2021-01-24 01:15:00,2021-01-24 02:45:00,1.35,4.46
16,2021-01-24 03:45:00,2021-01-24 04:30:00,0.89,2.97
17,2021-01-24 05:45:00,2021-01-24 06:30:00,0.87,2.93
18,2021-01-24 07:15:00,2021-01-24 10:00:00,2.97,8.77
19,2021-01-24 13:45:00,2021-01-24 15:00:00,1.32,4.29
20,2021-01-24 15:45:00,2021-01-24 16:30:00,0.82,2.68
21,2021-01-24 17:30:00,2021-01-24 18:45:00,1.33,4.38
22,2021-01-24 19:30:00,2021-01-24 20:15:00,0.86,2.85
23,2021-01-24 21:15:00,2021-01-24 22:45:00,1.58,5.18
24,2021-01-24 23:45:00,2021-01-25 00:45:00,0.92,3.08
25,2021-01-25 01:45:00,2021-01-25 02:30:00,0.87,2.91
26,2021-01-25 03:30:00,2021-01-25 04:45:00,1.3,4.34
27,2021-01-25 05:45:00,2021-01-25 06:30:00,0.93,3.11
28,2021-01-25 07:15:00,2021-01-25 10:00:00,2.89,9.28
29,2021-01-25 11:00:00,2021-01-25 11:45:00,0.89,2.96
30,2021-01-25 12:15:00,2021-01-25 14:00:00,1.73,5.69
31,2021-01-25 15:00:00,2021-01-25 15:45:00,0.95,3.18
32,2021-01-25 16:45:00,2021-01-25 18:00:00,1.37,4.54
33,2021-01-25 18:30:00,2021-01-25 19:15:00,0.77,2.58
34,2021-01-25 20:15:00,2021-01-25 21:00:00,0.95,3.19
35,2021-01-25 21:45:00,2021-01-25 23:30:00,1.65,5.45
36,2021-01-26 00:15:00,2021-01-26 01:15:00,0.94,3.14
37,2021-01-26 02:00:00,2021-01-26 03:00:00,0.96,3.24
38,2021-01-26 03:45:00,2021-01-26 05:15:00,1.48,4.91
39,2021-01-26 06:00:00,2021-01-26 07:00:00,1.0,3.35
40,2021-01-26 07:45:00,2021-01-26 09:45:00,2.07,5.92
41,2021-01-26 10:45:00,2021-01-26 12:15:00,1.71,5.61
42,2021-01-26 13:00:00,2021-01-26 14:15:00,1.2,4.0
43,2021-01-26 15:00:00,2021-01-26 16:45:00,1.68,5.49
44,2021-01-26 17:45:00,2021-01-26 18:30:00,0.93,3.11
45,2021-01-26 19:30:00,2021-01-26 21:00:00,1.49,4.93
46,2021-01-26 21:30:00,2021-01-26 22:15:00,0.8,2.66
47,2021-01-26 23:00:00,2021-01-27 00:00:00,0.94,3.12
48,2021-01-27 00:45:00,2021-01-27 02:15:00,1.5,4.96
49,2021-01-27 03:00:00,2021-01-27 04:00:00,0.98,3.28
50,2021-01-27 04:45:00,2021-01-27 05:45:00,0.94,3.14
51,2021-01-27 06:30:00,2021-01-27 08:00:00,1.41,4.69
52,2021-01-27 08:45:00,2021-01-27 09:45:00,1.05,3.48
53,2021-01-27 10:30:00,2021-01-27 12:45:00,2.21,7.27
54,2021-01-27 13:30:00,2021-01-27 14:30:00,0.95,3.17
55,2021-01-27 15:15:00,2021-01-27 17:00:00,1.77,5.81
56,2021-01-27 18:00:00,2021-01-27 19:00:00,0.98,3.28
57,2021-01-27 20:00:00,2021-01-27 21:45:00,1.95,5.62
58,2021-01-27 23:00:00,2021-01-28 00:15:00,1.45,4.77
59,2021-01-28 01:30:00,2021-01-28 02:15:00,0.92,3.08
60,2021-01-28 03:15:00,2021-01-28 04:15:00,1.16,3.84
61,2021-01-28 05:00:00,2021-01-28 05:45:00,0.82,2.72
62,2021-01-28 06:45:00,2021-01-28 07:45:00,0.89,2.95
63,2021-01-28 08:45:00,2021-01-28 10:15:00,1.52,4.97
64,2021-01-28 11:15:00,2021-01-28 12:00:00,0.82,2.73
65,2021-01-28 13:00:00,2021-01-28 14:15:00,1.32,4.32
66,2021-01-28 15:15:00,2021-01-28 16:00:00,0.81,2.7
67,2021-01-28 17:00:00,2021-01-28 17:45:00,0.92,3.02
68,2021-01-28 18:15:00,2021-01-28 19:00:00,0.73,2.43
69,2021-01-28 20:15:00,2021-01-28 21:00:00,0.83,2.78
70,2021-01-28 22:30:00,2021-01-28 23:30:00,1.23,4.03
71,2021-01-29 00:45:00,2021-01-29 01:30:00,0.79,2.62
72,2021-01-29 02:45:00,2021-01-29 03:30:00,0.84,2.79
73,2021-01-29 04:45:00,2021-01-29 06:00:00,1.43,4.72
74,2021-01-29 06:45:00,2021-01-29 07:45:00,1.07,3.57
75,2021-01-29 08:45:00,2021-01-29 09:30:00,0.88,2.93
76,2021-01-29 10:45:00,2021-01-29 11:45:00,1.23,4.02
77,2021-01-29 13:00:00,2021-01-29 13:45:00,0.79,2.61
78,2021-01-29 14:30:00,2021-01-29 16:00:00,1.53,5.02
79,2021-01-29 17:15:00,2021-01-29 18:00:00,0.85,2.83
80,2021-01-29 19:00:00,2021-01-29 20:30:00,1.49,4.91
81,2021-01-29 21:45:00,2021-01-29 22:30:00,0.86,2.86
82,2021-01-29 23:45:00,2021-01-30 01:00:00,1.33,4.39
83,2021-01-30 02:00:00,2021-01-30 03:00:00,0.86,2.87
84,2021-01-30 04:15:00,2021-01-30 05:00:00,0.82,2.73
85,2021-01-30 06:00:00,2021-01-30 07:00:00,1.08,3.57
86,2021-01-30 08:15:00,2021-01-30 09:00:00,0.86,2.88
87,2021-01-30 10:15:00,2021-01-30 11:30:00,1.21,3.95
88,2021-01-30 12:30:00,2021-01-30 13:30:00,1.07,3.51
89,2021-01-30 14:00:00,2021-01-30 14:45:00,0.73,2.43
90,2021-01-30 16:00:00,2021-01-30 16:45:00,0.93,3.08
91,2021-01-30 17:30:00,2021-01-30 18:15:00,0.73,2.42
92,2021-01-30 19:30:00,2021-01-30 20:15:00,0.84,2.79
93,2021-01-30 21:30:00,2021-01-30 22:45:00,1.28,4.2
94,2021-01-30 23:45:00,2021-01-31 00:30:00,0.83,2.76
95,2021-01-31 01:45:00,2021-01-31 02:30:00,0.86,2.86
96,2021-01-31 03:15:00,2021-01-31 04:00:00,0.78,2.6
97,2021-01-31 05:15:00,2021-01-31 06:00:00,0.85,2.84
98,2021-01-31 06:45:00,2021-01-31 07:30:00,0.79,2.62
99,2021-01-31 08:45:00,2021-01-31 10:30:00,1.8,5.81
100,2021-01-31 11:30:00,2021-01-31 13:30:00,1.97,5.68
