cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-18 23:00:00,2021-01-19 09:45:00,10.98,36.22
1,2021-01-19 11:00:00,2021-01-19 15:45:00,4.88,15.42
2,2021-01-19 17:15:00,2021-01-20 09:45:00,16.62,54.09
3,2021-01-20 11:00:00,2021-01-20 12:15:00,1.28,4.68
4,2021-01-20 13:00:00,2021-01-20 15:45:00,2.87,8.61
5,2021-01-20 17:15:00,2021-01-21 08:45:00,15.61,49.6
6,2021-01-21 09:15:00,2021-01-21 09:45:00,0.48,2.16
7,2021-01-21 11:00:00,2021-01-21 11:45:00,0.71,2.78
8,2021-01-21 12:15:00,2021-01-21 13:00:00,0.7,2.72
9,2021-01-21 13:30:00,2021-01-21 14:45:00,1.18,4.16
10,2021-01-21 15:15:00,2021-01-21 15:45:00,0.53,2.49
11,2021-01-21 17:15:00,2021-01-21 21:15:00,4.17,13.18
12,2021-01-21 21:45:00,2021-01-22 00:30:00,2.78,8.56
13,2021-01-22 01:00:00,2021-01-22 04:15:00,3.35,10.12
14,2021-01-22 04:45:00,2021-01-22 07:00:00,2.24,7.02
15,2021-01-22 07:30:00,2021-01-22 08:15:00,0.7,2.75
16,2021-01-22 08:45:00,2021-01-22 09:15:00,0.56,2.41
17,2021-01-22 11:00:00,2021-01-22 12:15:00,1.22,4.33
18,2021-01-22 12:45:00,2021-01-22 13:30:00,0.66,2.53
19,2021-01-22 14:00:00,2021-01-22 15:15:00,1.28,4.34
20,2021-01-22 15:45:00,2021-01-22 15:45:00,0.12,0.45
21,2021-01-22 17:15:00,2021-01-22 20:45:00,3.64,11.97
22,2021-01-22 21:15:00,2021-01-23 10:45:00,13.63,41.57
23,2021-01-23 11:15:00,2021-01-23 13:00:00,1.7,5.22
24,2021-01-23 13:30:00,2021-01-24 09:15:00,19.78,60.44
25,2021-01-24 09:45:00,2021-01-24 10:30:00,0.69,2.76
26,2021-01-24 11:00:00,2021-01-24 11:45:00,0.71,2.61
27,2021-01-24 12:30:00,2021-01-24 13:15:00,0.69,2.64
28,2021-01-24 13:45:00,2021-01-24 14:45:00,1.17,4.08
29,2021-01-24 15:15:00,2021-01-25 09:45:00,18.48,56.75
30,2021-01-25 11:00:00,2021-01-25 12:15:00,1.31,4.9
31,2021-01-25 12:45:00,2021-01-25 14:30:00,1.8,6.34
32,2021-01-25 15:00:00,2021-01-25 15:45:00,0.9,3.52
33,2021-01-25 17:15:00,2021-01-26 09:45:00,16.66,53.06
34,2021-01-26 11:00:00,2021-01-26 15:45:00,4.92,15.28
35,2021-01-26 17:15:00,2021-01-27 09:45:00,16.7,54.24
36,2021-01-27 11:00:00,2021-01-27 15:45:00,4.86,16.21
37,2021-01-27 17:15:00,2021-01-28 08:45:00,15.64,49.04
38,2021-01-28 09:15:00,2021-01-28 09:45:00,0.54,2.48
39,2021-01-28 11:00:00,2021-01-28 12:15:00,1.31,4.85
40,2021-01-28 12:45:00,2021-01-28 14:00:00,1.18,4.09
41,2021-01-28 14:30:00,2021-01-28 15:15:00,0.7,2.62
42,2021-01-28 15:45:00,2021-01-28 15:45:00,0.12,0.65
43,2021-01-28 17:15:00,2021-01-28 18:30:00,1.32,4.87
44,2021-01-28 19:00:00,2021-01-28 20:15:00,1.18,4.12
45,2021-01-28 20:45:00,2021-01-28 22:00:00,1.19,4.1
46,2021-01-28 22:30:00,2021-01-29 00:15:00,1.77,5.12
47,2021-01-29 00:45:00,2021-01-29 02:00:00,1.17,4.02
48,2021-01-29 02:30:00,2021-01-29 05:15:00,2.84,8.24
49,2021-01-29 05:45:00,2021-01-29 06:30:00,0.68,2.62
50,2021-01-29 07:00:00,2021-01-29 07:45:00,0.65,2.52
51,2021-01-29 08:15:00,2021-01-29 08:45:00,0.56,2.49
52,2021-01-29 09:30:00,2021-01-29 09:45:00,0.48,1.9
53,2021-01-29 11:00:00,2021-01-29 12:15:00,1.27,4.54
54,2021-01-29 12:45:00,2021-01-29 13:30:00,0.71,2.57
55,2021-01-29 14:15:00,2021-01-29 14:45:00,0.61,2.46
56,2021-01-29 15:15:00,2021-01-29 15:45:00,0.51,2.06
57,2021-01-29 17:15:00,2021-01-29 21:45:00,4.58,14.16
58,2021-01-29 22:15:00,2021-01-30 01:00:00,2.81,8.28
59,2021-01-30 01:30:00,2021-01-30 04:15:00,2.83,8.51
60,2021-01-30 04:45:00,2021-01-30 07:30:00,2.77,8.28
61,2021-01-30 08:00:00,2021-01-30 09:15:00,1.17,4.01
62,2021-01-30 09:45:00,2021-01-30 10:30:00,0.72,2.68
63,2021-01-30 11:00:00,2021-01-30 13:45:00,2.79,8.27
64,2021-01-30 14:15:00,2021-01-30 17:30:00,3.31,9.73
65,2021-01-30 18:00:00,2021-01-30 22:15:00,4.39,12.32
66,2021-01-30 22:45:00,2021-01-31 01:30:00,2.76,8.12
67,2021-01-31 02:00:00,2021-01-31 04:45:00,2.81,8.42
68,2021-01-31 05:15:00,2021-01-31 08:00:00,2.77,8.16
69,2021-01-31 08:30:00,2021-01-31 09:45:00,1.19,4.1
70,2021-01-31 10:15:00,2021-01-31 11:15:00,1.19,4.02
71,2021-01-31 11:45:00,2021-01-31 13:00:00,1.19,4.08
72,2021-01-31 13:30:00,2021-01-31 14:15:00,0.69,2.59
