cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-17 23:00:00,2021-01-17 23:45:00,0.88,2.83
1,2021-01-18 00:15:00,2021-01-18 01:00:00,0.96,3.03
2,2021-01-18 01:30:00,2021-01-18 09:45:00,8.37,38.1
3,2021-01-18 11:00:00,2021-01-18 16:15:00,5.39,26.69
4,2021-01-18 17:45:00,2021-01-18 20:15:00,2.57,10.34
5,2021-01-18 20:45:00,2021-01-18 21:45:00,1.16,3.46
6,2021-01-18 22:15:00,2021-01-19 09:45:00,11.72,54.62
7,2021-01-19 11:00:00,2021-01-19 13:30:00,2.57,11.82
8,2021-01-19 14:00:00,2021-01-19 16:15:00,2.47,10.82
9,2021-01-19 17:45:00,2021-01-19 20:45:00,3.01,11.51
10,2021-01-19 21:15:00,2021-01-19 23:30:00,2.22,8.72
11,2021-01-20 00:00:00,2021-01-20 09:45:00,9.92,42.76
12,2021-01-20 11:00:00,2021-01-20 12:30:00,1.44,6.72
13,2021-01-20 13:00:00,2021-01-20 16:15:00,3.4,11.84
14,2021-01-20 17:45:00,2021-01-20 20:15:00,2.55,11.04
15,2021-01-20 20:45:00,2021-01-20 22:30:00,1.89,5.16
16,2021-01-20 23:00:00,2021-01-21 09:30:00,10.52,42.03
17,2021-01-21 11:00:00,2021-01-21 11:45:00,0.86,2.59
18,2021-01-21 12:15:00,2021-01-21 13:45:00,1.54,4.99
19,2021-01-21 14:15:00,2021-01-21 16:15:00,2.25,6.88
20,2021-01-21 17:45:00,2021-01-21 19:45:00,2.1,9.14
21,2021-01-21 20:45:00,2021-01-21 21:00:00,0.38,1.26
22,2021-01-21 21:45:00,2021-01-21 22:15:00,0.41,1.38
23,2021-01-21 22:45:00,2021-01-21 23:15:00,0.4,1.28
24,2021-01-21 23:45:00,2021-01-22 00:00:00,0.37,1.09
25,2021-01-22 00:45:00,2021-01-22 01:00:00,0.41,0.96
26,2021-01-22 01:45:00,2021-01-22 02:00:00,0.44,1.35
27,2021-01-22 02:45:00,2021-01-22 07:00:00,4.21,20.74
28,2021-01-22 07:30:00,2021-01-22 09:30:00,2.06,8.35
29,2021-01-22 11:00:00,2021-01-22 13:30:00,2.51,8.07
30,2021-01-22 14:00:00,2021-01-22 16:15:00,2.5,8.66
31,2021-01-22 17:45:00,2021-01-22 20:30:00,2.77,11.82
32,2021-01-22 21:30:00,2021-01-22 21:45:00,0.42,0.97
33,2021-01-22 22:15:00,2021-01-22 22:30:00,0.28,0.98
34,2021-01-22 23:15:00,2021-01-22 23:45:00,0.68,2.03
35,2021-01-23 00:15:00,2021-01-23 00:45:00,0.5,1.69
