cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-05 23:00:00,2021-01-06 03:45:00,4.98,33.08
1,2021-01-06 04:15:00,2021-01-06 05:30:00,1.42,5.9
2,2021-01-06 06:00:00,2021-01-06 12:45:00,6.93,24.65
3,2021-01-06 13:15:00,2021-01-06 13:45:00,0.73,4.13
4,2021-01-06 14:15:00,2021-01-06 17:15:00,3.17,10.58
5,2021-01-06 17:45:00,2021-01-06 18:15:00,0.7,3.75
6,2021-01-06 19:00:00,2021-01-06 23:00:00,4.25,17.99
7,2021-01-06 23:30:00,2021-01-07 05:45:00,6.41,40.58
8,2021-01-07 06:15:00,2021-01-07 09:00:00,2.86,12.44
9,2021-01-07 09:30:00,2021-01-07 10:00:00,0.7,3.94
10,2021-01-07 10:30:00,2021-01-07 11:00:00,0.6,3.44
11,2021-01-07 11:30:00,2021-01-07 11:45:00,0.27,1.42
12,2021-01-07 12:45:00,2021-01-07 13:00:00,0.34,1.42
13,2021-01-07 13:30:00,2021-01-07 14:15:00,0.62,3.33
14,2021-01-07 14:45:00,2021-01-07 15:30:00,0.74,4.15
15,2021-01-07 16:00:00,2021-01-07 16:45:00,0.84,4.66
16,2021-01-07 17:15:00,2021-01-07 21:00:00,3.81,16.1
17,2021-01-07 21:30:00,2021-01-07 22:00:00,0.55,3.13
18,2021-01-07 22:45:00,2021-01-08 07:30:00,8.68,47.98
19,2021-01-08 08:00:00,2021-01-08 08:45:00,0.81,4.51
20,2021-01-08 09:15:00,2021-01-08 09:45:00,0.62,3.51
21,2021-01-08 10:15:00,2021-01-08 11:45:00,1.72,6.08
22,2021-01-08 12:15:00,2021-01-08 13:15:00,1.2,4.57
23,2021-01-08 14:00:00,2021-01-08 14:30:00,0.57,3.18
24,2021-01-08 15:00:00,2021-01-08 15:45:00,0.8,4.41
25,2021-01-08 16:15:00,2021-01-08 16:15:00,0.12,1.15
26,2021-01-08 16:45:00,2021-01-08 16:45:00,0.12,0.83
27,2021-01-08 17:15:00,2021-01-08 19:15:00,2.15,10.27
28,2021-01-08 19:45:00,2021-01-08 20:45:00,1.19,6.58
29,2021-01-08 21:15:00,2021-01-08 23:00:00,1.88,8.54
30,2021-01-08 23:30:00,2021-01-09 02:00:00,2.61,20.04
31,2021-01-10 03:00:00,2021-01-10 05:45:00,2.98,13.71
32,2021-01-10 06:15:00,2021-01-10 08:00:00,1.94,9.13
33,2021-01-10 08:30:00,2021-01-10 11:15:00,2.79,12.21
34,2021-01-10 11:45:00,2021-01-10 12:00:00,0.37,1.64
35,2021-01-10 14:30:00,2021-01-10 14:45:00,0.41,0.84
36,2021-01-10 15:30:00,2021-01-10 16:30:00,1.0,5.27
37,2021-01-10 17:00:00,2021-01-10 18:15:00,1.12,6.19
