cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-01-03 02:30:00,2022-01-03 10:45:00,8.49,20.53
1,2022-01-03 12:00:00,2022-01-04 10:00:00,22.07,52.68
2,2022-01-04 10:45:00,2022-01-04 10:45:00,0.12,0.58
3,2022-01-04 12:00:00,2022-01-04 13:45:00,1.88,5.18
4,2022-01-04 14:30:00,2022-01-04 16:00:00,1.67,3.97
5,2022-01-04 16:45:00,2022-01-04 18:30:00,1.9,4.57
6,2022-01-04 19:15:00,2022-01-04 21:30:00,2.24,5.54
7,2022-01-04 22:00:00,2022-01-05 10:45:00,12.81,34.25
8,2022-01-05 12:00:00,2022-01-06 10:45:00,22.88,91.08
9,2022-01-06 12:00:00,2022-01-07 10:45:00,22.86,94.5
10,2022-01-07 12:00:00,2022-01-10 10:45:00,70.91,288.62
11,2022-01-10 12:00:00,2022-01-11 10:45:00,22.9,92.76
12,2022-01-11 12:00:00,2022-01-12 10:45:00,22.87,95.01
13,2022-01-12 12:00:00,2022-01-13 10:45:00,22.89,105.04
14,2022-01-13 12:00:00,2022-01-14 10:45:00,22.91,109.62
15,2022-01-14 12:00:00,2022-01-17 10:45:00,70.91,317.52
16,2022-01-17 12:00:00,2022-01-18 10:45:00,22.9,89.28
17,2022-01-18 12:00:00,2022-01-19 10:45:00,22.9,88.72
18,2022-01-19 12:00:00,2022-01-20 10:45:00,22.9,87.4
19,2022-01-20 12:00:00,2022-01-21 10:45:00,22.91,95.78
20,2022-01-21 12:00:00,2022-01-24 10:45:00,70.87,296.71
21,2022-01-24 12:00:00,2022-01-25 10:45:00,22.87,96.97
22,2022-01-25 12:00:00,2022-01-26 10:45:00,22.91,97.96
23,2022-01-26 12:00:00,2022-01-27 10:45:00,22.92,100.8
24,2022-01-27 12:00:00,2022-01-28 10:45:00,22.9,96.47
25,2022-01-28 12:00:00,2022-01-31 10:45:00,70.92,256.16
26,2022-01-31 12:00:00,2022-02-01 10:45:00,22.88,88.3
27,2022-02-01 12:00:00,2022-02-02 10:45:00,22.91,90.55
28,2022-02-02 12:00:00,2022-02-03 10:45:00,22.91,76.99
29,2022-02-03 12:00:00,2022-02-04 10:45:00,22.91,77.91
30,2022-02-04 12:00:00,2022-02-07 10:45:00,70.91,258.51
31,2022-02-07 12:00:00,2022-02-08 10:45:00,22.9,95.64
32,2022-02-08 12:00:00,2022-02-09 10:45:00,22.91,98.31
33,2022-02-09 12:00:00,2022-02-10 10:45:00,22.9,95.86
34,2022-02-10 12:00:00,2022-02-11 10:45:00,22.9,87.35
35,2022-02-11 12:00:00,2022-02-14 10:45:00,70.91,328.46
36,2022-02-14 12:00:00,2022-02-15 10:45:00,22.91,106.72
37,2022-02-15 12:00:00,2022-02-16 10:45:00,22.87,112.06
38,2022-02-16 12:00:00,2022-02-17 10:45:00,22.96,93.86
39,2022-02-17 12:00:00,2022-02-18 10:45:00,22.93,86.46
40,2022-02-18 12:00:00,2022-02-21 10:45:00,70.93,295.78
