cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-31 23:45:00,2021-02-01 00:15:00,0.62,6.11
1,2021-02-01 01:00:00,2021-02-01 01:15:00,0.27,1.68
2,2021-02-01 02:30:00,2021-02-01 07:30:00,5.12,22.33
3,2021-02-01 08:15:00,2021-02-01 09:15:00,0.94,4.05
4,2021-02-01 09:45:00,2021-02-01 09:45:00,0.12,0.5
5,2021-02-01 11:00:00,2021-02-01 12:45:00,1.86,7.72
6,2021-02-01 13:30:00,2021-02-01 14:30:00,0.96,4.23
7,2021-02-01 15:15:00,2021-02-01 16:15:00,0.97,4.26
8,2021-02-01 18:15:00,2021-02-01 21:00:00,2.98,12.29
9,2021-02-01 23:45:00,2021-02-02 00:15:00,0.67,6.66
10,2021-02-02 01:00:00,2021-02-02 01:15:00,0.34,1.65
11,2021-02-02 02:15:00,2021-02-02 02:30:00,0.32,1.22
12,2021-02-02 03:15:00,2021-02-02 08:15:00,5.15,21.13
13,2021-02-02 09:15:00,2021-02-02 09:45:00,0.74,3.2
14,2021-02-02 11:00:00,2021-02-02 12:00:00,1.02,4.33
15,2021-02-02 13:15:00,2021-02-02 14:45:00,1.52,6.31
16,2021-02-02 15:30:00,2021-02-02 16:45:00,1.26,4.48
17,2021-02-02 18:15:00,2021-02-02 20:15:00,2.17,9.0
18,2021-02-02 21:00:00,2021-02-02 21:00:00,0.12,0.62
19,2021-02-02 23:45:00,2021-02-03 00:15:00,0.54,5.33
20,2021-02-03 01:00:00,2021-02-03 01:00:00,0.12,1.47
21,2021-02-03 02:00:00,2021-02-03 02:30:00,0.7,3.59
22,2021-02-03 03:15:00,2021-02-03 07:45:00,4.54,19.56
23,2021-02-03 08:15:00,2021-02-03 09:30:00,1.16,4.78
24,2021-02-03 11:30:00,2021-02-03 12:30:00,1.01,4.32
25,2021-02-03 13:15:00,2021-02-03 14:00:00,0.93,3.94
26,2021-02-03 14:30:00,2021-02-03 16:45:00,2.41,8.82
27,2021-02-03 18:15:00,2021-02-03 20:15:00,2.15,8.98
28,2021-02-03 20:45:00,2021-02-03 21:00:00,0.31,1.34
29,2021-02-03 23:45:00,2021-02-04 00:15:00,0.57,5.7
30,2021-02-04 01:00:00,2021-02-04 01:00:00,0.12,1.61
31,2021-02-04 02:30:00,2021-02-04 02:30:00,0.12,1.13
32,2021-02-04 03:15:00,2021-02-04 09:00:00,5.85,24.7
33,2021-02-04 16:45:00,2021-02-04 16:45:00,0.12,0.56
34,2021-02-04 18:15:00,2021-02-04 21:00:00,2.96,11.54
35,2021-02-04 23:45:00,2021-02-05 01:15:00,1.52,9.92
36,2021-02-05 01:45:00,2021-02-05 02:45:00,0.85,3.62
37,2021-02-05 03:15:00,2021-02-05 08:45:00,5.58,23.0
38,2021-02-05 16:45:00,2021-02-05 16:45:00,0.12,0.74
39,2021-02-05 18:15:00,2021-02-05 21:00:00,2.96,11.89
40,2021-02-05 23:45:00,2021-02-06 01:15:00,1.52,10.76
41,2021-02-06 01:45:00,2021-02-06 02:30:00,0.6,3.76
42,2021-02-06 03:15:00,2021-02-06 09:00:00,5.9,25.05
43,2021-02-06 11:00:00,2021-02-06 12:00:00,1.07,4.65
44,2021-02-06 12:45:00,2021-02-06 13:45:00,0.95,4.04
45,2021-02-06 14:15:00,2021-02-06 16:15:00,2.19,9.27
46,2021-02-06 17:00:00,2021-02-06 18:15:00,1.32,5.76
47,2021-02-06 20:30:00,2021-02-06 21:00:00,0.66,2.84
48,2021-02-06 23:45:00,2021-02-07 00:15:00,0.61,6.12
49,2021-02-07 01:00:00,2021-02-07 01:15:00,0.33,1.15
50,2021-02-07 03:00:00,2021-02-07 07:30:00,4.72,20.06
51,2021-02-07 08:15:00,2021-02-07 09:30:00,1.5,6.3
52,2021-02-07 10:00:00,2021-02-07 11:00:00,1.08,4.73
53,2021-02-07 12:00:00,2021-02-07 14:45:00,2.97,11.22
54,2021-02-07 15:15:00,2021-02-07 16:45:00,1.7,7.21
55,2021-02-07 17:15:00,2021-02-07 18:15:00,1.11,4.86
56,2021-02-07 18:45:00,2021-02-07 21:00:00,2.38,9.13
57,2021-02-07 23:45:00,2021-02-08 00:15:00,0.61,6.16
58,2021-02-08 01:00:00,2021-02-08 01:45:00,0.85,3.77
59,2021-02-08 02:45:00,2021-02-08 09:45:00,7.25,30.19
60,2021-02-08 11:00:00,2021-02-08 12:00:00,1.11,4.6
61,2021-02-08 14:15:00,2021-02-08 16:45:00,2.73,11.49
62,2021-02-08 18:15:00,2021-02-08 21:00:00,2.97,12.34
63,2021-02-08 23:45:00,2021-02-09 00:15:00,0.59,5.93
64,2021-02-09 00:45:00,2021-02-09 01:15:00,0.46,3.88
65,2021-02-09 02:15:00,2021-02-09 09:45:00,7.59,30.83
66,2021-02-09 11:00:00,2021-02-09 16:45:00,5.97,24.55
67,2021-02-09 18:15:00,2021-02-09 21:15:00,3.07,11.98
68,2021-02-09 23:30:00,2021-02-10 00:30:00,0.88,9.26
69,2021-02-10 01:00:00,2021-02-10 01:00:00,0.12,1.36
70,2021-02-10 01:45:00,2021-02-10 09:45:00,8.25,33.45
71,2021-02-10 11:00:00,2021-02-10 13:30:00,2.64,11.08
72,2021-02-10 14:00:00,2021-02-10 16:45:00,3.0,11.59
73,2021-02-10 18:15:00,2021-02-10 21:15:00,3.04,11.76
74,2021-02-10 22:45:00,2021-02-11 00:00:00,1.3,8.61
75,2021-02-11 00:30:00,2021-02-11 09:45:00,9.35,37.94
76,2021-02-11 11:00:00,2021-02-11 16:45:00,5.97,21.83
77,2021-02-11 18:15:00,2021-02-12 09:45:00,15.73,65.23
78,2021-02-12 11:00:00,2021-02-12 16:45:00,5.97,21.21
79,2021-02-12 18:15:00,2021-02-14 03:15:00,33.16,181.87
80,2021-02-14 03:45:00,2021-02-14 05:30:00,1.81,23.94
81,2021-02-14 06:00:00,2021-02-14 09:30:00,3.51,38.98
82,2021-02-14 10:00:00,2021-02-15 02:30:00,16.61,86.46
83,2021-02-15 03:00:00,2021-02-15 09:45:00,7.0,27.71
84,2021-02-15 11:00:00,2021-02-15 16:45:00,5.97,24.74
85,2021-02-15 18:15:00,2021-02-16 06:30:00,12.47,63.84
86,2021-02-16 07:00:00,2021-02-16 08:15:00,1.36,6.21
87,2021-02-16 09:00:00,2021-02-16 09:45:00,0.79,3.62
88,2021-02-16 16:30:00,2021-02-16 17:00:00,0.53,2.25
89,2021-02-16 18:15:00,2021-02-16 21:00:00,2.97,12.33
90,2021-02-16 23:45:00,2021-02-17 00:15:00,0.51,5.08
91,2021-02-17 00:45:00,2021-02-17 01:15:00,0.42,3.96
92,2021-02-17 02:30:00,2021-02-17 03:00:00,0.45,3.67
93,2021-02-17 03:30:00,2021-02-17 07:15:00,3.93,17.81
94,2021-02-17 07:45:00,2021-02-17 08:45:00,0.98,4.6
95,2021-02-17 09:15:00,2021-02-17 09:45:00,0.54,2.46
96,2021-02-17 11:00:00,2021-02-17 11:00:00,0.12,0.94
97,2021-02-17 16:00:00,2021-02-17 16:45:00,0.79,3.2
98,2021-02-17 18:15:00,2021-02-17 21:15:00,3.01,12.05
99,2021-02-17 23:00:00,2021-02-18 00:00:00,1.16,8.82
100,2021-02-18 01:00:00,2021-02-18 09:45:00,8.94,36.99
101,2021-02-18 11:00:00,2021-02-18 12:15:00,1.42,6.4
102,2021-02-18 13:00:00,2021-02-18 13:45:00,0.82,3.8
103,2021-02-18 14:30:00,2021-02-18 16:45:00,2.22,8.69
104,2021-02-18 18:15:00,2021-02-18 20:45:00,2.58,11.59
105,2021-02-18 23:45:00,2021-02-19 01:15:00,1.52,8.77
106,2021-02-19 02:15:00,2021-02-19 08:00:00,5.65,24.2
107,2021-02-19 16:45:00,2021-02-19 16:45:00,0.12,0.89
108,2021-02-19 18:15:00,2021-02-19 21:00:00,2.98,12.26
109,2021-02-19 23:30:00,2021-02-20 00:15:00,0.61,8.09
110,2021-02-20 01:00:00,2021-02-20 02:15:00,1.46,5.64
111,2021-02-20 02:45:00,2021-02-20 08:45:00,5.91,24.94
112,2021-02-20 16:30:00,2021-02-20 21:00:00,4.66,21.01
