cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-06-08 06:45:00,2022-06-08 07:15:00,0.34,1.71
1,2022-06-09 06:45:00,2022-06-09 07:15:00,0.34,1.69
2,2022-06-10 06:45:00,2022-06-10 07:15:00,0.36,1.77
3,2022-06-10 11:45:00,2022-06-10 11:45:00,0.12,0.65
4,2022-06-11 06:45:00,2022-06-11 07:00:00,0.32,1.38
5,2022-06-12 06:45:00,2022-06-12 07:15:00,0.34,1.71
6,2022-06-12 08:45:00,2022-06-12 09:30:00,0.83,5.83
7,2022-06-13 06:45:00,2022-06-13 07:00:00,0.39,0.94
8,2022-06-14 06:45:00,2022-06-14 07:15:00,0.37,1.83
9,2022-06-14 10:45:00,2022-06-14 11:00:00,0.46,0.75
10,2022-06-15 06:45:00,2022-06-15 07:15:00,0.34,1.72
11,2022-06-15 10:45:00,2022-06-15 11:00:00,0.39,0.96
12,2022-06-16 06:45:00,2022-06-16 07:00:00,0.31,1.57
13,2022-06-16 10:45:00,2022-06-16 11:00:00,0.41,0.91
14,2022-06-17 06:45:00,2022-06-17 07:00:00,0.31,1.58
15,2022-06-17 10:45:00,2022-06-17 11:00:00,0.42,0.87
16,2022-06-18 06:45:00,2022-06-18 07:15:00,0.36,1.8
17,2022-06-18 10:45:00,2022-06-18 11:00:00,0.39,1.01
18,2022-06-19 06:45:00,2022-06-19 07:00:00,0.32,1.51
19,2022-06-19 08:45:00,2022-06-19 09:15:00,0.52,4.45
20,2022-06-20 07:15:00,2022-06-20 07:30:00,0.37,1.1
21,2022-06-21 06:45:00,2022-06-21 07:15:00,0.34,1.69
22,2022-06-21 10:45:00,2022-06-21 11:00:00,0.42,0.92
23,2022-06-22 06:45:00,2022-06-22 07:00:00,0.32,1.51
24,2022-06-22 10:45:00,2022-06-22 11:00:00,0.43,0.92
25,2022-06-23 06:45:00,2022-06-23 07:00:00,0.32,1.59
26,2022-06-23 10:45:00,2022-06-23 11:00:00,0.4,1.01
27,2022-06-24 06:45:00,2022-06-24 07:15:00,0.39,1.92
28,2022-06-24 10:45:00,2022-06-24 11:00:00,0.44,0.89
29,2022-06-25 06:45:00,2022-06-25 07:15:00,0.43,2.07
30,2022-06-25 10:45:00,2022-06-25 11:00:00,0.42,0.97
31,2022-06-26 06:45:00,2022-06-26 07:00:00,0.32,1.55
32,2022-06-26 08:45:00,2022-06-26 09:15:00,0.53,3.86
33,2022-06-27 06:45:00,2022-06-27 07:00:00,0.34,1.37
34,2022-06-27 10:45:00,2022-06-27 11:00:00,0.45,0.89
35,2022-06-28 06:45:00,2022-06-28 07:00:00,0.32,1.61
36,2022-06-28 10:45:00,2022-06-28 11:00:00,0.49,0.81
37,2022-06-29 06:45:00,2022-06-29 07:15:00,0.39,1.92
38,2022-06-29 10:45:00,2022-06-29 11:00:00,0.42,0.98
39,2022-06-30 06:45:00,2022-06-30 07:00:00,0.33,1.59
40,2022-06-30 10:45:00,2022-06-30 11:00:00,0.45,0.93
41,2022-07-01 06:45:00,2022-07-01 07:00:00,0.33,1.54
42,2022-07-01 10:45:00,2022-07-01 11:00:00,0.46,0.9
43,2022-07-02 06:45:00,2022-07-02 07:15:00,0.38,1.88
44,2022-07-02 10:45:00,2022-07-02 11:00:00,0.44,0.97
45,2022-07-03 06:45:00,2022-07-03 07:00:00,0.33,1.55
46,2022-07-03 08:45:00,2022-07-03 09:15:00,0.55,4.51
47,2022-07-04 10:45:00,2022-07-04 11:00:00,0.34,1.48
48,2022-07-05 06:45:00,2022-07-05 07:15:00,0.41,2.0
49,2022-07-05 10:45:00,2022-07-05 11:00:00,0.44,0.99
50,2022-07-06 06:45:00,2022-07-06 07:00:00,0.33,1.64
51,2022-07-06 10:45:00,2022-07-06 11:00:00,0.5,0.88
52,2022-07-07 06:45:00,2022-07-07 07:00:00,0.34,1.56
53,2022-07-07 10:45:00,2022-07-07 11:00:00,0.49,0.87
54,2022-07-08 06:45:00,2022-07-08 07:15:00,0.35,1.78
55,2022-07-08 10:45:00,2022-07-08 11:00:00,0.48,0.93
56,2022-07-09 06:45:00,2022-07-09 07:15:00,0.4,1.95
57,2022-07-09 11:45:00,2022-07-09 11:45:00,0.12,0.13
58,2022-07-10 06:45:00,2022-07-10 07:00:00,0.33,1.62
59,2022-07-10 08:45:00,2022-07-10 09:30:00,0.87,5.82
60,2022-07-11 06:45:00,2022-07-11 07:00:00,0.48,0.87
61,2022-07-12 06:45:00,2022-07-12 07:00:00,0.35,1.51
62,2022-07-13 06:45:00,2022-07-13 07:00:00,0.34,1.59
63,2022-07-14 06:45:00,2022-07-14 07:00:00,0.34,1.65
64,2022-07-15 06:45:00,2022-07-15 07:00:00,0.35,1.56
65,2022-07-16 06:45:00,2022-07-16 07:00:00,0.34,1.66
66,2022-07-16 10:45:00,2022-07-16 11:00:00,0.43,0.85
67,2022-07-17 06:45:00,2022-07-17 07:00:00,0.34,1.7
68,2022-07-17 08:45:00,2022-07-17 09:15:00,0.53,3.95
69,2022-07-18 06:45:00,2022-07-18 07:00:00,0.38,1.33
70,2022-07-19 06:45:00,2022-07-19 07:15:00,0.46,2.22
71,2022-07-19 10:45:00,2022-07-19 11:00:00,0.36,0.73
72,2022-07-20 06:45:00,2022-07-20 07:00:00,0.35,1.61
73,2022-07-20 10:45:00,2022-07-20 11:00:00,0.38,0.77
74,2022-07-21 06:45:00,2022-07-21 07:00:00,0.36,1.52
75,2022-07-21 10:45:00,2022-07-21 11:00:00,0.39,0.79
76,2022-07-22 06:45:00,2022-07-22 07:00:00,0.35,1.61
77,2022-07-22 10:45:00,2022-07-22 11:00:00,0.4,0.82
78,2022-07-23 06:45:00,2022-07-23 07:00:00,0.34,1.72
79,2022-07-23 10:45:00,2022-07-23 11:00:00,0.43,0.88
80,2022-07-24 06:45:00,2022-07-24 07:00:00,0.35,1.62
81,2022-07-24 08:45:00,2022-07-24 09:15:00,0.55,4.31
82,2022-07-25 06:45:00,2022-07-25 07:00:00,0.42,1.2
83,2022-07-25 10:45:00,2022-07-25 11:00:00,0.34,0.84
84,2022-07-26 06:45:00,2022-07-26 07:00:00,0.35,1.66
85,2022-07-26 10:45:00,2022-07-26 11:00:00,0.39,0.82
86,2022-07-27 06:45:00,2022-07-27 07:00:00,0.34,1.74
87,2022-07-27 11:30:00,2022-07-27 11:30:00,0.12,0.71
88,2022-07-28 06:45:00,2022-07-28 07:00:00,0.39,1.38
89,2022-07-29 06:45:00,2022-07-29 07:00:00,0.35,1.65
90,2022-07-30 06:45:00,2022-07-30 07:00:00,0.35,1.71
91,2022-07-31 06:45:00,2022-07-31 07:00:00,0.35,1.71
