cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-06-24 20:00:00,2021-06-24 21:00:00,1.2,3.86
1,2021-06-25 04:00:00,2021-06-25 04:15:00,0.46,1.29
2,2021-06-26 04:00:00,2021-06-26 04:15:00,0.47,1.28
3,2021-06-26 20:00:00,2021-06-26 20:30:00,0.63,2.73
4,2021-06-27 20:00:00,2021-06-27 20:30:00,0.55,2.44
5,2021-06-28 20:00:00,2021-06-28 20:30:00,0.48,2.09
6,2021-06-29 20:00:00,2021-06-29 20:15:00,0.43,1.58
7,2021-06-29 22:15:00,2021-06-29 22:45:00,0.37,1.25
8,2021-06-30 01:15:00,2021-06-30 01:30:00,0.5,1.26
9,2021-06-30 04:00:00,2021-06-30 04:15:00,0.49,1.54
10,2021-06-30 17:45:00,2021-06-30 18:15:00,0.38,1.28
11,2021-06-30 20:00:00,2021-06-30 20:15:00,0.47,1.69
12,2021-06-30 22:45:00,2021-06-30 23:00:00,0.48,1.23
13,2021-07-01 02:45:00,2021-07-01 03:00:00,0.37,1.2
14,2021-07-01 05:00:00,2021-07-01 05:30:00,0.41,1.36
15,2021-07-01 20:00:00,2021-07-01 21:00:00,1.2,3.55
16,2021-07-02 02:45:00,2021-07-02 03:00:00,0.49,1.17
17,2021-07-03 03:15:00,2021-07-03 03:30:00,0.43,1.29
18,2021-07-03 07:15:00,2021-07-03 07:45:00,0.59,2.49
19,2021-07-04 02:30:00,2021-07-04 02:45:00,0.33,1.44
20,2021-07-04 20:00:00,2021-07-04 20:30:00,0.48,2.06
21,2021-07-05 02:30:00,2021-07-05 03:00:00,0.38,1.22
22,2021-07-05 20:00:00,2021-07-05 20:30:00,0.55,2.35
23,2021-07-06 04:00:00,2021-07-06 04:15:00,0.47,1.21
24,2021-07-06 20:00:00,2021-07-06 20:45:00,0.95,3.26
25,2021-07-07 05:30:00,2021-07-07 05:45:00,0.34,1.14
26,2021-07-07 20:00:00,2021-07-07 20:30:00,0.56,2.38
27,2021-07-08 18:15:00,2021-07-08 18:30:00,0.36,1.17
28,2021-07-08 20:00:00,2021-07-08 20:30:00,0.66,2.75
29,2021-07-08 22:30:00,2021-07-08 22:45:00,0.36,1.16
30,2021-07-09 01:30:00,2021-07-09 01:45:00,0.39,1.18
31,2021-07-09 04:00:00,2021-07-09 04:15:00,0.48,1.3
32,2021-07-10 02:15:00,2021-07-10 02:45:00,0.38,1.25
33,2021-07-10 04:00:00,2021-07-10 04:30:00,0.42,1.38
34,2021-07-10 20:00:00,2021-07-10 20:45:00,0.97,1.84
35,2021-07-11 20:00:00,2021-07-11 20:15:00,0.38,1.41
36,2021-07-12 04:00:00,2021-07-12 04:15:00,0.46,1.27
37,2021-07-12 20:00:00,2021-07-12 20:15:00,0.34,1.31
38,2021-07-13 07:00:00,2021-07-13 07:30:00,0.36,1.24
39,2021-07-13 11:00:00,2021-07-13 11:15:00,0.38,1.25
40,2021-07-13 17:30:00,2021-07-13 18:00:00,0.4,1.31
41,2021-07-13 20:00:00,2021-07-13 20:15:00,0.5,1.77
42,2021-07-13 22:00:00,2021-07-13 22:15:00,0.44,1.26
43,2021-07-14 01:15:00,2021-07-14 01:30:00,0.4,1.27
44,2021-07-14 04:00:00,2021-07-14 04:15:00,0.45,1.5
45,2021-07-14 06:00:00,2021-07-14 06:15:00,0.39,1.29
46,2021-07-14 20:00:00,2021-07-14 20:45:00,0.8,2.33
47,2021-07-15 01:00:00,2021-07-15 01:15:00,0.48,1.21
48,2021-07-15 04:00:00,2021-07-15 04:15:00,0.5,1.37
49,2021-07-15 06:30:00,2021-07-15 07:00:00,0.38,1.26
50,2021-07-15 20:00:00,2021-07-15 20:45:00,0.85,2.32
51,2021-07-16 04:00:00,2021-07-16 04:15:00,0.43,1.19
52,2021-07-17 20:00:00,2021-07-17 20:15:00,0.28,1.1
53,2021-07-18 20:00:00,2021-07-18 20:15:00,0.36,1.37
54,2021-07-19 20:00:00,2021-07-19 20:15:00,0.37,1.4
55,2021-07-20 20:00:00,2021-07-20 20:15:00,0.37,1.4
56,2021-07-21 20:00:00,2021-07-21 20:15:00,0.37,1.38
57,2021-07-22 20:00:00,2021-07-22 20:15:00,0.36,1.38
58,2021-07-24 20:00:00,2021-07-24 20:15:00,0.28,1.08
59,2021-07-25 20:00:00,2021-07-25 20:15:00,0.37,1.41
