cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-06-26 00:30:00,2021-06-26 02:00:00,1.61,12.84
1,2021-06-27 00:30:00,2021-06-27 02:30:00,2.12,16.82
2,2021-06-27 20:00:00,2021-06-27 21:00:00,1.18,9.51
3,2021-06-28 02:45:00,2021-06-28 03:15:00,0.36,2.9
4,2021-06-29 00:30:00,2021-06-29 01:30:00,1.15,9.06
5,2021-06-30 00:30:00,2021-06-30 01:45:00,1.29,10.11
6,2021-07-01 00:30:00,2021-07-01 02:00:00,1.68,13.33
7,2021-07-02 00:30:00,2021-07-02 02:00:00,1.67,13.33
8,2021-07-03 00:30:00,2021-07-03 02:15:00,1.76,14.01
9,2021-07-03 19:45:00,2021-07-03 21:00:00,1.29,10.34
10,2021-07-04 07:30:00,2021-07-04 08:00:00,0.51,4.11
11,2021-07-04 16:00:00,2021-07-04 16:30:00,0.29,2.3
12,2021-07-04 17:30:00,2021-07-04 17:45:00,0.34,2.11
13,2021-07-04 18:15:00,2021-07-04 18:45:00,0.51,4.09
14,2021-07-04 19:30:00,2021-07-04 19:45:00,0.46,1.64
15,2021-07-04 21:30:00,2021-07-04 22:30:00,0.91,7.32
16,2021-07-05 03:00:00,2021-07-05 03:15:00,0.4,1.89
17,2021-07-06 00:30:00,2021-07-06 01:45:00,1.26,9.84
18,2021-07-06 19:30:00,2021-07-06 21:45:00,2.35,17.44
19,2021-07-07 05:30:00,2021-07-07 05:45:00,0.44,2.26
20,2021-07-08 00:30:00,2021-07-08 01:30:00,1.18,9.24
21,2021-07-09 00:30:00,2021-07-09 02:30:00,2.21,17.45
22,2021-07-10 00:30:00,2021-07-10 01:45:00,1.44,11.31
23,2021-07-11 00:30:00,2021-07-11 02:00:00,1.62,12.75
24,2021-07-11 19:45:00,2021-07-11 22:15:00,2.34,18.84
25,2021-07-12 03:00:00,2021-07-12 03:15:00,0.45,2.3
26,2021-07-12 14:15:00,2021-07-12 14:30:00,0.28,2.29
27,2021-07-12 19:45:00,2021-07-12 20:30:00,0.88,5.58
28,2021-07-13 00:30:00,2021-07-13 00:30:00,0.12,1.7
