cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-09-12 12:00:00,2022-09-12 12:30:00,0.69,1.33
1,2022-09-17 02:45:00,2022-09-17 03:45:00,1.09,2.12
2,2022-09-17 04:45:00,2022-09-17 06:15:00,1.54,2.83
3,2022-09-17 07:30:00,2022-09-17 08:45:00,1.44,2.7
4,2022-09-17 10:30:00,2022-09-17 11:15:00,0.88,1.64
5,2022-09-17 16:00:00,2022-09-17 16:45:00,0.9,1.62
6,2022-09-17 19:15:00,2022-09-17 20:00:00,1.0,1.85
7,2022-09-17 21:45:00,2022-09-17 22:30:00,0.94,1.81
8,2022-09-18 00:45:00,2022-09-18 01:15:00,0.59,1.36
9,2022-09-18 03:15:00,2022-09-18 03:45:00,0.61,1.43
10,2022-09-18 05:00:00,2022-09-18 06:00:00,1.2,2.36
11,2022-09-18 07:15:00,2022-09-18 08:15:00,1.08,2.16
12,2022-09-18 09:45:00,2022-09-18 10:30:00,0.87,1.7
13,2022-09-18 20:15:00,2022-09-18 21:15:00,0.97,1.85
14,2022-09-18 23:45:00,2022-09-19 00:15:00,0.59,1.28
15,2022-09-19 03:45:00,2022-09-19 04:45:00,0.99,1.93
16,2022-09-19 06:30:00,2022-09-19 07:15:00,0.93,1.81
17,2022-09-19 08:45:00,2022-09-19 09:30:00,0.88,1.68
18,2022-09-19 12:00:00,2022-09-19 12:45:00,0.86,1.6
19,2022-09-19 20:45:00,2022-09-19 21:45:00,1.02,1.88
20,2022-09-19 23:45:00,2022-09-20 00:30:00,0.6,1.36
21,2022-09-20 02:30:00,2022-09-20 03:15:00,0.75,1.61
22,2022-09-20 04:30:00,2022-09-20 06:00:00,1.73,3.45
23,2022-09-20 07:00:00,2022-09-20 08:30:00,1.59,3.69
24,2022-09-20 09:45:00,2022-09-20 10:30:00,0.8,2.25
25,2022-09-20 20:15:00,2022-09-20 21:00:00,0.9,1.67
26,2022-09-20 22:45:00,2022-09-20 23:15:00,0.73,1.54
27,2022-09-21 01:15:00,2022-09-21 02:00:00,0.67,1.53
28,2022-09-21 03:30:00,2022-09-21 05:00:00,1.57,3.12
29,2022-09-21 06:00:00,2022-09-21 07:30:00,1.6,3.7
30,2022-09-21 08:30:00,2022-09-21 09:15:00,0.91,2.69
31,2022-09-21 10:30:00,2022-09-21 10:45:00,0.31,0.9
32,2022-09-21 12:00:00,2022-09-21 12:30:00,0.55,1.32
33,2022-09-21 20:45:00,2022-09-21 21:45:00,1.1,2.09
34,2022-09-21 23:15:00,2022-09-22 00:00:00,0.77,1.58
