cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-22 23:15:00,2021-01-22 23:45:00,0.42,1.25
1,2021-01-23 01:00:00,2021-01-23 01:30:00,0.43,1.28
2,2021-01-23 02:30:00,2021-01-23 03:15:00,0.83,2.58
3,2021-01-23 04:00:00,2021-01-23 04:30:00,0.45,1.4
4,2021-01-23 05:15:00,2021-01-23 05:30:00,0.42,1.32
5,2021-01-23 06:30:00,2021-01-23 06:45:00,0.43,1.34
6,2021-01-23 07:30:00,2021-01-23 07:45:00,0.37,1.17
7,2021-01-23 08:45:00,2021-01-23 09:15:00,0.36,1.12
8,2021-01-23 10:45:00,2021-01-23 11:00:00,0.41,1.17
9,2021-01-23 13:30:00,2021-01-23 13:45:00,0.42,1.11
10,2021-01-23 15:00:00,2021-01-23 15:15:00,0.36,1.12
11,2021-01-23 16:00:00,2021-01-23 16:30:00,0.39,1.21
12,2021-01-23 17:30:00,2021-01-23 17:45:00,0.36,1.12
13,2021-01-23 18:45:00,2021-01-23 19:00:00,0.46,1.19
14,2021-01-23 20:00:00,2021-01-23 20:00:00,0.12,0.48
15,2021-01-23 23:15:00,2021-01-23 23:30:00,0.45,1.29
16,2021-01-24 01:15:00,2021-01-24 01:45:00,0.43,1.3
17,2021-01-24 03:00:00,2021-01-24 03:45:00,0.89,2.77
18,2021-01-24 04:15:00,2021-01-24 04:45:00,0.51,1.59
19,2021-01-24 05:30:00,2021-01-24 06:00:00,0.54,1.72
20,2021-01-24 06:45:00,2021-01-24 07:15:00,0.5,1.61
21,2021-01-24 08:00:00,2021-01-24 08:15:00,0.39,1.22
22,2021-01-24 09:15:00,2021-01-24 09:30:00,0.48,0.9
23,2021-01-24 12:00:00,2021-01-24 12:15:00,0.39,0.88
24,2021-01-24 15:00:00,2021-01-24 15:15:00,0.4,0.83
25,2021-01-24 16:15:00,2021-01-24 16:30:00,0.37,1.01
26,2021-01-24 17:30:00,2021-01-24 17:45:00,0.46,1.29
27,2021-01-24 18:45:00,2021-01-24 19:00:00,0.31,0.98
28,2021-01-24 19:45:00,2021-01-24 19:45:00,0.12,0.5
29,2021-01-24 23:30:00,2021-01-25 00:00:00,0.4,1.21
30,2021-01-25 01:45:00,2021-01-25 02:00:00,0.42,1.22
31,2021-01-25 03:00:00,2021-01-25 03:30:00,0.67,2.12
32,2021-01-25 04:15:00,2021-01-25 04:30:00,0.42,1.34
33,2021-01-25 05:30:00,2021-01-25 05:45:00,0.42,1.3
34,2021-01-25 06:30:00,2021-01-25 07:00:00,0.42,1.32
35,2021-01-25 07:45:00,2021-01-25 08:15:00,0.4,1.26
36,2021-01-25 09:00:00,2021-01-25 09:30:00,0.41,1.3
37,2021-01-25 11:00:00,2021-01-25 11:30:00,0.5,1.59
38,2021-01-25 13:00:00,2021-01-25 13:30:00,0.33,1.03
39,2021-01-25 14:30:00,2021-01-25 15:00:00,0.41,1.28
40,2021-01-25 15:45:00,2021-01-25 16:15:00,0.42,1.31
41,2021-01-25 17:45:00,2021-01-25 18:15:00,0.54,1.69
42,2021-01-25 19:00:00,2021-01-25 19:30:00,0.42,1.34
43,2021-01-25 23:00:00,2021-01-25 23:30:00,0.44,1.31
