cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2022-03-10 00:00:00,2022-03-10 00:00:00,0.12,0.85
1,2022-03-10 00:45:00,2022-03-10 01:00:00,0.45,2.52
2,2022-03-10 01:45:00,2022-03-10 02:15:00,0.39,2.36
3,2022-03-10 02:45:00,2022-03-10 03:15:00,0.45,2.7
4,2022-03-10 03:45:00,2022-03-10 04:15:00,0.41,2.47
5,2022-03-10 04:45:00,2022-03-10 05:15:00,0.45,2.65
6,2022-03-10 06:00:00,2022-03-10 06:15:00,0.45,2.79
7,2022-03-10 07:00:00,2022-03-10 07:30:00,0.5,3.05
8,2022-03-10 08:00:00,2022-03-10 08:30:00,0.4,2.38
9,2022-03-10 09:15:00,2022-03-10 09:30:00,0.45,2.1
10,2022-03-10 10:15:00,2022-03-10 10:30:00,0.39,1.97
11,2022-03-10 11:00:00,2022-03-10 12:45:00,1.82,8.3
12,2022-03-10 14:15:00,2022-03-10 14:30:00,0.35,1.53
13,2022-03-10 15:30:00,2022-03-10 15:45:00,0.42,1.59
14,2022-03-10 16:45:00,2022-03-10 17:00:00,0.42,1.65
15,2022-03-10 18:00:00,2022-03-10 18:15:00,0.37,1.77
16,2022-03-10 19:00:00,2022-03-10 19:15:00,0.3,1.64
17,2022-03-10 20:00:00,2022-03-10 20:30:00,0.68,3.86
18,2022-03-10 21:00:00,2022-03-10 21:30:00,0.56,3.16
19,2022-03-10 22:15:00,2022-03-10 22:45:00,0.37,2.17
20,2022-03-10 23:30:00,2022-03-10 23:45:00,0.37,2.03
21,2022-03-11 00:30:00,2022-03-11 00:45:00,0.32,1.86
22,2022-03-11 01:15:00,2022-03-11 01:45:00,0.37,2.16
23,2022-03-11 02:15:00,2022-03-11 02:45:00,0.39,2.28
24,2022-03-11 03:30:00,2022-03-11 03:45:00,0.48,2.64
25,2022-03-11 04:30:00,2022-03-11 05:00:00,0.4,2.42
26,2022-03-11 05:30:00,2022-03-11 06:00:00,0.42,2.47
27,2022-03-11 06:30:00,2022-03-11 07:00:00,0.48,2.78
28,2022-03-11 07:45:00,2022-03-11 08:00:00,0.37,2.23
29,2022-03-11 08:45:00,2022-03-11 09:15:00,0.36,2.16
30,2022-03-11 10:00:00,2022-03-11 10:15:00,0.46,2.09
31,2022-03-11 11:30:00,2022-03-11 11:45:00,0.29,1.64
32,2022-03-11 12:45:00,2022-03-11 13:00:00,0.37,1.53
33,2022-03-11 14:30:00,2022-03-11 14:45:00,0.37,1.66
34,2022-03-11 16:00:00,2022-03-11 16:15:00,0.46,1.56
35,2022-03-11 17:30:00,2022-03-11 17:45:00,0.4,1.57
36,2022-03-11 18:45:00,2022-03-11 19:00:00,0.3,1.64
37,2022-03-11 20:00:00,2022-03-11 20:15:00,0.47,2.34
38,2022-03-11 20:45:00,2022-03-11 21:00:00,0.45,2.33
39,2022-03-11 22:00:00,2022-03-11 22:15:00,0.43,1.76
40,2022-03-11 23:15:00,2022-03-11 23:30:00,0.4,1.75
41,2022-03-12 00:30:00,2022-03-12 00:45:00,0.38,1.77
42,2022-03-12 01:45:00,2022-03-12 02:00:00,0.34,1.8
43,2022-03-12 02:45:00,2022-03-12 03:00:00,0.29,1.7
44,2022-03-12 03:45:00,2022-03-12 04:15:00,0.29,1.72
45,2022-03-12 05:00:00,2022-03-12 05:30:00,0.35,2.09
46,2022-03-12 06:15:00,2022-03-12 06:30:00,0.42,1.93
47,2022-03-12 07:15:00,2022-03-12 07:30:00,0.39,2.05
48,2022-03-12 08:30:00,2022-03-12 08:45:00,0.36,1.9
49,2022-03-12 09:45:00,2022-03-12 10:00:00,0.3,1.6
50,2022-03-12 11:30:00,2022-03-12 11:45:00,0.46,1.67
51,2022-03-12 13:15:00,2022-03-12 13:30:00,0.46,1.48
52,2022-03-12 15:00:00,2022-03-12 15:15:00,0.3,1.42
53,2022-03-12 16:30:00,2022-03-12 16:45:00,0.31,1.44
54,2022-03-12 17:30:00,2022-03-12 18:45:00,1.35,6.0
55,2022-03-12 19:45:00,2022-03-12 20:00:00,0.3,1.51
56,2022-03-12 21:15:00,2022-03-12 21:30:00,0.29,1.66
57,2022-03-12 22:15:00,2022-03-12 22:45:00,0.3,1.73
58,2022-03-12 23:30:00,2022-03-13 00:00:00,0.31,1.79
59,2022-03-13 01:00:00,2022-03-13 01:15:00,0.33,1.88
60,2022-03-13 02:00:00,2022-03-13 02:15:00,0.32,1.85
61,2022-03-13 03:15:00,2022-03-13 03:30:00,0.45,1.87
62,2022-03-13 04:30:00,2022-03-13 04:45:00,0.38,1.9
63,2022-03-13 05:30:00,2022-03-13 05:45:00,0.34,1.93
64,2022-03-13 06:45:00,2022-03-13 07:00:00,0.37,1.82
65,2022-03-13 07:45:00,2022-03-13 08:15:00,0.31,1.8
66,2022-03-13 09:00:00,2022-03-13 09:45:00,0.83,4.57
67,2022-03-13 10:15:00,2022-03-13 10:30:00,0.35,1.9
68,2022-03-13 11:45:00,2022-03-13 11:45:00,0.12,1.36
69,2022-03-13 13:30:00,2022-03-13 13:30:00,0.12,1.37
70,2022-03-13 15:15:00,2022-03-13 15:30:00,0.32,1.42
71,2022-03-13 17:15:00,2022-03-13 17:30:00,0.37,1.57
72,2022-03-13 18:30:00,2022-03-13 18:45:00,0.29,1.36
73,2022-03-13 19:45:00,2022-03-13 20:30:00,0.85,4.66
74,2022-03-13 21:00:00,2022-03-13 21:00:00,0.12,1.02
75,2022-03-13 22:15:00,2022-03-13 22:30:00,0.47,1.49
76,2022-03-13 23:45:00,2022-03-14 00:00:00,0.32,1.33
77,2022-03-14 01:00:00,2022-03-14 01:15:00,0.33,1.29
78,2022-03-14 02:15:00,2022-03-14 02:30:00,0.48,1.44
79,2022-03-14 03:30:00,2022-03-14 03:45:00,0.4,1.52
80,2022-03-14 04:45:00,2022-03-14 05:00:00,0.45,1.54
81,2022-03-14 06:00:00,2022-03-14 06:15:00,0.47,1.56
82,2022-03-14 07:00:00,2022-03-14 07:15:00,0.34,1.62
83,2022-03-14 08:15:00,2022-03-14 08:30:00,0.44,1.53
84,2022-03-14 09:45:00,2022-03-14 10:00:00,0.28,1.54
85,2022-03-14 11:15:00,2022-03-14 11:30:00,0.34,1.37
86,2022-03-14 12:45:00,2022-03-14 13:00:00,0.28,1.35
87,2022-03-14 14:45:00,2022-03-14 15:00:00,0.47,1.47
88,2022-03-14 16:30:00,2022-03-14 16:45:00,0.34,1.35
89,2022-03-14 18:00:00,2022-03-14 19:15:00,1.39,5.05
90,2022-03-14 20:15:00,2022-03-14 20:45:00,0.29,1.61
91,2022-03-14 21:45:00,2022-03-14 22:00:00,0.47,1.54
92,2022-03-14 23:00:00,2022-03-14 23:45:00,0.76,4.19
93,2022-03-15 00:15:00,2022-03-15 00:30:00,0.38,1.81
94,2022-03-15 01:30:00,2022-03-15 01:45:00,0.41,1.6
95,2022-03-15 03:00:00,2022-03-15 03:15:00,0.36,1.58
96,2022-03-15 04:15:00,2022-03-15 04:30:00,0.37,1.54
97,2022-03-15 05:30:00,2022-03-15 05:45:00,0.31,1.53
98,2022-03-15 07:00:00,2022-03-15 07:00:00,0.12,1.44
99,2022-03-15 07:45:00,2022-03-15 08:00:00,0.37,1.23
100,2022-03-15 09:00:00,2022-03-15 09:15:00,0.36,1.56
101,2022-03-15 10:00:00,2022-03-15 10:15:00,0.3,1.55
102,2022-03-15 11:45:00,2022-03-15 12:00:00,0.27,1.55
103,2022-03-15 12:45:00,2022-03-15 13:00:00,0.3,1.69
104,2022-03-15 14:00:00,2022-03-15 14:15:00,0.46,1.62
105,2022-03-15 15:15:00,2022-03-15 15:30:00,0.31,1.74
106,2022-03-15 16:30:00,2022-03-15 17:00:00,0.65,3.73
107,2022-03-15 17:30:00,2022-03-15 17:45:00,0.36,1.96
108,2022-03-15 18:45:00,2022-03-15 19:00:00,0.27,1.56
109,2022-03-15 19:45:00,2022-03-15 20:00:00,0.36,1.46
110,2022-03-15 21:00:00,2022-03-15 21:15:00,0.46,1.46
111,2022-03-15 22:15:00,2022-03-15 22:30:00,0.36,1.58
112,2022-03-15 23:00:00,2022-03-15 23:30:00,0.55,3.04
113,2022-03-16 00:00:00,2022-03-16 00:15:00,0.42,1.87
114,2022-03-16 01:15:00,2022-03-16 01:30:00,0.29,1.64
115,2022-03-16 02:15:00,2022-03-16 02:30:00,0.4,1.53
116,2022-03-16 03:30:00,2022-03-16 03:30:00,0.12,1.45
117,2022-03-16 04:30:00,2022-03-16 04:45:00,0.41,1.61
118,2022-03-16 05:30:00,2022-03-16 05:45:00,0.37,1.66
119,2022-03-16 06:45:00,2022-03-16 07:00:00,0.33,1.8
120,2022-03-16 07:45:00,2022-03-16 08:00:00,0.36,1.67
121,2022-03-16 09:15:00,2022-03-16 09:30:00,0.31,1.62
122,2022-03-16 10:45:00,2022-03-16 11:00:00,0.4,1.56
123,2022-03-16 12:15:00,2022-03-16 12:30:00,0.47,1.41
124,2022-03-16 14:00:00,2022-03-16 14:15:00,0.47,1.37
125,2022-03-16 15:45:00,2022-03-16 15:45:00,0.12,1.37
126,2022-03-16 17:00:00,2022-03-16 17:15:00,0.4,1.4
127,2022-03-16 18:15:00,2022-03-16 18:30:00,0.34,1.5
128,2022-03-16 19:30:00,2022-03-16 20:15:00,1.0,3.43
129,2022-03-16 20:45:00,2022-03-16 21:00:00,0.49,1.41
130,2022-03-16 22:00:00,2022-03-16 22:15:00,0.46,1.69
131,2022-03-16 23:15:00,2022-03-16 23:30:00,0.41,1.69
132,2022-03-17 00:30:00,2022-03-17 00:45:00,0.31,1.67
133,2022-03-17 01:30:00,2022-03-17 01:45:00,0.3,1.72
134,2022-03-17 02:45:00,2022-03-17 03:00:00,0.43,1.77
135,2022-03-17 04:00:00,2022-03-17 04:15:00,0.36,1.72
136,2022-03-17 05:00:00,2022-03-17 05:15:00,0.34,1.8
137,2022-03-17 06:15:00,2022-03-17 06:30:00,0.34,1.85
138,2022-03-17 07:15:00,2022-03-17 07:30:00,0.32,1.76
139,2022-03-17 08:30:00,2022-03-17 08:45:00,0.41,1.72
140,2022-03-17 09:45:00,2022-03-17 10:00:00,0.43,1.58
141,2022-03-17 11:15:00,2022-03-17 11:30:00,0.38,1.56
142,2022-03-17 12:45:00,2022-03-17 13:00:00,0.31,1.36
143,2022-03-17 14:30:00,2022-03-17 14:45:00,0.31,1.36
144,2022-03-17 16:00:00,2022-03-17 17:00:00,1.08,4.42
145,2022-03-17 18:15:00,2022-03-17 18:30:00,0.46,1.47
146,2022-03-17 19:30:00,2022-03-17 19:45:00,0.31,1.48
147,2022-03-17 20:15:00,2022-03-17 20:45:00,0.67,3.86
148,2022-03-17 21:15:00,2022-03-17 21:30:00,0.49,1.61
149,2022-03-17 22:30:00,2022-03-17 22:45:00,0.36,1.42
150,2022-03-17 23:45:00,2022-03-18 00:00:00,0.27,1.5
151,2022-03-18 00:45:00,2022-03-18 01:00:00,0.36,1.59
152,2022-03-18 02:00:00,2022-03-18 02:15:00,0.3,1.69
153,2022-03-18 03:15:00,2022-03-18 03:30:00,0.38,1.61
154,2022-03-18 04:30:00,2022-03-18 04:45:00,0.32,1.57
155,2022-03-18 05:30:00,2022-03-18 05:45:00,0.45,1.58
156,2022-03-18 06:45:00,2022-03-18 07:00:00,0.29,1.63
157,2022-03-18 07:45:00,2022-03-18 08:00:00,0.36,1.54
158,2022-03-18 09:00:00,2022-03-18 09:15:00,0.35,1.62
159,2022-03-18 10:00:00,2022-03-18 10:15:00,0.28,1.55
160,2022-03-18 11:15:00,2022-03-18 11:30:00,0.28,1.42
161,2022-03-18 12:45:00,2022-03-18 13:00:00,0.3,1.36
162,2022-03-18 14:00:00,2022-03-18 14:15:00,0.32,1.38
163,2022-03-18 15:15:00,2022-03-18 15:30:00,0.41,1.42
164,2022-03-18 16:30:00,2022-03-18 16:45:00,0.39,1.4
165,2022-03-18 17:15:00,2022-03-18 18:15:00,1.21,4.54
166,2022-03-18 19:15:00,2022-03-18 19:30:00,0.31,1.48
167,2022-03-18 20:30:00,2022-03-18 20:45:00,0.3,1.61
168,2022-03-18 21:30:00,2022-03-18 21:45:00,0.31,1.58
169,2022-03-18 22:45:00,2022-03-18 23:00:00,0.42,1.58
170,2022-03-19 00:00:00,2022-03-19 00:15:00,0.32,1.7
171,2022-03-19 01:00:00,2022-03-19 01:15:00,0.42,1.68
172,2022-03-19 02:00:00,2022-03-19 02:30:00,0.33,1.84
173,2022-03-19 03:15:00,2022-03-19 03:30:00,0.49,1.85
174,2022-03-19 04:15:00,2022-03-19 04:30:00,0.36,1.78
175,2022-03-19 05:30:00,2022-03-19 05:45:00,0.34,1.92
176,2022-03-19 06:30:00,2022-03-19 06:45:00,0.47,2.07
177,2022-03-19 07:45:00,2022-03-19 08:00:00,0.35,1.98
178,2022-03-19 08:45:00,2022-03-19 09:00:00,0.37,1.73
179,2022-03-19 10:00:00,2022-03-19 10:15:00,0.39,1.67
180,2022-03-19 11:15:00,2022-03-19 11:30:00,0.39,1.46
181,2022-03-19 12:30:00,2022-03-19 12:45:00,0.32,1.46
182,2022-03-19 13:45:00,2022-03-19 14:00:00,0.35,1.46
183,2022-03-19 15:15:00,2022-03-19 15:30:00,0.36,1.62
184,2022-03-19 16:15:00,2022-03-19 17:30:00,1.13,4.54
185,2022-03-19 18:15:00,2022-03-19 18:45:00,0.32,1.8
186,2022-03-19 19:30:00,2022-03-19 19:45:00,0.46,1.84
187,2022-03-19 20:30:00,2022-03-19 21:00:00,0.33,1.84
188,2022-03-19 21:45:00,2022-03-19 22:00:00,0.43,2.21
189,2022-03-19 23:00:00,2022-03-19 23:15:00,0.43,2.15
190,2022-03-20 00:00:00,2022-03-20 00:30:00,0.52,2.9
191,2022-03-20 01:00:00,2022-03-20 01:30:00,0.49,2.9
192,2022-03-20 02:15:00,2022-03-20 02:30:00,0.4,2.27
193,2022-03-20 03:15:00,2022-03-20 03:30:00,0.38,2.17
194,2022-03-20 04:15:00,2022-03-20 04:45:00,0.39,2.26
195,2022-03-20 05:30:00,2022-03-20 05:45:00,0.41,2.31
196,2022-03-20 06:30:00,2022-03-20 07:00:00,0.39,2.27
197,2022-03-20 07:45:00,2022-03-20 08:00:00,0.5,2.08
198,2022-03-20 08:45:00,2022-03-20 09:00:00,0.31,1.8
199,2022-03-20 10:00:00,2022-03-20 10:30:00,0.31,1.78
200,2022-03-20 11:30:00,2022-03-20 12:00:00,0.29,1.64
201,2022-03-20 13:30:00,2022-03-20 13:45:00,0.35,1.6
202,2022-03-20 15:15:00,2022-03-20 15:30:00,0.3,1.52
203,2022-03-20 17:00:00,2022-03-20 17:15:00,0.3,1.47
204,2022-03-20 18:15:00,2022-03-20 18:30:00,0.41,1.51
205,2022-03-20 19:30:00,2022-03-20 20:15:00,1.0,3.7
206,2022-03-20 20:45:00,2022-03-20 21:00:00,0.38,1.46
207,2022-03-20 21:45:00,2022-03-20 22:15:00,0.29,1.65
