cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-05-11 23:00:00,2021-05-11 23:30:00,0.75,0.91
1,2021-05-12 00:00:00,2021-05-12 00:00:00,0.12,0.42
2,2021-05-12 00:30:00,2021-05-12 00:45:00,0.47,0.68
3,2021-05-12 01:15:00,2021-05-12 01:15:00,0.12,0.41
4,2021-05-12 01:45:00,2021-05-12 04:15:00,2.75,3.34
5,2021-05-12 04:45:00,2021-05-12 05:45:00,1.25,1.83
6,2021-05-12 06:15:00,2021-05-12 06:15:00,0.12,0.43
7,2021-05-12 06:45:00,2021-05-12 08:00:00,1.5,1.5
8,2021-05-12 08:30:00,2021-05-12 08:45:00,0.42,0.42
9,2021-05-12 10:00:00,2021-05-12 10:00:00,0.12,0.38
10,2021-05-12 15:30:00,2021-05-12 15:30:00,0.12,0.34
11,2021-05-12 16:15:00,2021-05-12 16:15:00,0.12,0.38
12,2021-05-12 16:45:00,2021-05-12 17:00:00,0.43,0.53
13,2021-05-12 17:30:00,2021-05-12 17:30:00,0.12,0.45
14,2021-05-12 18:00:00,2021-05-12 18:45:00,1.0,0.91
15,2021-05-12 19:15:00,2021-05-12 19:15:00,0.12,0.48
16,2021-05-12 19:45:00,2021-05-13 05:15:00,9.75,13.24
17,2021-05-13 05:45:00,2021-05-13 08:00:00,2.5,3.8
18,2021-05-13 08:30:00,2021-05-13 08:45:00,0.42,0.53
19,2021-05-13 10:00:00,2021-05-13 10:00:00,0.12,0.48
20,2021-05-13 10:30:00,2021-05-13 10:30:00,0.12,0.45
21,2021-05-13 11:00:00,2021-05-13 11:15:00,0.47,0.51
22,2021-05-13 11:45:00,2021-05-13 12:00:00,0.38,0.5
23,2021-05-13 12:30:00,2021-05-13 12:30:00,0.12,0.58
24,2021-05-13 13:15:00,2021-05-13 13:30:00,0.32,0.6
25,2021-05-13 14:00:00,2021-05-13 14:15:00,0.45,0.44
26,2021-05-13 14:45:00,2021-05-13 15:00:00,0.43,0.4
27,2021-05-13 15:30:00,2021-05-13 15:45:00,0.36,0.41
28,2021-05-13 16:15:00,2021-05-13 16:15:00,0.12,0.36
29,2021-05-13 17:00:00,2021-05-13 17:00:00,0.12,0.39
30,2021-05-13 17:30:00,2021-05-13 18:15:00,1.0,0.82
31,2021-05-13 18:45:00,2021-05-13 18:45:00,0.12,0.41
32,2021-05-13 19:15:00,2021-05-13 21:15:00,2.25,3.34
33,2021-05-13 21:45:00,2021-05-14 08:45:00,11.25,18.7
34,2021-05-14 10:00:00,2021-05-14 10:15:00,0.42,0.9
35,2021-05-14 10:45:00,2021-05-14 11:00:00,0.4,0.85
36,2021-05-14 15:30:00,2021-05-14 15:30:00,0.12,0.39
37,2021-05-14 16:15:00,2021-05-14 16:30:00,0.33,0.49
38,2021-05-14 17:00:00,2021-05-14 17:00:00,0.12,0.37
39,2021-05-14 17:45:00,2021-05-14 18:00:00,0.39,0.4
40,2021-05-14 18:45:00,2021-05-14 18:45:00,0.12,0.43
41,2021-05-14 19:15:00,2021-05-14 19:30:00,0.33,0.6
42,2021-05-14 20:00:00,2021-05-14 22:00:00,2.25,2.57
43,2021-05-14 22:30:00,2021-05-15 04:45:00,6.5,9.23
44,2021-05-15 05:15:00,2021-05-15 07:00:00,2.0,3.0
45,2021-05-15 07:45:00,2021-05-15 07:45:00,0.12,0.44
46,2021-05-15 08:30:00,2021-05-15 08:30:00,0.12,0.38
47,2021-05-15 09:15:00,2021-05-15 09:15:00,0.12,0.35
48,2021-05-15 11:45:00,2021-05-15 11:45:00,0.12,0.35
49,2021-05-15 13:00:00,2021-05-15 13:15:00,0.32,0.38
50,2021-05-15 14:00:00,2021-05-15 14:00:00,0.12,0.35
51,2021-05-15 14:30:00,2021-05-15 18:30:00,4.18,4.57
52,2021-05-15 19:00:00,2021-05-15 19:00:00,0.12,0.45
53,2021-05-15 19:30:00,2021-05-15 19:30:00,0.12,0.56
54,2021-05-15 20:00:00,2021-05-15 20:00:00,0.12,0.48
55,2021-05-15 20:30:00,2021-05-15 20:30:00,0.12,0.52
56,2021-05-15 21:00:00,2021-05-15 21:15:00,0.49,0.82
57,2021-05-15 21:45:00,2021-05-15 21:45:00,0.12,0.52
58,2021-05-15 22:15:00,2021-05-16 01:30:00,3.5,4.34
59,2021-05-16 02:00:00,2021-05-16 03:00:00,1.25,1.76
60,2021-05-16 03:30:00,2021-05-16 04:30:00,1.19,1.78
61,2021-05-16 05:00:00,2021-05-16 05:00:00,0.12,0.53
62,2021-05-16 05:30:00,2021-05-16 07:30:00,2.25,2.57
63,2021-05-16 08:00:00,2021-05-16 08:15:00,0.47,0.72
64,2021-05-16 09:30:00,2021-05-16 09:45:00,0.35,0.42
65,2021-05-16 11:15:00,2021-05-16 11:15:00,0.12,0.34
66,2021-05-16 12:15:00,2021-05-16 12:30:00,0.33,0.45
67,2021-05-16 13:30:00,2021-05-16 13:30:00,0.12,0.4
68,2021-05-16 14:00:00,2021-05-16 14:15:00,0.31,0.42
69,2021-05-16 14:45:00,2021-05-16 15:00:00,0.28,0.71
70,2021-05-16 15:30:00,2021-05-16 15:45:00,0.3,0.64
71,2021-05-16 16:30:00,2021-05-16 16:30:00,0.12,0.41
72,2021-05-16 17:00:00,2021-05-16 17:15:00,0.35,0.42
73,2021-05-16 17:45:00,2021-05-16 20:30:00,3.0,2.94
74,2021-05-16 21:00:00,2021-05-16 21:00:00,0.12,0.56
75,2021-05-16 21:30:00,2021-05-16 21:30:00,0.12,0.54
76,2021-05-16 22:00:00,2021-05-17 01:30:00,3.75,5.02
77,2021-05-17 02:00:00,2021-05-17 05:15:00,3.5,4.85
78,2021-05-17 05:45:00,2021-05-17 06:45:00,1.25,1.66
79,2021-05-17 07:15:00,2021-05-17 07:15:00,0.12,0.56
80,2021-05-17 07:45:00,2021-05-17 08:30:00,1.0,1.18
81,2021-05-17 10:00:00,2021-05-17 10:00:00,0.12,0.48
82,2021-05-17 10:30:00,2021-05-17 10:30:00,0.12,0.43
83,2021-05-17 11:15:00,2021-05-17 11:15:00,0.12,0.39
84,2021-05-17 12:00:00,2021-05-17 12:00:00,0.12,0.4
85,2021-05-17 12:30:00,2021-05-17 12:45:00,0.44,0.43
86,2021-05-17 13:15:00,2021-05-17 13:15:00,0.12,0.4
87,2021-05-17 13:45:00,2021-05-17 14:00:00,0.36,0.43
88,2021-05-17 14:45:00,2021-05-17 14:45:00,0.12,0.38
89,2021-05-17 15:30:00,2021-05-17 15:30:00,0.12,0.39
90,2021-05-17 16:00:00,2021-05-17 16:15:00,0.42,0.43
91,2021-05-17 16:45:00,2021-05-17 17:00:00,0.4,0.43
92,2021-05-17 17:30:00,2021-05-17 17:30:00,0.12,0.42
93,2021-05-17 18:00:00,2021-05-17 18:00:00,0.12,0.39
94,2021-05-17 18:30:00,2021-05-17 18:45:00,0.34,0.44
95,2021-05-17 19:15:00,2021-05-17 19:15:00,0.12,0.43
96,2021-05-17 19:45:00,2021-05-17 21:30:00,2.0,2.1
97,2021-05-17 22:00:00,2021-05-17 23:45:00,2.0,2.47
98,2021-05-18 00:15:00,2021-05-18 01:00:00,1.0,1.36
99,2021-05-18 01:30:00,2021-05-18 05:00:00,3.75,4.61
100,2021-05-18 05:30:00,2021-05-18 06:15:00,1.0,1.1
101,2021-05-18 06:45:00,2021-05-18 06:45:00,0.12,0.41
102,2021-05-18 07:15:00,2021-05-18 08:00:00,0.82,0.9
103,2021-05-18 08:30:00,2021-05-18 08:30:00,0.12,0.43
104,2021-05-18 10:00:00,2021-05-18 10:00:00,0.12,0.45
105,2021-05-18 10:30:00,2021-05-18 10:45:00,0.46,0.44
106,2021-05-18 11:15:00,2021-05-18 11:15:00,0.12,0.39
107,2021-05-18 12:15:00,2021-05-18 12:15:00,0.12,0.33
108,2021-05-18 13:30:00,2021-05-18 13:30:00,0.12,0.34
109,2021-05-18 15:45:00,2021-05-18 16:00:00,0.34,0.37
110,2021-05-18 17:15:00,2021-05-18 17:30:00,0.33,0.38
111,2021-05-18 18:00:00,2021-05-18 18:15:00,0.31,0.4
112,2021-05-18 19:00:00,2021-05-18 19:00:00,0.12,0.38
113,2021-05-18 19:30:00,2021-05-18 20:15:00,1.0,1.01
114,2021-05-18 20:45:00,2021-05-18 20:45:00,0.12,0.42
115,2021-05-18 21:15:00,2021-05-19 00:30:00,3.5,3.85
116,2021-05-19 01:00:00,2021-05-19 01:45:00,1.0,1.35
117,2021-05-19 02:15:00,2021-05-19 02:15:00,0.12,0.59
118,2021-05-19 02:45:00,2021-05-19 06:00:00,3.5,4.7
119,2021-05-19 06:30:00,2021-05-19 06:45:00,0.48,1.27
120,2021-05-19 07:15:00,2021-05-19 07:30:00,0.47,0.69
121,2021-05-19 08:00:00,2021-05-19 08:15:00,0.31,0.6
122,2021-05-19 08:45:00,2021-05-19 08:45:00,0.12,0.28
123,2021-05-19 10:00:00,2021-05-19 10:00:00,0.12,0.47
124,2021-05-19 10:30:00,2021-05-19 10:30:00,0.12,0.37
125,2021-05-19 11:15:00,2021-05-19 11:30:00,0.37,0.42
126,2021-05-19 13:45:00,2021-05-19 14:00:00,0.38,0.38
127,2021-05-19 16:00:00,2021-05-19 16:15:00,0.49,0.39
128,2021-05-19 16:45:00,2021-05-19 17:00:00,0.35,0.42
129,2021-05-19 17:30:00,2021-05-19 17:30:00,0.12,0.37
130,2021-05-19 18:15:00,2021-05-19 18:15:00,0.12,0.47
131,2021-05-19 18:45:00,2021-05-19 19:00:00,0.42,0.45
132,2021-05-19 19:30:00,2021-05-19 19:30:00,0.12,0.41
133,2021-05-19 20:00:00,2021-05-19 20:00:00,0.12,0.44
134,2021-05-19 20:30:00,2021-05-19 20:30:00,0.12,0.53
135,2021-05-19 21:00:00,2021-05-19 21:00:00,0.12,0.48
136,2021-05-19 21:30:00,2021-05-19 21:30:00,0.12,0.48
137,2021-05-19 22:00:00,2021-05-19 22:00:00,0.12,0.49
138,2021-05-19 22:30:00,2021-05-19 22:30:00,0.12,0.46
139,2021-05-19 23:00:00,2021-05-19 23:00:00,0.12,0.57
140,2021-05-19 23:30:00,2021-05-19 23:30:00,0.12,0.53
141,2021-05-20 00:00:00,2021-05-20 00:00:00,0.12,0.52
142,2021-05-20 00:30:00,2021-05-20 06:30:00,6.25,9.33
143,2021-05-20 07:00:00,2021-05-20 07:30:00,0.66,1.74
144,2021-05-20 08:00:00,2021-05-20 08:15:00,0.4,1.03
145,2021-05-20 10:00:00,2021-05-20 10:15:00,0.5,1.07
146,2021-05-20 10:45:00,2021-05-20 11:00:00,0.46,0.65
147,2021-05-20 11:30:00,2021-05-20 11:45:00,0.32,0.56
148,2021-05-20 12:15:00,2021-05-20 12:15:00,0.12,0.5
149,2021-05-20 13:00:00,2021-05-20 13:15:00,0.41,0.74
150,2021-05-20 14:15:00,2021-05-20 14:30:00,0.33,0.49
151,2021-05-20 15:30:00,2021-05-20 15:45:00,0.32,0.47
152,2021-05-20 18:15:00,2021-05-20 18:15:00,0.12,0.36
153,2021-05-20 19:00:00,2021-05-20 19:15:00,0.4,0.55
154,2021-05-20 19:45:00,2021-05-20 19:45:00,0.12,0.44
155,2021-05-20 20:15:00,2021-05-21 06:00:00,10.0,13.38
156,2021-05-21 06:30:00,2021-05-21 06:30:00,0.12,0.41
157,2021-05-21 07:00:00,2021-05-21 07:15:00,0.34,0.42
158,2021-05-21 07:45:00,2021-05-21 07:45:00,0.12,0.38
159,2021-05-21 08:15:00,2021-05-21 08:15:00,0.12,0.38
160,2021-05-21 08:45:00,2021-05-21 08:45:00,0.12,0.26
161,2021-05-21 10:00:00,2021-05-21 10:00:00,0.12,0.46
162,2021-05-21 10:45:00,2021-05-21 10:45:00,0.12,0.38
163,2021-05-21 11:45:00,2021-05-21 12:00:00,0.48,0.4
164,2021-05-21 13:00:00,2021-05-21 13:00:00,0.12,0.35
165,2021-05-21 14:00:00,2021-05-21 14:00:00,0.12,0.35
166,2021-05-21 15:00:00,2021-05-21 15:15:00,0.39,0.4
167,2021-05-21 15:45:00,2021-05-21 15:45:00,0.12,0.54
168,2021-05-21 16:15:00,2021-05-21 16:30:00,0.33,0.41
169,2021-05-21 17:00:00,2021-05-21 17:15:00,0.47,0.69
170,2021-05-21 17:45:00,2021-05-21 17:45:00,0.12,0.4
171,2021-05-21 18:15:00,2021-05-21 18:15:00,0.12,0.39
172,2021-05-21 18:45:00,2021-05-21 18:45:00,0.12,0.62
173,2021-05-21 19:15:00,2021-05-21 20:15:00,1.25,1.74
174,2021-05-21 20:45:00,2021-05-22 00:15:00,3.75,5.29
175,2021-05-22 00:45:00,2021-05-22 02:00:00,1.5,2.39
176,2021-05-22 02:30:00,2021-05-22 04:30:00,2.25,3.06
177,2021-05-22 05:00:00,2021-05-22 05:00:00,0.12,0.48
178,2021-05-22 05:30:00,2021-05-22 06:45:00,1.43,2.12
179,2021-05-22 07:15:00,2021-05-22 08:00:00,1.0,1.16
180,2021-05-22 08:30:00,2021-05-22 08:30:00,0.12,0.42
181,2021-05-22 09:00:00,2021-05-22 09:15:00,0.44,0.42
182,2021-05-22 10:00:00,2021-05-22 10:15:00,0.33,0.42
183,2021-05-22 10:45:00,2021-05-22 11:00:00,0.36,0.4
184,2021-05-22 11:45:00,2021-05-22 12:00:00,0.33,0.46
185,2021-05-22 15:30:00,2021-05-22 15:30:00,0.12,0.35
186,2021-05-22 18:15:00,2021-05-22 18:30:00,0.32,0.36
187,2021-05-22 19:00:00,2021-05-22 19:00:00,0.12,0.33
188,2021-05-22 19:45:00,2021-05-22 19:45:00,0.12,0.38
189,2021-05-22 20:15:00,2021-05-22 20:30:00,0.33,0.41
190,2021-05-22 21:00:00,2021-05-22 21:00:00,0.12,0.45
191,2021-05-22 21:30:00,2021-05-23 02:00:00,4.75,4.92
192,2021-05-23 02:30:00,2021-05-23 05:45:00,3.5,4.5
193,2021-05-23 06:15:00,2021-05-23 06:15:00,0.12,0.47
194,2021-05-23 06:45:00,2021-05-23 08:00:00,1.5,1.69
195,2021-05-23 08:30:00,2021-05-23 08:30:00,0.12,0.38
196,2021-05-23 09:00:00,2021-05-23 09:45:00,1.0,1.02
197,2021-05-23 10:30:00,2021-05-23 10:45:00,0.31,0.5
198,2021-05-23 16:00:00,2021-05-23 16:00:00,0.12,0.35
199,2021-05-23 19:45:00,2021-05-23 19:45:00,0.12,0.38
200,2021-05-23 20:15:00,2021-05-23 21:00:00,1.0,0.97
201,2021-05-23 21:30:00,2021-05-23 21:30:00,0.12,0.44
202,2021-05-23 22:00:00,2021-05-23 22:00:00,0.12,0.43
203,2021-05-23 22:30:00,2021-05-23 22:30:00,0.12,0.44
204,2021-05-23 23:00:00,2021-05-23 23:00:00,0.12,0.46
205,2021-05-23 23:30:00,2021-05-23 23:30:00,0.12,0.49
206,2021-05-24 00:00:00,2021-05-24 00:00:00,0.12,0.52
207,2021-05-24 00:30:00,2021-05-24 00:30:00,0.12,0.55
208,2021-05-24 01:00:00,2021-05-24 01:45:00,1.0,1.42
209,2021-05-24 02:15:00,2021-05-24 03:15:00,1.25,2.0
210,2021-05-24 03:45:00,2021-05-24 07:45:00,4.25,6.09
211,2021-05-24 08:15:00,2021-05-24 08:45:00,0.58,0.76
212,2021-05-24 10:00:00,2021-05-24 10:45:00,1.0,1.34
213,2021-05-24 11:15:00,2021-05-24 11:30:00,0.35,0.47
214,2021-05-24 12:30:00,2021-05-24 12:30:00,0.12,0.32
215,2021-05-24 13:45:00,2021-05-24 14:00:00,0.34,0.39
216,2021-05-24 16:45:00,2021-05-24 16:45:00,0.12,0.34
217,2021-05-24 17:30:00,2021-05-24 17:30:00,0.12,0.34
218,2021-05-24 18:15:00,2021-05-24 18:30:00,0.39,0.47
219,2021-05-24 19:00:00,2021-05-24 19:00:00,0.12,0.39
220,2021-05-24 19:30:00,2021-05-24 19:45:00,0.46,0.58
221,2021-05-24 20:15:00,2021-05-24 20:15:00,0.12,0.47
222,2021-05-24 20:45:00,2021-05-24 23:15:00,2.75,3.38
223,2021-05-24 23:45:00,2021-05-25 02:00:00,2.5,3.73
224,2021-05-25 02:30:00,2021-05-25 07:00:00,4.75,6.29
225,2021-05-25 07:30:00,2021-05-25 07:30:00,0.12,0.44
226,2021-05-25 08:00:00,2021-05-25 08:15:00,0.36,0.47
227,2021-05-25 08:45:00,2021-05-25 08:45:00,0.12,0.41
228,2021-05-25 10:00:00,2021-05-25 10:00:00,0.12,0.48
229,2021-05-25 11:00:00,2021-05-25 11:00:00,0.12,0.37
230,2021-05-25 12:00:00,2021-05-25 12:15:00,0.44,0.5
231,2021-05-25 13:15:00,2021-05-25 13:15:00,0.12,0.37
232,2021-05-25 15:00:00,2021-05-25 15:00:00,0.12,0.3
