cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-07-12 19:30:00,2021-07-12 22:00:00,2.73,1.34
1,2021-07-13 13:15:00,2021-07-13 13:15:00,0.12,0.51
2,2021-07-13 18:15:00,2021-07-13 18:30:00,0.33,0.45
3,2021-07-13 19:30:00,2021-07-13 22:00:00,2.74,2.41
4,2021-07-13 22:30:00,2021-07-13 22:45:00,0.43,0.76
5,2021-07-14 00:00:00,2021-07-14 00:00:00,0.12,0.64
6,2021-07-14 01:15:00,2021-07-14 01:30:00,0.42,0.67
7,2021-07-14 02:30:00,2021-07-14 02:45:00,0.36,0.63
8,2021-07-14 04:00:00,2021-07-14 04:00:00,0.12,0.6
9,2021-07-14 19:30:00,2021-07-14 21:45:00,2.3,2.13
10,2021-07-14 22:30:00,2021-07-14 22:45:00,0.32,0.61
11,2021-07-15 00:00:00,2021-07-15 00:00:00,0.12,0.52
12,2021-07-15 01:15:00,2021-07-15 01:30:00,0.49,0.58
13,2021-07-15 02:45:00,2021-07-15 02:45:00,0.12,0.48
14,2021-07-15 04:00:00,2021-07-15 04:00:00,0.12,0.52
15,2021-07-15 19:30:00,2021-07-15 21:45:00,2.3,2.12
16,2021-07-15 22:45:00,2021-07-15 22:45:00,0.12,0.5
17,2021-07-16 00:00:00,2021-07-16 00:00:00,0.12,0.48
18,2021-07-16 01:15:00,2021-07-16 01:30:00,0.49,0.54
19,2021-07-16 02:45:00,2021-07-16 02:45:00,0.12,0.45
20,2021-07-16 04:00:00,2021-07-16 04:00:00,0.12,0.5
21,2021-07-16 19:30:00,2021-07-16 21:45:00,2.31,2.04
22,2021-07-16 22:30:00,2021-07-16 22:45:00,0.34,0.53
23,2021-07-17 00:00:00,2021-07-17 00:00:00,0.12,0.5
24,2021-07-17 01:15:00,2021-07-17 01:30:00,0.36,0.5
25,2021-07-17 02:30:00,2021-07-17 02:45:00,0.34,0.49
26,2021-07-17 04:00:00,2021-07-17 04:00:00,0.12,0.48
27,2021-07-17 19:30:00,2021-07-17 21:00:00,1.74,0.88
28,2021-07-18 19:30:00,2021-07-18 21:45:00,2.48,1.23
29,2021-07-19 04:30:00,2021-07-19 05:00:00,0.57,0.98
30,2021-07-19 19:45:00,2021-07-19 22:15:00,2.74,1.34
31,2021-07-20 05:00:00,2021-07-20 05:45:00,0.71,1.48
32,2021-07-20 19:30:00,2021-07-20 22:00:00,2.73,1.34
33,2021-07-21 19:30:00,2021-07-21 22:00:00,2.74,1.33
34,2021-07-22 19:30:00,2021-07-22 22:00:00,2.73,1.33
35,2021-07-23 19:30:00,2021-07-23 21:45:00,2.49,1.22
36,2021-07-24 19:30:00,2021-07-24 21:15:00,1.97,1.0
37,2021-07-25 19:45:00,2021-07-25 22:15:00,2.74,1.34
38,2021-07-26 04:15:00,2021-07-26 04:30:00,0.35,0.72
39,2021-07-26 19:30:00,2021-07-26 22:00:00,2.69,1.99
40,2021-07-26 22:30:00,2021-07-26 22:45:00,0.33,0.45
41,2021-07-27 00:15:00,2021-07-27 00:30:00,0.34,0.45
42,2021-07-27 02:00:00,2021-07-27 02:00:00,0.12,0.38
43,2021-07-27 03:30:00,2021-07-27 03:30:00,0.12,0.41
44,2021-07-27 05:00:00,2021-07-27 05:15:00,0.4,0.43
45,2021-07-27 19:30:00,2021-07-27 21:45:00,2.49,1.22
46,2021-07-28 19:30:00,2021-07-28 22:00:00,2.73,1.34
47,2021-07-29 19:30:00,2021-07-29 22:00:00,2.71,1.34
48,2021-07-30 19:30:00,2021-07-30 22:00:00,2.73,1.34
49,2021-07-31 19:30:00,2021-07-31 21:15:00,1.99,1.0
50,2021-08-01 05:15:00,2021-08-01 05:15:00,0.12,0.5
51,2021-08-01 19:00:00,2021-08-01 20:45:00,2.0,1.22
52,2021-08-01 21:15:00,2021-08-01 21:30:00,0.47,0.93
53,2021-08-01 22:45:00,2021-08-01 22:45:00,0.12,0.63
54,2021-08-02 00:00:00,2021-08-02 00:15:00,0.44,0.7
55,2021-08-02 01:15:00,2021-08-02 01:30:00,0.34,0.64
56,2021-08-02 02:45:00,2021-08-02 02:45:00,0.12,0.56
57,2021-08-02 04:00:00,2021-08-02 04:15:00,0.49,0.61
58,2021-08-02 19:30:00,2021-08-02 22:00:00,2.73,2.07
59,2021-08-02 22:30:00,2021-08-02 22:45:00,0.42,0.52
60,2021-08-03 00:00:00,2021-08-03 00:00:00,0.12,0.49
61,2021-08-03 01:15:00,2021-08-03 01:15:00,0.12,0.58
62,2021-08-03 02:30:00,2021-08-03 02:45:00,0.33,0.63
63,2021-08-03 03:45:00,2021-08-03 04:00:00,0.5,0.63
64,2021-08-03 05:15:00,2021-08-03 05:15:00,0.12,0.36
65,2021-08-03 19:30:00,2021-08-03 22:45:00,3.48,3.01
66,2021-08-03 23:45:00,2021-08-04 00:00:00,0.33,0.62
67,2021-08-04 01:15:00,2021-08-04 01:15:00,0.12,0.54
68,2021-08-04 02:30:00,2021-08-04 02:45:00,0.48,0.6
69,2021-08-04 04:00:00,2021-08-04 04:00:00,0.12,0.49
70,2021-08-04 19:30:00,2021-08-04 22:00:00,2.74,2.28
71,2021-08-04 22:30:00,2021-08-04 22:45:00,0.43,0.63
72,2021-08-05 00:00:00,2021-08-05 00:00:00,0.12,0.5
73,2021-08-05 01:15:00,2021-08-05 01:15:00,0.12,0.5
74,2021-08-05 02:30:00,2021-08-05 02:45:00,0.46,0.56
75,2021-08-05 04:00:00,2021-08-05 04:00:00,0.12,0.5
76,2021-08-05 19:30:00,2021-08-05 22:45:00,3.49,3.0
77,2021-08-05 23:45:00,2021-08-06 00:00:00,0.31,0.62
78,2021-08-06 01:15:00,2021-08-06 01:15:00,0.12,0.48
79,2021-08-06 02:30:00,2021-08-06 02:45:00,0.49,0.51
80,2021-08-06 04:00:00,2021-08-06 04:00:00,0.12,0.45
81,2021-08-06 19:30:00,2021-08-06 21:45:00,2.32,1.97
