cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-01-01 00:00:00,2021-01-07 13:15:00,157.5,585.62
1,2021-01-07 15:30:00,2021-01-09 11:45:00,44.39,187.11
2,2021-01-09 13:45:00,2021-01-13 11:45:00,94.25,391.6
3,2021-01-13 15:30:00,2021-01-13 22:45:00,7.5,12.44
4,2021-01-17 23:00:00,2021-01-18 12:15:00,13.4,42.92
5,2021-01-18 12:45:00,2021-01-18 13:00:00,0.43,0.49
6,2021-01-18 16:00:00,2021-01-19 09:45:00,17.95,63.27
7,2021-01-19 16:00:00,2021-01-20 11:00:00,19.09,72.09
8,2021-01-20 12:45:00,2021-01-20 13:00:00,0.37,0.55
9,2021-01-20 16:45:00,2021-01-21 09:30:00,16.88,67.62
10,2021-01-21 16:30:00,2021-01-21 16:45:00,0.42,0.59
11,2021-01-21 18:30:00,2021-01-22 04:00:00,9.72,13.41
12,2021-01-22 05:15:00,2021-01-22 06:00:00,0.98,1.48
13,2021-01-22 15:45:00,2021-01-22 16:00:00,0.43,0.66
14,2021-01-22 16:30:00,2021-01-23 12:15:00,19.81,60.56
15,2021-01-23 15:30:00,2021-01-24 09:15:00,17.95,65.63
16,2021-01-24 15:15:00,2021-01-25 12:30:00,21.42,85.8
17,2021-01-25 14:45:00,2021-01-26 12:00:00,21.5,89.87
18,2021-01-26 15:30:00,2021-01-28 10:15:00,42.87,147.1
19,2021-01-28 15:00:00,2021-01-28 15:15:00,0.32,0.51
20,2021-01-28 18:30:00,2021-01-28 18:45:00,0.39,0.63
21,2021-01-28 20:15:00,2021-01-28 22:45:00,2.67,3.84
22,2021-01-29 01:15:00,2021-01-29 01:30:00,0.41,0.54
23,2021-01-29 04:45:00,2021-01-29 05:30:00,0.99,1.56
24,2021-01-29 06:00:00,2021-01-29 10:15:00,4.32,5.79
25,2021-01-29 16:15:00,2021-01-30 13:00:00,20.95,29.69
26,2021-01-30 14:30:00,2021-01-30 14:30:00,0.12,0.39
27,2021-01-30 15:45:00,2021-01-31 10:30:00,18.84,26.67
28,2021-01-31 16:30:00,2021-02-01 15:30:00,22.97,32.51
29,2021-02-01 17:30:00,2021-02-02 10:15:00,16.81,24.11
30,2021-02-02 11:15:00,2021-02-02 11:30:00,0.47,0.5
31,2021-02-02 17:15:00,2021-02-02 17:30:00,0.36,0.59
32,2021-02-02 19:30:00,2021-02-02 23:00:00,3.59,5.26
33,2021-02-03 03:30:00,2021-02-03 11:00:00,7.45,10.94
34,2021-02-03 15:00:00,2021-02-04 09:45:00,18.89,26.98
35,2021-02-04 17:00:00,2021-02-04 17:15:00,0.33,0.53
36,2021-02-04 18:00:00,2021-02-05 09:45:00,15.92,22.33
37,2021-02-05 12:15:00,2021-02-05 12:30:00,0.37,0.54
38,2021-02-05 17:30:00,2021-02-05 17:45:00,0.5,0.75
39,2021-02-05 18:30:00,2021-02-07 15:00:00,44.72,63.02
40,2021-02-07 15:45:00,2021-02-07 16:15:00,0.61,0.93
41,2021-02-07 16:45:00,2021-02-08 09:00:00,16.45,29.15
42,2021-02-08 13:45:00,2021-02-14 10:30:00,140.91,676.78
43,2021-02-14 15:30:00,2021-02-15 15:15:00,23.84,106.36
44,2021-02-15 16:45:00,2021-02-16 10:00:00,17.25,34.42
45,2021-02-16 15:30:00,2021-02-16 15:45:00,0.43,0.56
46,2021-02-16 18:15:00,2021-02-17 08:00:00,13.9,19.71
47,2021-02-17 16:00:00,2021-02-17 16:15:00,0.35,0.55
48,2021-02-17 17:45:00,2021-02-18 11:00:00,17.17,67.95
49,2021-02-18 18:00:00,2021-02-19 08:30:00,14.74,21.02
50,2021-02-19 12:45:00,2021-02-19 12:45:00,0.12,0.4
51,2021-02-19 18:30:00,2021-02-20 09:45:00,15.45,34.96
52,2021-02-20 12:15:00,2021-02-20 12:30:00,0.39,0.54
53,2021-02-20 18:30:00,2021-02-21 09:15:00,14.97,46.03
54,2021-02-21 12:45:00,2021-02-21 13:00:00,0.46,0.57
55,2021-02-21 18:00:00,2021-02-21 18:30:00,0.46,0.7
56,2021-02-21 19:00:00,2021-02-22 08:45:00,13.99,35.0
57,2021-02-22 16:45:00,2021-02-22 17:00:00,0.44,0.71
58,2021-02-22 19:15:00,2021-02-23 08:30:00,13.32,26.45
59,2021-02-23 18:15:00,2021-02-23 18:30:00,0.48,0.64
60,2021-02-23 20:00:00,2021-02-24 08:15:00,12.38,17.42
61,2021-02-24 15:15:00,2021-02-24 15:15:00,0.12,0.42
62,2021-02-24 19:30:00,2021-02-25 08:15:00,12.79,17.92
63,2021-02-25 15:15:00,2021-02-25 15:30:00,0.38,0.55
64,2021-02-25 19:15:00,2021-02-25 19:30:00,0.35,0.56
65,2021-02-25 20:15:00,2021-02-26 08:30:00,12.4,17.41
66,2021-02-26 13:30:00,2021-02-26 13:45:00,0.41,0.54
67,2021-02-26 18:15:00,2021-02-26 18:30:00,0.4,0.64
