cycle_number,cycle_start,cycle_end,cycle_duration,cycle_energy_sum
0,2021-10-29 23:00:00,2021-10-29 23:15:00,0.4,0.8
1,2021-10-30 00:00:00,2021-10-30 00:15:00,0.47,0.8
2,2021-10-30 01:00:00,2021-10-30 01:15:00,0.46,0.81
3,2021-10-30 02:00:00,2021-10-30 02:15:00,0.43,0.8
4,2021-10-30 03:00:00,2021-10-30 03:15:00,0.4,0.8
5,2021-10-30 04:00:00,2021-10-30 04:15:00,0.39,0.8
6,2021-10-30 05:00:00,2021-10-30 05:15:00,0.37,0.8
7,2021-10-30 06:00:00,2021-10-30 06:15:00,0.36,0.79
8,2021-10-30 07:00:00,2021-10-30 07:15:00,0.34,0.76
9,2021-10-30 07:45:00,2021-10-30 08:15:00,0.37,0.82
10,2021-10-30 08:45:00,2021-10-30 09:15:00,0.37,0.82
11,2021-10-30 09:45:00,2021-10-30 10:00:00,0.35,0.78
12,2021-10-30 10:45:00,2021-10-30 11:00:00,0.38,0.8
13,2021-10-30 11:45:00,2021-10-30 12:00:00,0.45,0.82
14,2021-10-30 13:30:00,2021-10-30 13:45:00,0.32,0.65
15,2021-10-30 15:00:00,2021-10-30 15:15:00,0.41,0.67
16,2021-10-30 16:30:00,2021-10-30 17:15:00,1.0,1.43
17,2021-10-30 18:00:00,2021-10-30 18:15:00,0.41,0.73
18,2021-10-30 19:45:00,2021-10-30 20:00:00,0.4,0.66
19,2021-10-30 21:00:00,2021-10-30 21:15:00,0.32,0.68
20,2021-10-30 21:45:00,2021-10-30 22:00:00,0.46,0.8
21,2021-10-30 22:45:00,2021-10-30 23:00:00,0.47,0.8
22,2021-10-30 23:45:00,2021-10-30 23:45:00,0.12,0.42
23,2021-10-31 00:30:00,2021-10-31 00:30:00,0.12,0.41
24,2021-10-31 02:00:00,2021-10-31 02:15:00,0.31,0.67
25,2021-10-31 03:15:00,2021-10-31 03:45:00,0.48,1.05
26,2021-10-31 04:30:00,2021-10-31 04:45:00,0.36,0.77
27,2021-10-31 05:15:00,2021-10-31 05:45:00,0.35,0.78
28,2021-10-31 06:15:00,2021-10-31 06:45:00,0.35,0.77
29,2021-10-31 08:15:00,2021-10-31 08:30:00,0.43,0.67
30,2021-10-31 09:45:00,2021-10-31 10:00:00,0.29,0.63
31,2021-10-31 11:30:00,2021-10-31 11:45:00,0.42,0.64
32,2021-10-31 15:15:00,2021-10-31 15:30:00,0.46,0.85
33,2021-10-31 16:15:00,2021-10-31 16:30:00,0.34,0.72
34,2021-10-31 17:15:00,2021-10-31 17:30:00,0.35,0.7
35,2021-10-31 18:15:00,2021-10-31 18:30:00,0.49,0.68
36,2021-10-31 19:15:00,2021-10-31 19:45:00,0.33,0.7
37,2021-10-31 20:30:00,2021-10-31 20:45:00,0.35,0.69
38,2021-10-31 21:30:00,2021-10-31 22:00:00,0.48,1.04
39,2021-10-31 23:15:00,2021-10-31 23:30:00,0.37,0.65
40,2021-11-01 00:30:00,2021-11-01 00:45:00,0.32,0.67
41,2021-11-01 02:00:00,2021-11-01 02:15:00,0.29,0.62
42,2021-11-01 03:15:00,2021-11-01 03:30:00,0.32,0.66
43,2021-11-01 04:30:00,2021-11-01 04:45:00,0.36,0.67
44,2021-11-01 05:45:00,2021-11-01 06:00:00,0.39,0.68
45,2021-11-01 07:00:00,2021-11-01 07:15:00,0.44,0.68
46,2021-11-01 08:15:00,2021-11-01 08:30:00,0.46,0.69
47,2021-11-01 09:30:00,2021-11-01 09:45:00,0.31,0.66
48,2021-11-01 10:30:00,2021-11-01 10:45:00,0.45,0.69
49,2021-11-01 11:45:00,2021-11-01 12:00:00,0.32,0.69
50,2021-11-01 12:45:00,2021-11-01 13:00:00,0.35,0.68
51,2021-11-01 14:15:00,2021-11-01 14:30:00,0.44,0.74
52,2021-11-01 15:30:00,2021-11-01 15:45:00,0.42,0.69
53,2021-11-01 16:45:00,2021-11-01 17:00:00,0.34,0.67
54,2021-11-01 17:45:00,2021-11-01 18:00:00,0.3,0.66
55,2021-11-01 18:30:00,2021-11-01 19:00:00,0.42,0.93
56,2021-11-01 19:30:00,2021-11-01 20:00:00,0.38,0.84
57,2021-11-01 20:30:00,2021-11-01 20:45:00,0.35,0.78
58,2021-11-01 21:30:00,2021-11-01 21:45:00,0.41,0.79
59,2021-11-01 22:30:00,2021-11-01 22:45:00,0.44,0.78
60,2021-11-01 23:30:00,2021-11-01 23:45:00,0.45,0.77
61,2021-11-02 00:30:00,2021-11-02 00:45:00,0.44,0.77
62,2021-11-02 01:30:00,2021-11-02 01:45:00,0.41,0.75
63,2021-11-02 02:30:00,2021-11-02 02:45:00,0.36,0.76
64,2021-11-02 03:30:00,2021-11-02 03:45:00,0.33,0.73
65,2021-11-02 04:30:00,2021-11-02 05:00:00,0.54,1.21
66,2021-11-02 06:00:00,2021-11-02 06:15:00,0.33,0.73
67,2021-11-02 07:15:00,2021-11-02 07:30:00,0.32,0.72
68,2021-11-02 08:15:00,2021-11-02 08:30:00,0.4,0.74
69,2021-11-02 10:15:00,2021-11-02 10:30:00,0.33,0.67
70,2021-11-02 11:30:00,2021-11-02 11:45:00,0.36,0.72
71,2021-11-02 12:45:00,2021-11-02 13:00:00,0.3,0.64
72,2021-11-02 14:15:00,2021-11-02 14:30:00,0.34,0.66
73,2021-11-02 15:30:00,2021-11-02 15:45:00,0.48,1.03
74,2021-11-02 16:30:00,2021-11-02 16:45:00,0.49,0.8
75,2021-11-02 17:30:00,2021-11-02 17:45:00,0.42,0.79
76,2021-11-02 18:30:00,2021-11-02 19:00:00,0.56,1.27
77,2021-11-02 19:30:00,2021-11-02 19:45:00,0.41,0.92
78,2021-11-02 20:15:00,2021-11-02 20:45:00,0.43,0.98
79,2021-11-02 21:15:00,2021-11-02 21:45:00,0.42,0.97
80,2021-11-02 22:15:00,2021-11-02 22:30:00,0.43,0.93
81,2021-11-02 23:15:00,2021-11-02 23:30:00,0.47,0.9
82,2021-11-03 00:15:00,2021-11-03 00:30:00,0.39,0.89
83,2021-11-03 01:00:00,2021-11-03 01:30:00,0.4,0.9
84,2021-11-03 02:00:00,2021-11-03 02:30:00,0.4,0.91
85,2021-11-03 03:00:00,2021-11-03 03:30:00,0.4,0.91
86,2021-11-03 04:00:00,2021-11-03 04:15:00,0.38,0.87
87,2021-11-03 05:00:00,2021-11-03 05:15:00,0.42,0.96
88,2021-11-03 06:30:00,2021-11-03 06:45:00,0.33,0.72
89,2021-11-03 07:45:00,2021-11-03 08:00:00,0.41,0.72
90,2021-11-03 09:45:00,2021-11-03 10:00:00,0.34,0.67
91,2021-11-03 11:15:00,2021-11-03 11:30:00,0.48,0.68
92,2021-11-03 12:15:00,2021-11-03 12:45:00,0.48,1.07
93,2021-11-03 13:15:00,2021-11-03 13:30:00,0.39,0.87
94,2021-11-03 14:15:00,2021-11-03 14:30:00,0.46,0.86
95,2021-11-03 15:00:00,2021-11-03 15:30:00,0.4,0.88
96,2021-11-03 16:00:00,2021-11-03 16:30:00,0.39,0.85
97,2021-11-03 17:00:00,2021-11-03 17:15:00,0.37,0.83
98,2021-11-03 18:00:00,2021-11-03 18:15:00,0.46,0.87
99,2021-11-03 19:00:00,2021-11-03 19:15:00,0.42,0.85
100,2021-11-03 20:00:00,2021-11-03 20:15:00,0.37,0.81
101,2021-11-03 20:45:00,2021-11-03 21:15:00,0.38,0.84
102,2021-11-03 21:45:00,2021-11-03 22:00:00,0.35,0.78
103,2021-11-03 22:45:00,2021-11-03 23:00:00,0.41,0.78
104,2021-11-03 23:45:00,2021-11-04 00:00:00,0.43,0.8
105,2021-11-04 00:45:00,2021-11-04 01:00:00,0.45,0.79
106,2021-11-04 01:45:00,2021-11-04 02:00:00,0.48,0.8
107,2021-11-04 02:45:00,2021-11-04 03:00:00,0.48,0.82
108,2021-11-04 03:45:00,2021-11-04 04:00:00,0.42,0.78
109,2021-11-04 04:45:00,2021-11-04 05:00:00,0.37,0.77
110,2021-11-04 05:45:00,2021-11-04 06:00:00,0.35,0.77
111,2021-11-04 06:30:00,2021-11-04 07:00:00,0.37,0.82
112,2021-11-04 07:30:00,2021-11-04 08:00:00,0.39,0.86
113,2021-11-04 08:30:00,2021-11-04 08:45:00,0.37,0.81
114,2021-11-04 09:30:00,2021-11-04 09:45:00,0.47,0.89
115,2021-11-04 10:30:00,2021-11-04 10:30:00,0.12,0.52
116,2021-11-04 11:30:00,2021-11-04 12:00:00,0.52,1.12
117,2021-11-04 12:45:00,2021-11-04 13:00:00,0.42,0.87
118,2021-11-04 13:30:00,2021-11-04 13:45:00,0.32,0.51
119,2021-11-04 14:15:00,2021-11-04 14:30:00,0.42,0.88
120,2021-11-04 15:15:00,2021-11-04 15:30:00,0.46,0.85
121,2021-11-04 16:00:00,2021-11-04 18:00:00,2.08,3.36
122,2021-11-04 18:30:00,2021-11-04 18:45:00,0.47,1.04
123,2021-11-04 19:15:00,2021-11-04 20:30:00,1.34,2.17
124,2021-11-04 21:00:00,2021-11-04 23:00:00,2.06,3.23
125,2021-11-04 23:30:00,2021-11-04 23:45:00,0.45,1.02
126,2021-11-05 00:15:00,2021-11-05 00:45:00,0.47,1.06
127,2021-11-05 01:30:00,2021-11-05 02:30:00,1.06,1.84
128,2021-11-05 03:00:00,2021-11-05 03:30:00,0.44,1.01
129,2021-11-05 04:00:00,2021-11-05 04:15:00,0.4,0.9
130,2021-11-05 05:15:00,2021-11-05 05:30:00,0.36,0.78
131,2021-11-05 06:15:00,2021-11-05 06:30:00,0.38,0.82
132,2021-11-05 07:15:00,2021-11-05 07:30:00,0.37,0.81
133,2021-11-05 08:00:00,2021-11-05 08:30:00,0.38,0.85
134,2021-11-05 09:00:00,2021-11-05 09:15:00,0.43,0.44
135,2021-11-05 10:15:00,2021-11-05 10:30:00,0.32,0.69
136,2021-11-05 11:30:00,2021-11-05 11:45:00,0.35,0.71
137,2021-11-05 12:45:00,2021-11-05 13:00:00,0.49,0.72
138,2021-11-05 13:45:00,2021-11-05 14:00:00,0.31,0.68
139,2021-11-05 14:30:00,2021-11-05 15:15:00,1.0,1.46
140,2021-11-05 16:00:00,2021-11-05 16:15:00,0.48,0.9
141,2021-11-05 16:45:00,2021-11-05 19:30:00,2.71,4.4
142,2021-11-05 20:00:00,2021-11-05 20:15:00,0.46,1.03
143,2021-11-05 20:45:00,2021-11-05 21:00:00,0.44,1.0
144,2021-11-05 21:30:00,2021-11-05 22:00:00,0.46,1.05
145,2021-11-05 22:30:00,2021-11-05 22:45:00,0.48,1.06
146,2021-11-05 23:15:00,2021-11-05 23:45:00,0.47,1.05
147,2021-11-06 00:15:00,2021-11-06 01:30:00,1.31,2.06
148,2021-11-06 02:00:00,2021-11-06 02:15:00,0.42,0.96
149,2021-11-06 03:00:00,2021-11-06 03:15:00,0.45,1.0
150,2021-11-06 03:45:00,2021-11-06 04:15:00,0.47,1.08
151,2021-11-06 04:45:00,2021-11-06 05:15:00,0.45,1.02
152,2021-11-06 05:45:00,2021-11-06 06:00:00,0.31,0.66
153,2021-11-06 06:45:00,2021-11-06 07:00:00,0.47,0.77
154,2021-11-06 07:45:00,2021-11-06 08:00:00,0.47,0.81
155,2021-11-06 08:45:00,2021-11-06 09:00:00,0.48,0.8
156,2021-11-06 09:45:00,2021-11-06 10:00:00,0.39,0.82
157,2021-11-06 10:45:00,2021-11-06 11:00:00,0.36,0.79
158,2021-11-06 11:45:00,2021-11-06 12:00:00,0.42,0.78
159,2021-11-06 12:45:00,2021-11-06 13:00:00,0.44,0.76
160,2021-11-06 13:45:00,2021-11-06 14:00:00,0.34,0.76
161,2021-11-06 14:45:00,2021-11-06 15:15:00,0.35,0.78
162,2021-11-06 16:00:00,2021-11-06 16:15:00,0.38,0.76
163,2021-11-06 16:45:00,2021-11-06 17:00:00,0.49,1.08
164,2021-11-06 17:30:00,2021-11-06 18:00:00,0.44,0.99
165,2021-11-06 18:30:00,2021-11-06 19:00:00,0.43,0.98
166,2021-11-06 19:30:00,2021-11-06 20:00:00,0.43,0.97
167,2021-11-06 20:30:00,2021-11-06 21:00:00,0.43,0.97
168,2021-11-06 21:30:00,2021-11-06 23:15:00,1.91,3.08
169,2021-11-07 00:00:00,2021-11-07 00:15:00,0.49,0.99
170,2021-11-07 01:00:00,2021-11-07 01:15:00,0.44,0.98
171,2021-11-07 01:45:00,2021-11-07 02:15:00,0.46,1.03
172,2021-11-07 02:45:00,2021-11-07 03:15:00,0.46,1.04
173,2021-11-07 03:45:00,2021-11-07 04:15:00,0.46,1.04
174,2021-11-07 04:45:00,2021-11-07 05:00:00,0.42,0.97
175,2021-11-07 05:45:00,2021-11-07 06:00:00,0.48,0.99
176,2021-11-07 06:45:00,2021-11-07 07:00:00,0.42,0.95
177,2021-11-07 07:30:00,2021-11-07 08:00:00,0.44,1.0
178,2021-11-07 08:30:00,2021-11-07 08:30:00,0.12,0.52
179,2021-11-07 13:30:00,2021-11-07 13:45:00,0.47,0.88
180,2021-11-07 15:15:00,2021-11-07 15:30:00,0.44,0.7
181,2021-11-07 16:00:00,2021-11-07 16:15:00,0.36,0.78
182,2021-11-07 16:45:00,2021-11-07 17:15:00,0.39,0.86
183,2021-11-07 17:45:00,2021-11-07 18:00:00,0.45,0.83
184,2021-11-07 18:45:00,2021-11-07 19:00:00,0.43,0.84
185,2021-11-07 19:30:00,2021-11-07 20:00:00,0.39,0.85
186,2021-11-07 20:30:00,2021-11-07 21:00:00,0.39,0.87
187,2021-11-07 21:30:00,2021-11-07 21:45:00,0.39,0.86
188,2021-11-07 22:30:00,2021-11-07 22:45:00,0.44,0.84
189,2021-11-07 23:30:00,2021-11-07 23:45:00,0.44,0.84
190,2021-11-08 00:30:00,2021-11-08 00:45:00,0.37,0.78
191,2021-11-08 01:15:00,2021-11-08 01:45:00,0.39,0.84
192,2021-11-08 02:15:00,2021-11-08 02:30:00,0.33,0.72
193,2021-11-08 03:15:00,2021-11-08 03:30:00,0.37,0.81
194,2021-11-08 04:15:00,2021-11-08 04:30:00,0.42,0.82
195,2021-11-08 05:15:00,2021-11-08 05:30:00,0.45,0.79
196,2021-11-08 06:15:00,2021-11-08 06:30:00,0.5,0.84
197,2021-11-08 07:15:00,2021-11-08 07:30:00,0.44,0.84
198,2021-11-08 08:15:00,2021-11-08 08:30:00,0.36,0.78
199,2021-11-08 09:45:00,2021-11-08 10:00:00,0.45,0.66
200,2021-11-08 11:00:00,2021-11-08 11:15:00,0.37,0.68
201,2021-11-08 12:15:00,2021-11-08 12:30:00,0.35,0.68
202,2021-11-08 13:30:00,2021-11-08 13:45:00,0.35,0.68
203,2021-11-08 14:15:00,2021-11-08 14:30:00,0.44,0.85
204,2021-11-08 15:15:00,2021-11-08 15:30:00,0.38,0.82
205,2021-11-08 16:15:00,2021-11-08 16:30:00,0.35,0.77
206,2021-11-08 17:15:00,2021-11-08 17:45:00,0.56,1.27
207,2021-11-08 18:15:00,2021-11-08 18:30:00,0.4,0.9
208,2021-11-08 19:00:00,2021-11-08 19:30:00,0.43,0.97
209,2021-11-08 20:00:00,2021-11-08 20:15:00,0.42,0.96
210,2021-11-08 21:00:00,2021-11-08 21:15:00,0.48,0.96
211,2021-11-08 22:00:00,2021-11-08 22:15:00,0.45,0.93
212,2021-11-08 23:00:00,2021-11-09 00:00:00,1.09,1.86
213,2021-11-09 00:30:00,2021-11-09 00:45:00,0.49,0.85
214,2021-11-09 01:30:00,2021-11-09 02:45:00,1.34,2.34
215,2021-11-09 03:15:00,2021-11-09 03:30:00,0.48,1.07
216,2021-11-09 04:00:00,2021-11-09 05:15:00,1.19,2.09
217,2021-11-09 05:45:00,2021-11-09 06:15:00,0.42,0.96
218,2021-11-09 06:45:00,2021-11-09 07:15:00,0.44,1.01
219,2021-11-09 07:45:00,2021-11-09 08:00:00,0.47,1.01
220,2021-11-09 08:45:00,2021-11-09 08:45:00,0.12,0.48
221,2021-11-09 09:30:00,2021-11-09 10:00:00,0.36,0.8
222,2021-11-09 10:45:00,2021-11-09 11:00:00,0.36,0.77
223,2021-11-09 11:30:00,2021-11-09 12:00:00,0.38,0.84
224,2021-11-09 12:30:00,2021-11-09 12:45:00,0.32,0.71
225,2021-11-14 13:15:00,2021-11-14 13:30:00,0.32,0.68
226,2021-11-14 14:30:00,2021-11-14 14:45:00,0.38,0.71
227,2021-11-14 15:15:00,2021-11-14 15:45:00,0.46,1.0
228,2021-11-14 16:15:00,2021-11-14 16:30:00,0.4,0.86
229,2021-11-14 17:15:00,2021-11-14 17:30:00,0.46,0.87
230,2021-11-14 18:15:00,2021-11-14 18:30:00,0.38,0.82
231,2021-11-14 19:00:00,2021-11-14 19:30:00,0.38,0.84
232,2021-11-14 20:00:00,2021-11-14 20:30:00,0.38,0.83
233,2021-11-14 21:00:00,2021-11-14 21:30:00,0.38,0.84
234,2021-11-14 22:00:00,2021-11-14 22:15:00,0.39,0.82
235,2021-11-14 23:00:00,2021-11-14 23:15:00,0.41,0.83
236,2021-11-15 00:00:00,2021-11-15 00:15:00,0.45,0.83
237,2021-11-15 01:00:00,2021-11-15 01:15:00,0.48,0.82
238,2021-11-15 02:00:00,2021-11-15 02:15:00,0.4,0.82
239,2021-11-15 02:45:00,2021-11-15 03:15:00,0.37,0.82
240,2021-11-15 03:45:00,2021-11-15 04:15:00,0.38,0.84
241,2021-11-15 04:45:00,2021-11-15 05:00:00,0.39,0.83
242,2021-11-15 05:45:00,2021-11-15 06:00:00,0.43,0.82
243,2021-11-15 06:45:00,2021-11-15 07:00:00,0.48,0.83
244,2021-11-15 07:45:00,2021-11-15 08:00:00,0.47,0.8
245,2021-11-15 08:45:00,2021-11-15 09:00:00,0.38,0.81
246,2021-11-15 09:30:00,2021-11-15 10:00:00,0.39,0.86
